"","ttdA","ttdB","ttdR","ttdT","pval","z","inv_cof_var"
"T0588",0.076198559,0.078797234,0.079280136,0.076845762,0.0198254450910137,2.05736748673009,52.2070012008346
"T0576",0.035774531,0.037912293,0.034631526,0.032014656,0.496324173345708,0.00921406139995111,14.2823954431875
"T0572",0.05210895,0.050974817,0.057256074,0.057972235,0.472669295848661,0.0685615924258837,15.3813032149456
"T1094",0.075646235,0.075529436,0.079183424,0.082095955,0.281944121166029,0.577075813383637,24.7972000483927
"T0115",0.064844961,0.062847435,0.066816055,0.062877462,0.14153226059614,1.07346056916081,33.9885018005653
"T0101",0.055215519,0.053221269,0.057648091,0.056138225,0.195312397878271,0.858484844178464,30.0079066378246
"T0118",0.070628841,0.065540363,0.073628455,0.064457871,0.461928561084818,0.0955762580766802,15.8815199134656
"T0095",0.044930793,0.043129365,0.046330942,0.048270434,0.355158440404746,0.37143054194086,20.9893721049687
"T4027",0.085858539,0.080898889,0.085315413,0.081262622,0.168851965560791,0.958711842007637,31.8637585149032
"T4028",0.072446877,0.074647184,0.073525512,0.072281549,0.0022298646814408,2.84366941197306,66.7665503793889
"T4029",0.06522669,0.072312139,0.067609113,0.065884396,0.351170092189826,0.382163377538215,21.1881065130738
"T4031",0.074297661,0.081277877,0.074405732,0.077354459,0.307997263774742,0.501535176864472,23.398452853363
"T4032",0.080812892,0.088893564,0.080401755,0.083764222,0.348504056987143,0.389362357126499,21.3214063232181
"T4034",0.07314929,0.075656181,0.073430735,0.072643658,0.0129224152665585,2.22853544348998,55.3764304038321
"T4087",0.094746076,0.083931436,0.093194897,0.090184876,0.397197970219649,0.260606546863784,18.9373010687825
"T4093",0.075011178,0.086292503,0.074978157,0.078433362,0.485907954758085,0.0353308680865355,14.7659869480953
"T4099",0.107173139,0.112368691,0.106197643,0.111189358,0.115059234438976,1.20005374288721,36.3325626242358
"T5039",0.035714346,0.039166077,0.040585339,0.036098546,0.459500289218332,0.101692722961895,15.9947753544563
"T5042",0.053692531,0.061743203,0.053820503,0.056098106,0.481969342945177,0.0452115527680121,14.9489425150593
