"","cra","phoB","pitB","sbcC","sbcD","pval","z","inv_cof_var"
"T7306",0.082175235,0.088975875,0.078778917,0.086857884,0.076322956,0.420503708600255,0.20060503953444,17.7536931892128
"T7307",0.084209382,0.084126446,0.079532078,0.083654627,0.076164878,0.39002172020665,0.279262424586129,21.4077794648098
"T7308",0.076421494,0.091932504,0.077141887,0.091737283,0.077457503,0.478522567108787,0.0538619724921988,10.9366368255197
"T7309",0.079178475,0.082749729,0.07074552,0.077276123,0.072612238,0.409610888750719,0.228546028153589,19.0517122242055
"T7310",0.07486654,0.088772204,0.07098796,0.087655891,0.077555683,0.47868264676513,0.0534601341645386,10.9179691324971
"T7311",0.08186675,0.127400559,0.076889213,0.0747182,0.077328087,0.353657705142868,0.375464006555359,25.8768942228644
"T7312",0.084646617,0.101301466,0.086742637,0.089556175,0.085452267,0.246765674158913,0.684703011497836,40.2428180721893
"T7316",0.085879278,0.085880833,0.082594367,0.073847994,0.084043588,0.441293629052134,0.147690210111677,15.2954961382656
"T7317",0.089715095,0.09031522,0.081216306,0.07735649,0.08261878,0.435121466736374,0.163349917134884,16.0229792662105
"T7318",0.088705747,0.087065962,0.089130766,0.088992801,0.08872851,6.43677852102605e-20,9.06144339245725,429.390411018339
"T7320",0.08817225,0.083850502,0.072243123,0.070838558,0.086009952,0.497080348360369,0.00731854668304622,8.77442798325107
"T7324",0.088539966,0.094617296,0.087488492,0.076038912,0.085539202,0.445710141061184,0.13650726443193,14.7759842284524
"T7326",0.084152708,0.086354634,0.086665177,0.086220713,0.087497618,0.131055428161832,1.12141593505453,60.5306359203888
"T7328",0.08675264,0.084293497,0.086328199,0.084750572,0.083772676,0.126101843452935,1.14501320606153,61.6268643809658
"T7330",0.083903843,0.085360436,0.083829602,0.071389884,0.081906099,0.457327703823882,0.107168370402929,13.4130244765853
"T7334",0.086737058,0.083492535,0.089623946,0.087498152,0.08945142,0.126069388942813,1.14516991579999,61.6341444463304
"T7336",0.091119501,0.091394115,0.090780387,0.0857079,0.086371535,0.313286564368041,0.48655583406443,31.0377462136232
"T7338",0.079891365,0.101823206,0.067253413,0.063575466,0.071219811,0.486023545993207,0.0350409444130903,10.062292218827
"T7340",0.087910145,0.084928294,0.087517723,0.074143363,0.085246195,0.46158391317054,0.0964441532173627,12.9148231340344
"T7344",0.087694754,0.086041833,0.076959797,0.079458598,0.079765732,0.423567801890393,0.192774463170396,17.3899180446022
"T7346",0.086561223,0.108213539,0.071335066,0.08033555,0.079770369,0.463300152322188,0.0921230127761941,12.7140813985873
"T7348",0.083114784,0.078097064,0.087082393,0.086993321,0.087844602,0.245109454318772,0.689960689464456,40.487067342448
"T7350",0.092243846,0.092059605,0.092165228,0.086013665,0.082669123,0.413227220934418,0.219251112555973,18.6199101309149
"T7352",0.082742344,0.081159539,0.084572698,0.082403341,0.081797122,0.0948655553691952,1.31137497063388,69.3553216683323
"T7356",0.080177668,0.079022655,0.081037725,0.085021192,0.069327506,0.47157569497427,0.071309556070623,11.7471770647402
"T7358",0.090021606,0.08853011,0.0814764,0.086082463,0.081385654,0.398096106848169,0.258278194584663,20.4329417327654
"T7360",0.080368289,0.080106143,0.07236465,0.072188285,0.075147621,0.40454948467078,0.2415885832391,19.6576136472615
"T7362",0.085698313,0.083193716,0.082034487,0.077326759,0.084170645,0.380351574077916,0.304557559059855,22.582883412889
"T7364",0.082025495,0.079731237,0.079446233,0.077757615,0.080019314,0.213486703200469,0.79438143885301,45.3380095264213
