"","dgcN","gfcA","ybhL","yfiB","yfiR","yjjQ","pval","z","inv_cof_var"
"T5714",0.081862877,0.128225394,0.140695479,0.091091385,0.084423491,0.132507776,0.335687302989242,0.424262196227863,3.86588825082856
"T5716",0.124305781,0.142409891,0.19067005,0.105194763,0.198101068,0.149318085,0.349405172386919,0.386926874563773,3.72555983849662
"T5719",0.108200688,0.171986804,0.172437469,0.116285176,0.116864898,0.163983213,0.298236727008537,0.529478645867327,4.26135443863725
"T5720",0.103015093,0.160786746,0.167306866,0.113935968,0.110589788,0.166800767,0.293434484216175,0.543378873710612,4.31359978747474
"T5721",0.111365389,0.151234288,0.166143011,0.125812459,0.118421264,0.155955849,0.173572903855504,0.940139894182926,5.80486440222773
"T5722",0.089136437,0.1600566,0.231521648,0.112610014,0.091202998,0.167083534,0.499296915862397,0.00176237149106709,2.27788185438546
"T5723",0.090166368,0.158516785,0.097508098,0.106509398,0.214386071,0.160993611,0.47191216505884,0.070464028924067,2.53610366907571
"T5724",0.103179426,0.129473576,0.188986773,0.102199234,0.198377613,0.134100366,0.411257937378747,0.224310283807173,3.11434967657496
"T5726",0.072054551,0.117977311,0.147842781,0.116588008,0.093190238,0.140849916,0.338549596101861,0.416424789089807,3.83643059916085
"T5728",0.061690867,0.161874852,0.157589738,0.123176311,0.073609508,0.176407614,0.476973860688785,0.0577500558707934,2.48831697343535
"T5732",0.106585093,0.162710071,0.231465116,0.121048182,0.10453367,0.182489508,0.453320579732931,0.117276231613299,2.71205185402088
"T5736",0.101412248,0.179161538,0.188500079,0.121712952,0.100800078,0.191668031,0.396969692559092,0.261198564435306,3.25299784199789
"T5738",0.085864447,0.082431603,0.114195407,0.077852256,0.078706179,0.127990475,0.172627453268667,0.943833171618113,5.81874594216581
"T5740",0.086980951,0.107593994,0.134966277,0.090232229,0.078869868,0.147360339,0.279303845245961,0.584910808623019,4.46970157601074
"T5742",0.071994155,0.105411361,0.123381454,0.107246732,0.086622447,0.127962036,0.236517009496325,0.717551260540078,4.96824352499879
"T5744",0.115900309,0.171591921,0.163469329,0.122175013,0.106493757,0.180680789,0.267448071041059,0.620549398685353,4.60365265874658
"T5746",0.102586297,0.146218616,0.154247802,0.087890433,0.153254117,0.1599997,0.311309681032892,0.492141435399686,4.12101892705474
"T5748",0.099412616,0.16741802,0.102957245,0.136386854,0.128925694,0.174195451,0.268731802769277,0.616653034316399,4.58900779695374
"T5750",0.093822848,0.112417531,0.145167502,0.091453371,0.091725284,0.13731486,0.265308049416448,0.62706580803478,4.62814521264333
"T5752",0.088832167,0.142629,0.088102186,0.13045373,0.105134673,0.158862,0.276093541828182,0.594486029405214,4.50569096809854
"T5756",0.124170056,0.164745023,0.18734282,0.126736985,0.136793152,0.168596841,0.200610999685931,0.839440795188002,5.42637711310373
"T5758",0.092333237,0.186158518,0.212286084,0.12521237,0.142737714,0.19070363,0.405481150365297,0.239184784212977,3.17025692293424
"T5760",0.091012842,0.160376817,0.201524344,0.090364421,0.085749874,0.172428973,0.48643683342286,0.0340043688915412,2.39906651555769
"T8379",0.136706552,0.137210429,0.251989373,0.162139353,0.137558903,0.246896007,0.390227322392076,0.278726603303965,3.31887866894941
"T2823",0.04530354,0.032296436,0.106321569,0.070487517,0.074459799,0.053693607,0.497333913088963,0.00668293857869327,2.29637628101427
"T2261",0.018521919,0.040380545,0.056167504,0.037020123,0.043447874,0.026618158,0.436090557349445,0.160888633666043,2.87597327923602
"T4080",0.055289663,0.166785357,0.172894978,0.12077321,0.093839517,0.172072012,0.480189481181279,0.0496780325041335,2.45797749401313
"T4082",0.050426134,0.166069223,0.172000233,0.118480019,0.09539763,0.171405777,0.488754763990647,0.0281913602845493,2.37721776128606
"T2678",0.051130525,0.051453781,0.049225036,0.051800374,0.053759922,0.069760084,2.16211498434492e-15,7.84515385663261,31.7580262685786
"T5731",0.102984577,0.199786747,0.206302969,0.143119593,0.128137801,0.211340029,0.377228499335674,0.312767908019128,3.44682620044158
"T5735",0.086927234,0.173685666,0.087226399,0.113673967,0.09166306,0.176853045,0.4235480886825,0.192824803837679,2.99600845923177
"T2340",0.044903457,0.04494938,0.064215739,0.045780436,0.058015366,0.047798575,0.178246046854019,0.922069943191959,5.73694674622646
"T5527",0.080663278,0.121412922,0.128129669,0.128769319,0.12520582,0.259447442,0.179489742732229,0.917311399674185,5.71906130083323
"T5529",0.084168211,0.225814504,0.147402669,0.108533095,0.103043868,0.264987037,0.489044064176057,0.0274659113926646,2.37449109156182
"T5531",0.099436384,0.111362117,0.130597227,0.117486614,0.111691394,0.232104456,0.0187894887272989,2.07941767364025,10.0869499681348
"T0588",0.076783889,0.07694164,0.148832699,0.080662781,0.083065026,0.07680527,0.424074576566539,0.191480504462043,2.99095578019557
"T1948",0.040390001,0.073191282,0.040534389,0.043111513,0.080728568,0.038348206,0.442032501694972,0.145818079109262,2.81932914441533
"T1941",0.065471295,0.032396068,0.066107561,0.035113515,0.044080519,0.029147407,0.423844535591862,0.192067833178344,2.99316331190019
"T1943",0.016140397,0.032034638,0.022173512,0.037434679,0.04829156,0.031235712,0.479143871908474,0.0523023964808737,2.46784141948163
"T0100",0.054181183,0.070342559,0.054097854,0.069275233,0.043440157,0.061139973,0.225370519742724,0.754180176094017,5.10591684174079
"T0119",0.065401939,0.059956551,0.109005671,0.053932132,0.057761859,0.07258472,0.417044976675812,0.20945898124552,3.05852962155338
