"","fis","hns","lrp","rrfH","rrsG","rrsH","pval","z","inv_cof_var"
"T6051",0.079148777,0.186761884,0.249172134,0.101502653,0.10061268,0.10121119,0.49134557751167,0.0216951218935989,222.840002772841
"T6082",0.081574896,0.161279141,0.247531168,0.09026801,0.089558587,0.090110265,0.483253516739769,0.0419895439582665,241.55777966147
"T6093",0.083901999,0.160223377,0.076935626,0.095771769,0.094962762,0.095580553,0.490103544250888,0.0248092805847737,225.71222684463
"T6106",0.236120161,0.157068849,0.271669271,0.089292929,0.088494075,0.089057541,0.494008866808993,0.0150181083742117,216.681717065565
"T6117",0.077177232,0.158125298,0.354229697,0.092000394,0.091243868,0.091857636,0.489056061207472,0.0274358279619522,228.134721441263
"T6078",0.079446871,0.161737531,0.261234024,0.088781379,0.087973156,0.088560712,0.496164943631325,0.00961320879196991,211.696716548503
"T6089",0.21928754,0.160291721,0.233518952,0.090682402,0.089829337,0.090475218,0.499919799720243,0.000201032290226375,203.01575883339
"T6102",0.082195452,0.154482011,0.257880949,0.089719074,0.088901949,0.089513113,0.496763667428995,0.00811237170768524,210.312477391541
"T6113",0.078864356,0.160182745,0.335594294,0.095944721,0.095286173,0.095783652,0.467226322799756,0.0822440495426343,278.684969186226
"T6084",0.080197405,0.161790968,0.270621683,0.089134135,0.088379045,0.088935027,0.489568793167298,0.0261501380532874,226.94891497771
"T6086",0.079070026,0.161744314,0.285086948,0.089265183,0.088490899,0.089073129,0.492315906538525,0.0192623570481686,220.596236014952
"T6097",0.207654656,0.159338834,0.081582291,0.09073515,0.089929186,0.090532249,0.494459405528202,0.0138886572566499,215.640011420646
"T6110",0.080268191,0.153072164,0.375722686,0.093974716,0.093292096,0.09384731,0.476079976609686,0.0599945777779829,258.164027665764
"T6121",0.080103287,0.163453358,0.343839863,0.096058223,0.095343934,0.095781847,0.472791965972841,0.0682533837216321,265.7812185632
"T6080",0.07886928,0.160513536,0.261168568,0.088269816,0.087604743,0.088112462,0.47823724729777,0.0545782152515459,253.168454744558
"T6091",0.086999639,0.160429027,0.081901866,0.091041698,0.090213236,0.090796521,0.49556422026028,0.0111190800273149,213.085598760393
"T6104",0.196556239,0.157191867,0.265106949,0.08999905,0.089170856,0.089801928,0.498093668496616,0.00477848263236889,207.237593480861
"T6115",0.078861149,0.161423549,0.358291372,0.094838036,0.094072114,0.094669963,0.48616740093567,0.034680134373008,234.816227851396
"T6088",0.080627143,0.159783137,0.273332696,0.090382647,0.089774656,0.09022914,0.464476257438042,0.0891628176295918,285.066227887911
"T6112",0.077220381,0.155645856,0.392258462,0.091899978,0.091329412,0.091741405,0.453226433891389,0.117513852007774,311.214710183279
"T6155",0.06736975,0.150311989,0.191754995,0.083130123,0.082358713,0.082926818,0.498151109225734,0.00463449848183157,207.104795256961
"T6136",0.069840863,0.150691436,0.212980136,0.082845571,0.082067643,0.082629648,0.498858540065884,0.00286121964914281,205.469279968778
"T6177",0.063037093,0.150389046,0.272538699,0.075215311,0.07450352,0.075015881,0.499486307089828,0.00128763752893457,204.017947235669
"T6189",0.07381637,0.156007425,0.082629786,0.091160454,0.090489181,0.090981564,0.474672455328281,0.0635294477861929,261.424278582649
