"","araC","araE","araF","araG","crp","ygeA","pval","z","inv_cof_var"
"T1771",0.086237841,0.093332851,0.079405555,0.099613327,0.312507974,0.111369978,0.317135413288001,0.475724271983571,7.2054024537416
"T1772",0.098207467,0.105103634,0.08721721,0.106505029,0.321657166,0.114849611,0.21795749412616,0.779109884006872,8.89518775455022
"T1778",0.075574803,0.086487596,0.067867208,0.089648448,0.223568873,0.112099987,0.474762573916716,0.0633030992969394,4.90831515714759
"T1790",0.071526205,0.082370155,0.066490936,0.081548999,0.256345354,0.109945704,0.489736107147178,0.0257306029680778,4.6990453384908
"T1793",0.062392232,0.073405846,0.076394701,0.103728201,0.18706089,0.102485373,0.436401194730907,0.160099887921832,5.44745011972209
"T1803",0.097556758,0.102262322,0.093627188,0.103471915,0.140623115,0.117394397,0.139153667804528,1.08412961064118,10.5940746829248
"T1827",0.079040337,0.091531019,0.079555012,0.092109581,0.227444534,0.090728191,0.0329080487516618,1.83967410492305,14.8022768189125
"T1828",0.086083762,0.102800635,0.080657855,0.089110837,0.222356016,0.096244266,0.178204836603695,0.922227976355218,9.6923213005914
"T1829",0.080063803,0.095857908,0.078385848,0.092053363,0.246284163,0.075323199,0.240601259230411,0.704369783452148,8.47890326941574
"T4804",0.086270513,0.125534405,0.08746738,0.090607557,0.10471167,0.089166061,0.441603448788396,0.14690513649466,5.37395850994942
"T4811",0.089493912,0.132424668,0.087504668,0.111863321,0.135198786,0.088064134,0.477314254757328,0.0568954114647852,4.87262586839479
"T4812",0.09713018,0.123134899,0.096580065,0.109525988,0.15657116,0.096805991,0.243014557008764,0.696638406481432,8.43584134873664
"T4803",0.089167599,0.101662612,0.097439468,0.106881026,0.113190724,0.087719589,0.0869681097586362,1.35966417603399,12.1287363149
"T5743",0.130695472,0.147302538,0.121130287,0.126590031,0.183459508,0.122467032,0.137957829321117,1.08954037876014,10.6242113673
"T5745",0.088071048,0.132312307,0.088163277,0.111474979,0.214462677,0.101377595,0.410345376580675,0.226656630636635,5.81815525883243
"T5747",0.109015721,0.144066957,0.105995903,0.131611377,0.114735357,0.110490281,0.339191108576933,0.414671747777231,6.86535449532619
"T5755",0.127395345,0.150242369,0.112789888,0.128323097,0.18326276,0.114260115,0.312463583386533,0.488879278429154,7.27867269347229
"T5759",0.111348371,0.148083877,0.091912336,0.123903282,0.197997559,0.106362313,0.478178130666749,0.0547266201393779,4.86054621940368
"T6896",0.140884303,0.099037741,0.138603638,0.112489874,0.288087286,0.148502754,0.435972097131179,0.161189444773063,5.45351869080338
"T6898",0.13357163,0.160730031,0.13117332,0.126742867,0.185263212,0.139063108,0.200128006181712,0.841164094390778,9.24081486540991
"T6902",0.13357163,0.160730031,0.13117332,0.126742867,0.185263212,0.139063108,0.200128006181712,0.841164094390778,9.24081486540991
"T6897",0.131390885,0.133127642,0.165007218,0.094563093,0.107385417,0.137056383,0.498818577021299,0.00296139257119701,4.57222628209892
"T2148",0.072869815,0.07908974,0.063511269,0.077596204,0.934919031,0.073421369,0.144597187994385,1.05989059248433,10.4590691488314
"T2151",0.067184339,0.066121478,0.068741002,0.063799622,0.91510587,0.063655961,2.01666987914389e-05,4.10556148827233,27.4227276311193
"T2125",0.05680521,0.044646554,0.052975209,0.033901751,0.937224083,0.045995311,0.423464519893671,0.193038214847447,5.63090872311775
"T2118",0.078050061,0.070697684,0.063467646,0.072454148,0.983229039,0.085343166,0.267291220427495,0.621026114770762,8.01469896745809
"T2124",0.075547616,0.075446967,0.071184109,0.067150901,0.901949025,0.055720144,0.27121366951955,0.609146498675389,7.94853234695379
"T2112",0.071683712,0.097757564,0.104989742,0.084087524,1.028230611,0.115276131,0.288046793351535,0.559099835963875,7.6697844048861
"T2089",0.052363419,0.061370646,0.04690638,0.063342317,0.699988894,0.080534933,0.498524480990415,0.00369858610165711,4.57633227375526
"T6045",0.062937237,0.089336823,0.082827272,0.072987086,0.088044881,0.087384318,0.109634512114451,1.22847415866084,11.3980392937342
"T6058",0.058799965,0.049673726,0.068672606,0.062718687,0.376248813,0.06791343,0.3250303732266,0.453677801684158,7.082608886841
