"","bacA","cpxR","dsbA","dsbC","ftnB","kbp","ldtC","ldtD","lysS","mzrA","ppiD","prfB","recJ","sbmA","slt","srkA","xerD","yaiW","yccA","yebE","yidQ","yqaE","yqjA","pval","z","inv_cof_var"
"T4839",0.080451726,0.227961924,0.102511609,0.205875505,0.110211047,0.132121815,0.159183263,0.087694228,0.090026514,0.079383631,0.105593091,0.414005134,0.133558699,0.141531708,0.133979164,0.271026576,0.08318588,0.100542889,0.205853775,0.078443101,0.217103716,0.119053402,0.189750139,0.114948382455253,1.20062482988583,1.89183489346082
"T4841",0.090475203,0.240770551,0.111309686,0.235076401,0.084850156,0.145700845,0.102315378,0.089672589,0.1015207,0.090268028,0.157694551,0.371999358,0.160289193,0.056828276,0.14081662,0.19729961,0.135024957,0.054329016,0.23656934,0.063874833,0.239979503,0.133189552,0.214680516,0.100773858395757,1.27715447219467,1.92513235203685
"T4843",0.086072686,0.213924002,0.101525574,0.199892396,0.099485259,0.129258669,0.14423895,0.09225466,0.123364764,0.090280618,0.116313097,0.427911686,0.119503318,0.080135513,0.127767823,0.204119516,0.102703263,0.121497052,0.196663442,0.081033018,0.19565202,0.114091487,0.180769982,0.098550729441063,1.28985370008137,1.93065768838689
"T4846",0.061160975,0.253200688,0.098785847,0.179653779,0.134303087,0.139581974,0.118633531,0.106539216,0.162487978,0.074224366,0.121435828,0.432774839,0.118508632,0.117278951,0.124320604,0.06066021,0.158085085,0.164781469,0.210412333,0.060542765,0.165309212,0.125466094,0.062868683,0.18239608427732,0.906271496160658,1.76376402260958
"T4848",0.089963642,0.220434276,0.117498229,0.127711694,0.131436175,0.12546782,0.058958751,0.120657493,0.148509248,0.077316691,0.127822202,0.458842862,0.148944845,0.114391893,0.116416547,0.154312205,0.106739898,0.125868917,0.211036695,0.064695058,0.066616181,0.108648755,0.103108503,0.236009298655811,0.719198542499712,1.68237001974619
"T4850",0.090077882,0.234030387,0.109990755,0.207638584,0.071404948,0.151228626,0.125222905,0.070299262,0.136950205,0.092696352,0.150131523,0.386060297,0.143928301,0.070186761,0.138955176,0.206531298,0.090172054,0.078703598,0.21063858,0.078046846,0.205213031,0.129745627,0.157282562,0.0805076242338552,1.40166519556842,1.97930600983439
"T4852",0.086390104,0.223347911,0.109159221,0.192037857,0.099910675,0.15339701,0.026959222,0.08102784,0.095723267,0.094349622,0.149605516,0.383524857,0.143621781,0.091077515,0.136229253,0.215668836,0.101440037,0.104942105,0.219724814,0.083278881,0.093266389,0.131848323,0.193122874,0.1176392839094,1.18687084784674,1.88585064169399
"T4854",0.086008089,0.221397195,0.107876104,0.201001385,0.096498072,0.167333958,0.129219084,0.071001987,0.107079341,0.110661862,0.161743442,0.420963254,0.147810821,0.128398147,0.139596231,0.183877026,0.090463219,0.126798349,0.201716536,0.078568022,0.191045489,0.136566069,0.180757208,0.0509100944203514,1.63609269492982,2.08130361120258
"T4856",0.088512356,0.22157739,0.106755278,0.182366997,0.153062099,0.147180296,0,0.10063289,0.104552377,0.092048724,0.139817614,0.391069686,0.090252108,0.099258971,0.137932191,0.164673239,0.090270158,0.152305922,0.199002071,0.086820481,0.117744269,0.122695277,0.220642733,0.120178743853206,1.17409372228354,1.88029141266422
"T7010",0.192045182,0.095470139,0.11589245,0.128646731,0.302253346,0.099197441,0.108114682,0.116232495,0.102131232,0.130351889,0.22295604,0.121697879,0.095727623,0.100441487,0.097119186,0.317750995,0.09735887,0.106988417,0.204319777,0.158187114,0.103873553,0.123482305,0.095727693,0.0311296847238136,1.86444406658818,2.18065753615478
"T2774",0.060977334,0.061407523,0.118709333,0.184197037,0.087135569,0.242561999,0.046705529,0.130108054,0.242572369,0.071473984,0.218403092,0.228558592,0.169384882,0.04605085,0.109420409,0.112385064,0.239668158,0.056195981,0.253142268,0.094223504,0.253983404,0.096396683,0.118554608,0.123943477382063,1.15549701382771,1.87220012789172
