"","crp","fucA","fucO","fucR","zraR","pval","z","inv_cof_var"
"T0172",0.254759633,0.055335385,0.046540232,0.055991951,0.070502714,0.44910853028997,0.127913963462848,5.75273113282613
"T0173",0.287477637,0.031044507,0.029131391,0.035736125,0.03526615,0.286643159121663,0.56321818962965,10.1621469661272
"T0486",0.329347876,0.05958344,0.057509208,0.055959215,0.055239175,0.00639328091988866,2.48965925595393,29.6760391572788
"T0487",0.32626955,0.051487108,0.051583278,0.058701373,0.053692381,0.128583339801588,1.13311329333577,15.9349016111501
"T0491",0.378581926,0.051152049,0.051270162,0.051179724,0.051813059,3.35705092195759e-57,15.8963731062821,165.479398671463
"T0492",0.37998872,0.052218055,0.053563285,0.064995284,0.051934249,0.330280832125577,0.439137837057705,8.90527455748979
"T0497",0.341592379,0.049495409,0.051768868,0.058974731,0.058517862,0.245212227084855,0.689633882694055,11.4426752152656
"T0707",0.112615211,0.088059607,0.083426103,0.08228078,0.076136285,0.111528435340656,1.21843984659803,16.7992172606184
"T0709",0.166854685,0.089312666,0.086940302,0.10077024,0.085316084,0.200420249828887,0.840121084028131,12.9670359000097
"T0711",0.088320254,0.095818664,0.093281376,0.122546522,0.088516435,0.418693158116154,0.205237827682552,6.53598351285641
"T1075",0.29393191,0.080571178,0.07373048,0.100229206,0.0708759,0.433601191806351,0.167213091884559,6.15081180533315
"T1079",0.261389366,0.081895589,0.075201505,0.089462557,0.071921523,0.283533164708209,0.572377391080062,10.2549251324489
"T1705",0.898036713,0.057174943,0.072356213,0.049558254,0.080740848,0.494872014447274,0.0128543075626988,4.58723390582269
"T1706",0.908655494,0.048204302,0.065514353,0.053995607,0.073749654,0.468144641656419,0.079934584574013,5.26672382982487
"T2000",0.285447087,0.066264323,0.072365312,0.071447431,0.077386763,0.131978667038764,1.11708651880632,15.7725583369091
"T2328",0.352962446,0.06383031,0.061225098,0.066784077,0.056387931,0.171189325680254,0.949475845422046,14.0747453761691
"T2335",0.249754789,0.097631337,0.098828201,0.084038738,0.072065892,0.40197165895346,0.248246981325779,6.97164490011493
"T2336",0.243716831,0.10046048,0.102219222,0.07669123,0.068092189,0.47540361186989,0.0616931140219934,5.0819467837046
"T4072",0.348475597,0.136409454,0.120458828,0.128010365,0.085033126,0.470744940135424,0.0733974078486549,5.20050547304091
"T4074",0.348475597,0.136409454,0.120458828,0.128010365,0.085033126,0.470744940135424,0.0733974078486549,5.20050547304091
"T4077",0.528278138,0.122490389,0.109791798,0.128686788,0.079324391,0.478101796028804,0.0549182504576143,5.01332077717054
"T4083",0.412153675,0.113375176,0.10046924,0.119770055,0.072529142,0.484550879960618,0.038734885176943,4.84939131631265
"T4085",0.427669917,0.111995005,0.098807008,0.118733395,0.06941159,0.495722108702598,0.0107232887882248,4.56564774294995
"T5732",0.143519686,0.23847844,0.213904341,0.201511796,0.139179895,0.490856922114512,0.022920304213542,4.68919745761503
"T5767",0.158460372,0.138399209,0.114571273,0.121590094,0.152854834,0.375766512059491,0.316618595386897,7.66421542773007
"T5769",0.154794074,0.101301894,0.098784951,0.13412469,0.127365098,0.423091856386901,0.193989999030091,6.42204858925791
