"","crp","exuR","lgoR","uxuR","pval","z","inv_cof_var"
"T6054",0.384608793,0.205769638,0.052273812,0.051990987,0.26763534852574,0.619980390850445,260.678321972783
"T6071",0.389138138,0.192360232,0.053651653,0.052112652,0.489664106849284,0.0259111411247442,48.5942876404774
"T6062",0.379718622,0.262685418,0.053323518,0.052073015,0.477379454871667,0.0567317150394596,59.5973006045181
"T6073",0.390265549,0.188715412,0.053633719,0.052816764,0.44121911991734,0.14787902751234,92.1370924835312
"T6056",0.377683127,0.246429464,0.052938694,0.054670763,0.494874309318372,0.0128485546988694,43.9309154337976
"T6067",0.396157228,0.198757153,0.053559228,0.052865089,0.423296165785122,0.193468170250272,108.412517138277
"T6064",0.398599747,0.254827655,0.052974816,0.051772838,0.47512138539622,0.062401913985499,61.6215741525903
"T6075",0.360699297,0.19769275,0.054251146,0.053365436,0.448104283583937,0.130452329684109,85.9157228667604
"T2084",0.687492227,0.14186033,0.042911513,0.042417026,0.408432529786607,0.231578948701989,122.018149224632
"T6035",0.132467056,0.220999946,0.053952077,0.054637898,0.419408931235267,0.203405805573199,111.960274898812
"T6044",0.189658973,0.220999946,0.052554675,0.052568774,5.99452210285434e-49,14.6579195538331,5272.25361015932
"T6093",0.440184586,0.18061012,0.055657721,0.054588264,0.462565025490242,0.0939736970319243,72.8927704359223
"T6106",0.538019808,0.182403367,0.054733392,0.053703854,0.460803060919541,0.0984107714249583,74.4768157948459
"T6117",0.081941653,0.173211623,0.060095989,0.059205362,0.438367445231289,0.155109629956243,94.7184335269603
"T6113",0.21963919,0.172652766,0.057980503,0.056329013,0.489274456633835,0.0268881898248131,48.9430961845073
"T6095",0.496852068,0.174458164,0.052166478,0.05250021,0.304681157370565,0.510983922449905,221.766342002378
"T6108",0.551253762,0.193870837,0.05500268,0.054532732,0.362625423038641,0.351449908051997,164.812346483574
"T6119",0.085282578,0.169187708,0.057888967,0.057205514,0.411634374382864,0.223342761539927,119.077812215684
"T6121",0.21281776,0.176513099,0.057897833,0.056350012,0.485644562850683,0.0359915136456646,52.193002895974
"T6104",0.529065239,0.181965443,0.055103868,0.053709792,0.482295135473959,0.044394091950946,55.1927419105754
"T6115",0.241340009,0.172139042,0.058271745,0.05639551,0.495673976506712,0.0108439453265797,43.2152654601088
"T6099",0.510093512,0.181646058,0.051306545,0.050090241,0.478104210279558,0.0549121896966363,58.9477260381624
"T6123",0.172733285,0.173640178,0.057577005,0.056636217,0.448183826490378,0.130251244039728,85.8439348475584
"T6130",0.070855142,0.167487832,0.058651145,0.057134904,0.483629664274987,0.0410458689107605,53.9974188896737
"T6126",0.070290708,0.167251966,0.057918455,0.059327666,0.478234267786385,0.0545856949123965,58.8311666790271
"T6138",0.072437371,0.171895289,0.060631674,0.060704391,0.000699717483691854,3.19476756681685,1179.88303098301
"T6164",0.072265259,0.16572455,0.059773286,0.061674066,0.493479218086554,0.0163459041942735,45.1794769286029
"T6135",0.058081202,0.220999946,0.059280599,0.061387193,0.498703923759829,0.00324878706463119,40.5037771844067
"T6202",0.071126004,0.182490959,0.058013667,0.057477034,0.375977526731619,0.316062521104698,152.178971179724
"T6173",0.066376973,0.161743182,0.059218907,0.060332934,0.459239372013564,0.102350157943629,75.8831854833287
