"","fldB","ompN","pgi","ribA","soxS","ydbK","pval","z","inv_cof_var"
"T2333",0.160441983,0.116581271,0.105715091,0.223943985,0.154240404,0.039475181,0.475840119622061,0.060596904001032,1.88937187805785
"T2334",0.16362172,0.118767741,0.130484635,0.255450167,0.127416625,0.039143558,0.496559339983295,0.00862456260032778,1.80466554255485
"T2335",0.088719696,0.135308218,0.328537707,0.152552774,0.201870466,0.186377293,0.459123257586311,0.102642746519648,1.9578996593142
"T4072",0.10040638,0.107061145,0.072037462,0.081887231,0.15976304,0.07840529,0.00627442615958433,2.49632230617334,5.85920212909178
"T4074",0.10040638,0.107061145,0.072037462,0.081887231,0.15976304,0.07840529,0.00627442615958433,2.49632230617334,5.85920212909178
"T4075",0.085139419,0.093066558,0.11981356,0.159569009,0.100471413,0.074665862,0.206600594123467,0.818273230262413,3.12425919244975
"T4077",0.093680337,0.09945741,0.124995366,0.137991835,0.121811009,0.064946354,0.12607368566789,1.14514916703258,3.65701299998813
"T4083",0.084585584,0.090267801,0.139434714,0.152133916,0.083641889,0.070567519,0.232907017688349,0.729306764451403,2.97925854213459
"T4085",0.082534336,0.088512974,0.109196579,0.139988736,0.078784859,0.078478229,0.0952052328837991,1.30936581390306,3.92465902112351
"T5142",0.051416039,0.146871744,0.100969054,0.138955373,0.183731986,0.139371861,0.251361032092379,0.670212927318718,2.8829453443949
"T5144",0.050785745,0.141551949,0.104664642,0.139038894,0.166298932,0.138797445,0.238624765534956,0.710733282403395,2.94898683300208
"T5146",0.04965263,0.136290957,0.110070037,0.129453431,0.178049569,0.125883656,0.205527958892704,0.822036861813507,3.13039329047736
"T5148",0.050404304,0.137512056,0.10338472,0.131425568,0.173620153,0.131887928,0.219617672522374,0.773485097358211,3.05126193063532
"T5150",0.051344876,0.140355956,0.114824753,0.134470702,0.173409057,0.135353661,0.20875195837751,0.810759290938685,3.11201271195356
"T5152",0.051416039,0.146871744,0.100969054,0.138955373,0.183731986,0.139371861,0.251361032092379,0.670212927318718,2.8829453443949
"T5716",0.248159167,0.104552602,0.180955383,0.112378442,0.222469529,0.152168992,0.28084890063008,0.580321544568411,2.73643723217865
"T5719",0.227707335,0.131967621,0.222588766,0.111029954,0.177089242,0.109623601,0.28987587693688,0.553747366493167,2.69312570949002
"T5720",0.234273502,0.136499242,0.214042029,0.10179195,0.164023728,0.110472347,0.305798720706683,0.50779453695552,2.61823018446225
"T5721",0.169906574,0.118753331,0.233992348,0.113453017,0.147844715,0.111051769,0.264999114727175,0.628008717203736,2.81415945010402
"T5723",0.275904598,0.1027395,0.164598058,0.091300224,0.129179379,0.089913826,0.491684289241031,0.0208459053845299,1.82458431346791
"T5732",0.144276547,0.124342747,0.257556261,0.101384098,0.193102639,0.065251595,0.47190128005691,0.0704913814247875,1.90549824261436
"T5736",0.305611399,0.104204381,0.209180235,0.104015639,0.158025167,0.104912899,0.490347451405477,0.0241977124334454,1.83004720555194
"T5744",0.22932583,0.108630943,0.188457976,0.108547893,0.13407938,0.108123308,0.307051677445851,0.504224885385448,2.61241224177631
"T5746",0.238052131,0.087937446,0.154300041,0.092976133,0.116383846,0.101658356,0.417842006693757,0.207417248186464,2.12866479806218
"T5748",0.296427156,0.12110678,0.193556252,0.108460242,0.143681844,0.098954128,0.455701525170835,0.111268983354728,1.97195900110615
"T5752",0.232249308,0.100620565,0.123122539,0.088677443,0.157718353,0.088932904,0.427139992400151,0.183660262090319,2.0899448331623
"T5754",0.196086696,0.072890837,0.080770662,0.069949668,0.117782001,0.079407461,0.485828055783375,0.0355312708654092,1.84851903454997
"T5756",0.10412934,0.116343418,0.194725987,0.116084981,0.168918149,0.127926732,0.12729127523637,1.1392892023831,3.64746222512872
"T5760",0.138648465,0.085787705,0.199746345,0.088648123,0.160053432,0.091047561,0.342195941500066,0.406477367723929,2.45309992675505
"T8379",0.164139361,0.139533468,0.209716566,0.176204659,0.138292438,0.037605866,0.394912846943617,0.266536966083484,2.22502017717465
