"","baeR","cpxR","spy","pval","z","inv_cof_var"
"T5762",0.053597386,0.246032865,0.052992535,0.383524930883092,0.29623599498689,124.609955088507
"T0066",0.042711408,0.397935843,0.043035303,0.310817035825574,0.493535770281199,187.196717493458
"T0069",0.035287608,0.227764697,0.035050183,0.286448797830781,0.563789210353896,209.482274359407
"T0070",0.060449383,0.092333456,0.05849477,0.484421101914101,0.0390604366903521,43.02960083085
"T0064",0.058196906,0.361593529,0.059803776,0.473248221514412,0.0671070982763118,51.926467248027
"T0246",0.120396689,0.326623797,0.12009195,0.0482029031955396,1.66253372860132,558.022266382788
"T0606",0.06666542,0.408902709,0.066951403,0.172357292799828,0.944890884788208,330.374048890673
"T0592",0.276798691,0.053881874,0.282056447,0.444192778127952,0.140347347932152,75.1594896721612
"T0594",0.273612623,0.041040731,0.264754403,0.484489579965816,0.0388886572512537,42.9751095425306
"T0581",0.237639954,0.290110936,0.235315982,0.360523091077841,0.357060943755859,143.904638071385
"T0115",0.064127754,0.162696732,0.066238328,0.483608041045411,0.0411001160473258,43.6766209661075
"T0122",0.043623863,0.342567643,0.042059136,0.489837495792801,0.0254763760074006,38.7205113897185
"T2257",0.048241147,0.241756293,0.04864642,0.33130313047727,0.436317673243686,169.046187726212
"T2765",0.043142356,0.2561036,0.042778396,0.333728575445923,0.429640528295248,166.928086558545
"T5994",0.075204738,0.237127325,0.074725542,0.27396977586732,0.600850520090646,221.238736744882
"T6000",0.09452783,0.225201848,0.093576956,0.365280286097711,0.344379940884474,139.882013552001
"T6004",0.074301569,0.235105789,0.074285682,5.92618913965805e-96,20.7516223822272,6613.3979215723
"T6006",0.071604488,0.237264279,0.071273078,0.193677988999725,0.864422243500466,304.848060704359
"T6012",0.073688355,0.240787574,0.073379075,0.167677541839034,0.963383539584163,336.240225829926
"T6016",0.087361931,0.230591897,0.083853796,0.495131058925328,0.0122049283667665,34.5105879926184
"T6018",0.081426198,0.236562659,0.084482687,0.490262619067259,0.0244104183835339,38.3823719446068
"T6024",0.07535559,0.241309745,0.074880894,0.271295382141998,0.608899939589776,223.79214616939
"T6005",0.051212326,0.099515962,0.050979808,0.188589492410251,0.883106033067044,310.774868764242
"T6021",0.066681091,0.225162558,0.066484176,0.0791433411388175,1.41085734278092,478.186340879166
"T4796",0.215458807,0.30528288,0.22390633,0.492280580458135,0.0193509229048953,36.7774160294866
"T4802",0.086345681,0.084970218,0.08445952,0.458079357041739,0.10527359573661,64.0335135171554
"T0866",0.069210593,0.407833053,0.070303268,0.425427927898019,0.188026527897026,90.284116670206
"T0868",0.064465195,0.333532805,0.062973383,0.462620301258012,0.0938345289894137,60.4048517430951
"T0869",0.064176584,0.220787759,0.067107624,0.498700820754646,0.00325656518630543,31.672018716737
"T0870",0.062701752,0.22576685,0.061176368,0.466353087552614,0.0844405412571544,57.4249229653917
"T0874",0.045429169,0.180219702,0.046464081,0.459639491704753,0.101341991440263,62.7863433995072
"T1653",0.062839347,0.184566539,0.061376565,0.463069898491053,0.0927026433312243,60.0457988315903
"T1655",0.067975091,0.18171548,0.066257555,0.469062623282422,0.0776263937312274,55.2633623069403
"T8308",0.049243261,0.476391798,0.047157319,0.497435022289762,0.00642948994941436,32.6785230981093
"T8319",0.036897628,0.212870899,0.03651065,0.372112105347211,0.326264545104092,134.13550943213
"T2151",0.062744409,0.222657991,0.065260401,0.493289432169146,0.0168216923671558,35.9751021368493
"T2142",0.065204345,0.060053263,0.065767031,0.336417572592736,0.422260145165111,164.586906571217
"T2087",0.040305231,0.671836745,0.041068432,0.443902235850682,0.141082875502935,75.3928112217993
"T2084",0.046886374,0.521089428,0.044863657,0.498195003321917,0.00452447114546957,32.0742195246176
"T6037",0.763859045,0.844751324,0.798677178,0.498624268323143,0.00344845475424968,31.7328892716021
"T6077",0.041720732,0.511762093,0.04047341,0.479940558700886,0.0503027687748147,46.5958551055861
"T6098",0.039947596,0.612432538,0.038835002,0.475578026212626,0.0612550952260839,50.0701147815768
"T6117",0.06579535,0.424875753,0.067547022,0.47086388347185,0.0730984602262766,53.8270266697758
"T6110",0.06915113,0.385933667,0.070160514,0.416418153959151,0.211065311438778,97.5924010789228
