"","amn","mipA","phnC","phnD","phnE_1","phnF","phnG","phnH","phnI","phnJ","phnK","phnL","phnM","phnN","phnO","phnP","phoA","phoB","phoE","phoH","psiF","ydfH","yegH","yhjC","ytfK","pval","z","inv_cof_var"
"T5541",0.098296399,0.205476079,0.099398992,0.093258134,0.099991855,0.107391946,0.108964964,0.139703478,0.330118831,0.090747263,0.096967684,0.193776798,0.104358166,0.091288896,0.103307807,0.209465626,0.184826878,0.10992227,0.100440338,0.109069376,0.095081616,0.109228189,0.109075041,0.091624446,0.090504496,0.0833005398139244,1.38320805815015,2.24802041811725
"T8252",0.114891621,0.274722237,0.071259335,0.074722062,0.072320452,0.071616677,0.066003652,0.066550155,0.06607336,0.068726178,0.065789357,0.069449465,0.072819433,0.067526335,0.068336226,0.065886373,0.065946732,0.066118226,0.076197259,0.065800426,0.261729308,0.079433302,0.159113936,0.066010726,0.086619035,0.350505455511575,0.383956200250955,1.60403821023656
"T8254",0.100373225,0.205542449,0.087998362,0.101912831,0.09181885,0.087697791,0.071203569,0.073516614,0.058778305,0.122828984,0.067489292,0.083127412,0.09068607,0.081232219,0.044099135,0.068448866,0.069739684,0.058484583,0.098228392,0.068254426,0.225963778,0.045239119,0.113693864,0.07121674,0.052029614,0.128970092785165,1.13127304577779,2.08565728190943
"T0882",0.044880342,0.152796989,0.04887327,0.059683759,0.065393606,0.047963249,0.052808689,0.05495225,0.059225692,0.058507054,0.022719146,0.051750756,0.046622327,0.054803227,0.051413355,0.057676586,0.055206295,0.059537276,0.023926756,0.057229805,0.087493719,0.070173425,0.037262151,0.033153757,0.043703986,0.072570835805217,1.45690838333535,2.29551765093109
"T0883",0.12880358,0.151256508,0.080683107,0.031148277,0.080513083,0.056380641,0.042162654,0.039993835,0.033158109,0.031384208,0.039922044,0.053982742,0.07961294,0.051406736,0.078106772,0.060491176,0.044614393,0.031804326,0.09779842,0.182885697,0.088139578,0.056212816,0.091629182,0.046436833,0.085547265,0.230952983905978,0.735712028601467,1.83073230460863
"T0878",0.089070775,0.089430921,0.079206352,0.018683322,0.02713009,0.079669351,0.080081323,0.096704848,0.081155171,0.081740407,0.080629198,0.079590567,0.079111088,0.079933343,0.05800222,0.061764339,0.081729681,0.081230922,0.079175001,0.062003004,0.090948161,0.085208514,0.078217214,0.080075511,0.116281245,4.36346016685186e-05,3.92350706950349,3.88515259162933
"T0880",0.161904832,0.233470045,0.077878756,0.073557623,0.078516904,0.076366899,0.074821487,0.074557322,0.073895283,0.073452971,0.076499136,0.07579657,0.078262971,0.075217434,0.084290914,0.091147691,0.074922487,0.073861619,0.084737005,0.086918204,0.079155986,0.167999624,0.07691798,0.076483137,0.078501341,0.0575113808151759,1.5760131980293,2.37227645896281
"T0150",0.075854035,0.353398009,0.078927137,0.064604905,0.081570659,0.074973626,0.068262709,0.067971967,0.066102616,0.06497265,0.066909612,0.072563697,0.080810038,0.070776903,0.068273676,0.066727163,0.069823377,0.065130686,0.087732185,0.068431425,0.081891139,0.073129571,0.08343425,0.068265722,0.079841102,0.420169305031809,0.201460375376493,1.48642615547516
"T0344",0.356568499,0.254585841,0.135432936,0.073534487,0.142947829,0.12171359,0.096960083,0.096575753,0.080765865,0.074632575,0.09106584,0.11336152,0.141500308,0.107050777,0.084290914,0.091147691,0.094182759,0.077483431,0.162294902,0.086918204,0.050424073,0.052980617,0.050420103,0.089635074,0.050627485,0.32360726414962,0.457635230199533,1.65152171902937
"T0345",0.321038527,0.267822447,0.149045539,0.0740528,0.156628222,0.132374462,0.103674882,0.103163132,0.08286356,0.075443955,0.096638168,0.122765351,0.155435438,0.115331502,0.084290914,0.091147691,0.100324679,0.078635618,0.176090517,0.086918204,0.044884267,0.048318399,0.044876692,0.094779546,0.045190627,0.273934441448333,0.600956615482589,1.74388724369814
