"","apaG","apaH","fis","flxA","lptD","pdxA","queA","rsmA","surA","tpr","trmA","tufB","pval","z","inv_cof_var"
"T7312",0.089262523,0.067512605,0.081375372,0.050579051,0.197365561,0.169544066,0.059661699,0.060248653,0.060099419,0.051157233,0.073188047,0.09207214,0.469858733363061,0.0756249743160717,1.78733007706038
"T7313",0.081701419,0.092566343,0.078511479,0.069765522,0.105200341,0.177237845,0.100672973,0.108612019,0.091136928,0.068526863,0.08278011,0.088676708,0.00940220369086383,2.3493858814604,3.27588608440482
"T7314",0.080719755,0.086609552,0.080194007,0.068144144,0.144847788,0.166717501,0.097884579,0.109548453,0.114422343,0.066572035,0.079608885,0.080353122,0.0180012554912784,2.09689906892693,3.11059132522807
"T7315",0.072560118,0.126595131,0.076063044,0.086224922,0.082226855,0.169097787,0.11729323,0.087168644,0.098100914,0.083841176,0.077087292,0.090018462,0.00379442100297561,2.66983548164219,3.48567383117404
"T7316",0.08287972,0.114391679,0.082954965,0.072505774,0.138780765,0.167314835,0.122282998,0.078729793,0.119119991,0.071721902,0.075422077,0.085501764,0.0117236815828491,2.26606566367277,3.22133909561136
"T7317",0.090850772,0.072032043,0.084143338,0.077146403,0.19810353,0.175400944,0.095232573,0.092293241,0.078920196,0.075136717,0.089763329,0.094115788,0.137909732065668,1.08975867034018,2.45124984132577
"T7318",0.08454369,0.08456281,0.087890828,0.067804763,0.199433259,0.152998276,0.081656045,0.083118506,0.08789319,0.067327087,0.08579487,0.086219627,0.146207551665446,1.05283831045663,2.42707930372645
"T7319",0.075320156,0.115337177,0.077281798,0.070674854,0.091385338,0.163035397,0.08283586,0.08619685,0.070513898,0.068305725,0.07822248,0.08874,0.00997200244104458,2.32739964052678,3.26149242018189
"T7320",0.083598736,0.0895604,0.084323997,0.059863417,0.121951351,0.1598226,0.08396429,0.102835886,0.107023845,0.060641713,0.081972255,0.088377047,0.00741990046175638,2.43626518288676,3.33276308745547
"T7321",0.073939385,0.106988633,0.074779946,0.066311079,0.073964593,0.165180025,0.117535573,0.113668143,0.084244182,0.064400656,0.076870932,0.080447339,0.0209100848101284,2.03530523639155,3.07026788174383
"T7322",0.07673415,0.104853227,0.078236358,0.055590793,0.11924174,0.167495635,0.119728677,0.11433197,0.102155866,0.055464892,0.079420036,0.084877683,0.0263000599029658,1.93818939749415,3.00668935642712
"T7323",0.080607689,0.098593027,0.080990879,0.081594701,0.125112252,0.162851181,0.100143856,0.082055627,0.090261907,0.080710386,0.081859095,0.091325718,0.000616949928975914,3.2309257563855,3.85300106268171
"T7324",0.087942487,0.070349492,0.086215617,0.062168269,0.156540182,0.157835961,0.079652376,0.092846548,0.095571095,0.062438275,0.080769001,0.088369646,0.0469528535915667,1.67514539995194,2.83448315765439
"T7326",0.086302884,0.07347675,0.087543421,0.072285879,0.168563205,0.162901355,0.06492331,0.088182608,0.084998305,0.073255826,0.087417144,0.083355,0.0800075937518089,1.40502048294314,2.65764131527622
"T7328",0.087076309,0.06505174,0.084346311,0.070411083,0.188525318,0.166456661,0.075701634,0.076073238,0.075953911,0.070709433,0.083359412,0.085918808,0.202358636890553,0.833226014072629,2.28330640216853
"T7330",0.085087768,0.070497284,0.079768785,0.059536664,0.185658419,0.169395222,0.081703776,0.097287395,0.094179813,0.059902145,0.084714475,0.085193749,0.175393209049387,0.933064982016784,2.34866766994008
"T7332",0.079863832,0.087673315,0.07372214,0.074511606,0.191422126,0.1696437,0.087294645,0.106519948,0.112452315,0.07298765,0.070010863,0.079754232,0.116964085627462,1.19030083873294,2.51707147115599
"T7334",0.087053511,0.073400797,0.089720619,0.076545157,0.178643147,0.158100803,0.068083728,0.07467881,0.072877566,0.077881128,0.089608279,0.084107158,0.111094089415383,1.22073022777976,2.53699258499128
"T7336",0.091552175,0.07891379,0.089839133,0.05677894,0.190032691,0.163820946,0.060999113,0.063419605,0.066210877,0.058122248,0.090115788,0.091215004,0.307461174190166,0.503059630310781,2.0671573988025
"T7338",0.078112497,0.094806163,0.071350906,0.076804409,0.177738878,0.16890269,0.084721885,0.08608543,0.085829365,0.073709346,0.065873436,0.080366745,0.107522893833492,1.23980970517958,2.54948328733877
"T7340",0.089097921,0.071548894,0.087648408,0.070101618,0.191866785,0.166998056,0.069893254,0.080021764,0.068073152,0.070640759,0.087349676,0.086984352,0.216326108565892,0.784661234536774,2.25151264843818
"T7342",0.089008397,0.066657532,0.083843979,0.062354169,0.098661387,0.165221049,0.057986025,0.082357448,0.079634343,0.061887312,0.09045722,0.090653666,0.0393296607821937,1.75851852968546,2.88906478614751
"T7344",0.087784629,0.082423536,0.085151862,0.077209769,0.174286031,0.168417489,0.060955302,0.083828783,0.076335136,0.076979423,0.085370974,0.087055283,0.107267606408432,1.24119096199111,2.55038755045545
"T7346",0.085824286,0.073754223,0.079485756,0.067428319,0.184557244,0.165038851,0.091964117,0.093419472,0.08431977,0.066621685,0.081800277,0.087689879,0.116224228276846,1.19407544729993,2.5195425824501
"T7348",0.085198627,0.082588737,0.087657071,0.073612796,0.1594363,0.159740495,0.057568504,0.081686812,0.079610318,0.074609445,0.086423266,0.083376939,0.0609100053667266,1.54717932197525,2.75070800191572
"T7350",0.092422393,0.053609126,0.091073317,0.060081892,0.198834112,0.165076082,0.06196561,0.066774291,0.061904879,0.062324268,0.09143862,0.090092732,0.389104096824971,0.28165482935972,1.92221100383412
"T7352",0.084404935,0.083801275,0.084702832,0.079737474,0.152416063,0.166881547,0.06570384,0.080968544,0.073502678,0.079953146,0.084233499,0.081657989,0.0465115304746066,1.67966218628973,2.83744014816992
"T7354",0.09047526,0.068600386,0.091780237,0.071377324,0.184712289,0.16001014,0.070804484,0.068365566,0.070526301,0.07273113,0.092366788,0.087969837,0.17112552718653,0.949726867145275,2.35957565464673
"T7356",0.083851405,0.066257182,0.076503951,0.050978014,0.215843119,0.17215602,0.074195489,0.073653005,0.076686817,0.051972551,0.065255287,0.084311215,0.485364507888236,0.0366939710953688,1.76184323781795
"T7358",0.09025904,0.069854145,0.083938553,0.061083611,0.197043423,0.160637097,0.092194906,0.088804496,0.085772146,0.060310746,0.078784881,0.089450494,0.196593587182862,0.853851682003585,2.29680934427984
"T7360",0.079726167,0.09817782,0.075800513,0.083286817,0.191268621,0.170295867,0.077463462,0.090945927,0.094221963,0.080670762,0.077112136,0.079333166,0.104079020110402,1.25864650883874,2.56181511922043
"T7362",0.086005322,0.075323097,0.082193909,0.066663879,0.176847086,0.166695951,0.059496381,0.089494908,0.092595192,0.06660626,0.085717717,0.085769143,0.142854933111146,1.06758031694574,2.43673040743342
"T7364",0.081838637,0.093015808,0.081137285,0.086816543,0.155656122,0.166227895,0.06552904,0.076266239,0.079651927,0.086077914,0.079625651,0.081513363,0.0390276681122898,1.76208263821801,2.89139809003637
"T7366",0.08565032,0.06075415,0.079676691,0.055926376,0.165719829,0.165404996,0.059024388,0.08162201,0.081379101,0.055370082,0.085167283,0.085877075,0.218708787375951,0.7765614130265,2.24620996338908
"T7368",0.088529596,0.059420005,0.085750435,0.061178541,0.177422755,0.159433813,0.088859606,0.066145368,0.055424586,0.06291155,0.083531888,0.087715872,0.240832406558445,0.703627448275832,2.19846251068729
"T7370",0.086577987,0.07492936,0.075057445,0.049341125,0.199444727,0.166918425,0.09694653,0.068360743,0.066454053,0.050164487,0.072226533,0.08594916,0.37830420024045,0.309937611286565,1.94072680503791
"T7372",0.08552659,0.066933301,0.072127008,0.061558383,0.181493467,0.166624375,0.091594844,0.085942298,0.082300241,0.060919836,0.072844049,0.08652008,0.184239002123906,0.899327949596093,2.32658115146666
"T7374",0.083216426,0.073641171,0.064458853,0.059064456,0.20560524,0.161012903,0.079237097,0.075985199,0.057837379,0.056678174,0.058372582,0.077650866,0.424895136253101,0.189386030358993,1.86180567510697
"T7378",0.084790385,0.079327157,0.074875211,0.053930782,0.196522723,0.15131732,0.082063391,0.067804812,0.063112161,0.054010971,0.076070835,0.083197361,0.31686732683527,0.476476909669379,2.04975457145246
"T7382",0.083880559,0.065199507,0.075975511,0.06260135,0.089660932,0.15904943,0.143317169,0.077403885,0.06854868,0.063415145,0.076654391,0.085701152,0.0639683415961602,1.52228899952854,2.73441313164754
"T7404",0.089622406,0.071377921,0.077799956,0.057076157,0.235035015,0.187570104,0.092230449,0.097846941,0.102713949,0.057092104,0.068047271,0.088193404,0.42827042682827,0.180779246419396,1.8561710985352
"T7406",0.081635298,0.080688707,0.075684313,0.063641346,0.20432591,0.174201728,0.074718948,0.09132322,0.106514267,0.061796556,0.071677353,0.084154802,0.271090700248845,0.609517615092848,2.13685191781688
"T7408",0.084377304,0.090281392,0.090834726,0.066956068,0.203911829,0.162292198,0.076577072,0.08092984,0.081991289,0.068760003,0.090536385,0.085589875,0.194623997927879,0.860981929205433,2.30147728112087
"T7410",0.079746339,0.068361948,0.078043019,0.072691698,0.185055656,0.177010677,0.052957211,0.085432702,0.100045563,0.069799808,0.080937652,0.080637516,0.247603557910348,0.682050346954805,2.18433669662673
"T7386",0.089340835,0.049392979,0.079678744,0.051517161,0.175205395,0.171944519,0.117185592,0.066713946,0.06524894,0.052421966,0.074388877,0.090225352,0.339752424201316,0.413138902752284,2.00828927473044
"T7388",0.088363293,0.047777893,0.078508326,0.049267565,0.188876287,0.156835454,0.11725968,0.076952786,0.07487178,0.050777013,0.083546829,0.091360145,0.305828628832451,0.507709253989856,2.07020135352863
"T7390",0.088710974,0.0771484,0.077647211,0.04596671,0.193222881,0.154393319,0.18067417,0.050428308,0.07030336,0.046614919,0.070797548,0.087591622,0.459120493283317,0.102649712199267,1.80502227846843
"T7392",0.091004157,0.091045509,0.085138653,0.043689486,0.192935037,0.113055651,0.228823227,0.079167687,0.068724963,0.045598557,0.072786047,0.092031161,0.494086018227958,0.0148246969155413,1.74752614785727
"T7394",0.089742671,0.068314043,0.075604186,0.058847871,0.184590872,0.149723102,0.204758093,0.076930066,0.077587849,0.059728863,0.07699039,0.090041883,0.34105930273654,0.409573819175406,2.00595533251234
"T7396",0.080769992,0.055256263,0.074255556,0.049767415,0.166811731,0.16801076,0.070348256,0.087696011,0.084808746,0.050689963,0.074968797,0.081797724,0.272935431230944,0.603959058277561,2.133212914651
"T7398",0.081968599,0.097711082,0.076805308,0.079249764,0.140948362,0.154876852,0.072873453,0.073600405,0.083562589,0.077447264,0.076490794,0.084542494,0.0082989131049917,2.39549752687389,3.30607385242085
"T7400",0.088736443,0.070148355,0.085305772,0.070003845,0.091830487,0.164497312,0.068610672,0.073498185,0.069503464,0.070618976,0.087474315,0.085181335,0.0198476995664865,2.05690464459551,3.08440829938232
"T7402",0.087982837,0.060340941,0.087986695,0.066729128,0.147393758,0.163248223,0.060369207,0.062384921,0.06347464,0.068196941,0.089640776,0.086207878,0.145942740522426,1.05399439992365,2.42783615723544
"T7412",0.08219813,0.066010504,0.075502965,0.085945346,0.188336835,0.175012785,0.047179174,0.089527231,0.110213065,0.081347899,0.084252638,0.084142667,0.201586582957458,0.835967537187525,2.28510118661096
"T7414",0.088141812,0.084561895,0.091271376,0.060983398,0.194925876,0.165136387,0.069336721,0.066969241,0.065803986,0.063347027,0.090289967,0.087835155,0.274089815546985,0.600490138547991,2.13094192772083
"T7416",0.087262407,0.085647742,0.089663449,0.077359963,0.191129378,0.16584776,0.083608298,0.08367195,0.086649039,0.07870072,0.088203952,0.081864665,0.0958284320524277,1.30569333893658,2.5926151216959
"T7418",0.080280679,0.093540908,0.081711335,0.084810566,0.190978375,0.168835499,0.07367214,0.093915437,0.101230269,0.083888537,0.082519472,0.079574106,0.0853571239320876,1.36991240186845,2.63465721662897
"T7420",0.082577912,0.070810907,0.075635783,0.083479357,0.20121384,0.172367618,0.091089312,0.094192794,0.075239947,0.080725567,0.080855059,0.082623577,0.175966137111588,0.930847849228345,2.34721618648774
"T7422",0.083204263,0.098164369,0.07664108,0.064317711,0.200285456,0.175751333,0.08142408,0.096878049,0.096372841,0.062105151,0.068687236,0.088768566,0.214798283174519,0.789882202174059,2.25493064314299
"T7424",0.086654866,0.087365845,0.085088025,0.072917881,0.197455156,0.166126242,0.088739216,0.07461749,0.090215863,0.072872047,0.082934306,0.086518806,0.142228040227556,1.07036270324173,2.43855194364799
"T7426",0.086876964,0.069986869,0.087935726,0.072534495,0.18296083,0.165210542,0.063822418,0.076987361,0.082048735,0.073906429,0.085774511,0.083471159,0.166149380761762,0.969494021824995,2.37251655654813
"T7428",0.080212273,0.074223462,0.075127697,0.089849504,0.1870082,0.175967091,0.051322275,0.07657354,0.080937213,0.088562313,0.075145206,0.080745299,0.227937136858042,0.745657607580881,2.22597826484007
"T7430",0.085422569,0.08753342,0.077226314,0.077060087,0.199259711,0.171950549,0.08188365,0.082024851,0.093850554,0.075045358,0.074922936,0.087702041,0.158333523435732,1.00133051083654,2.39335885215713
"T7432",0.085210644,0.090928428,0.074809318,0.065661364,0.206772723,0.172514,0.059426925,0.088116821,0.101898484,0.06379261,0.072018376,0.083677217,0.290426938410856,0.552137900443125,2.0992873178305
"T7434",0.087951848,0.064318552,0.092138141,0.068354361,0.186655675,0.165617404,0.066118026,0.078815686,0.077372957,0.070057865,0.08806007,0.084751019,0.207659128063698,0.814570405818231,2.27109319292103
"T7223",0.079331781,0.085231254,0.085252524,0.082922034,0.188316215,0.164295187,0.086328387,0.085799621,0.083903362,0.081544843,0.084299981,0.082609576,0.082760812143593,1.38673814587648,2.64567247432053
"T7224",0.082313763,0.07760084,0.079387939,0.078229783,0.201472032,0.164827652,0.088887443,0.087613602,0.088057622,0.076574589,0.076479051,0.082672593,0.158317731369317,1.00139586429353,2.39340163690231
"T7225",0.089236607,0.080485079,0.088946823,0.067535707,0.168410806,0.163336985,0.081304882,0.076785748,0.082882587,0.066934433,0.089393138,0.089491816,0.0691711188299911,1.4819926989031,2.70803247738381
"T7226",0.087552452,0.084016235,0.090137289,0.060082897,0.19674359,0.163975677,0.062408318,0.063855166,0.067708153,0.061832229,0.087543303,0.087770245,0.312593353237232,0.488512736494672,2.05763402890458
"T7227",0.08027537,0.081141004,0.08069385,0.079972615,0.15637515,0.175891338,0.09429621,0.094924143,0.092135036,0.079304935,0.081510537,0.080911753,0.0308390365234953,1.86860296437151,2.96113342188321
"T7228",0.087019307,0.082103548,0.081045039,0.052311555,0.193160301,0.166308223,0.076291956,0.084107205,0.082452464,0.053141894,0.07784796,0.086839774,0.267628231630304,0.620002010544773,2.14371570449925
"T7229",0.080861659,0.081731725,0.084275384,0.080309392,0.136535837,0.170488002,0.083763183,0.08288572,0.082496437,0.08035156,0.08448361,0.081154384,0.0141472926890757,2.19317760544621,3.17362169639145
"T7230",0.087373629,0.078239385,0.083821498,0.054019785,0.188822551,0.167241795,0.070413422,0.073316714,0.078040233,0.054414809,0.078816667,0.08738377,0.286637146480984,0.563235851620209,2.10655277913822
"T7231",0.07832441,0.067833542,0.072225813,0.09313109,0.154398789,0.174387523,0.114037189,0.117167314,0.098080039,0.090265014,0.070228828,0.07788622,0.0275224233779497,1.9185220672749,2.99381380629592
"T7232",0.084507559,0.076234762,0.083960336,0.06151727,0.188144025,0.164241967,0.082921834,0.081042123,0.093353209,0.062020429,0.078195916,0.08458162,0.17904548911429,0.919008783026364,2.33946554170317
"T7233",0.08075692,0.068591638,0.079428418,0.069034347,0.178135504,0.174634345,0.114431529,0.11480493,0.101259108,0.067369398,0.076672421,0.080102275,0.113140943020161,1.20999219968772,2.52996275341435
"T7234",0.084795943,0.064529437,0.077148934,0.05277791,0.20603737,0.17169902,0.094571336,0.108857498,0.10903194,0.052299417,0.068793116,0.085307232,0.317184698768403,0.475585935093155,2.04917127988751
"T7436",0.088221653,0.0608782,0.087509559,0.070852509,0.150041357,0.160168819,0.051771644,0.068485571,0.069164083,0.070842322,0.093114285,0.087543797,0.121721552928176,1.16642388583798,2.5014400203921
"T7438",0.089895516,0.060046749,0.090915725,0.076540916,0.145808787,0.152536386,0.05915878,0.055700173,0.070317738,0.077419087,0.080417745,0.083987077,0.0849507045354519,1.37252066888175,2.63636476271229
"T7440",0.088080125,0.078183816,0.088766931,0.082158218,0.083182717,0.145213407,0.066430175,0.076863677,0.078283795,0.08254024,0.085821419,0.083917867,6.20756455564748e-05,3.83778067731235,4.25028889329479
"T7235",0.083875231,0.068386376,0.079337184,0.078400833,0.172467994,0.177240523,0.105559184,0.101366985,0.08746524,0.075569209,0.077353695,0.083842414,0.0807558339095162,1.40000551219802,2.65435817991847
"T7236",0.087544166,0.059784366,0.078945465,0.056372088,0.191013382,0.166434291,0.093384194,0.095904655,0.101557684,0.056529756,0.070730393,0.088454852,0.233504620186338,0.727353813284323,2.21399537654617
"T7237",0.082132783,0.07329147,0.073848956,0.079513625,0.203504084,0.179065661,0.094630134,0.086967087,0.09677159,0.077315387,0.070078215,0.080028167,0.211770568342034,0.800292863839621,2.26174615875592
"T7238",0.086083911,0.08168627,0.083765497,0.060118808,0.206730195,0.156915846,0.067854786,0.068575826,0.077570976,0.059828923,0.076645382,0.086812562,0.325547360777765,0.45224190656313,2.03388871706624
"T7239",0.088990831,0.077684998,0.078416699,0.047058186,0.196500886,0.170897446,0.063638686,0.051830436,0.070523336,0.047940396,0.071902116,0.087080704,0.468783408707951,0.0783284119537122,1.78909992820143
"T7442",0.082724066,0.086912582,0.082376382,0.082672401,0.082022706,0.145111715,0.059159193,0.081339809,0.089250952,0.08180584,0.0811377,0.082903785,9.9724902670197e-05,3.71971234217652,4.17299346219147
"T7444",0.08175256,0.088618512,0.084235587,0.082731953,0.080531423,0.154485211,0.063774088,0.082004073,0.093845603,0.081288807,0.081911699,0.085126954,0.00059450134940443,3.24150518807832,3.85992706644541
"T7446",0.074552866,0.086552313,0.076418754,0.077061725,0.083190948,0.156039846,0.074177382,0.081724736,0.085000367,0.075757176,0.082113871,0.083237308,0.00103061360323319,3.08126556406363,3.75502348832855
"T7241",0.081670704,0.061594261,0.073838673,0.061400391,0.156531989,0.173643055,0.075829424,0.10139498,0.082403552,0.05926554,0.072712765,0.084523271,0.158113544570014,1.00224125086347,2.39395508350844
"T7242",0.084305905,0.078630412,0.084787656,0.06813531,0.171239156,0.155557813,0.073504398,0.076508455,0.0740147,0.069038277,0.083731375,0.084254104,0.0936664852273563,1.31851002770298,2.60100578361534
"T7243",0.080038766,0.086158405,0.07783657,0.075691061,0.210440262,0.176208297,0.097314601,0.096581677,0.0972642,0.073618355,0.075115946,0.081531293,0.194815398036193,0.860287110836414,2.30102240653227
"T7244",0.085452706,0.061433943,0.082404527,0.063266188,0.204213599,0.16334359,0.070043809,0.079104746,0.078645266,0.064057566,0.076760276,0.085077627,0.327790241191673,0.446023207163201,2.02981754040006
"T7245",0.089092268,0.080278432,0.080690363,0.055391788,0.210573475,0.171819346,0.068782225,0.064396647,0.063208954,0.055370525,0.068536122,0.08956125,0.4529533960722,0.118203026281329,1.81520451840325
"T7246",0.087408669,0.072357952,0.072648467,0.060318718,0.218119673,0.162210116,0.063384986,0.062022804,0.063152243,0.06029265,0.061537142,0.08718008,0.489735701536501,0.0257316200199022,1.75466654940857
"T7247",0.084712989,0.069775895,0.079505665,0.071718951,0.19118552,0.172423265,0.091894283,0.092577931,0.074628216,0.070399659,0.080124974,0.085947683,0.177251189749735,0.925891479948312,2.34397141556955
"T7248",0.089794606,0.066447338,0.075784767,0.058079471,0.205093768,0.16520537,0.06256268,0.063182957,0.074298001,0.058199054,0.064218597,0.089541389,0.429236336572738,0.178318726159847,1.85456027736134
"T7249",0.082421693,0.076342163,0.080920574,0.067835568,0.186333127,0.177758894,0.090511788,0.095984001,0.079611513,0.066900824,0.080090049,0.08385456,0.173835852382672,0.939114997893056,2.35262841508653
"T7250",0.090388856,0.066943068,0.079145804,0.053620367,0.197773775,0.167620672,0.061966591,0.081911514,0.088455254,0.053217506,0.067627344,0.090740016,0.360223448902282,0.357861588112642,1.97210104644391
"T7251",0.088933653,0.070353569,0.080332356,0.071413959,0.202649613,0.172577119,0.079730772,0.084815396,0.081504549,0.070312341,0.077920396,0.090996908,0.232816879223855,0.729601576258479,2.21546691256728
"T7253",0.101161477,0.085064212,0.090595888,0.067007013,0.199204805,0.171786341,0.078927107,0.066003706,0.063367777,0.067440574,0.088863184,0.101684922,0.243240871242058,0.695915511619342,2.19341376101347
