"","argO","argP","lrp","lysP","pval","z","inv_cof_var"
"T6155",0.05780674,0.094910569,0.191754995,0.057549109,0.157297773747825,1.0056259263578,316.611366945092
"T6171",0.057508024,0.092423356,0.070772735,0.061488725,0.493259501948594,0.0168967269671716,21.1378368174483
"T6125",0.050764079,0.119698296,0.088145821,0.050251493,0.339999634989743,0.412464125620553,139.349876833621
"T6131",0.059689448,0.119698296,0.074800943,0.06508535,0.499649249450222,0.000879201358684606,16.3511319862706
"T6137",0.045477515,0.119698296,0.048932644,0.047750665,0.482768310009049,0.0432068809371175,29.0004083653433
"T6144",0.04466279,0.119698296,0.05649448,0.04099396,0.499438591217832,0.00140724359147621,16.5089330329835
"T6146",0.049380179,0.119698296,0.051747591,0.047098937,0.48156163266107,0.0462345997706457,29.905217055658
"T6150",0.044250822,0.119698296,0.043610744,0.044825595,0.377192167608596,0.312863544730507,109.58506837395
"T6152",0.056810114,0.119698296,0.055655638,0.05840481,0.453383928837626,0.117116344696838,51.0876393082398
"T6156",0.049015199,0.119698296,0.047885002,0.047753428,0.449220402586515,0.127631242767836,54.229929486263
"T6157",0.051684762,0.119698296,0.062148577,0.047463355,0.499306600577523,0.00173809547311633,16.6078053768749
"T6163",0.049213687,0.119698296,0.061362077,0.04814041,0.436128580190335,0.160792083724898,64.1397720858577
"T6168",0.0471642,0.119698296,0.053217505,0.044395695,0.490259725634556,0.0244176733055678,23.3854093235259
"T6170",0.047987951,0.119698296,0.042885973,0.044479879,0.496595958781953,0.00853276950657083,18.6383374214112
"T6172",0.060585913,0.119698296,0.067946615,0.061761183,0.423681454106002,0.192484244517121,73.6107117854464
"T3654",0.068330694,0.06560579,0.415453198,0.073386358,0.495017033723046,0.0124907689539352,19.8211527662769
"T5294",0.106255004,0.225986227,0.248366126,0.110181516,0.469474402532579,0.0765911430672003,38.9770185315665
"T5302",0.100840667,0.210654657,0.239007404,0.104779432,0.472221160955806,0.0696875869859065,36.9139479890648
"T5310",0.093471196,0.212883078,0.240294298,0.090101711,0.470077583690429,0.0750748383771156,38.5238834367351
"T5318",0.088105595,0.208838865,0.2374071,0.087104923,0.359250993166359,0.36046157546143,123.80934553281
"T5553",0.089619863,0.094618383,0.092742903,0.093331454,0.474964246560956,0.0627965751510379,34.8546261906847
"T5549",0.090848131,0.110006146,0.108271023,0.088740927,0.441241257646103,0.147822926613986,60.2640469260234
"T1711",0.077175687,0.022011304,0.079259615,0.074612706,0.46561553556098,0.0862960591652562,41.877252307258
"T5778",0.076711383,0.217319715,0.072237191,0.074706782,0.450304257136534,0.124892679036939,53.4115324028691
"T5786",0.061399011,0.269126826,0.070211565,0.063738071,0.47100213894387,0.0727509824304948,37.8294183390325
"T5788",0.096055519,0.150407031,0.091476445,0.090931656,0.487031342411915,0.0325133312837166,25.8047296419548
"T5790",0.061671626,0.272371596,0.062514487,0.060967555,0.360053657038495,0.358315374047223,123.167971020344
"T5792",0.142451279,0.277093744,0.105519687,0.144275332,0.375202489247195,0.318105412033689,111.151556991346
"T5804",0.109239607,0.220374444,0.116967509,0.116577872,0.492429721979378,0.0189770118941136,21.7595127337798
"T5806",0.065989559,0.189650598,0.070631099,0.065667124,0.180801703659438,0.912314074600879,288.725893087986
"T5808",0.103934668,0.226296298,0.103991316,0.105321332,0.380856612348694,0.30323178893452,106.706697948437
"T5816",0.089714743,0.294877718,0.0862184,0.097266988,0.498106411865602,0.00474653938109558,17.506853915372
"T5818",0.099337586,0.279259106,0.100926746,0.091250389,0.499231418166591,0.00192655014675273,16.6641234948416
"T5820",0.062299224,0.309350889,0.061326881,0.067272813,0.496885339279191,0.00780737594452548,18.4215595649046
"T5791",0.099001593,0.24434813,0.099307767,0.096606375,0.444567452236458,0.139398946918701,57.746610382404
"T5805",0.084559141,0.085170749,0.082526498,0.089796687,0.490054344447009,0.0249326443527014,23.5393041546929
"T5807",0.104355561,0.143331143,0.10786883,0.10300497,0.378490391851658,0.309447971659272,108.564352657869
