"","alsR","rpiB","pval","z","inv_cof_var"
"T7462",0.059771464,0.059807645,1.0771464559971e-12,7.02411372409914,2337.00557923092
"T7464",0.056306525,0.057461278,0.477104436282689,0.057422208246076,69.6651015256039
"T7271",0.06848542,0.0688009,0.215101938442345,0.788842823682612,307.709166464272
"T7273",0.055052873,0.0559378,0.453877007538861,0.115871964514312,88.6878324729143
"T7275",0.060439355,0.059926214,0.362042837114391,0.353003689937546,165.86339828873
"T7276",0.048392334,0.049236657,0.462318820033286,0.0945935917351474,81.7626922119856
"T7466",0.065808869,0.066100447,0.20432223550868,0.826281419525892,319.893722589767
"T7468",0.078379352,0.078934772,0.323208995524298,0.458744030786753,200.277058544563
"T7470",0.065378892,0.065705066,0.236832142294317,0.716529782169482,284.174568195408
"T7277",0.087096003,0.086470819,0.327597570301176,0.446556734022211,196.310649065232
"T7278",0.070602719,0.069301505,0.469323886445896,0.0769695446864879,76.0268683760259
"T7279",0.082121125,0.081029192,0.433293239346821,0.167995932886875,105.651807852162
"T7280",0.070402933,0.069822936,0.35619243191778,0.368655041105393,170.957199550475
"T7282",0.061285326,0.061016597,0.202653950598174,0.832179025289645,321.813124394666
"T7472",0.062750664,0.063242653,0.34466402184279,0.399767128935528,181.0827657425
"T7474",0.058983991,0.058291276,0.416366798383417,0.211196942132106,119.711766832194
"T7476",0.075804105,0.076583503,0.394284994635726,0.268168021002954,138.253255699395
"T7284",0.071568094,0.070857096,0.390279063697066,0.27859177253836,141.645711606477
"T7286",0.059409991,0.059003879,0.316725711965158,0.476874594423061,206.177730437767
"T7288",0.073763093,0.072992301,0.398575824345874,0.257035136952,134.630009487777
"T7478",0.073403479,0.073895594,0.310762900718134,0.493689047481757,211.650068339295
"T7480",0.072356489,0.072269254,0.000285089671484409,3.44541685723825,1172.30290146677
"T7482",0.078646223,0.078675226,1.47367697859956e-31,11.6286460178789,3835.57092073216
"T7484",0.06633298,0.067911861,0.488791305744553,0.0280997274036754,60.1219708200996
"T7486",0.07831267,0.077819688,0.297544663698954,0.531475481552953,223.947829950069
"T7488",0.073434657,0.07479865,0.468323426071763,0.0794850125538082,76.8455384869334
"T7492",0.062541136,0.062604228,1.64107544930834e-05,4.15295096416552,1402.57299686898
"T7494",0.057452436,0.058961401,0.495617630216612,0.0109851929436416,54.5519701031142
"T7291",0.073428569,0.071713694,0.489127554244912,0.0272565544735287,59.8475564714985
"T7292",0.072689637,0.073172619,0.308705525107784,0.499522911402798,213.548725080375
"T7293",0.082658933,0.082697203,1.34042039772475e-20,9.23101312086394,3055.25072057555
"T7294",0.065139499,0.065035104,0.00534657952877084,2.55256944396031,881.721773260792
"T7297",0.070864803,0.071364354,0.322055574418578,0.461958405650849,201.323191019828
"T7299",0.077061854,0.078379341,0.460288747596989,0.0997063045333241,83.4266471397744
"T7300",0.065475434,0.066279269,0.420941514040896,0.19948544458676,115.900208307077
"T5571",0.089901917,0.089190223,0.348229885020818,0.390103831068585,177.937802835503
"T5778",0.10754002,0.107183846,0.124415927983077,1.15319134311655,426.287998930835
"T5784",0.10754002,0.104787954,0.49561409916715,0.010994044506554,54.5548508833004
"T5786",0.10754002,0.107292429,0.0419423329738062,1.7285779103056,613.550094740155
"T5790",0.10754002,0.105550402,0.469684321528673,0.0760634191857701,75.7319658357047
