"","ykgM","znuA","znuB","znuC","zur","pval","z","inv_cof_var"
"T0775",0.065558503,0.068916554,0.069463154,0.061267957,0.11604425,0.435422518476774,0.162585204658841,17.5692230655005
"T0782",0.062019804,0.071509914,0.065637206,0.058204799,0.11044352,0.492365686383724,0.0191375544792215,11.3675608928994
"T0786",0.049488998,0.049744426,0.052833352,0.044559669,0.109949026,0.464707719975741,0.0885803313319263,14.3697755811745
"T0794",0.041664507,0.038323835,0.044805082,0.036977588,0.109100232,0.491024900704664,0.0224991357359248,11.5128918989752
"T0845",0.063417343,0.062085287,0.067732144,0.059010143,0.06048428,0.436769273136004,0.159165421369994,17.4213758150619
"T0758",0.062431342,0.05790147,0.067026185,0.056405207,0.125263091,0.480066004941415,0.0499879260840356,12.7013128390114
"T0765",0.055437559,0.062021889,0.060452251,0.050886448,0.12119935,0.492938940296062,0.0177003761237342,11.3054274621227
"T0809",0.062708424,0.056029458,0.06598149,0.058018843,0.10477078,0.473025867348813,0.0676657244239051,13.4655758514899
"T0811",0.051148335,0.046855168,0.054061609,0.047224787,0.099757216,0.463250761209542,0.0922473451097095,14.5283113299554
"T0806",0.054321857,0.055473778,0.059501786,0.048583003,0.131944253,0.485802031204663,0.0355965460769736,12.0791313192056
"T0813",0.066108598,0.058860375,0.068456162,0.05738275,0.090459238,0.490291206658747,0.0243387386283622,11.5924233214583
"T0804",0.048136379,0.046520113,0.052138579,0.044983686,0.109731053,0.453630863508094,0.116493134390389,15.5765278328996
"T0815",0.077895802,0.07851952,0.075885158,0.064196872,0.114380559,0.495371680580774,0.0116017365811896,11.0417654076522
"T0805",0.061425204,0.058811812,0.06471677,0.058088497,0.115491001,0.411220421445496,0.224406719137495,20.2419482535054
"T0034",0.058054176,0.055195429,0.053341289,0.064297151,0.150979753,0.486134271711186,0.0347632270968362,12.0431044983385
"T0039",0.044249536,0.052183478,0.051014211,0.047112316,0.133836844,0.474057919629338,0.0650730483253305,13.353486868044
"T0017",0.04541469,0.053059075,0.04453491,0.047611324,0.141344561,0.482390020802789,0.0441560164692583,12.4491823007509
"T0054",0.06988181,0.081146839,0.071262118,0.066509107,0.163510254,0.491338992889677,0.0217116309809978,11.4788457612849
"T1864",0.088573099,0.088872464,0.089420043,0.088586288,0.163510254,3.83294262424936e-07,4.94368673257358,224.270249202261
"T1868",0.08349497,0.082576213,0.081908249,0.083432771,0.163510254,0.0110371978290715,2.28908531884066,109.504052960867
"T1866",0.095217527,0.09501007,0.095276617,0.095054741,0.163510254,3.70263529291882e-65,17.0060606587567,745.762012895218
"T1870",0.095599029,0.095634053,0.096555992,0.096070072,0.163510254,1.27491274894248e-06,4.70410456387459,213.912410150943
"T0025",0.044294345,0.048438498,0.044924015,0.05280475,0.153000624,0.484910649675996,0.0378324151005699,12.1757944874706
"T0031",0.041695311,0.051712305,0.047442332,0.050823872,0.155057354,0.499829731026179,0.000426801037030742,10.5586402051223
"T0062",0.039313101,0.03806927,0.04641188,0.043621923,0.163510254,0.497184747046487,0.0070568512239403,10.8452766986105
"T0008",0.047418687,0.045868502,0.048516533,0.05112337,0.151726933,0.397283694141512,0.260384253185362,21.7973624529624
"T0009",0.06668228,0.065452591,0.066461722,0.068555023,0.172968686,0.171044454734719,0.950045941398942,51.6134577206845
"T2674",0.059607223,0.062257718,0.065390869,0.054701955,0.135652325,0.473923047247839,0.0654118435390269,13.3681339776928
"T2675",0.069072381,0.072635772,0.074357598,0.064558141,0.135446378,0.44798767534848,0.130747126565835,16.1927696742426
"T1863",0.072082743,0.072828456,0.073847673,0.072736233,0.163510254,0.0193295104095579,2.06779801094107,99.9371543399471
"T1867",0.083211855,0.083063227,0.083118799,0.08312332,0.163510254,5.90818383528704e-212,31.048870048728,1352.87380372472
"T0013",0.0350049,0.041493562,0.039613771,0.041283581,0.13555898,0.476870610087951,0.058009300625833,13.0481003604929
"T1865",0.077678892,0.077821386,0.076858755,0.07554216,0.163510254,0.0722262841004397,1.45940900787667,73.6347153539716
"T1869",0.070155115,0.070221125,0.068865308,0.066880492,0.163510254,0.218419809983198,0.777541059063859,44.1555662736868
"T0172",0.06049569,0.050018537,0.059787283,0.057822311,0.120525424,0.48784803419835,0.0304651730051731,11.857287028044
"T0486",0.058052975,0.058082108,0.055169581,0.059210057,0.163510254,0.298522678972905,0.528654194602024,33.3954579647843
"T0491",0.061295441,0.061989593,0.072529048,0.062489883,0.163510254,0.485352907164216,0.0367230693968066,12.1278342226719
"T0492",0.060964687,0.061567729,0.072592963,0.06203239,0.163510254,0.490427853322527,0.0239961161934226,11.5776107498226
"T0493",0.067656147,0.069462138,0.080584387,0.06913044,0.163510254,0.486412211752259,0.0340661220242431,12.0129666037573
"T0499",0.073558318,0.060323602,0.074756069,0.07039076,0.163510254,0.49903438033051,0.00242045192948651,10.6448315739571
"T0697",0.03121144,0.03181438,0.036595412,0.034259877,0.163510254,0.472008215650691,0.0702226693862095,13.5761200732341
"T0698",0.043152313,0.04493105,0.053045211,0.049549702,0.163510254,0.499176915870714,0.00206316741456742,10.6293851176488
"T0707",0.05465315,0.055008211,0.057971179,0.056542226,0.163510254,0.272028016392922,0.606690944649407,36.7692152918342
"T0709",0.07483601,0.075020357,0.080885948,0.07846629,0.163510254,0.35582331416707,0.369645521660333,26.5210471894024
"T0711",0.092106769,0.093553621,0.092933659,0.096607679,0.163510254,0.194504815316954,0.861414794554265,47.7816735819229
"T1075",0.077643223,0.075617526,0.088409609,0.085124809,0.163510254,0.472895515033887,0.0679932217386836,13.4797345198692
"T1077",0.081373546,0.076974356,0.09106327,0.087957209,0.163510254,0.474901646548729,0.0629538005836967,13.261865579461
"T1079",0.077656385,0.077390947,0.087949341,0.084728348,0.163510254,0.453570447247596,0.116645607923187,15.5831197104207
"T1703",0.052749809,0.05355127,0.053501595,0.054260181,0.163510254,0.0390156946522959,1.76222441070758,86.7263123697885
"T1704",0.053106358,0.056659207,0.052323794,0.056943814,0.163510254,0.386841684516542,0.287560259160158,22.9722608081829
"T1919",0.048899069,0.046833428,0.049308911,0.053933966,0.152249154,0.444239729441693,0.140228494618881,16.6026769925253
"T2326",0.05527844,0.055664256,0.058086101,0.05704275,0.163510254,0.220990542569657,0.768852151626467,43.7799193494728
"T2327",0.051311252,0.051352433,0.052881699,0.052103949,0.163510254,0.0846079305983401,1.37472776123216,69.9736969727967
"T2328",0.055987728,0.056473197,0.058554554,0.057563295,0.163510254,0.181999525646177,0.907771325146863,49.7858022091201
"T2329",0.073142756,0.076390255,0.083780233,0.081363715,0.163510254,0.446187072562249,0.135300682954654,16.3896332573824
"T2330",0.072530664,0.076252075,0.088286467,0.08336328,0.163510254,0.492640658059867,0.0184481809645139,11.3377572562166
"T2331",0.06998108,0.072033442,0.076078914,0.074813814,0.163510254,0.35452002798307,0.373145634541291,26.6723673234477
"T2332",0.032020807,0.033375977,0.037972444,0.03611456,0.163510254,0.477143019211905,0.0573253358760869,13.0185305605653
"T2333",0.027223629,0.027254829,0.029596969,0.028440446,0.163510254,0.370094785609835,0.33160231509098,24.8763279150874
"T2334",0.028009567,0.027983265,0.030269316,0.029008455,0.163510254,0.354222667581555,0.373944866695479,26.7069204709656
"T2335",0.061650092,0.061574647,0.062972726,0.061706579,0.163510254,0.028293216389423,1.90649176745833,92.9634128589353
"T2336",0.056702087,0.056094366,0.056951205,0.056713757,0.163510254,0.000424758889837239,3.33613539995125,154.771095486218
"T2337",0.041715429,0.0403051,0.040225622,0.041350847,0.163510254,0.153496941214456,1.02155010634717,54.7047922555312
"T2525",0.056737535,0.056673606,0.062793282,0.053301615,0.065092944,0.463333258934854,0.0920396742400251,14.5193331098502
"T2526",0.054688107,0.053295924,0.059226825,0.051645386,0.035536724,0.442373510444575,0.144954215181705,16.8069837372928
