"","folE","metA","metC","metF","metJ","yeiB","pval","z","inv_cof_var"
"T1961",0.188437496,0.141134921,0.10930058,0.085824327,0.052171453,0.058139578,0.362544800181391,0.351664882039816,2.31057335739908
"T1962",0.180394064,0.091760181,0.138569269,0.087047016,0.141356633,0.05863899,0.361792817962704,0.353670763060099,2.31275917507988
"T0347",0.108528832,0.074480942,0.07764823,0.046574383,0.181782857,0.03634304,0.327004929844828,0.448198618474931,2.41576660952134
"T0348",0.10923943,0.076544137,0.077192427,0.044974422,0.182472419,0.036492722,0.342012441129057,0.406976998177298,2.37084722219635
"T0349",0.108459407,0.075651633,0.078376099,0.047432194,0.176499687,0.03722154,0.309627007850843,0.496907878164273,2.46884531158354
"T0727",0.333574202,0.06963766,0.202302785,0.211580735,0.295164406,0.19818821,0.410874946602838,0.22529486619106,2.17286737575184
"T0829",0.294432543,0.072365184,0.199805453,0.235141694,0.275470574,0.172286181,0.343052701434404,0.404145942025124,2.36776220741721
"T0828",0.327744889,0.078190543,0.223822714,0.222713323,0.301179492,0.115641982,0.489126477896684,0.0272592534809153,1.95706706690326
"T5127",0.178496052,0.171760738,0.055565819,0.065155109,0.242358667,0.129527275,0.444735776292175,0.138972914294147,2.07880195173626
"T5129",0.165935008,0.14119823,0.057173889,0.073620924,0.267247498,0.128112276,0.313507634811059,0.485932154602234,2.45688501564428
"T5131",0.195774564,0.146068358,0.067392373,0.070271469,0.262912,0.173303479,0.397241144564033,0.26049458836325,2.21122467327116
"T5133",0.160431316,0.14310657,0.07332379,0.124120293,0.255702044,0.1409219,0.0389374508993084,1.76315173382747,3.84867700644989
"T5137",0.198215969,0.169665699,0.088916983,0.092302616,0.261112951,0.18956923,0.217489775073992,0.780698997904395,2.77809378689712
"T0321",0.135090674,0.101914555,0.095774921,0.061446078,0.184804135,0.055405868,0.220106776614051,0.771832646590759,2.76843208350116
"T0039",0.070150082,0.050681376,0.067748903,0.038460924,0.257295647,0.03568153,0.107462826409359,1.24013449283501,3.2787427375843
"T0040",0.068293527,0.054819465,0.067012704,0.055832784,0.246497716,0.042779912,0.000445593656244158,3.32280016940513,5.54823300795298
"T0042",0.093136907,0.066991979,0.08606049,0.035179705,0.213213147,0.033003181,0.384359387381326,0.294051206719728,2.24779147308126
"T0043",0.069897983,0.05491849,0.067575087,0.05796702,0.115828335,0.029944769,0.0711591070277447,1.46721266002367,3.52619085028213
"T0044",0.087729427,0.058798432,0.072535319,0.03089936,0.040847543,0.029727328,0.404563886134769,0.24155141530389,2.19058221133798
"T0019",0.049696418,0.057746467,0.07176782,0.04941861,0.044201112,0.0279242,0.116999848829777,1.19011881123871,3.22424042162181
"T0020",0.072089305,0.064450697,0.080826366,0.070876279,0.290808267,0.04982403,0.000151412510146405,3.61287130670675,5.86432484699696
"T0021",0.05571042,0.073793004,0.083843877,0.056647716,0.064816529,0.049253295,0.010741323075214,2.29939276964226,4.4330213047428
"T0022",0.084814829,0.062205969,0.075316383,0.037261734,0.065535201,0.02474894,0.385204981561103,0.291838688432183,2.24538048182947
"T0018",0.059434411,0.049346466,0.065508712,0.061771439,0.201568022,0.045687741,6.7480529728637e-06,4.35190286002007,6.66965089553595
"T1864",0.19338044,0.092288958,0.091541544,0.135955371,0.43820095,0.092092431,0.236757063537842,0.716773076225498,2.70843341898174
"T1868",0.190215532,0.081480443,0.081386156,0.152112037,0.382573702,0.092092431,0.32424434935455,0.4558627202772,2.42411821615079
"T1866",0.203467195,0.095879263,0.096110276,0.135385103,0.094981358,0.092092431,0.261852378133397,0.637645060420602,2.62220725988042
"T1870",0.18884125,0.097457903,0.097970566,0.127889659,0.115161568,0.092092431,0.16658791454288,0.967736810599866,2.98190974299549
"T0029",0.036234357,0.069920694,0.081312097,0.056764699,0.448248827,0.034928425,0.229919076266214,0.739113380433881,2.73277775019552
"T0032",0.120250433,0.058014892,0.076375764,0.066458911,0.091393594,0.061700442,0.158648693977648,1.00002711089429,3.01709663024768
"T0003",0.12730991,0.04537086,0.053191514,0.079412733,0.314966357,0.07379327,0.343667018447947,0.402475606957529,2.36594203568883
"T0004",0.104784893,0.061771447,0.072542615,0.048393192,0.052640463,0.027711504,0.402732376081073,0.246280954399359,2.19573601162444
"T2826",0.042297416,0.081857394,0.082363894,0.059796794,0.263152767,0.044002539,0.125626173836061,1.147312843686,3.17759456387925
"T2423",0.090725356,0.080077667,0.082987121,0.038547961,0.234537018,0.054721361,0.127526031347736,1.13816386886608,3.16762488436168
"T0009",0.065469312,0.074857464,0.085018328,0.073479922,0.260715497,0.065811235,2.21566106216742e-11,6.58888822915374,9.10730403752599
"T2675",0.156043514,0.08167016,0.080600616,0.061224715,0.325010915,0.057091634,0.406886106927076,0.235562450277564,2.18405600888037
"T2676",0.041714009,0.061196857,0.059990326,0.057678418,0.066611015,0.048372192,2.1238077957111e-05,4.09358101954674,6.38815640980388
"T1863",0.199770488,0.078836528,0.080466556,0.130159406,0.130900989,0.092092431,0.374319303693097,0.320434986239037,2.27654199775175
"T1867",0.194906251,0.084927822,0.089332268,0.138347153,0.141670814,0.092092431,0.286125348916589,0.564739889847788,2.54276216356181
"T0012",0.085576276,0.059587374,0.073567652,0.046529932,0.059678304,0.030076468,0.23845282890223,0.711288207239273,2.70245653227423
"T1865",0.164320837,0.074794662,0.074925081,0.143561691,0.33975602,0.092092431,0.252654241503223,0.666160553991673,2.65328072305905
"T1869",0.147280779,0.065443629,0.065502022,0.148142617,0.351131077,0.092092431,0.302532020051057,0.517131966508456,2.49088359273473
"T2817",0.055405491,0.069851097,0.067913474,0.075999352,0.332765354,0.050705918,7.15180314745954e-05,3.80285849786381,6.07135475423377
"T2825",0.104443785,0.073923942,0.070239148,0.060441145,0.20148245,0.042620979,0.138347674291947,1.08777296194789,3.11271368365748
"T0491",0.119588324,0.076723201,0.084648157,0.053522261,0.052392849,0.092092431,0.0678107133034646,1.49229652776734,3.55352485517206
"T0492",0.125461927,0.076846848,0.08470076,0.056326707,0.051999832,0.092092431,0.0817004279376103,1.39372436427757,3.44611031980715
"T0493",0.117123191,0.084572291,0.09165041,0.048992854,0.051644637,0.092092431,0.0690636397088926,1.48280104099257,3.54317757999959
"T0497",0.096145209,0.093954937,0.10163369,0.050279188,0.196313109,0.092092431,0.0190797838592511,2.07313661023249,4.18646893766433
"T0498",0.044335743,0.079642254,0.090624081,0.046417402,0.057982642,0.092092431,0.162868652980221,0.982736166194914,2.99825460908116
"T0499",0.090653264,0.090770484,0.094488291,0.051143094,0.124000355,0.092092431,0.00762269820185471,2.4264965231066,4.57152684361053
"T0711",0.216929665,0.101473299,0.10421366,0.115679267,0.204614541,0.092092431,0.316052026592964,0.478767481157601,2.44907763837011
"T1077",0.192869663,0.094948533,0.093899656,0.122920387,0.320908993,0.092092431,0.218599465234105,0.776931932196949,2.77398879824384
"T2647",0.06323667,0.051324683,0.08252505,0.062261816,0.396385336,0.049944316,0.0049623738438331,2.57844019800193,4.73710055796054
"T2648",0.086625529,0.062657709,0.095111245,0.072395568,0.314899175,0.049320988,0.0287606614975589,1.89932830904495,3.99706924049159
"T2666",0.058017065,0.085847679,0.087331289,0.044050562,0.041582447,0.039672211,0.214954622485695,0.789346963456061,2.78751751433392
"T2937",0.055314985,0.027196512,0.043636308,0.028913631,0.215958439,0.056856917,0.159067971650115,0.99829580069064,3.01521001363592
"T2938",0.074644061,0.057844999,0.037127569,0.033626636,0.210397014,0.054956894,0.142033606296979,1.07122735941901,3.09468386524778
"T4077",0.177503638,0.127991984,0.073328233,0.080802741,0.071279596,0.081719508,0.318352568101686,0.472310556852695,2.44204149855595
"T5142",0.188958768,0.151666875,0.227335362,0.141548543,0.162453281,0.157539781,0.00269385396109692,2.78288993989238,4.95989037258115
"T5144",0.199016926,0.143894683,0.271765115,0.139318897,0.150346172,0.147085762,0.12464133408746,1.15209346516978,3.18280402887683
"T5146",0.201449051,0.140047327,0.245402978,0.130796004,0.151024609,0.148457289,0.0681445120143989,1.48975364349498,3.55075386260244
"T5148",0.19986212,0.145164538,0.272516139,0.133147176,0.148772036,0.146742019,0.142318253392983,1.06996179301631,3.0933047717765
"T5150",0.203157191,0.140224332,0.233481202,0.136512998,0.145715455,0.14844605,0.0309964367602309,1.86634671085608,3.96112904277627
"T5152",0.188958768,0.151666875,0.227335362,0.141548543,0.162453281,0.157539781,0.00269385396109692,2.78288993989238,4.95989037258115
"T5530",0.205247405,0.114229679,0.056584518,0.087302588,0.201252139,0.181424471,0.453638868613291,0.11647293197503,2.05428361855817
"T5532",0.198731094,0.092846339,0.046595113,0.109162415,0.056433735,0.190338863,0.491617254106829,0.0210139743558276,1.9502615578052
"T5534",0.108940892,0.158682846,0.049735139,0.068952745,0.070022544,0.192029823,0.496285475383046,0.00931106696858141,1.93750884634067
"T5716",0.125579108,0.106877951,0.224635664,0.112048344,0.158884124,0.120629119,0.207551246111034,0.814947272734066,2.81541428791524
"T5719",0.147178612,0.108767323,0.238309983,0.112409646,0.174902489,0.141543997,0.197366213863685,0.851066473977325,2.85477354596479
"T5720",0.106178262,0.125957013,0.233496332,0.103330207,0.164241084,0.132350406,0.263243864225998,0.633376620904899,2.61755592190547
"T5732",0.141488832,0.102152504,0.190544538,0.101374613,0.151164332,0.122623217,0.0656619646271449,1.50890160645825,3.57161948502634
"T5734",0.141397015,0.106565414,0.286166009,0.090813922,0.087277194,0.136219274,0.488639524860113,0.0284803379382295,1.95839768819613
"T5736",0.156935637,0.104041272,0.20955356,0.104038766,0.177381033,0.13808215,0.11202079786919,1.21585123919763,3.25228116553127
"T5744",0.143277501,0.121092259,0.163195064,0.105809733,0.186986985,0.13954118,5.76996290944531e-05,3.85569932283638,6.12893564179657
"T5746",0.122613856,0.089605996,0.149140388,0.098029845,0.127827412,0.113475904,0.00290616707511663,2.75818472898966,4.93296899177487
"T5748",0.148485823,0.100137074,0.267582717,0.109252022,0.151204212,0.139032922,0.374534384331391,0.319867509377658,2.27592361563212
"T5756",0.142518633,0.116992238,0.309533972,0.116009541,0.16801257,0.140399775,0.465953253989995,0.0854463976990912,2.0204738628904
"T5758",0.150202654,0.114053899,0.246742926,0.07055057,0.168192067,0.135740165,0.399942220186193,0.253496661891739,2.20359900093281
"T5767",0.088182086,0.141429677,0.053241684,0.130239711,0.09473792,0.162244567,0.261526511663078,0.63864634719362,2.62329836663595
"T5769",0.152142522,0.063551071,0.063721299,0.067786849,0.067655104,0.110022106,0.354226102267353,0.37393563373595,2.33484189692358
"T5771",0.110709904,0.1095516,0.067985058,0.068176196,0.124290596,0.108556182,0.0237767302394175,1.98133729629854,4.08643480729794
"T8378",0.300789866,0.286297111,0.100216733,0.293786244,0.10291879,0.267139251,0.172748216209006,0.943360710439947,2.95534699566411
"T8379",0.254067955,0.244111761,0.151385022,0.248625259,0.145917584,0.253399733,0.00134308584809171,3.00154065314217,5.19815505035065
"T2421",0.095432973,0.080679906,0.086010338,0.062859952,0.04649413,0.053998616,0.0101054742037254,2.32240853154251,4.45810168527885
"T2422",0.148093161,0.086612479,0.091422487,0.069172513,0.046580261,0.055714967,0.28324739591557,0.573221406863693,2.55200451127134
"T2818",0.058273102,0.063522008,0.062799708,0.049794902,0.43530499,0.044437338,6.84191384059324e-06,4.34887403578695,6.66635037197855
"T2822",0.080250699,0.088907838,0.08064667,0.035135333,0.29673144,0.05349852,0.162601484157929,0.98382214636011,2.99943800661177
"T2823",0.077273899,0.099547154,0.09361122,0.033515597,0.164554892,0.067563669,0.1998107101101,0.842297553343656,2.84521801322441
"T2417",0.139251405,0.097534666,0.106067773,0.051549243,0.097673243,0.052584532,0.337058958921413,0.420503164891515,2.38558674765099
"T2418",0.146531613,0.107127817,0.113610846,0.039962819,0.049829358,0.063394398,0.39318237756578,0.271034165465986,2.22270969842789
"T2688",0.051020306,0.058749221,0.05663397,0.071988912,0.204577949,0.050536374,7.41807801793917e-06,4.33110699859103,6.64698955065084
"T2689",0.061621164,0.082974918,0.077648743,0.041527382,0.034453822,0.041742683,0.132024515337692,1.11687206421966,3.1444231078945
"T2690",0.024005983,0.072498236,0.067632162,0.040206219,0.045868982,0.032466488,0.402785086046017,0.246144764062128,2.19558760439387
"T2419",0.100683639,0.084834837,0.091523642,0.069784075,0.067210069,0.047214017,0.0462061346599556,1.68280798208571,3.7611260543628
"T2420",0.082690286,0.088240237,0.093427293,0.073189483,0.068319146,0.055772149,0.000972285784361024,3.09856980139797,5.30388815498958
"T5660",0.060431426,0.070813269,0.069665534,0.046794372,0.045369974,0.045360938,0.00388843459727469,2.66160668436614,4.82772745681796
"T5662",0.160255964,0.091590768,0.093660168,0.096717966,0.113188011,0.097024659,0.0548277166892011,1.59974378876437,3.67061062469995
"T5664",0.054381453,0.064647714,0.065831072,0.069349073,0.103171031,0.055543524,4.67342072133356e-12,6.81621802327018,9.3550263492327
"T5668",0.095103232,0.105433823,0.092154395,0.072120021,0.135722206,0.077430486,1.21615191469911e-05,4.22099124643644,6.52699591415863
"T5670",0.169412901,0.080554119,0.08337345,0.061663144,0.129649575,0.06582242,0.44189363566521,0.146169894054646,2.08664453334993
"T2667",0.048011936,0.058163879,0.05696409,0.053418481,0.253887532,0.039128775,1.02978609427745e-05,4.25833275623117,6.56768712740203
"T2668",0.042821266,0.064021706,0.063443576,0.051602677,0.21406263,0.043761721,0.00143314859512332,2.98172459389166,5.17656140036064
"T2669",0.039107079,0.06721867,0.06697665,0.044590372,0.25781031,0.038581392,0.0732918923957559,1.4517045099005,3.50929154848256
"T2670",0.089753781,0.092339852,0.089920428,0.05144781,0.343711295,0.048186352,0.101620758590406,1.27237048089618,3.31387044054863
"T2671",0.11508244,0.09039514,0.089605444,0.044131383,0.328140259,0.042539967,0.332844270017617,0.432072748942296,2.39819417606874
"T2672",0.125783357,0.074352583,0.072589792,0.066151336,0.338188909,0.056864776,0.177253781442424,0.925881506936332,2.93629982802145
"T2673",0.147454451,0.066213516,0.065110939,0.06645725,0.22459531,0.058332381,0.417328710255686,0.208732047950035,2.15481879730223
"T2677",0.119627976,0.066674757,0.064354816,0.05718206,0.223778299,0.046488483,0.300258898572824,0.523656038847705,2.49799290406764
"T2678",0.093795867,0.080365443,0.079773453,0.062252056,0.203570592,0.053660275,0.00643285998587393,2.487464758684,4.63796420751443
"T2682",0.083105669,0.104381962,0.105451436,0.069572536,0.29190055,0.07797505,0.000571787564640243,3.25259213971324,5.4717269983327
"T2684",0.125061857,0.089627359,0.093190949,0.071346549,0.318561249,0.070401537,0.0256926008228327,1.94824878808984,4.05037810924723
"T2685",0.099237462,0.096096907,0.089156058,0.072360046,0.324508112,0.066205275,0.000199299708596462,3.54100937354045,5.7860165712302
"T2686",0.115424952,0.084035961,0.082132232,0.082423476,0.300823316,0.071363968,0.00119413770774652,3.03714878301752,5.23695739160363
