"","cysB","cysC","cysD","cysK","cysN","tcyP","yciW","ygeH","yoaC","pval","z","inv_cof_var"
"T4023",0.058799245,0.126584789,0.264144969,0.222885741,0.204748177,0.080316266,0.149703039,0.058359891,0.136586835,0.299181514771514,0.526756017438692,2.19521899549423
"T4024",0.055606491,0.12742086,0.257981367,0.214185244,0.200674499,0.087248117,0.148658957,0.055860176,0.133351294,0.267425460247775,0.620618110970265,2.27056712256802
"T4025",0.063362047,0.145884159,0.260116336,0.221734936,0.205639368,0.08697257,0.157415477,0.066109094,0.130427014,0.221527760839732,0.767043720297922,2.38811079758488
"T4026",0.138608249,0.128563479,0.261997125,0.216605132,0.199072202,0.091441744,0.143086992,0.069790339,0.138754733,0.216304205843804,0.784735930450734,2.40231328176836
"T4027",0.080890295,0.135582369,0.250555413,0.222720737,0.207636028,0.093182371,0.157600962,0.081108934,0.092095868,0.230454541364272,0.737350741091129,2.36427465366039
"T4028",0.07294104,0.133070952,0.269347655,0.225314505,0.208446482,0.096509676,0.155581447,0.072032728,0.123342183,0.233016621706586,0.728948372910651,2.35752962292899
"T4029",0.068239876,0.143191839,0.267260607,0.224664385,0.206931245,0.106553924,0.16303501,0.067913884,0.144886976,0.166252376894517,0.969081045966693,2.55029697429761
"T4030",0.082316168,0.129716833,0.260345345,0.215930821,0.20086831,0.085656991,0.152240515,0.083160517,0.13490325,0.181786750018928,0.908576908654099,2.50172706438839
"T4031",0.082621058,0.148591173,0.24518857,0.21893188,0.203455117,0.11342786,0.166224144,0.076787119,0.11231215,0.115379757400054,1.19840467128313,2.73438732441912
"T4032",0.089015377,0.14166768,0.248883041,0.207694723,0.199010791,0.1131797,0.157675968,0.085589152,0.132062136,0.06839499167523,1.48785179261289,2.96674202330255
"T4033",0.059442849,0.147263415,0.259867505,0.234858961,0.216121888,0.111705155,0.1703611,0.063859626,0.141454775,0.165418624005819,0.972428844330106,2.55298443125721
"T4034",0.073325176,0.149006355,0.264536428,0.234061008,0.219585444,0.112407447,0.172216642,0.073758175,0.157826859,0.122624080259787,1.16196874592892,2.70513825666082
