"","crp","gntR","idnK","idnR","pval","z","inv_cof_var"
"T7323",0.464962734,0.149264636,0.077181119,0.076374894,0.493347799229925,0.016675367320553,134.677662047528
"T7326",0.492337799,0.149531182,0.079755889,0.080554883,0.489551812760441,0.0261927162005524,141.874449593427
"T7332",0.478424792,0.152950578,0.06746437,0.067347316,0.179953672055354,0.915541656767264,814.378469371388
"T7334",0.46992424,0.14517524,0.08373623,0.08457648,0.489674175632943,0.0258858939612951,141.642438084956
"T7344",0.483099539,0.159187064,0.074946208,0.074637767,0.385116708254974,0.29206959078316,342.924070014482
"T7346",0.474090142,0.150491786,0.065765404,0.06649077,0.496381486228784,0.0090703933028211,128.926965820272
"T7348",0.463173626,0.136832806,0.080128027,0.080968331,0.492881915696072,0.0178433381732451,135.56085317487
"T7352",0.503885047,0.161055566,0.079463251,0.07951205,0.00195750087314408,2.88493042358368,2303.58231476603
"T7360",0.470889119,0.180872382,0.073182584,0.072556762,0.47753674974748,0.056336804666761,164.668675505644
"T7372",0.431700048,0.163401342,0.059522317,0.059996794,0.470456476647244,0.0741224482207724,178.117746212119
"T7374",0.302966086,0.151681272,0.050561322,0.051017703,0.481374705114983,0.0467036638177669,157.38432889147
"T7380",0.151594569,0.147927744,0.056744859,0.057121424,0.451714280039109,0.121331387439877,213.815996860588
"T7384",0.334199332,0.159591837,0.059947728,0.06053258,0.487552845490121,0.0312054532361488,145.664959316619
"T7410",0.505935487,0.080069474,0.067081106,0.06749199,0.442418803801207,0.144839483471135,231.592246830902
"T7398",0.463643946,0.155685579,0.07030289,0.069853536,0.448188945608562,0.130238303013684,220.551189599887
"T7416",0.423660764,0.110494602,0.08360912,0.084061585,0.426576616779308,0.185096644342151,262.033731917009
"T7418",0.42348733,0.128022536,0.078461813,0.077830662,0.472043664252065,0.0701335938423311,175.101471630287
"T7424",0.483901342,0.108273482,0.073683151,0.074151821,0.446883975863254,0.133537951933524,223.046303790988
"T7426",0.465845397,0.110491721,0.078870301,0.079662629,0.489759084299037,0.0256729887632294,141.481444356848
"T7430",0.490309614,0.100949167,0.069882648,0.069469522,0.438806913852469,0.153994810112129,238.515281972233
"T7223",0.223289527,0.15286615,0.079832682,0.080436605,0.465442558560651,0.0867312738719277,187.652233237738
"T7224",0.274711679,0.150155299,0.072224919,0.071919617,0.389711196969197,0.280071833420645,333.851657953733
"T7227",0.467124226,0.140962272,0.079097292,0.078530144,0.460780908275927,0.0984665695606965,196.526178169804
"T7229",0.471575604,0.154477153,0.080337295,0.080468464,0.162321241772826,0.98496251579594,866.87283308365
"T7440",0.423039999,0.159909444,0.084694813,0.085336505,0.465593795405752,0.0863507570708981,187.364495695573
"T7235",0.450066872,0.149771872,0.066641731,0.066252093,0.437421718432046,0.157509353518974,241.172894143313
"T7442",0.430626874,0.157716229,0.076966332,0.076526837,0.434409972925182,0.165157588997601,246.956303634201
"T7444",0.511460147,0.128965054,0.076565478,0.076851066,0.366586428705361,0.340907979629795,379.854470806226
"T7446",0.53980034,0.144126633,0.070834944,0.070418543,0.4381017286892,0.155783778514832,239.868056330188
"T7243",0.493249207,0.15888713,0.069445827,0.069852311,0.436824760371908,0.159024564093687,242.318659495724
"T7246",0.389602953,0.131755485,0.060132601,0.060324231,0.334918183768899,0.426372594829006,444.480732387672
"T7247",0.382873974,0.149185084,0.06803659,0.068068028,5.07574396667945e-05,3.8869422821458,3061.27929062212
"T7248",0.334992065,0.156121236,0.059444712,0.059918584,0.470459159762717,0.0741157041483395,178.112646508713
"T7251",0.446763626,0.137561368,0.068029194,0.068133999,0.146062749251559,1.05347030178805,918.676753192244
