"","exbB","exbD","fepC","fepD","fepG","fhuA","fhuB","fhuC","fhuD","fhuE","fur","gpmA","metJ","nohA","tfaQ","ydfN","ygaC","yhhY","pval","z","inv_cof_var"
"T0334",0.231324418,0.109341131,0.035662528,0.148508648,0.228033048,0.301921359,0.10894948,0.077554427,0.076442521,0.03690739,0.19919468,0.232119902,0.207165675,0.03825905,0.034670716,0.033900501,0.231212779,0.035224181,0.485393651908432,0.0366208687705636,1.38237190002534
"T0748",0.217141192,0.20541707,0.059079168,0.057703807,0.128850298,0.166804203,0.060416162,0.060287108,0.061449338,0.062422516,0.15385255,0.084044593,0.284650956,0.062631347,0.056346074,0.060759891,0.057632388,0.057131675,0.452716723099511,0.118800457525975,1.42892812118073
"T0741",0.172344075,0.145098877,0.056271974,0.056362239,0.184010151,0.153248661,0.062398763,0.058341212,0.061319097,0.060846603,0.109731754,0.062629926,0.301142038,0.059843944,0.056301695,0.059248262,0.056802534,0.056198004,0.471938589040009,0.0703976293421733,1.40150704488186
"T0776",0.150899454,0.186872333,0.054361948,0.050481236,0.050670241,0.152296488,0.051206876,0.05628847,0.048167096,0.058026096,0.123405487,0.138073434,0.137579533,0.054883498,0.047805343,0.047680303,0.051037196,0.048436639,0.294224000595823,0.541086444336265,1.66816075899883
"T0784",0.141951854,0.12348394,0.037876347,0.036274361,0.047980233,0.138393633,0.045322758,0.040854489,0.038494914,0.039743872,0.130851196,0.140316057,0.14567625,0.038887312,0.036253936,0.036815524,0.036952146,0.035764356,0.428437110737777,0.180354564694572,1.46379963453051
"T0792",0.116196866,0.048526395,0.050896784,0.048555038,0.047033337,0.085809702,0.046658286,0.054010594,0.045774052,0.05285004,0.144059733,0.143826402,0.133510622,0.05405024,0.045908829,0.045628647,0.050300749,0.046536322,0.133559727514273,1.10972057250404,1.99030226187586
"T0777",0.050868101,0.114130645,0.049882971,0.049455155,0.058618194,0.104716069,0.049278263,0.056365809,0.047457218,0.057818762,0.123192418,0.13797028,0.139592696,0.05548057,0.047838201,0.049060957,0.053998904,0.048276037,0.0934400860962906,1.31986476885149,2.10935274421391
"T0785",0.067177218,0.078515886,0.048766012,0.04820246,0.051899329,0.098085755,0.047028819,0.055106212,0.045730118,0.054938708,0.125744791,0.122091432,0.111701817,0.053377058,0.046099202,0.046101582,0.050103982,0.046816753,0.0168741708896958,2.12306575952157,2.56438061086779
"T0793",0.091065836,0.118411092,0.032298171,0.032728053,0.075714883,0.034594308,0.034321032,0.036700142,0.033065552,0.037279636,0.136449199,0.144018613,0.10013564,0.037470625,0.031817533,0.032491744,0.034393438,0.032500537,0.386248555986035,0.289110116763695,1.52541161885276
"T0778",0.095648579,0.044885238,0.038074338,0.039023458,0.069517168,0.055988702,0.040633503,0.044290238,0.038192603,0.043483171,0.126114003,0.138153875,0.127341015,0.043536904,0.038145652,0.038190823,0.042166716,0.03822052,0.224707855802313,0.756389483141042,1.79013381875528
"T0786",0.04077459,0.151980969,0.039086532,0.039185521,0.050395672,0.089066978,0.043776158,0.040422451,0.042397131,0.041210657,0.134960735,0.121996621,0.099292615,0.040914181,0.039482657,0.041442776,0.039291772,0.039181063,0.279066851022611,0.585615839002051,1.69338746525732
"T0794",0.122828048,0.07156246,0.034432348,0.033861385,0.084864738,0.034202179,0.038064221,0.03432573,0.037448467,0.034389967,0.132815721,0.143011209,0.088179104,0.034758246,0.034442443,0.037216671,0.033729622,0.033987621,0.35448951599567,0.373227632331731,1.57306571054557
"T0779",0.08228446,0.035341976,0.034845068,0.034876404,0.115935204,0.04574038,0.038600038,0.03783862,0.034854667,0.037667925,0.135355115,0.147204445,0.129095541,0.037098539,0.034481642,0.035185697,0.037273895,0.034549175,0.415034650655075,0.214612687391994,1.48320747972449
"T0787",0.042687038,0.147729503,0.035349712,0.035355826,0.053996699,0.079784391,0.044311415,0.036606031,0.043251573,0.03710333,0.134331574,0.109348699,0.105384051,0.037139847,0.036543226,0.042989048,0.035507953,0.035738549,0.287866333973601,0.559628783079314,1.67866532876285
"T0795",0.137391073,0.057358755,0.034967072,0.036015292,0.082229788,0.037299751,0.035020024,0.037607938,0.034760994,0.037861999,0.136009728,0.144923052,0.114297813,0.038399621,0.03498305,0.034450448,0.036449573,0.035404494,0.409037554804887,0.230021440053477,1.49193681638219
"T0780",0.060140349,0.03538657,0.034756467,0.036919471,0.081591435,0.048803164,0.03579253,0.041036711,0.034664667,0.040656662,0.140338898,0.132204848,0.118586855,0.041597399,0.03523924,0.035250836,0.038430349,0.036054788,0.257143106417069,0.652178213434388,1.73109625245901
"T0796",0.126980859,0.079005081,0.035152298,0.036148109,0.075906647,0.038811725,0.037379294,0.037989818,0.035510594,0.038231588,0.127291399,0.126424559,0.090075706,0.038707656,0.034813564,0.034839384,0.036543029,0.035260148,0.268014042308704,0.618830412942022,1.7122041212342
"T0781",0.05318848,0.052344767,0.034664432,0.040176745,0.082626184,0.053935789,0.030802885,0.047521273,0.03239997,0.045390477,0.14022245,0.086807865,0.093682271,0.046991833,0.036341475,0.034249906,0.042801382,0.039199464,0.0150776192306713,2.16804532093547,2.5898623447189
"T0789",0.133785329,0.038884805,0.037143966,0.039397872,0.060682974,0.039776682,0.034540034,0.042621008,0.03553155,0.041935513,0.112515593,0.108444054,0.077434992,0.043628536,0.037248803,0.036298925,0.041583327,0.03874742,0.199053802296594,0.845005793086524,1.84033655870906
"T0835",0.19694416,0.191486852,0.078955394,0.074649131,0.066488062,0.147542005,0.070053698,0.079264945,0.076072566,0.082657098,0.193756364,0.175578041,0.110172547,0.083456985,0.067244189,0.077707172,0.074124155,0.071691561,0.065916869067172,1.50690995992729,2.2153172229082
"T0837",0.133228203,0.181799179,0.070044889,0.062422632,0.04373936,0.154135984,0.060598525,0.0706823,0.081487305,0.074934181,0.286579047,0.191050639,0.213719199,0.076095337,0.050169293,0.084335031,0.061745759,0.057529534,0.217412289609991,0.780962451488785,1.80405484910074
"T0832",0.130123302,0.191273513,0.049198702,0.049982194,0.070905362,0.149195615,0.078749367,0.049216926,0.085372813,0.050152194,0.225090548,0.238931553,0.2592255,0.050792795,0.05576365,0.087905804,0.050196418,0.051707161,0.446718161000458,0.133957322374731,1.43751475884354
"T0801",0.196128088,0.196713179,0.04416828,0.044882277,0.068308996,0.150481871,0.0640884,0.043880054,0.056434766,0.046888965,0.124295155,0.157092943,0.190248449,0.046356838,0.046470215,0.053559897,0.043880597,0.044695853,0.452214150480963,0.120069237522054,1.42964690796209
"T0829",0.079269111,0.179478006,0.055893094,0.199600259,0.068449827,0.149703707,0.062174715,0.056924707,0.056417186,0.060763613,0.228636779,0.104433166,0.275470574,0.054987384,0.091485086,0.059008503,0.054948256,0.060134612,0.391400395098638,0.275670975634516,1.51779810269839
"T0819",0.215135742,0.223772029,0.080886942,0.069552718,0.045707739,0.196362544,0.045302507,0.076851513,0.051606583,0.085345205,0.160763476,0.163674589,0.30749816,0.076598213,0.056575607,0.059156191,0.063518499,0.056633898,0.480871328127756,0.0479668572706395,1.38879960741395
"T0831",0.056000321,0.184432192,0.077695992,0.134379148,0.057327848,0.130390011,0.05616124,0.076703088,0.059490393,0.084017609,0.109798998,0.0685905,0.268749117,0.105516798,0.124866156,0.067447594,0.072254594,0.10657174,0.20665281980633,0.818090278301822,1.82508843350175
"T0827",0.161775439,0.110155424,0.060153289,0.14726591,0.066559475,0.169487078,0.051098821,0.065666246,0.051085862,0.071446242,0.154358033,0.06595329,0.286783168,0.09136978,0.161756468,0.051092644,0.058444298,0.059293859,0.348378509716851,0.389701862071643,1.58239865921022
"T5127",0.06474052,0.269523806,0.063778446,0.057753397,0.09707653,0.09223686,0.381478479,0.063496261,0.140238181,0.067519157,0.311360588,0.300956119,0.242358667,0.157336283,0.070501975,0.094814514,0.166277019,0.132213414,0.41464917899762,0.215601536525648,1.48376768061687
"T5131",0.081017986,0.263438222,0.086708291,0.065839984,0.101703061,0.08834006,0.365771997,0.076039461,0.070709763,0.069638264,0.323674983,0.305428101,0.262912,0.147496553,0.070501975,0.068419176,0.070881855,0.135416211,0.472229890486838,0.0696656521161244,1.40109236656414
"T5133",0.124523355,0.243576091,0.132010901,0.074227337,0.092473032,0.117509187,0.341410405,0.119740183,0.13114482,0.061768217,0.30070449,0.3064182,0.255702044,0.120658854,0.070501975,0.116020773,0.179233858,0.130513951,0.192901147756929,0.867255020819292,1.85294114803046
"T5135",0.175887222,0.214116604,0.061691997,0.071058496,0.124208049,0.101611082,0.152056027,0.093139069,0.067212723,0.095746196,0.290711743,0.245828839,0.248852166,0.158386423,0.070501975,0.120009939,0.058965395,0.135868003,0.105132964397963,1.25283453965216,2.07137890883748
"T5137",0.071029332,0.239008726,0.076706335,0.089934101,0.100050343,0.089259664,0.338048038,0.080542433,0.072539631,0.085462219,0.297995325,0.296673609,0.261112951,0.14143063,0.070501975,0.136944177,0.085353223,0.110341146,0.355965279562236,0.369264532707748,1.57082054303684
"T0321",0.155549769,0.10826976,0.0750408,0.070419049,0.056461357,0.137858755,0.054588671,0.074133591,0.055401732,0.082216219,0.055093495,0.301068875,0.184804135,0.077151761,0.054560606,0.05431454,0.057764249,0.078214554,0.390555116135105,0.27787250315252,1.51904530779592
"T0036",0.071507614,0.055693003,0.032730289,0.037316257,0.055781199,0.072468895,0.074255653,0.055837122,0.068949073,0.031291762,0.072696271,0.101080862,0.072956156,0.031344147,0.042309573,0.081795976,0.038678217,0.034738383,0.00961635070558612,2.34098962789226,2.6878384179043
