"","argP","dapB","lysC","pval","z","inv_cof_var"
"T5736",0.145858078,0.190791605,0.192441091,0.0895795940803143,1.34334839581678,164.285382303337
"T5748",0.157175316,0.183919931,0.180184907,0.328877672379749,0.443014364468548,68.9315517149633
"T2409",0.086198821,0.114570202,0.117164707,0.348826176612776,0.388491486335755,63.1570667975382
"T2421",0.086244308,0.109117885,0.111242787,0.314000537377044,0.484542267655035,73.3297467262136
"T2422",0.090489127,0.106503103,0.110114222,0.423612702016965,0.192659805708146,42.416652408849
"T2424",0.092314811,0.125852552,0.128644156,0.344274066026688,0.400826139912406,64.4634224683918
"T2827",0.080856958,0.117951329,0.116794992,0.125576715596273,1.1475522992728,143.548736603339
"T2425",0.106536241,0.140332465,0.139077224,0.100568665903445,1.27831797681371,157.398050112389
"T2426",0.109109668,0.149390886,0.143494638,0.450734922551512,0.123804782449654,35.1242587034629
"T2420",0.093620623,0.123977415,0.122981441,0.0738571270666618,1.44765252284131,175.332169064326
"T2669",0.06459276,0.121443258,0.12462733,0.378990256839759,0.308133812202413,54.6464343222645
"T2670",0.089579332,0.160264508,0.155799656,0.395586556943437,0.264787568756754,50.055659998239
"T2671",0.087983166,0.155138191,0.157842791,0.28611189417954,0.564779446999928,81.8276176716057
"T2678",0.078952577,0.120280952,0.120224033,7.45039883966522e-173,28.0030865820269,2987.80206614068
"T2680",0.114450482,0.190631171,0.182701868,0.457589154372941,0.106509260048423,33.2925004275763
"T2681",0.070961608,0.120714615,0.128307261,0.495557655297927,0.0111355369663652,23.1915273257038
"T2649",0.071487924,0.102817541,0.105943086,0.405902847222978,0.238097215383702,47.2289008785524
"T2652",0.059204253,0.092425805,0.089736379,0.403468371465129,0.244379724997366,47.8942776570732
"T2431",0.108925787,0.139783884,0.141259731,0.14376348593506,1.06356242502727,134.65342001961
"T2432",0.087227412,0.111998895,0.111236124,0.0403938446305793,1.74613388915166,206.944149336051
"T2433",0.081093179,0.114093838,0.113899359,1.27587755069059e-14,7.61923905038921,828.961150885713
"T2434",0.085445147,0.112421388,0.117034002,0.450544633993043,0.124285448999864,35.1751658059408
"T2435",0.087404574,0.129130119,0.128099288,0.0723935885643308,1.45819363718815,176.448572084364
"T0257",0.092849631,0.110935923,0.105201837,0.482523155145262,0.0438219751265363,26.6533281444454
"T0605",0.076030922,0.106659547,0.1023978,0.452371023742388,0.119673179262619,34.6866831185824
"T0606",0.085252081,0.115753864,0.114341902,0.189381303274428,0.880178522452891,115.231342246401
"T0583",0.070164427,0.097722266,0.096114429,0.27523194620086,0.597065137802543,85.2469755810374
"T0585",0.079061124,0.105006129,0.105701639,0.0347740392754269,1.81484275035481,214.221063106904
"T0586",0.054183418,0.077229027,0.077648724,0.0120368690500866,2.25595039206478,260.938505605288
"T0587",0.097500088,0.126750732,0.120603746,0.475749886950458,0.0608235009703836,28.4539494234505
"T0588",0.091139845,0.10988622,0.106778184,0.398362493350989,0.25758787714483,49.2931450311841
"T0592",0.070344532,0.100648332,0.100996273,0.000125394667458596,3.66145252865455,409.79438348795
"T0593",0.069325186,0.104514811,0.101340828,0.410919194169712,0.225181104595368,45.8609634274631
"T0594",0.067291812,0.099954544,0.100156918,8.07781923955839e-11,6.39404260211526,699.201338973189
"T0589",0.101803219,0.134132801,0.134272291,6.42941383341994e-37,12.6390561312277,1360.6069299463
"T0590",0.099087371,0.128643038,0.129785031,0.0962823951693523,1.30302920729439,160.015201528244
"T0591",0.097003399,0.123187628,0.124116198,0.0581722631042726,1.57030347469047,188.322056902525
"T0595",0.079424054,0.119128515,0.117366326,0.245668300237476,0.688184504753497,94.8973724082573
"T0596",0.082804473,0.111829974,0.110809239,0.105938420720235,1.24842122150408,154.231702910488
"T0597",0.080263271,0.11347201,0.11789107,0.443652683971558,0.141714694011939,37.0210865623471
"T0112",0.120769122,0.161624448,0.16934751,0.468801473023361,0.0782829923917393,30.3030735586985
"T4028",0.136792261,0.072147456,0.073512428,0.306909147097147,0.504630627255511,75.4572926940959
"T4092",0.122821508,0.116921659,0.114042279,0.371567340566098,0.327705054745103,56.7192127365437
"T4834",0.098444331,0.25033657,0.247331206,0.184660097006751,0.897747472965015,117.09205912749
"T4107",0.123322177,0.151081392,0.143976665,0.47232156622651,0.0694352986468712,29.36601968639
"T2772",0.053878536,0.223651186,0.211490833,0.487606483853851,0.0310709365999202,25.3028733963648
"T6003",0.267166567,0.113207529,0.118514362,0.466651598028247,0.08368963782889,30.8756880940987
"T6007",0.274478499,0.186864571,0.184826194,0.156343250711513,1.00960097686961,128.938395809958
"T1770",0.272473779,0.103508884,0.097796961,0.489045705484095,0.027461795691659,24.9206314741967
"T1771",0.280908608,0.177464538,0.18810625,0.491416789266432,0.0215165788271603,24.29097716594
"T1775",0.193011805,0.081670239,0.084496758,0.426746396784563,0.184663733242167,41.5697932290937
"T1778",0.353781848,0.246835788,0.232802204,0.491882170589492,0.0203497851627663,24.1674027574068
"T1779",0.322243522,0.304287468,0.306851701,0.0832724889614066,1.38339110029374,168.526280821055
"T1782",0.206978309,0.11924792,0.114557531,0.450273527510459,0.124970310258084,35.2476990459596
"T1783",0.219295434,0.159477204,0.159213485,1.91463152017553e-15,7.86039424461155,854.501751079342
"T1784",0.181213445,0.200883221,0.202813915,0.117380478864096,1.18818391918418,147.852006797134
"T1787",0.196398618,0.181430639,0.172008463,0.48300770446924,0.0426062553919001,26.5245720055201
"T1812",0.280122227,0.194110372,0.188135044,0.413223046543435,0.219261830761092,45.234056729785
"T1815",0.310895503,0.234795238,0.237206712,0.135890965806621,1.09896821185107,138.403225404161
"T1819",0.290988563,0.188753727,0.200671244,0.495880154151069,0.0103271056518872,23.1059068560569
"T1823",0.189111787,0.156957898,0.149292407,0.47651599497517,0.0588997088555666,28.2502017686731
"T1085",0.091866716,0.150426787,0.1587937,0.484481748035788,0.038908303846436,26.1329242026906
"T4798",0.094951456,0.113008144,0.115360165,0.329818532434738,0.440414306690422,68.656181174405
"T4800",0.138493379,0.164002654,0.173217365,0.485444478066581,0.0364933813252244,25.8771612247802
