"","aaeA","aaeB","aaeX","agp","cpdB","crp","cstA","dksA","glgS","glpR","gluQ","gpsA","grpE","grxC","hofB","hofC","hofM","hofN","hofO","hofP","ilvB","ilvN","ivbL","lacI","mhpR","nadC","ompA","patZ","ppdD","preA","preT","priB","raiA","rmf","rplI","rpsF","rpsR","secB","sfsA","sxy","ubiG","uhpA","uhpB","uhpC","ychH","yeiP","yfiP","yibN","pval","z","inv_cof_var"
"T6014",0.05560964,0.218189582,0.166632395,0.197526126,0.11314745,0.341402123,0.226639022,0.333486278,0.071364795,0.061692024,0.052954675,0.33928088,0.240160161,0.19643829,0.190637172,0.057135112,0.07182973,0.053865569,0.074289725,0.104500923,0.174717594,0.146449448,0.053737643,0.062275234,0.083808692,0.057768887,0.139832914,0.05294031,0.053662828,0.053761497,0.052983623,0.357452822,0.069532308,0.064616738,0.107289435,0.350876493,0.255247179,0.360966071,0.107858752,0.130573852,0.103665884,0.02018857,0.110677137,0.058477366,0.078383634,0.105745898,0.072684322,0.244467466,0.326971612508238,0.44829095853878,1.40648947544787
"T6016",0.0816956,0.188266348,0.160832718,0.170690673,0.124895385,0.320968768,0.189426448,0.324712456,0.094595557,0.083251957,0.078817036,0.313996165,0.206303933,0.167482523,0.143524014,0.084527986,0.09086366,0.08124926,0.093020966,0.106486841,0.147740127,0.127659914,0.080408535,0.086327251,0.094827903,0.084090402,0.138169618,0.079001708,0.080848551,0.080407872,0.078523809,0.364881651,0.090423604,0.087374689,0.102607247,0.333886193,0.219894804,0.360413293,0.107424764,0.147887041,0.108924886,0,0.099870487,0.085435704,0.098035056,0.107216479,0.090406023,0.210882509,0.14550622411951,1.0559031863629,1.67061487031725
"T6018",0.077868929,0.190473061,0.141340292,0.176995991,0.126267649,0.319179167,0.196943539,0.28436131,0.088165243,0.078097314,0.08049294,0.316400181,0.211731987,0.173346712,0.156873687,0.081486228,0.090670299,0.077779934,0.087572843,0.105994351,0.154475356,0.131685702,0.081899665,0.079735887,0.090788852,0.077993373,0.109318208,0.082028767,0.081446383,0.081945905,0.081203139,0.354827962,0.102108227,0.081037683,0.102264064,0.335867281,0.232406054,0.354324277,0.104462732,0.12152003,0.09687704,0.150031894,0.106219787,0.080036068,0.091424465,0.10657921,0.08543503,0.215071137,0.105765496415943,1.24936667103471,1.75471228794943
"T6020",0.069598798,0.226227082,0.184705087,0.188437233,0.116778202,0.324846628,0.209310635,0.313731036,0.067643552,0.0670106,0.064300999,0.321391088,0.220495242,0.177582271,0.16469809,0.065138127,0.097115281,0.067986467,0.087160529,0.114339224,0.168426115,0.14764984,0.062365009,0.076441488,0.09147949,0.071859534,0.095974644,0.062767941,0.063358717,0.06239088,0.063512553,0.360268813,0.103411777,0.078336934,0.099128372,0.336790713,0.229252486,0.358146083,0.099257756,0.139057533,0.119498389,0.070450582,0.103468446,0.078972934,0.107481617,0.11386598,0.085894936,0.222023481,0.184779165084303,0.897300986620633,1.60167144436927
"T6022",0.07696285,0.173345327,0.146623042,0.181588134,0.101956182,0.317627786,0.201889085,0.235229989,0.087812048,0.077875019,0.075926153,0.31488982,0.211827416,0.183518721,0.14892847,0.078851181,0.099913565,0.077355574,0.094986054,0.113056654,0.157768558,0.138555569,0.072805431,0.083772144,0.098141225,0.080276618,0.103324855,0.073591882,0.072012529,0.072885163,0.075153148,0.354208365,0.112285541,0.085293383,0.092177532,0.335385256,0.225701292,0.354022535,0.092319069,0.120838119,0.122311035,0.101106593,0.124059395,0.086748665,0.092709869,0.113116039,0.090681382,0.217701143,0.10060613986964,1.27810535872982,1.76720482329995
"T6024",0.074475025,0.20885423,0.151211259,0.178932873,0.145372868,0.321646599,0.200981069,0.256121328,0.078941017,0.074702388,0.073242793,0.316770929,0.216855137,0.175107644,0.151944272,0.073531396,0.094711713,0.075353759,0.090510581,0.114000384,0.161300053,0.142117362,0.07304232,0.080902545,0.093798104,0.07775283,0.112832418,0.073219228,0.072721577,0.073095178,0.073545512,0.360012287,0.109080157,0.082192317,0.094038804,0.335712636,0.228622084,0.358041347,0.096195344,0.117745008,0.119673495,0.141707709,0.13503237,0.083211032,0.093408676,0.1146134,0.088474088,0.216436418,0.106478655928439,1.24547469425325,1.75302046896168
"T6026",0.068372082,0.204215517,0.153115908,0.188435236,0.134958175,0.323886124,0.206032817,0.301037455,0.085540433,0.07396733,0.069310126,0.319753033,0.22154239,0.183906697,0.167384671,0.074534963,0.093277304,0.068223356,0.083465286,0.107441497,0.167836033,0.144291699,0.071256524,0.074999949,0.086034357,0.071051597,0.142865051,0.069962326,0.068392225,0.071158006,0.069469626,0.356611037,0.104052026,0.076794153,0.094786428,0.335662429,0.235415632,0.355795356,0.131973135,0.127454223,0.117134623,0.046079965,0.098785038,0.078563027,0.104257872,0.112598894,0.084064252,0.223833428,0.154852761351578,1.01584012993734,1.65319969973063
"T6028",0.077823192,0.169835704,0.14821905,0.180393569,0.110791691,0.312219695,0.201193146,0.233713296,0.087760833,0.077982225,0.076051273,0.315263931,0.202321544,0.173544796,0.134919475,0.070973277,0.095621692,0.078042496,0.081826183,0.109003019,0.150208851,0.141118123,0.075384741,0.083709182,0.090468883,0.080341196,0.114273748,0.075768387,0.073967302,0.075295216,0.075881461,0.354260532,0.115070624,0.085037172,0.089298982,0.330038541,0.232748228,0.350351081,0.095080822,0.123506924,0.119650586,0.107886447,0.122614765,0.082717305,0.091239423,0.105877382,0.089344127,0.211783987,0.101107555836587,1.27526598864269,1.76597056613543
"T5993",0.054591066,0.257598131,0.244615171,0.20403636,0.054338878,0.216194201,0.224331245,0.345128089,0.217244388,0.07026095,0.060974402,0.322799669,0.234602055,0.196502275,0.181990567,0.084215881,0.081425299,0.053778084,0.075237996,0.110612649,0.17773239,0.157471306,0.069968879,0.066023567,0.090133506,0.057539451,0.0824621,0.068038729,0.085312836,0.069738329,0.063211693,0.37747147,0.117930428,0.067882884,0.117949476,0.343759577,0.241912266,0.372603184,0.090367482,0.072947716,0.092919869,0.117687166,0.070455335,0.069171873,0.11549069,0.112810251,0.065424949,0.240503331,0.257123969479015,0.652237551231506,1.49514383732622
"T5995",0.044621545,0.264142058,0.222841019,0.210324372,0.072655425,0.260277486,0.230771746,0.31159155,0.220044068,0.054647277,0.046584959,0.332600756,0.238670559,0.21331292,0.162980641,0.075594736,0.078223815,0.043432734,0.072156237,0.107037215,0.177225831,0.153353928,0.058474931,0.054145799,0.07646621,0.0476704,0.085568086,0.05484429,0.114255258,0.058253211,0.048824497,0.379677248,0.106011132,0.057052617,0.129075805,0.349135786,0.241576405,0.375710883,0.110291487,0.082493487,0.119756144,0.125264669,0.057264648,0.061212494,0.11013387,0.107277268,0.054367904,0.247333743,0.301042638020739,0.521404128543071,1.4382713323843
"T5997",0.053853297,0.254142626,0.082056287,0.210398527,0.112530637,0.301045837,0.230612496,0.106152633,0.054559952,0.07889962,0.053054846,0.320821196,0.241638869,0.214268201,0.094177497,0.087567249,0.059402252,0.054687654,0.092708674,0.115577483,0.182765084,0.159872929,0.054887022,0.065386362,0.09536498,0.056357117,0.083699343,0.054025268,0.062859625,0.054873121,0.053081423,0.357702074,0.145571951,0.067741303,0.076926273,0.340508788,0.251383945,0.356512585,0.235654632,0.247168914,0.07552201,0.105037367,0.099105684,0.073350556,0.098913553,0.117631534,0.055693995,0.243051977,0.271750549632383,0.607527196987788,1.47570851422276
"T5999",0.059956382,0.258291919,0.046165049,0.211787426,0.109696505,0.280688152,0.232598097,0.06704028,0.155632923,0.074226885,0.047452688,0.328165011,0.24485606,0.215284332,0.051814863,0.114604956,0.069919252,0.046815253,0.078500941,0.103476012,0.180158421,0.154113968,0.052926599,0.056060611,0.080410856,0.04919346,0.058696597,0.050599891,0.052915029,0.052795233,0.047840494,0.359032124,0.1352584,0.057777337,0.125977007,0.344253286,0.255169264,0.359082874,0.231948561,0.257175924,0.125694178,0.101777194,0.081168769,0.061886276,0.135526167,0.104867591,0.046010029,0.247242793,0.315181996434968,0.481214589401024,1.42080118051866
"T6001",0.048973352,0.274382944,0.269413747,0.212336797,0.137645247,0.285885686,0.232483617,0.333354342,0.205068777,0.072641603,0.048795177,0.328329347,0.244886684,0.197761023,0.125827612,0.141610799,0.07736619,0.0466704,0.066176967,0.106060217,0.184813943,0.144717144,0.058282207,0.05655451,0.083245919,0.051052509,0.046415606,0.055431813,0.093837423,0.058081138,0.051197758,0.36779552,0.126115825,0.058631124,0.154184999,0.34434986,0.259805422,0.365264939,0.046443905,0.050709464,0.066809238,0.132915691,0.049324725,0.061993932,0.106835498,0.107720567,0.061225008,0.24955169,0.320827203134135,0.465386910347042,1.41392098326692
"T6003",0.060301005,0.258315942,0.25528646,0.197144238,0.140647904,0.310875777,0.219995674,0.356862693,0.198174073,0.074698842,0.0509319,0.326568072,0.227690904,0.199186306,0.16768078,0.139338374,0.082009393,0.053540894,0.086274504,0.111102387,0.173903893,0.155206756,0.058447919,0.068151336,0.095527564,0.060440653,0.087816482,0.055830906,0.081247302,0.058340131,0.0524645,0.37560818,0.095758238,0.070299963,0.1318185,0.344382372,0.240232804,0.373851952,0.05163846,0.128574,0.1224451,0.140277486,0.026920568,0.069594048,0.121118422,0.112625282,0.074004912,0.237953054,0.237845905680962,0.713248803887638,1.52166506330118
"T6005",0.056844591,0.264097784,0.264327864,0.202236344,0.081884293,0.156842476,0.225584702,0.376327392,0.207548719,0.067147162,0.060084176,0.334165272,0.239564494,0.199091001,0.066606488,0.091912526,0.070585392,0.051325263,0.068582873,0.098488582,0.169143716,0.153367736,0.069625466,0.056602697,0.078697782,0.052076767,0.051191637,0.067329475,0.052469171,0.069484065,0.063472886,0.378588572,0.117275737,0.05807906,0.093907739,0.351254411,0.25565281,0.378174745,0.089563837,0.113245158,0.088548587,0.102263662,0.070291988,0.05968309,0.050932906,0.099074612,0.054595844,0.247136958,0.376747025360754,0.31403553396069,1.34812944678776
"T6007",0.046119214,0.259718138,0.258428648,0.206135314,0.134732625,0.272196938,0.231760321,0.342288064,0.212370804,0.056361263,0.04858543,0.325862377,0.241945104,0.200485332,0.162002588,0.155700048,0.089002711,0.043516909,0.078078099,0.110056369,0.183586134,0.154733162,0.060984413,0.056453468,0.087137267,0.048619033,0.044926312,0.057682748,0.130073689,0.060777166,0.051620571,0.375200715,0.109759778,0.059033011,0.120811057,0.347644065,0.254207284,0.37198701,0.069577985,0.061890815,0.09632926,0.107931409,0.036561883,0.064643933,0.089605088,0.111853654,0.064054717,0.248286573,0.303558925114297,0.514191871517194,1.43513620746807
"T6009",0.059972301,0.262376878,0.24927888,0.204775016,0.086714608,0.262571475,0.222638728,0.360330706,0.196180749,0.077699782,0.060677574,0.325063233,0.233633081,0.201960399,0.061025581,0.098014911,0.090284584,0.057066797,0.080970403,0.110488838,0.179052925,0.15511249,0.066559214,0.06579181,0.092920239,0.059943899,0.059489902,0.064464046,0.072156848,0.066472991,0.061716338,0.377705541,0.131872598,0.067506129,0.079449795,0.33745863,0.245688238,0.377043842,0.057182875,0.058156521,0.053841882,0.091393051,0.062187303,0.071547898,0.108152077,0.110585833,0.06811358,0.240591824,0.330317338802172,0.439037067873838,1.40246686462137
"T6011",0.066363571,0.263718461,0.242137057,0.194842742,0.1203663,0.290602058,0.217979873,0.347938799,0.196816837,0.082483825,0.062394983,0.325233042,0.230352089,0.197451332,0.082087152,0.082016933,0.072949911,0.061052558,0.083404899,0.106984844,0.171190447,0.153780227,0.067709873,0.069260039,0.090807303,0.064102154,0.072884614,0.066501783,0.06116932,0.067656686,0.063385838,0.387466539,0.061587654,0.071129859,0.100933764,0.34585255,0.236090949,0.383515597,0.081455075,0.08478736,0.078105186,0.113949879,0.056845119,0.065722006,0.132139706,0.107394845,0.075376298,0.233058879,0.293287400293269,0.54380626001824,1.44800940471208
"T6013",0.051261013,0.265059245,0.26931674,0.20414,0.107091392,0.287538085,0.230201281,0.350421801,0.215733452,0.061796696,0.052695562,0.337909291,0.23945876,0.203198562,0.124061456,0.106673101,0.072510664,0.048592786,0.074094908,0.104621414,0.175383731,0.155155133,0.060163585,0.058559244,0.087641686,0.051895359,0.063364844,0.057685215,0.064530229,0.060053481,0.054204681,0.378660073,0.053975714,0.060302044,0.107779701,0.352918485,0.24057877,0.377966452,0.068178766,0.092951498,0.099465836,0.107052631,0.086791826,0.052071987,0.123422334,0.10410292,0.062681071,0.242363325,0.337858101458443,0.41831584957266,1.39345947517898
"T6015",0.059437634,0.273166513,0.252288718,0.194740025,0.106715506,0.301363391,0.216599916,0.364270307,0.205549095,0.079837215,0.063633145,0.32321207,0.231680034,0.196178537,0.144254695,0.093233262,0.059177905,0.057279431,0.077459719,0.107240409,0.166774472,0.154385807,0.074903261,0.06458532,0.089643591,0.059081005,0.057759604,0.072245975,0.0577049,0.074695422,0.066539414,0.385833664,0.079149366,0.066213103,0.120341666,0.341463875,0.228628825,0.383152911,0.109336154,0.088328189,0.114775917,0.11778237,0.074159689,0.057905803,0.1537418,0.108857258,0.070093413,0.235833072,0.262035163996988,0.63708369585746,1.48855654719087
"T6017",0.061159673,0.257770843,0.25079935,0.202342291,0.113103672,0.281917597,0.218334309,0.347277622,0.195242673,0.090921456,0.05186387,0.320893303,0.229258219,0.192788467,0.127711106,0.129492464,0.070297402,0.054404383,0.086960382,0.114086508,0.177127722,0.160265366,0.058901617,0.068645992,0.097861417,0.060459544,0.099712948,0.056154155,0.06168297,0.058761855,0.053109019,0.37526281,0.062337142,0.070453178,0.104012415,0.338606177,0.240973542,0.371307805,0.06660837,0.089083285,0.106380088,0.118771587,0.046695779,0.067073171,0.128389055,0.116872895,0.07263987,0.245574174,0.260880217367824,0.640634106697303,1.49009988951033
"T6019",0.061211192,0.231008167,0.263116548,0.196289273,0.043348227,0.322718121,0.220638609,0.322441913,0.099487901,0.053639159,0.054254913,0.323811559,0.231224727,0.183977212,0.129745304,0.146526448,0.089730405,0.05553639,0.074736567,0.115718235,0.174070967,0.155252705,0.067328973,0.070357609,0.081627909,0.063856619,0.084653105,0.062359187,0.081712777,0.066900764,0.056211803,0.37921134,0.109602845,0.073224047,0.127866541,0.340980451,0.234408923,0.376672003,0.129406665,0.058458816,0.086735649,0.103534935,0.028776582,0.073918241,0.172507813,0.11565393,0.077689639,0.240520192,0.270105851816083,0.61249288555732,1.47786706929155
