"","csgD","pepD","yhbS","yhbT","pval","z","inv_cof_var"
"T7313",0.075887799,0.147102252,0.12866019,0.118241472,0.242859474681342,0.697133982045567,8.98623944704727
"T7314",0.07816452,0.131762756,0.079487944,0.109050211,0.449227953560772,0.127612160514123,4.07319497022196
"T7315",0.072596268,0.148508848,0.126686794,0.109919726,0.335601248472449,0.424498228567749,6.63431625083424
"T7316",0.079883514,0.140684675,0.073836769,0.105448535,0.489959850337339,0.0251695802942284,3.18946245302411
"T7317",0.082011705,0.165814338,0.084079498,0.11818558,0.499246833691415,0.00188790908607973,2.98862048030938
"T7318",0.087856496,0.138060939,0.077302238,0.090205054,0.490309832859392,0.0242920358629876,3.18189221662915
"T7319",0.069262081,0.155303786,0.095034808,0.110661319,0.459603843835135,0.101431807838948,3.84734719363241
"T7321",0.073468327,0.153629874,0.090206376,0.103242816,0.477733173461282,0.0558436683050178,3.45407594628381
"T7323",0.078092219,0.155842016,0.090772817,0.113259864,0.469622258448819,0.0762194398681299,3.62984984669383
"T7324",0.082952084,0.143653437,0.083351751,0.102686735,0.47242095487351,0.0691855691309658,3.56917136437861
"T7334",0.089161457,0.148441191,0.087149418,0.095407226,0.48405347347376,0.0399826645231505,3.31724920131753
"T7338",0.0670278,0.158197406,0.095416507,0.10635998,0.47201851859523,0.0701967800030545,3.57789468945975
"T7350",0.088080752,0.164495628,0.091916807,0.106438002,0.491811654445224,0.0205265798454551,3.14940908395494
"T7364",0.077718213,0.160256919,0.093251244,0.10133147,0.48791377479907,0.030300309680415,3.23372327099436
"T7376",0.073329427,0.165212016,0.09136755,0.10209407,0.498884425187533,0.00279633501171055,2.99645711941221
"T7380",0.070819298,0.146236615,0.083123583,0.097787674,0.48477676490958,0.0381682568376904,3.30159700798491
"T7408",0.090844038,0.134198236,0.0719056,0.088872441,0.496261126324274,0.00937210367090074,3.05318373228376
"T7410",0.071703456,0.156345311,0.10696873,0.085352535,0.489758526325385,0.0256743878567844,3.19381723261869
"T7394",0.077402551,0.141739899,0.074984038,0.097695282,0.494657060572696,0.0133931634312068,3.08787185958542
"T7398",0.077639177,0.160543656,0.094383632,0.09698576,0.492676259997679,0.0183589250267303,3.13070956423125
"T7412",0.067192959,0.143189605,0.128322431,0.090585892,0.431954616803855,0.171400026926585,4.45093595765457
"T7223",0.085383311,0.158125433,0.085909292,0.10139124,0.497408627198032,0.00649565401431877,3.0283697136389
