"","allA","allB","allR","allS","gcl","glxK","glxR","hyi","ybbW","ybbY","pval","z","inv_cof_var"
"T7396",0.065492843,0.077791842,0.340294945,0.08138265,0.081803103,0.083195977,0.074015986,0.086836216,0.084165411,0.081330574,0.0524116026581619,1.62190726704468,12.3756168281105
"T7398",0.089177189,0.082753944,0.412992913,0.084738328,0.083476578,0.082394132,0.077233037,0.096192291,0.097190352,0.075113146,0.0846797229725996,1.3742649418393,11.2277054135627
"T7400",0.068563845,0.088791208,0.496227923,0.087834738,0.087839384,0.08432244,0.0860029,0.071553982,0.069378861,0.087827174,0.17003148253078,0.954040849976063,9.27981532119771
"T7402",0.083091802,0.090870346,0.190990963,0.087334635,0.086129426,0.081361845,0.088524119,0.062528866,0.061631003,0.086114927,0.295225406231477,0.5381828592516,7.3521636809233
"T7414",0.086826797,0.091239041,0.122322773,0.090880647,0.086998424,0.104308129,0.089381059,0.069953716,0.066097875,0.0896756,0.287123324138621,0.561808282676675,7.46167603185393
"T7422",0.093208105,0.083196859,0.252647226,0.083801585,0.082872196,0.120906094,0.074992768,0.068256206,0.065731309,0.074122444,0.487277003458188,0.0318972309287321,5.0053473550334
"T7430",0.087393931,0.083537171,0.432218893,0.082643664,0.078931872,0.106807263,0.077652805,0.079492502,0.073808146,0.077174344,0.215518490714873,0.787418395905292,8.50746020464331
"T7432",0.087054477,0.082059316,0.465537447,0.080134948,0.09014652,0.094986916,0.076358977,0.091325512,0.074287958,0.122489209,0.390790045317213,0.277260495831785,6.14269450382688
"T7225",0.088192074,0.089468696,0.406785318,0.089492372,0.09285379,0.122121549,0.085870087,0.078299568,0.078609538,0.060367422,0.458738572624559,0.10361215001141,5.33777184725258
"T7227",0.080093286,0.082753955,0.195333428,0.081418235,0.082253781,0.120084477,0.080193216,0.086754386,0.084448059,0.094789303,0.332428894204474,0.433216093260629,6.86560489607392
"T7229",0.082624403,0.084407987,0.20232082,0.082460568,0.079293429,0.095929665,0.0833463,0.082020998,0.080509223,0.073539627,0.0243371944452668,1.97143283080974,13.9957937667231
"T7232",0.074481578,0.085902074,0.126099429,0.085884841,0.084428382,0.123372068,0.083114842,0.07578688,0.072472075,0.093739713,0.432887470607103,0.169027588388167,5.64099597639953
"T7233",0.070545909,0.079887489,0.307338879,0.081096565,0.099282779,0.083574475,0.076979349,0.11469519,0.112797558,0.087715041,0.429449044263532,0.177777028540513,5.681552784342
"T7235",0.085399695,0.080281702,0.399957958,0.083138461,0.084086767,0.0835907,0.075764544,0.093321266,0.10089051,0.094100904,0.0903057549692994,1.33887456882471,11.0636582818179
"T7236",0.063364142,0.080712706,0.163036401,0.085882314,0.094051613,0.114735075,0.077235621,0.08065689,0.086154274,0.094401153,0.394718220426645,0.267042497076399,6.09533039756833
"T7444",0.081605429,0.084134601,0.444815904,0.086312467,0.085016193,0.079339254,0.089027007,0.064377029,0.088732738,0.094014901,0.13620633795229,1.09752335753895,9.9449084472729
"T7241",0.063547262,0.074176091,0.429118558,0.080055806,0.086331789,0.083999032,0.071733861,0.109584872,0.081368479,0.063770686,0.430064045458753,0.176211112448661,5.67429419898277
"T7242",0.079411521,0.084740624,0.193587875,0.084536541,0.085915442,0.110839019,0.084926033,0.07697319,0.067670677,0.078510201,0.309277864140537,0.497898296182217,7.16543021466681
