"","mpaA","pgrR","ycjG","ycjY","pval","z","inv_cof_var"
"T6214",0.058341445,0.067382326,0.052961807,0.057191616,0.404257915761472,0.242341149033384,19.825554062046
"T6216",0.055441907,0.067382326,0.0644894,0.06015998,0.467268918230297,0.0821369173888283,13.2659898450885
"T6218",0.060304972,0.067382326,0.057321145,0.062301244,0.365956987544355,0.342580631514849,23.9298608937819
"T6177",0.062768027,0.08433867,0.062354899,0.064893159,0.185675427567251,0.893945867321879,46.5055171929147
"T6186",0.067506047,0.094433526,0.061308434,0.055646627,0.495489918351374,0.0113053390005853,10.3657900048184
"T6188",0.068225331,0.094128247,0.064211087,0.056853664,0.489889424834906,0.0253461671688246,10.9406918852704
"T6183",0.067759575,0.09754686,0.060355209,0.055488198,0.49998660011388,3.35885334325281e-05,9.90426804458166
"T7301",0.082803898,0.084852026,0.089705909,0.084851164,0.363476258775987,0.349182214631775,24.2001627949523
"T7306",0.082554124,0.0866964,0.099945328,0.089186338,0.495952603494543,0.0101454925641832,10.3183000783458
"T7311",0.076254618,0.084552063,0.077309231,0.085422009,0.441958409656394,0.146005787897987,15.881101526401
"T7312",0.083478908,0.089837618,0.0936539,0.093073854,0.44311074074759,0.143086987712643,15.7615912172432
"T7313",0.080013714,0.083145961,0.085467486,0.084041719,0.316920168422022,0.476328538531926,29.4061705764669
"T7314",0.0807121,0.080754736,0.080081587,0.080002235,8.01259749314373e-07,4.79800728752803,206.357359618694
"T7315",0.077380896,0.082918075,0.072334544,0.083523761,0.461364005507612,0.0969979643826489,13.8744755953493
"T7316",0.08408478,0.086087699,0.083430215,0.08570859,0.0648193785973061,1.51552795191321,71.9562032211929
"T7317",0.085384825,0.090293161,0.10317382,0.091898073,0.495281866090075,0.011826883570898,10.3871446536054
"T7319",0.078063385,0.081188204,0.076450306,0.081248092,0.293118166884206,0.544298129704675,32.189186315322
"T7320",0.085815725,0.088506014,0.085338102,0.088330379,0.141808896833322,1.07222765092735,53.8052669952073
"T7321",0.075025234,0.073834405,0.074833866,0.074043993,0.000552199119934835,3.26248549618025,143.485401159876
"T7322",0.078898256,0.081194004,0.079947932,0.083410551,0.276459926344784,0.593390488752578,34.1992735547848
"T7323",0.081437014,0.08532234,0.081867908,0.085151114,0.225470666752041,0.753846608397546,40.7691513289887
"T7324",0.087089431,0.088810697,0.088742491,0.087704846,0.01000650244491,2.32610396867941,105.145248105478
"T7326",0.087761147,0.084190448,0.078868591,0.080028852,0.431116487887429,0.173532383329899,17.0081783118036
"T7328",0.086142955,0.086276072,0.083468593,0.08480856,0.0955900272383667,1.307096162374,63.4219610585313
"T7330",0.082436619,0.085243002,0.085080579,0.084917104,0.126054415160138,1.14524222763847,56.79484972841
"T7332",0.076318203,0.079776822,0.079967452,0.079936881,0.249928166679279,0.674715817201062,37.5291401191498
"T7334",0.089211824,0.085527002,0.087133131,0.081357067,0.392184273321905,0.2736305598204,21.1066993680175
"T7336",0.090839028,0.091463852,0.091698542,0.088421157,0.145430455133909,1.05623489881716,53.150443565166
"T7338",0.074080888,0.079434622,0.07895869,0.083245291,0.429499743429296,0.177647921884713,17.176689088083
"T7340",0.088826161,0.087213278,0.083060899,0.083145629,0.349576481816326,0.386464129309286,25.7266712457456
"T7342",0.088187968,0.090636232,0.08858538,0.088582841,1.73553383282234e-20,9.20330474404606,386.732317659396
"T7344",0.087436993,0.087713021,0.087713049,0.08672341,4.19886743156273e-05,3.93275634419505,170.929649199856
"T7346",0.082479661,0.08639429,0.086652431,0.087784485,0.306160950080935,0.506761888806233,30.6522644743134
"T7348",0.087339819,0.084007856,0.079457805,0.079203966,0.424226769678531,0.191091969196387,17.7271557690905
"T7352",0.084145795,0.082646628,0.080538892,0.079595513,0.27886245561256,0.586224125544883,33.9058467259154
"T7354",0.092347343,0.089802589,0.080964489,0.081874842,0.465506497011707,0.0865704011288977,13.4475188908527
"T7358",0.086618572,0.090072324,0.08813683,0.088799685,0.0467708488578987,1.6770040099547,78.5678423854718
"T7360",0.078612721,0.07955793,0.07827432,0.078860494,1.68737835802966e-10,6.28050470311541,267.05823436584
"T7362",0.085348373,0.085702312,0.084483718,0.08312025,0.0557664922281431,1.59134042209806,75.0603457367732
"T7364",0.082300114,0.08199935,0.082154515,0.0793253,0.173216742532292,0.941529683404744,48.4538371222907
"T7366",0.08342745,0.085837078,0.083510314,0.08336712,4.56145804815571e-174,28.1025302588351,1160.56133667104
"T7368",0.08838679,0.087941444,0.096525109,0.083740129,0.461719998424757,0.0961014535963598,13.8377679502797
"T7382",0.083019546,0.085534623,0.095347,0.085018994,0.467229423403716,0.0822362511536451,13.2700570672994
"T7406",0.079605106,0.081523998,0.084926537,0.080988546,0.314877989129831,0.482070340892187,29.6412687440782
"T7408",0.089486298,0.085771892,0.09457393,0.085300837,0.408909798510309,0.230350274953925,19.3345875767401
"T7392",0.087490014,0.092045546,0.102850701,0.092698106,0.478823652780161,0.0531061824036586,12.0773260473481
"T7398",0.083024805,0.084572589,0.085388054,0.083393806,0.0852567763842442,1.37055553305096,66.0203057642242
"T7400",0.088607415,0.086351317,0.08166607,0.081589107,0.394761322684785,0.266930535603248,20.8323667947988
"T7402",0.090732182,0.086707522,0.080428467,0.079927333,0.462826881177985,0.0933144378857727,13.7236535580467
"T7414",0.091291058,0.089329399,0.086361957,0.087446394,0.277138602965645,0.591363029855579,34.1162592255402
"T7416",0.089671345,0.083739884,0.076747493,0.086136362,0.473701176056204,0.0659691934024668,12.6040021894448
"T7418",0.082402206,0.08006352,0.079094753,0.081641859,0.183852063340977,0.900782212740519,46.7854314393896
"T7420",0.080215041,0.083126059,0.096088258,0.082786305,0.497720233261659,0.00571455886834882,10.1368754441739
"T7422",0.08173717,0.085165405,0.084693453,0.085145131,0.193630201938202,0.864596300285636,45.3037988129578
"T7424",0.086883662,0.086882961,0.085350387,0.086532149,0.00863690422369124,2.38082729283048,107.385895279709
"T7426",0.088752413,0.085613363,0.080042298,0.088777059,0.430724900940462,0.174528923534881,17.0489816626405
"T7428",0.079034774,0.080027166,0.080082764,0.080130149,0.00184373307769882,2.90372948724138,128.796132002023
"T7430",0.081327898,0.084583216,0.090027466,0.083346379,0.415455066596392,0.213534434969826,18.646062803671
"T7432",0.079557911,0.082245219,0.093119649,0.07994169,0.490232304714197,0.0244864279110816,10.9054898508852
"T7434",0.092199642,0.087026857,0.081804591,0.081160377,0.462789240903343,0.0934092001581579,13.7275336004443
"T7226",0.091054712,0.089037476,0.091103463,0.085364536,0.337887838006493,0.418234497000055,27.0275093380023
"T7228",0.085091911,0.087414966,0.087779022,0.085628893,0.10784045998074,1.23809477794394,60.5966985321818
"T7229",0.08412417,0.082195962,0.091543714,0.077124533,0.482630729835957,0.043552067920756,11.6861327134179
"T7230",0.085956163,0.087689014,0.089718979,0.085030324,0.269995611758302,0.612826262811583,34.9950715604778
"T7232",0.085688638,0.08533142,0.084340859,0.082661076,0.132558753922513,1.11437694942478,55.5310705358221
"T7233",0.080047567,0.08079316,0.089738704,0.079978582,0.45214082247975,0.120254375339848,14.8267096253976
"T7234",0.080624355,0.084997308,0.085901214,0.08548085,0.323592872162012,0.457675288437207,28.6424130240275
"T7438",0.089286061,0.084267149,0.092888847,0.078406123,0.484247433426013,0.0394960949697693,11.5200608515131
"T7235",0.08030797,0.083538359,0.093301629,0.083553065,0.473004715669899,0.0677188654335754,12.6756425320803
"T7236",0.082535996,0.086714055,0.08907608,0.088615817,0.367490644822729,0.338506818498834,23.7630585701972
"T7238",0.085583777,0.086847389,0.098203201,0.084754274,0.480772610662312,0.0482145915655395,11.8770398008717
"T7240",0.079728233,0.081134552,0.088322613,0.081296487,0.4200922789377,0.201657413213765,18.159758003134
"T7444",0.086629573,0.085231712,0.080551101,0.080183212,0.376611124825296,0.314393424494703,22.7757353588488
"T7241",0.075311979,0.080598793,0.091710854,0.082591275,0.497822500873535,0.00545820798011439,10.1263791539312
"T7242",0.084907758,0.084510569,0.08375959,0.083803018,0.00176859427954374,2.91673261682868,129.328545301433
"T7243",0.078618544,0.080075617,0.088446219,0.080293245,0.443875080617028,0.141151624721383,15.6823477559814
"T7244",0.084524247,0.086042681,0.084454665,0.084248569,1.10712471123081e-45,14.1380207132912,588.784323155278
"T7247",0.080360615,0.084462801,0.09377748,0.08459052,0.474002327067213,0.0652126941995775,12.5730273203637
"T7248",0.079183149,0.086310778,0.094763687,0.090850528,0.49038677311546,0.0240991187802997,10.8896314738056
"T7249",0.081586359,0.082168877,0.081982583,0.082248619,4.12818852129403e-09,5.76313894160029,245.874686955912
"T7250",0.082914669,0.089040664,0.092483428,0.092416793,0.438738545168917,0.154168231425092,16.215312876087
"T7255",0.083378978,0.087553646,0.097445905,0.087999741,0.474736442037227,0.0633687337172316,12.4975263359433
"T7257",0.078116752,0.088471632,0.089289024,0.080526963,0.459597908935112,0.101446761163903,14.0566316337714
"T7258",0.082262678,0.08678446,0.094727082,0.087655079,0.459060698251685,0.102800389026545,14.1120559431028
"T7448",0.081151727,0.080339972,0.078609946,0.078633659,0.13856197609984,1.08680284041546,54.4020483064136
"T7450",0.085219247,0.086585534,0.090951569,0.085603992,0.33606541348603,0.423225385738504,27.2318613382178
"T7259",0.084011748,0.082315181,0.080670465,0.081189677,0.191775151540666,0.871373403260257,45.5812873768404
"T7260",0.088790842,0.087900669,0.084416665,0.083678248,0.303298410215758,0.514937320697785,30.98700763274
"T7261",0.088338593,0.089239418,0.089246903,0.088906994,3.63580281714615e-06,4.48557941251302,193.564996468915
"T7262",0.088433263,0.092830861,0.092747447,0.092873407,0.260856407796122,0.640707384351446,36.1366644216907
"T7454",0.084353495,0.080393701,0.083042111,0.080278725,0.233460197790434,0.727498889152786,39.690343643435
"T7272",0.085740931,0.0885972,0.099946229,0.087529905,0.481802744042948,0.0456295852739766,11.7711966867624
"T7275",0.084383112,0.086142685,0.085931845,0.086026445,0.0216975148143465,2.01988777505699,92.6072223260144
"T7276",0.084563876,0.086767526,0.088488993,0.088540765,0.244570465842506,0.691675825573941,38.2235678686543
"T7277",0.083059015,0.080428353,0.077512777,0.077440445,0.359685247981147,0.359300238459358,24.6144454038723
"T7278",0.082927938,0.08335593,0.083265696,0.083534533,5.70890736457386e-11,6.44687730234878,273.870362468891
"T7279",0.079975602,0.081672303,0.08595614,0.081467894,0.342677034950629,0.405167939119721,26.4924989663611
"T7280",0.08293638,0.082236422,0.084175079,0.080488968,0.202497183449354,0.832734705145319,43.9992254116677
"T7281",0.073029373,0.077451826,0.07804822,0.079915667,0.387368829226641,0.286183398322255,21.6206754934466
"T7282",0.082843228,0.083138785,0.081995931,0.08212245,1.6129111697735e-05,4.1569091222044,180.107587427006
"T7283",0.074957609,0.077894993,0.080810688,0.081150262,0.377462846857725,0.312151099170108,22.683923321108
"T7284",0.084510788,0.083369931,0.082508952,0.080996681,0.183108257089289,0.903583084376334,46.9001131626499
"T7285",0.070773429,0.075236357,0.072443253,0.078924096,0.429292556759931,0.178175546464822,17.1982926829452
"T7286",0.079208153,0.080904785,0.078709468,0.08213686,0.20795588108138,0.813534346802152,43.2130665053284
"T7287",0.07154378,0.076051987,0.079911413,0.081125384,0.451812731187189,0.121082787588475,14.8606289750129
"T7288",0.077342457,0.080408732,0.080546893,0.083537693,0.347336266749404,0.392522034935519,25.9747122654342
"T7480",0.087014977,0.086005552,0.090765186,0.082238587,0.399953621016024,0.253467151241694,20.2811083580483
"T7486",0.083595799,0.079874712,0.082626899,0.073146074,0.461899912757498,0.095648397771873,13.819217574025
"T7490",0.073615579,0.076307721,0.070632999,0.074386055,0.255885411845788,0.656082841799973,36.7662127142882
"T7492",0.084596361,0.084768977,0.082151701,0.081560146,0.155284613989044,1.01402834336402,51.4222956378019
"T7494",0.085886633,0.085886674,0.085913317,0.086195414,1.17490724522295e-33,12.0341713781113,502.642186488534
"T7289",0.076461037,0.082213786,0.080005332,0.0856428,0.427084333364462,0.18380215342888,17.4286741736552
"T7290",0.081747685,0.085391843,0.083806648,0.086829672,0.287078699545008,0.56193926661878,32.9115028812474
