"","argA","argB","argC","argE","argF","argH","argI","argR","artI","artJ","artM","artP","artQ","lysO","pval","z","inv_cof_var"
"T5757",0.1243123,0.096062729,0.149826196,0.141264473,0.223328464,0.106503878,0.087134892,0.087123798,0.203270875,0.100678545,0.14228452,0.129310444,0.180587643,0.090430199,0.0270633328430215,1.92582150185866,3.03184615866376
"T5759",0.115627137,0.095821009,0.127973224,0.118086987,0.217249268,0.11366576,0.089586339,0.09661721,0.186094935,0.124708085,0.132185764,0.114227247,0.181555385,0.095654622,0.00902814502058796,2.36446178616815,3.34455887763097
"T6892",0.244728963,0.230006332,0.092698339,0.062787385,0.324655784,0.208916504,0.066666582,0.10172813,0.323656127,0.199652948,0.184181382,0.144112695,0.291882759,0.064530139,0.360699220347469,0.35659043289654,1.91311964900114
"T6894",0.131287554,0.183098642,0.157873805,0.107924813,0.2814918,0.162076219,0.111908367,0.132225807,0.267174708,0.169797514,0.156942104,0.155734847,0.220319273,0.108600308,0.0247000836630913,1.96512158136751,3.05986372831809
"T6896",0.104783117,0.186738173,0.063226839,0.106618732,0.298633504,0.159729945,0.116116783,0.121544503,0.244640329,0.164940164,0.171161826,0.105041195,0.104854072,0.105765511,0.180641292424759,0.912923865410084,2.30973743937929
"T6898",0.127500742,0.161046867,0.132447521,0.119102051,0.262960522,0.150767686,0.128814692,0.128094981,0.273475119,0.139409115,0.152079256,0.1440219,0.192286716,0.088469396,0.0305694538686094,1.87248953958613,2.99382506592178
"T6900",0.089666792,0.233785381,0.061868158,0.088899841,0.321054334,0.196485784,0.068245433,0.103780504,0.273287432,0.191696992,0.198428481,0.086359384,0.216902155,0.110677121,0.356896755834009,0.366766079487648,1.92037400804334
"T6902",0.127500742,0.161046867,0.132447521,0.119102051,0.262960522,0.150767686,0.128814692,0.128094981,0.273475119,0.139409115,0.152079256,0.1440219,0.192286716,0.088469396,0.0305694538686094,1.87248953958613,2.99382506592178
"T6891",0.159294407,0.200945698,0.130007935,0.069193964,0.334011833,0.183377247,0.066263768,0.089440021,0.338415309,0.205775012,0.164869856,0.166379635,0.301313808,0.080748534,0.3554405800671,0.370672923068076,1.92315925080903
"T6893",0.117226448,0.184895654,0.155991143,0.079874657,0.311713463,0.151263589,0.080671042,0.09948066,0.278520696,0.171992007,0.066268242,0.151163945,0.259037637,0.063621918,0.350509911600065,0.383944176081233,1.93262051043862
"T6895",0.170404569,0.222938964,0.094862751,0.058969657,0.30373186,0.208539873,0.100195304,0.121780866,0.291143786,0.199838415,0.173899802,0.059140086,0.194490431,0.058589899,0.331253110393154,0.436455580276787,1.97005661599064
"T6897",0.160018704,0.187235069,0.152189433,0.084602527,0.289107622,0.148918359,0.110627494,0.114421107,0.142740973,0.171513109,0.166816352,0.130332305,0.126828417,0.082004022,0.0435303540887782,1.71111054351189,2.87877574999764
"T6899",0.173271638,0.225378388,0.042222634,0.064780369,0.305156636,0.171024568,0.073272309,0.110067965,0.275055898,0.207404696,0.208095382,0.067881288,0.270621722,0.109354362,0.377277170418202,0.312639794665283,1.88178663178117
"T6901",0.105383382,0.16617741,0.095672853,0.098563597,0.206971171,0.133937705,0.11167878,0.11384076,0.245942192,0.160876362,0.140079101,0.147480379,0.161425823,0.101483008,0.0137889481177842,2.20323916477316,3.22962104337615
"T0871",0.091618696,0.078806092,0.147385732,0.212643757,0.131354009,0.161966684,0.082978219,0.128163872,0.09743899,0.287009775,0.072600189,0.280827627,0.21338078,0.051947251,0.364616329220287,0.346146447458132,1.90567398748731
"T0896",0.602416534,0.60172242,0.591193241,0.602486107,0.394158585,0.167491702,0.593287291,0.116605083,0.301391867,0.435019011,0.136461743,0.290375621,0.15554665,0.055603323,0.473602760984961,0.0662164227950995,1.70610800537342
"T0900",0.620652626,0.364750473,0.62295482,0.603517798,0.54551977,0.323978286,0.618959954,0.145811755,0.1705943,0.604966902,0.155853001,0.230325088,0.189951337,0.034726951,0.479372386551912,0.0517288197899632,1.69577959302939
"T1658",0.09681653,0.139001481,0.1249286,0.183010592,0.161054448,0.154102271,0.007031888,0.111412452,0.056505462,0.078878122,0.049576544,0.113186854,0.171757954,0.088224292,0.240850012390273,0.703570922618838,2.1604868340294
"T1659",0.110821033,0.146027573,0.138779905,0.184751912,0.166011144,0.157067499,0.028860825,0.037483255,0.052840231,0.096588169,0.053889413,0.126963971,0.182478826,0.078283549,0.286110847787061,0.56478252344837,2.06154266675113
"T1660",0.077706448,0.127450356,0.109064673,0.152241853,0.14231671,0.13283094,0,0.247307926,0.188437307,0.060729249,0.053702718,0.083965316,0.182182676,0.09385581,0.392263012992837,0.273425665475539,1.85383033729681
"T1724",0.296233445,0.296265683,0.296784848,0.265977896,0.247263327,0.274567288,0.192530632,0.151872832,0.064572589,0.175073456,0.037005413,0.036928527,0.233969144,0.044126879,0.413353462933083,0.218926984318492,1.8149774745426
"T1725",0.237886079,0.314927681,0.298074692,0.314951476,0.228867955,0.303907428,0.13236422,0.152995393,0.041151431,0.321806208,0.085445779,0.078904083,0.256772118,0.05249511,0.376225949462914,0.315407992831721,1.88376011849963
"T8308",0.054766002,0.106853977,0.066579578,0.146597929,0.161674214,0.166805852,0.243631514,0.104601504,0.244374042,0.046967118,0.100391892,0.208639215,0.135722467,0.041933204,0.365393461575423,0.344078936447907,1.90420003032325
"T8318",0.117211727,0.272255544,0.221421383,0.09960228,0.272115832,0.259015364,0.18741579,0.137608739,0.044967465,0.164608011,0.039789415,0.225307739,0.204325897,0.039034947,0.35703149192354,0.366404873294857,1.92011649915805
"T2154",0.056351902,0.081440109,0.05616903,0.094055797,0.123120055,0.059674711,0.055894172,0.075358818,0.229276663,0.129670688,0.135573603,0.179949731,0.058143352,0.01931635,0.479322598971873,0.0518537862347449,1.69586868333441
"T2119",0.066540171,0.212854931,0.219796216,0.148972986,0.094602654,0.204387685,0.054455062,0.138675622,0.220685691,0.076768504,0.069312508,0.091326707,0.078647053,0.021969971,0.440237817239928,0.150366291339479,1.76609960927882
"T6037",0.068289397,0.066859353,0.073313963,0.209122281,0.115393164,0.070474365,0.185492451,0.132884346,0.067225119,0.071249206,0.073090056,0.205900813,0.091443496,0.069048786,0.330498034403256,0.438538360387493,1.97154145870739
"T6039",0.074708707,0.070373477,0.081412395,0.230752009,0.107175906,0.080245713,0.242375613,0.137381382,0.075644625,0.079010358,0.082732256,0.205900813,0.096083054,0.069048786,0.385021146472954,0.292319575639974,1.86730006689254
"T6044",0.551080618,0.57344202,0.262587791,0.59879118,0.594828862,0.227737994,0.500503772,0.113672762,0.458937979,0.585577883,0.049438093,0.205900813,0.206171327,0.069048786,0.491165427060688,0.0221468006207788,1.67469016285655
"T6050",0.067663338,0.067473292,0.073108443,0.221573859,0.114402031,0.070395473,0.154089118,0.145957256,0.068178239,0.07096824,0.072754801,0.205900813,0.087446135,0.069048786,0.333946441071776,0.429041694602575,1.96477115446276
"T6052",0.072220686,0.069959842,0.080453801,0.180242658,0.103991398,0.079073276,0.231731246,0.136158688,0.070030545,0.078705364,0.081290362,0.205900813,0.089641151,0.069048786,0.319413361679632,0.469339866713605,1.9935002781229
"T6055",0.557874325,0.574356157,0.273586023,0.441324787,0.570689123,0.079020001,0.518843311,0.14907859,0.554607785,0.432344166,0.05450079,0.205900813,0.268272687,0.069048786,0.496389163889192,0.00905114747215942,1.6653540907965
"T6061",0.060424306,0.09684844,0.069683197,0.103400415,0.105499994,0.066416919,0.254021512,0.185358528,0.137233658,0.067105207,0.069879188,0.205900813,0.075239432,0.069048786,0.408143614888695,0.232322896853943,1.82452760566793
"T6063",0.060893375,0.09937785,0.066461867,0.15068221,0.088292277,0.064757189,0.240850218,0.146636577,0.076351101,0.065254896,0.067696721,0.205900813,0.073671672,0.069048786,0.413618602135528,0.21824631024407,1.8144922125907
"T6068",0.472903808,0.549616922,0.323409042,0.507366984,0.547243832,0.198860926,0.501948929,0.150753758,0.460580919,0.515283639,0.046024991,0.205900813,0.303300383,0.069048786,0.374574731453264,0.319761067489374,1.88686348556544
"T6074",0.071708972,0.104483927,0.069629557,0.164091449,0.095222655,0.067560458,0.09615292,0.133767672,0.13294239,0.067307383,0.069852927,0.205900813,0.071005098,0.069048786,0.165494605980028,0.9721232999482,2.35194153416479
"T6076",0.079622393,0.102121466,0.063882878,0.16042123,0.087743704,0.062821927,0.094128501,0.134229152,0.140273623,0.062928275,0.066177249,0.205900813,0.064748643,0.069048786,0.207118021492256,0.816461835190244,2.24096832530982
"T6092",0.460799936,0.586013341,0.496229049,0.471369134,0.580739689,0.148900837,0.319216458,0.079283316,0.555350425,0.593597359,0.044225724,0.205900813,0.340807043,0.069048786,0.48031521052285,0.0493624891207783,1.69409260320194
"T6131",0.069707391,0.051704466,0.081994696,0.174007759,0.053272628,0.077763636,0.238272462,0.050449175,0.079816284,0.076901587,0.086187754,0.205900813,0.118128333,0.069048786,0.474182749158075,0.0647594871007863,1.70506933578783
"T6178",0.393986311,0.374441416,0.411125738,0.363688844,0.412466067,0.209937623,0.191126527,0.043736316,0.407571205,0.410883499,0.072975136,0.205900813,0.07682808,0.069048786,0.460506192963518,0.0991585487263524,1.72959290208039
"T7302",0.12194547,0.037375117,0.188062222,0.181722289,0.057979645,0.101083049,0.082169902,0.089566831,0.288067679,0.088474601,0.086201762,0.107391568,0.073557283,0.086607647,0.45185959464901,0.12096445488259,1.745138633851
"T7392",0.092024635,0.085947203,0.135424054,0.16065224,0.069052604,0.091381458,0.089000603,0.091424455,0.24306755,0.083288569,0.088629045,0.09569176,0.062103924,0.0914979,0.199012233930824,0.845154705497472,2.26142386897442
"T7444",0.083529367,0.094149354,0.209195056,0.170992091,0.078268417,0.082504484,0.084370687,0.083887995,0.287650952,0.091179721,0.084251575,0.082317345,0.059869778,0.085584636,0.449624611566847,0.126609821421509,1.74916329365335
"T7241",0.075266979,0.069040953,0.208884556,0.186945185,0.06043046,0.101904954,0.08036826,0.0817138,0.08196961,0.080260769,0.076580695,0.11724622,0.102071796,0.081818936,0.191816904675416,0.8712204255506,2.280006480926
"T7242",0.084305379,0.06451883,0.199993546,0.179431449,0.077947818,0.087863651,0.084769308,0.084383929,0.083302081,0.084739436,0.084662408,0.102837748,0.075489917,0.084257957,0.124721497001751,1.1517033529284,2.47996663502418
"T7243",0.080066631,0.083850397,0.189232577,0.162137001,0.070955672,0.080857157,0.079766057,0.080270671,0.112250111,0.07891914,0.082889027,0.103735297,0.076999897,0.080124653,0.0620984827269534,1.53739354781654,2.754930503681
"T7244",0.084233815,0.060572986,0.187916264,0.157919215,0.072089799,0.084940104,0.086102531,0.085567062,0.185645853,0.083405195,0.083774297,0.097422371,0.076612584,0.085707104,0.136798211913432,1.09481789761856,2.43941220800061
"T7450",0.087653493,0.085861593,0.205745455,0.167357796,0.074542832,0.113396768,0.086443889,0.086489846,0.27193973,0.084028984,0.085665383,0.085979519,0.069627789,0.086419814,0.361818044726901,0.353603448696727,1.91099018669672
"T7263",0.103464928,0.078683864,0.227636087,0.179635942,0.073764628,0.108632104,0.088446477,0.088262784,0.298739226,0.080147918,0.087084429,0.100379477,0.058102449,0.088481443,0.460448298597832,0.0993043846304077,1.72969687051127
"T7264",0.099115299,0.066142869,0.205787409,0.164229699,0.063877581,0.093106466,0.088976147,0.091849299,0.314584975,0.088574551,0.079697552,0.098716053,0.073948091,0.091084894,0.490137755023826,0.0247235005904244,1.67652712786477
"T7265",0.106030303,0.078129747,0.218859198,0.186338444,0.070371301,0.112158608,0.087205829,0.087475619,0.240337595,0.086756711,0.084147819,0.100381099,0.05809332,0.087259818,0.314827164682306,0.48221344128402,2.00267802729631
"T7266",0.095376014,0.06858573,0.185085829,0.151248416,0.066545278,0.091209663,0.091425391,0.092558041,0.245476835,0.091571323,0.085639512,0.092181294,0.070299211,0.092722973,0.252040174889119,0.668083411997779,2.13518729740987
"T7454",0.11841317,0.080840833,0.200102182,0.179562605,0.080753156,0.114547558,0.079800768,0.079027995,0.139093101,0.078723333,0.085278623,0.084746905,0.079464169,0.082513278,0.0875240945286752,1.35616024143693,2.62572677563171
"T7456",0.074702027,0.059460029,0.16774106,0.175516546,0.07244534,0.074432729,0.080561895,0.077550611,0.205268038,0.076799353,0.072623636,0.076945057,0.056422742,0.078696208,0.312115141031783,0.489863797847542,2.00813207218827
"T7458",0.051196891,0.051223677,0.101118586,0.16696975,0.069771842,0.077595769,0.078418705,0.077654018,0.117194765,0.076647737,0.073533753,0.075109642,0.064841404,0.07795578,0.0547606750767746,1.60034824280798,2.7998117755266
"T7460",0.079171974,0.057191372,0.137102624,0.164172636,0.066098809,0.077404898,0.079100293,0.080294474,0.089248762,0.076081291,0.06006792,0.079220964,0.076278463,0.078165259,0.0374921970316774,1.78055978709177,2.92828707526105
"T7464",0.073444259,0.060818617,0.113081061,0.142648823,0.067295536,0.0728103,0.079058521,0.079724091,0.10487206,0.077030302,0.076835337,0.075942414,0.053658344,0.079161449,0.00343833986287623,2.70275797913547,3.58573490751979
"T7492",0.084543667,0.079933422,0.197893429,0.170549559,0.070355453,0.102489722,0.084988298,0.084130865,0.249607055,0.075668409,0.085032619,0.107919911,0.076656045,0.084280519,0.301997625567591,0.518663740780544,2.02866394940711
"T5290",0.141035284,0.092525739,0.163576842,0.1459389,0.144274662,0.132646444,0.076042982,0.076504262,0.243644191,0.055582518,0.142447355,0.132018109,0.231375695,0.078446269,0.155963875860935,1.01118529666715,2.37978937130884
"T5292",0.121709977,0.149503705,0.1522457,0.12857607,0.117936424,0.153030232,0.077702519,0.084010305,0.23538425,0.066774794,0.106158484,0.119668985,0.225741086,0.077955333,0.110257037093998,1.22516230429048,2.53233653636391
"T5294",0.099107981,0.112028835,0.174037877,0.159500829,0.071021468,0.157897252,0.074850799,0.072445919,0.175203178,0.081738658,0.117358036,0.142008112,0.198738814,0.081674877,0.0612168503891506,1.54463861353437,2.76009561112955
"T5296",0.120935568,0.117678372,0.16281997,0.14736343,0.148224099,0.113269601,0.083004464,0.08355937,0.237338226,0.100226888,0.11234271,0.134609731,0.226698054,0.085124413,0.0607847959340319,1.54821894408531,2.76264807824539
