"","crp","lsrA","lsrB","lsrC","lsrD","lsrF","lsrG","lsrR","oxyR","rbsR","tam","pval","z","inv_cof_var"
"T1815",0.350333622,0.07304041,0.078663015,0.060245609,0.073401922,0.06738553,0.08571998,0.056232595,0.076895253,0.057547863,0.093036429,0.0883927727952512,1.35071874403408,5.96618441546328
"T1816",0.278547052,0.082839259,0.08792353,0.063516757,0.083158437,0.079123903,0.092541832,0.07190455,0.068599621,0.062656882,0.088825101,0.0311225232250412,1.86454615393876,7.23495496803639
"T1817",0.337134226,0.07925656,0.083448527,0.065620982,0.079749638,0.076653133,0.087068484,0.067063484,0.065214332,0.063953866,0.091138977,0.0205962869845869,2.04158641519574,7.67211239828009
"T1818",0.310151535,0.075214743,0.08350397,0.051444652,0.076085346,0.06952959,0.0926948,0.053085436,0.048630346,0.049627559,0.087328648,0.278097455349029,0.588502716998496,4.0840791965505
"T1819",0.275447606,0.07522869,0.083895793,0.04469737,0.076508525,0.069617144,0.093173078,0.050823774,0.051048337,0.043397139,0.079183397,0.32536835081041,0.452738987981166,3.748844021929
"T1820",0.287178413,0.072604948,0.080901269,0.046844046,0.073590253,0.064686159,0.089287434,0.049557282,0.050217665,0.045413606,0.083998436,0.297704927337551,0.531012878694216,3.94212216485733
"T1821",0.304569839,0.082510202,0.091022228,0.051124142,0.083595935,0.077594803,0.099890336,0.060448125,0.073429032,0.049844639,0.08332319,0.222395521059019,0.764127875351961,4.51774237783389
"T1822",0.292003387,0.078602904,0.085372089,0.049728926,0.079558858,0.07239822,0.091724014,0.057155732,0.080034733,0.049576596,0.070322427,0.184287696583006,0.899145072022519,4.85113417423174
"T1823",0.314737066,0.073218566,0.081591279,0.038715228,0.074250304,0.06684674,0.089858716,0.047804786,0.095812891,0.038287579,0.070519765,0.384224415367777,0.294404497339012,3.3578758966188
"T1714",0.407598453,0.104652745,0.094057312,0.041740323,0.059452401,0.052026074,0.104769726,0.043385559,0.064275445,0.04375483,0.071133825,0.485492386731533,0.0363732123822103,2.72073103107625
"T1715",0.477057118,0.064567626,0.071960914,0.041379707,0.068416886,0.05977751,0.076611638,0.050869973,0.046483981,0.041475919,0.062164975,0.211783167546777,0.800249362612086,4.60693551636127
"T1716",0.500110983,0.066597822,0.071468262,0.048603553,0.068895296,0.06321045,0.074718416,0.070254423,0.059720643,0.052542885,0.072901999,0.0276562269996411,1.91641373435663,7.36302921514521
"T1067",0.391735232,0.051642067,0.054576711,0.038805908,0.051667591,0.050527478,0.059006325,0.046021392,0.074637737,0.039740212,0.045709272,0.173895806217548,0.9388814534917,4.94925340590773
"T1068",0.425208487,0.047916575,0.049987729,0.039168159,0.04795714,0.048005919,0.053799963,0.044845294,0.076631794,0.039759363,0.044764156,0.205770372169429,0.821185272026422,4.6586316011637
