"","mngA","mngB","mngR","pval","z","inv_cof_var"
"T5150",0.147751838,0.137395457,0.157786447,0.462261441697614,0.0947380637974383,14.4807538533787
"T5152",0.148012862,0.14266063,0.166774786,0.484160578315698,0.0397139792606983,12.0413524691254
"T5724",0.115756865,0.100849248,0.103102911,0.473192712292445,0.0672465535687371,13.2619634151238
"T5740",0.092527595,0.082837653,0.086476877,0.432379020793695,0.170320561730938,17.8315783448103
"T5748",0.130073457,0.10981613,0.11594941,0.48976460676535,0.0256591414328314,11.4182545813293
"T5754",0.080034876,0.070733762,0.072472938,0.457180423885734,0.10753967995958,15.0482922404237
"T2414",0.048617581,0.048860111,0.045370478,0.374741923361002,0.319320028218042,24.4372221799014
"T2425",0.04314181,0.045187843,0.050543673,0.483535461687118,0.0412821999256296,12.1108769272432
"T2426",0.040986267,0.040321766,0.0459167,0.467694367732432,0.0810669170125436,13.8746662706015
"T5662",0.103922059,0.091438304,0.108238141,0.48813527317928,0.0297448452917207,11.5993874749147
"T2680",0.038277597,0.037377927,0.038294546,0.0804645942018391,1.40195331394172,72.4339704778164
"T2682",0.079498958,0.071973105,0.069175539,0.468583848548524,0.0788301818488922,13.7755043326909
"T0246",0.060569397,0.066660131,0.067707024,0.441026390908636,0.148367456402224,16.8583238876322
"T0256",0.05076299,0.054817324,0.051140678,0.38429432189679,0.294221511703239,23.3245211428122
"T0257",0.070988653,0.077782484,0.078741054,0.43138449719491,0.17285043227164,17.9437359527183
"T0587",0.064071436,0.071380753,0.072248724,0.453910164284803,0.11578829346458,15.4139808179199
"T0588",0.077005031,0.077449697,0.078428304,0.0148950482247372,2.17287008650851,106.611284975214
"T0596",0.040676398,0.034137939,0.039058321,0.492210850414357,0.0195257432291483,11.1463405605108
"T0574",0.042622118,0.041946297,0.042822174,0.0317976613886448,1.8550063291279,92.5193233135799
"T0575",0.035792607,0.035836899,0.038467803,0.378858931332953,0.308479019115963,23.9566040499867
"T0576",0.031698101,0.035636615,0.033877195,0.438879260330039,0.153811303926518,17.0996678245324
"T0578",0.045613572,0.038732307,0.040391768,0.48832187936014,0.029276889233225,11.5786414204101
"T0579",0.036174248,0.03086271,0.032088074,0.48560857498793,0.0360817804330175,11.8803249677553
