"","cirA","crp","entA","entB","entC","entD","entE","entH","fepA","fiu","fur","pval","z","inv_cof_var"
"T1707",0.102412832,0.903133806,0.089095541,0.148720754,0.094015196,0.072332583,0.093318072,0.157547085,0.101283766,0.071922589,0.496529888,0.401817358983067,0.248645877002559,3.41342542755448
"T1916",0.073064793,0.29979495,0.059594316,0.077896413,0.070861718,0.03683347,0.064439919,0.087604242,0.074788792,0.036941463,0.399847201,0.358076740096191,0.363604347055379,3.6717372021341
"T1917",0.064765303,0.228996856,0.051323597,0.072208458,0.064511776,0.031570457,0.056878086,0.082781664,0.067774715,0.031574825,0.504303075,0.416513098292681,0.210821966995426,3.32843507137634
"T1918",0.075610815,0.267936273,0.068143996,0.08869397,0.06399026,0.045098672,0.072491095,0.097840281,0.07677298,0.04629494,0.270026272,0.297315287471162,0.532137776676966,4.05043195391308
"T1919",0.06014889,0.235766277,0.050052134,0.071425669,0.060101195,0.052442061,0.053618254,0.082970249,0.061670661,0.051180704,0.242463023,0.111775665745871,1.21713900754592,5.5896302700849
"T2326",0.074072119,0.354874608,0.056702368,0.070276858,0.062662844,0.05647978,0.057470727,0.084190684,0.067415792,0.058359952,0.319895182,0.0384502244100548,1.76896060672591,6.82957384683968
"T2327",0.068600369,0.349399382,0.051937148,0.064808392,0.057284751,0.057807827,0.052769237,0.075005771,0.061967093,0.060638477,0.324096343,0.00843008624914605,2.38974286322467,8.22447207600071
"T2328",0.075816788,0.352962446,0.057333378,0.071769913,0.063569018,0.056818374,0.058561432,0.081396754,0.066180769,0.05816528,0.317684576,0.024280976888914,1.97241760468585,7.28674188473657
"T2329",0.093190535,0.44329637,0.078504663,0.091434725,0.087999069,0.056066857,0.083286412,0.096249028,0.090176772,0.056109291,0.321268549,0.136159266112798,1.09773886822539,5.32133806109177
"T2330",0.108438526,0.464602917,0.080169818,0.106806166,0.09789039,0.045451722,0.087912879,0.113511729,0.103994081,0.045229674,0.328257762,0.412342669145692,0.221522860907774,3.35247998859572
"T2331",0.083557249,0.446800503,0.073411935,0.083373059,0.08013133,0.060132477,0.075875394,0.086727672,0.082655786,0.060583885,0.321507112,0.0153980117497109,2.15969842130591,7.70756203016493
"T2332",0.058520041,0.379939843,0.034497667,0.050406015,0.043494104,0.037534466,0.038103241,0.06652737,0.048803614,0.039946487,0.303410307,0.253482873904245,0.663569712132452,4.34575961848918
"T2333",0.047577873,0.349378086,0.027601986,0.044038586,0.033474149,0.04474167,0.029661081,0.061416204,0.041182966,0.048251841,0.252798372,0.308655392359258,0.499665278672006,3.97746622480377
"T2334",0.0476284,0.352398456,0.028273111,0.043670213,0.034287216,0.047671818,0.030322699,0.060539556,0.040762468,0.050609195,0.25948953,0.290184466140067,0.552845904310015,4.09696313334384
"T2525",0.097309556,0.232658292,0.058816891,0.089564742,0.075525923,0.041893431,0.06426108,0.104846889,0.087347456,0.040300953,0.11339356,0.452226115521341,0.120039028696255,3.12444573607258
"T2526",0.086977579,0.332298486,0.056561587,0.081192678,0.06997185,0.039150795,0.060843737,0.092711446,0.079624614,0.0353376,0.280947899,0.426961619035993,0.184115001612842,3.26842449870221
"T2647",0.099167319,0.332173611,0.078793417,0.094091422,0.088295189,0.049900454,0.080099311,0.097340469,0.072617688,0.050465937,0.141742142,0.267067314158932,0.621706877769955,4.25169379603921
"T2648",0.111705009,0.300647326,0.085235894,0.106551176,0.098649963,0.050381408,0.088818449,0.116332273,0.086395427,0.048597578,0.075838451,0.370851416128114,0.329599193258305,3.5953275942284
"T2665",0.089726386,0.184688762,0.064586693,0.073868136,0.068307146,0.040841018,0.065579474,0.094208218,0.074688186,0.039576877,0.175945939,0.364976152439876,0.345188977347342,3.6303578516031
"T2936",0.076692773,0.836815467,0.046578648,0.075107501,0.071989013,0.052333428,0.045575856,0.079941244,0.073837495,0.050733911,0.461815982,0.241997082944823,0.699892941399318,4.42737794383812
"T2937",0.081367668,0.843687713,0.049281659,0.080563974,0.05401021,0.055948136,0.03970547,0.086578602,0.079373906,0.043437834,0.471740909,0.397093357821353,0.260877838355153,3.44091065454233
"T2938",0.077332953,0.835581898,0.044093461,0.075586617,0.072573912,0.053243948,0.046446783,0.080698867,0.074377967,0.051678531,0.462153989,0.25503243463687,0.658736688172021,4.33489980976668
"T4075",0.062708436,0.439251565,0.160297984,0.14517761,0.10733914,0.075965216,0.145904434,0.167978258,0.128854852,0.143824759,0.435700823,0.39927311411997,0.255229007250301,3.4282177265108
"T4077",0.067649214,0.528278138,0.160808406,0.148576096,0.116066872,0.063478475,0.145664335,0.16725679,0.131470368,0.146172949,0.527773558,0.414248176130099,0.216630451615118,3.341486740984
"T4083",0.067706538,0.412153675,0.155577423,0.141620195,0.115078493,0.05940206,0.150420753,0.166632392,0.130478444,0.13847229,0.452787502,0.421454461824713,0.198174006898969,3.30001509487677
"T4085",0.064584402,0.427669917,0.155223877,0.140527422,0.113632352,0.060376883,0.151292888,0.167817007,0.130808857,0.137349448,0.417381383,0.431538188245137,0.172459400888909,3.24223435451007
"T5142",0.196271218,0.100581021,0.140078997,0.17251054,0.156323035,0.148314985,0.190184324,0.230195683,0.196895487,0.170614361,0.128466859,0.0641235793625422,1.52105052485434,6.27251969367461
"T5144",0.160498071,0.115796218,0.139031269,0.157933257,0.146712527,0.1548462,0.17090806,0.206336172,0.210212988,0.15630057,0.146959454,0.0446736613660025,1.69885067491743,6.67203677373158
"T5146",0.168233763,0.114861009,0.129766812,0.164903161,0.146397187,0.157884405,0.18521678,0.233213769,0.215042895,0.162752818,0.156594115,0.136500777120311,1.09617647118012,5.31782735367564
"T5148",0.161373434,0.112266788,0.132985974,0.162124647,0.14573053,0.155158221,0.180276931,0.224502757,0.208751922,0.16002158,0.151143482,0.0985246346073609,1.29000400020271,5.75335796713287
"T5150",0.241926595,0.110221791,0.135646038,0.163348988,0.148381992,0.152920169,0.179818184,0.222950181,0.200504318,0.161417381,0.134004161,0.17542452099737,0.932943691718813,4.95104316706597
