"","fpr","marA","pqiA","pqiB","pqiC","soxS","waaB","waaG","waaJ","waaO","waaP","waaQ","waaS","waaU","waaY","waaZ","pval","z","inv_cof_var"
"T6184",0.240548578,0.047187585,0.053553269,0.092815858,0.090388007,0.047175496,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.066910082,0.118045882,0.073032129,0.446986722048369,0.133278103344429,2.36811923147036
"T6185",0.115885935,0.048994568,0.048213216,0.08250224,0.090388007,0.523936382,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.0521445,0.118045882,0.073032129,0.202894802021066,0.831325798981368,3.04305966293471
"T6187",0.060429496,0.047366024,0.044707623,0.077231042,0.090388007,0.409913064,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.047814451,0.118045882,0.073032129,0.319370833024966,0.469458885874618,2.69317152206479
"T6190",0.044889944,0.047234756,0.050810389,0.085698854,0.090388007,0.078885058,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.054422944,0.118045882,0.073032129,0.312361886005463,0.489166574071488,2.7122268325513
"T6192",0.047616083,0.04912568,0.053249386,0.099519431,0.090388007,0.076243914,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.056754077,0.118045882,0.073032129,0.27102129551646,0.609727112906416,2.82879649191329
"T6194",0.04767552,0.049447841,0.052934217,0.095369866,0.090388007,0.0796586,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.056062231,0.118045882,0.073032129,0.277491333578812,0.590310252384174,2.81002238191984
"T6196",0.045491632,0.048464669,0.052592214,0.137286348,0.090388007,0.077645652,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.058837821,0.118045882,0.073032129,0.28777836277374,0.559886693517155,2.78060592502623
"T6197",0.045067779,0.050391622,0.047921706,0.049794928,0.090388007,0.245829604,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.049101027,0.118045882,0.073032129,0.420466151567355,0.200701095405778,2.43331034038303
"T6199",0.046440158,0.050161293,0.048850935,0.080901789,0.090388007,0.050562519,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.055688537,0.118045882,0.073032129,0.316871553708716,0.476465040865798,2.69994575440193
"T6201",0.049426823,0.049179697,0.049766791,0.080004369,0.090388007,0.147256122,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.060000791,0.118045882,0.073032129,0.290743132713073,0.551215048393094,2.77222133477814
