"","htrE","ibpA","ibpB","ihfA","yadV","pval","z","inv_cof_var"
"T4031",0.0956363,0.092241645,0.073414273,0.198743838,0.089419961,0.335581690557058,0.424551875773087,8.90771926327024
"T4032",0.100471713,0.096391867,0.080598442,0.193788516,0.107139368,0.3509917421896,0.382644346534556,8.5280154261579
"T4033",0.082660236,0.074798485,0.067795738,0.210828579,0.088235876,0.341682446166955,0.407875756415896,8.75662501784173
"T4034",0.085721903,0.08042629,0.072207705,0.210635893,0.097202608,0.3724103345406,0.325476231009623,8.01004280358342
"T4087",0.088194316,0.07696902,0.088100476,0.084084542,0.099209817,0.304143143465023,0.512521200073906,9.70476672925375
"T4088",0.06994964,0.053093893,0.061035506,0.05249356,0.05402813,0.388323791287476,0.28369049098128,7.63144243955259
"T4090",0.097678505,0.065314584,0.083044831,0.069229263,0.095263884,0.469003971410613,0.0777738566400173,5.76573148962741
"T4091",0.075273632,0.075312202,0.107121933,0.183077157,0.105351597,0.499328245796326,0.00168383887623339,5.07631667000376
"T4093",0.098567595,0.098935731,0.091129363,0.183492878,0.130634356,0.46043520557542,0.0993373662458842,5.96110801236043
"T4095",0.06480724,0.064031783,0.064976893,0.0778828,0.087978008,0.457657070463053,0.106338052850628,6.02453784500726
"T4099",0.110226674,0.113509134,0.112276126,0.114014485,0.125808759,0.105098585541574,1.25302345439245,16.4140992158985
"T5038",0.069065558,0.070075964,0.058926545,0.216525427,0.074499856,0.279554716209334,0.584164813180135,10.3538948285552
"T5039",0.0529695,0.057678568,0.043702777,0.220834158,0.061891876,0.418557200478877,0.205585889082355,6.92377444823882
"T5042",0.078246301,0.061750548,0.067160556,0.22258973,0.075838354,0.322401443702532,0.460994031227243,9.23790399403373
"T5043",0.087687991,0.090850052,0.097471516,0.204415106,0.101487452,0.134134793336124,1.10705630234718,15.0915615065412
"T6967",0.096733674,0.091383524,0.084125906,0.192545012,0.127100024,0.490212508697337,0.0245360640751671,5.28336962092343
"T6981",0.094041004,0.080940384,0.092398275,0.196997911,0.100816096,0.250679772215048,0.672352138861731,11.1529174995265
"T6985",0.068944325,0.052966019,0.056234781,0.231339074,0.055487306,0.36636131520821,0.341506077481003,8.15528148322164
"T6988",0.067252067,0.066847106,0.056675432,0.219824385,0.054986376,0.3148565916736,0.482130585978192,9.42941208549362
"T6989",0.072446595,0.055428421,0.060799496,0.221732688,0.054014016,0.404830258768323,0.240864009135107,7.24341241768093
"T6992",0.072808966,0.067407496,0.059203199,0.219879853,0.059286311,0.303245696956996,0.515088191614754,9.72802499705443
