"","nadA","nadB","nadR","pnuC","pval","z","inv_cof_var"
"T0753",0.056463621,0.057571599,0.088917089,0.08397461,0.486178389008821,0.0346525748031957,4.23818208236895
"T0754",0.068256417,0.051184237,0.079301974,0.083041029,0.486457305184856,0.0339530241625619,4.23369466080949
"T0764",0.060241077,0.044086543,0.073476808,0.064581739,0.425969868931927,0.186644035732253,5.21316476269057
"T0773",0.056060038,0.064884907,0.062403838,0.051912974,0.232764149597022,0.729774066069563,8.69719188832366
"T0809",0.072974705,0.065850496,0.075958179,0.045024961,0.487338794611433,0.0317422650453902,4.21951325985164
"T0810",0.052575338,0.06682067,0.077518281,0.070140864,0.333823363233411,0.4293799720788,6.77024785395713
"T0821",0.04928745,0.074025718,0.084993166,0.065077817,0.438213287688456,0.15550073394249,5.01338919854081
"T0822",0.053193192,0.058546864,0.080091494,0.057152976,0.00564113494862932,2.53383233814883,20.2697207581477
"T0812",0.050246316,0.055752053,0.078824462,0.048827332,0.0578087461832739,1.57343774724491,14.1090582664374
"T0802",0.045153573,0.063476403,0.070321971,0.051568953,0.3938488978004,0.269301347133059,5.74338828001931
"T0813",0.061766805,0.061100086,0.071870538,0.06928275,0.058056360863422,1.57130111767732,14.0953523857916
"T0818",0.047912907,0.053349502,0.067438928,0.060680995,0.245945328751472,0.687304827262749,8.42476360827434
"T0321",0.148536773,0.105948303,0.057638212,0.102246732,0.462323470069432,0.0945818835644759,4.62261182420272
"T0692",0.493666923,0.390624657,0.098702445,0.49457679,0.283314634683877,0.57302278099625,7.69167626836412
"T0693",0.473697044,0.420967131,0.097648912,0.505618732,0.140954126416923,1.07604249255651,10.9184069256906
"T0694",0.479175471,0.412077609,0.103791734,0.49300055,0.150161450166503,1.0357411904869,10.6598853530174
"T0689",0.489520547,0.300825254,0.094260525,0.468688383,0.497467618826416,0.00634778088151345,4.05661475171085
"T0691",0.534361664,0.525684425,0.07495721,0.454968363,0.118664201433928,1.18169081822674,11.5961113645047
"T1702",0.145124627,0.09369414,0.101797293,0.108055066,0.47879604004412,0.0531754950672168,4.35700143140348
"T1706",0.132891501,0.09861099,0.108716011,0.116378211,0.334185412462265,0.42838502568545,6.76386555132358
"T2000",0.070789657,0.074130146,0.068117605,0.074853739,1.72686824974786e-06,4.64180804033604,33.7917948773684
"T4072",0.179869728,0.131918785,0.092172593,0.126076377,0.442421859047378,0.144831744355826,4.94495061653137
"T4074",0.179869728,0.131918785,0.092172593,0.126076377,0.442421859047378,0.144831744355826,4.94495061653137
"T4075",0.160781302,0.116714021,0.071112213,0.136621441,0.363510526604442,0.349090919846198,6.25521605633026
"T4077",0.161306209,0.121426731,0.064068695,0.140282008,0.317105485351292,0.4758082796188,7.06807245180921
"T4083",0.155537701,0.113193989,0.12046709,0.131930186,0.361230580510965,0.355171437700283,6.29422087646214
"T4085",0.155234968,0.111447049,0.086598336,0.130400193,0.376919086426407,0.313582473296538,6.02743931032475
"T5142",0.191882094,0.235094946,0.147867426,0.164010276,0.408515645195108,0.231364952498785,5.50003692661974
"T5146",0.189302519,0.253060843,0.137268043,0.15777978,0.493449769488885,0.0164197307885969,4.12122349128377
"T5150",0.18413416,0.239149006,0.141560256,0.155773795,0.466621972099146,0.0837641597698262,4.55321915387889
"T5152",0.191882094,0.235094946,0.147867426,0.164010276,0.408515645195108,0.231364952498785,5.50003692661974
"T5714",0.138628719,0.099707603,0.090047249,0.114735181,0.378781382593868,0.308682883760546,5.99600981481837
"T5716",0.156850803,0.110318822,0.10627027,0.128568961,0.400885012803119,0.251057019107749,5.62635602221973
"T5718",0.140700598,0.092750612,0.085989542,0.107445545,0.462143438091891,0.0950351895486015,4.62551965521314
"T5719",0.187713165,0.131776726,0.108083312,0.138979921,0.437670759657806,0.156877339313079,5.02221973668919
"T5720",0.175797597,0.124236597,0.101118288,0.141844643,0.40126827234336,0.250065695052757,5.61999695587287
"T5721",0.17323079,0.128366653,0.125573186,0.132190389,0.389645204705846,0.280243872259532,5.8135815159556
"T5722",0.178729175,0.116590721,0.112294754,0.133665217,0.472755820775038,0.0683441978611342,4.45430441419354
"T5723",0.163335961,0.131759426,0.117483179,0.148344331,0.202471037438999,0.832827407816597,9.35825023159151
"T5724",0.139275091,0.111204909,0.105784095,0.12130133,0.231862126360361,0.73272814763335,8.71614149472487
"T5726",0.146192957,0.104258442,0.096708465,0.121255676,0.386017510427746,0.289714031567433,5.8743299372725
"T5730",0.140952721,0.093319665,0.087196687,0.115069715,0.446223048158328,0.13520967687285,4.88322774678958
"T5742",0.131550207,0.098162837,0.084858649,0.117381914,0.326250703959595,0.450289917699855,6.90437930254233
"T5744",0.19948286,0.122381202,0.116080967,0.154606219,0.494677515093396,0.0133418869701625,4.10147998465935
"T5748",0.181756714,0.130918072,0.12604741,0.146870696,0.384991287833849,0.292397688096091,5.89154484276377
"T5750",0.148760888,0.099077692,0.095419677,0.114953314,0.453474367291348,0.1168880921118,4.76569990865395
"T5752",0.164862378,0.114115107,0.105201491,0.1333186,0.416788735550864,0.210115573229573,5.36372810618714
"T5756",0.183938219,0.125449524,0.121408251,0.147911029,0.428837575225236,0.179334383344513,5.16627538855301
"T5769",0.124320888,0.15452549,0.091794915,0.133016819,0.22650376165428,0.750410476207806,8.82956868334764
"T2819",0.187229661,0.118328612,0.123526705,0.139842862,0.487822498668572,0.0305292108593328,4.21173185677499
"T4082",0.175316695,0.115782767,0.113461924,0.132708229,0.463404932550247,0.0918592540390318,4.60514691784538
"T5662",0.128915011,0.145351024,0.233630064,0.087211043,0.499727480089283,0.000683106166730698,4.02027744892549
"T5731",0.209333633,0.138816944,0.123295473,0.174468561,0.442680211698794,0.144177353474644,4.94075288218884
"T5733",0.164714356,0.115169638,0.109367122,0.124621493,0.43130374622425,0.173055895055257,5.12600064349029
"T5735",0.18028339,0.137177079,0.126835426,0.153968718,0.308037954356099,0.501419514540332,7.23236135539305
"T5762",0.107445421,0.148626884,0.118246782,0.15233935,0.410722451728062,0.225686956660406,5.46361417255501
"T0065",0.291879321,0.389495916,0.074151289,0.415281575,0.401514660401787,0.249428527200538,5.61590970244051
"T0256",0.104356193,0.070207756,0.051918841,0.107026337,0.465455587117738,0.0866984931067443,4.57204208093215
"T0602",0.092089283,0.05938525,0.064126999,0.064469358,0.495380590188511,0.0115794020063411,4.09017413692587
"T0589",0.097553503,0.078315309,0.303756025,0.084890929,0.223720292835806,0.75968886587448,8.88908695609129
"T0590",0.090986347,0.07258831,0.303522206,0.081156189,0.225028750122273,0.755319168135239,8.8610565681474
"T0591",0.097090455,0.078858112,0.323332341,0.086494433,0.193958459787961,0.86340120058124,9.55437255474744
"T0596",0.084068603,0.098486775,0.293330143,0.095620742,0.102436356454522,1.26779067564355,12.1484178509772
"T0570",0.131840043,0.082921535,0.060501416,0.098500977,0.489896142798983,0.025329322323783,4.17837602723842
"T1947",0.086943043,0.073843112,0.082953355,0.088650795,0.165053794449806,0.973897190426464,10.2631734024107
"T1941",0.090960335,0.065480721,0.077314106,0.08760111,0.385897723322123,0.290027176794723,5.87633867625802
"T1943",0.092104404,0.066130875,0.077053544,0.086068403,0.379074429839309,0.307912571363325,5.99106847639622
