"","cvpA","glnB","glrR","hflD","ispE","lolB","prs","purB","purC","purE","purF","purK","purL","purR","speA","speB","ubiX","pval","z","inv_cof_var"
"T0745",0.163955339,0.158721279,0.052908429,0.158695901,0.313325565,0.275178729,0.162627122,0.166845123,0.164551348,0.178261979,0.061439673,0.133897679,0.041883217,0.067263732,0.177107785,0.121712061,0.027757046,0.340865509384799,0.410102145706645,1.90610198587885
"T0730",0.159885813,0.136994475,0.052552114,0.092730515,0.308732601,0.251250839,0.138909903,0.105990943,0.150135971,0.166423322,0.053622735,0.105479529,0.070300602,0.159791559,0.102082327,0.105007812,0.040965384,0.43115547931746,0.173433164427035,1.78512852671215
"T0738",0.170094526,0.153216727,0.049050488,0.139440524,0.300777126,0.26203316,0.167508759,0.171736867,0.171648191,0.185678271,0.048700243,0.121044455,0.163295191,0.092263468,0.18749551,0.124798465,0.035119604,0.177718719353002,0.924093881331359,2.16882909910437
"T0746",0.162216719,0.146346353,0.060649687,0.12815815,0.282331482,0.248498583,0.160643408,0.161391998,0.16437827,0.187116757,0.044036921,0.132350752,0.110232069,0.087228288,0.192880481,0.123861233,0.043802598,0.143760420893637,1.06357595069679,2.24012542332749
"T0731",0.153402158,0.146330297,0.051650999,0.083671866,0.314327604,0.251404054,0.161877882,0.124529379,0.152066182,0.165204609,0.05367584,0.107239903,0.120180091,0.211300408,0.101631091,0.108325511,0.041895685,0.360874697078851,0.356121743715652,1.87850987845204
"T0739",0.171375802,0.138276278,0.058066452,0.119362896,0.29459844,0.259723839,0.172428339,0.167926442,0.178045468,0.186685492,0.049039916,0.109624726,0.084325705,0.110067741,0.177613709,0.116803618,0.038108263,0.251749769371055,0.668993634170072,2.03843448986354
"T0747",0.16482153,0.138656927,0.060404463,0.12158474,0.283224204,0.248166887,0.169323606,0.162941954,0.168713183,0.18110467,0.049222181,0.119496778,0.122562328,0.091323553,0.188828422,0.116475389,0.048136844,0.135616267371117,1.10022859462338,2.25886043921099
"T0732",0.166948377,0.155700648,0.058658898,0.088467852,0.296957588,0.234026587,0.166514894,0.108157271,0.16022699,0.192168289,0.063976815,0.110703167,0.197122119,0.197017559,0.103592549,0.10554248,0.052126843,0.221655897527582,0.766612745819359,2.08833254390148
"T0740",0.177728265,0.129094914,0.05861559,0.120570762,0.280438045,0.245853951,0.182460061,0.168521923,0.181601146,0.19688508,0.051711644,0.120716033,0.122241656,0.062805,0.203375865,0.122180404,0.046299559,0.137622068190164,1.09106533144188,2.25417663300061
"T0748",0.167258764,0.141983043,0.064916791,0.135981301,0.264308067,0.231747511,0.166523502,0.162114572,0.164258793,0.18414448,0.058541733,0.124589998,0.067332745,0.081581036,0.181877742,0.117234065,0.057392676,0.0965033766401922,1.30173569389043,2.36186088613556
"T0733",0.219572263,0.14902508,0.060944085,0.151359919,0.308427565,0.250807512,0.187526363,0.298003276,0.189846739,0.195602552,0.147731046,0.126618307,0.204450872,0.075093981,0.050207302,0.104842066,0.049100081,0.207920925237177,0.813656343368178,2.11237890053156
"T0741",0.190141387,0.154505143,0.062538021,0.178173315,0.229139014,0.229548382,0.186392251,0.069429624,0.187447652,0.193802151,0.149196679,0.127884296,0.199695423,0.083024984,0.087086968,0.107767414,0.056793497,0.0422979506707221,1.7246204180061,2.57801860831965
"T0749",0.229676123,0.139226291,0.05814005,0.164135827,0.252999898,0.240658239,0.183781465,0.050767819,0.179038948,0.202778559,0.154422683,0.129642952,0.207975724,0.094026499,0.108981216,0.108968265,0.052107619,0.104720524439804,1.25510388901439,2.3380250175205
"T0774",0.220053465,0.212369709,0.045766431,0.204648407,0.301269531,0.256507644,0.260242584,0.207381757,0.235569179,0.23959094,0.238695846,0.105784993,0.236262997,0.059786942,0.238673113,0.09196388,0.046387464,0.0581727240315629,1.57029951032047,2.49913740503082
"T0775",0.197723122,0.200477278,0.058360574,0.194491929,0.288990842,0.244865337,0.28312238,0.185187231,0.2469162,0.213244589,0.130968906,0.109548972,0.211390762,0.080589629,0.217271147,0.097617072,0.047204013,0.0643238135834073,1.51945650939427,2.47314898160835
"T0782",0.19265396,0.189559813,0.055505188,0.182145316,0.291960912,0.243049366,0.255350879,0.167910502,0.236408336,0.208494828,0.175693395,0.102898362,0.187034911,0.069071851,0.214667247,0.092095642,0.046490283,0.054442507167111,1.60322488028687,2.51596722310686
"T0783",0.196322078,0.194266141,0.052188274,0.193109718,0.289737191,0.249925858,0.227093217,0.17582522,0.220234617,0.202723674,0.138635259,0.103047775,0.185824529,0.066578725,0.210784676,0.090372509,0.0455313,0.0583797943508217,1.56852101835919,2.49822832804281
"T0790",0.237429212,0.182668564,0.04564109,0.209090968,0.272548679,0.234298069,0.194884228,0.181883158,0.195995787,0.230346364,0.056102786,0.102585807,0.225127243,0.054416517,0.210226291,0.09020135,0.049659954,0.133214130230605,1.11132551531133,2.2645326353495
"T0791",0.195994044,0.18148918,0.04692298,0.182740035,0.300538699,0.242376385,0.183482805,0.179290747,0.18108553,0.128446762,0.035824087,0.111663371,0.130273299,0.035386722,0.198897852,0.097609473,0.038900214,0.236959608303123,0.716116823379786,2.06252152980787
"T0776",0.137625325,0.130236021,0.066825852,0.053388304,0.281255813,0.258697324,0.137634723,0.238413015,0.142592085,0.047952789,0.132558005,0.138971311,0.194124152,0.076240191,0.05883037,0.115351448,0.04830484,0.398564731769614,0.257063875858641,1.82787640351355
"T0784",0.146653003,0.135827025,0.051892446,0.051022628,0.309877111,0.288994118,0.11968311,0.269707158,0.125904328,0.128185693,0.133564875,0.140690841,0.210478748,0.082607581,0.337813927,0.107243332,0.035811286,0.47879329678303,0.0531823811330432,1.72366228325292
"T0792",0.097364847,0.138423341,0.067317117,0.102947186,0.286189084,0.262680317,0.07630184,0.244944707,0.127202738,0.152981502,0.150616613,0.143984359,0.205928092,0.109752308,0.066522323,0.117993003,0.046436736,0.298347854105968,0.529158203608057,1.96695754490147
"T0777",0.132796674,0.134335051,0.064668635,0.060582282,0.277099713,0.257346518,0.136128559,0.233987448,0.126877616,0.09665543,0.146641499,0.143209629,0.185101707,0.098792277,0.047407629,0.11960511,0.04937112,0.304494766915698,0.511516362649052,1.95793990974142
"T0785",0.103250417,0.124664477,0.059222196,0.047555839,0.279166743,0.26183336,0.118765277,0.220117073,0.131419787,0.086857678,0.136457846,0.140921976,0.189253689,0.053478009,0.076052336,0.113454856,0.046796307,0.362086333328105,0.35288765425515,1.87685677212955
"T0793",0.032052807,0.136285861,0.044036284,0.148558105,0.313805095,0.295177273,0.110955234,0.196575438,0.116623971,0.118317422,0.16155786,0.136457881,0.216094065,0.033026966,0.125871837,0.104526195,0.031716458,0.454146433217452,0.115192092236254,1.75535857574349
"T0786",0.087796273,0.122130693,0.042421251,0.069196651,0.302020984,0.251239469,0.126424363,0.14697319,0.125055098,0.05928462,0.122767505,0.107744965,0.181679435,0.064206548,0.112226564,0.084666863,0.039491054,0.466415334475359,0.084283955139845,1.73955986718128
"T0788",0.10313018,0.159998679,0.050453638,0.164393737,0.285896775,0.241995101,0.168527752,0.178942136,0.178262521,0.033379449,0.043519842,0.126282313,0.047984814,0.065044802,0.172886772,0.112542161,0.034094418,0.477950047444566,0.0552992057881343,1.72474429915374
"T0781",0.084539815,0.134291015,0.055380189,0.055447059,0.264164198,0.243666737,0.140397172,0.087554425,0.133802165,0.03658368,0.110058698,0.12030341,0.153426183,0.032640201,0.092087052,0.10234724,0.03657412,0.436499450505503,0.159850425426485,1.77818570339423
"T0834",0.203500082,0.188324347,0.059370397,0.124414271,0.281977564,0.224206002,0.248054948,0.188210246,0.222627756,0.154483435,0.137554187,0.12975561,0.154861731,0.124524856,0.103258603,0.116025561,0.057140329,0.0563069916214371,1.58655271833993,2.50744523982201
"T0839",0.259959843,0.12720542,0.087655243,0.290483681,0.283326303,0.247839457,0.044407922,0.275601456,0.237218111,0.171092054,0.171762742,0.136587459,0.170241215,0.135475676,0.28297164,0.09818032,0.031190411,0.239003207167071,0.709512633695339,2.05914579519829
"T0845",0.239088982,0.136240698,0.050872205,0.291343673,0.275217452,0.202429265,0.043694075,0.256174532,0.206177316,0.119863161,0.141628477,0.125122761,0.161814812,0.120443352,0.037564631,0.093288822,0.036914772,0.462184926483278,0.0949307234005155,1.74500196769853
"T0840",0.120723646,0.145061049,0.044951204,0.241948992,0.257279136,0.245868913,0.210698866,0.12732218,0.120841127,0.199733375,0.184799293,0.14764161,0.206293659,0.111286383,0.124209504,0.13302415,0.033101382,0.0871372679833774,1.35859633887044,2.39092523109741
"T0846",0.226393704,0.161740227,0.068489159,0.110785945,0.231595382,0.220006887,0.183336647,0.122307648,0.20530229,0.206781263,0.17245536,0.14884628,0.208579502,0.131267701,0.149251112,0.135218947,0.041462807,0.0103164332556064,2.31463589897304,2.87960529411413
"T0836",0.252586142,0.17351434,0.043849143,0.300160922,0.287300872,0.193406151,0.261901189,0.279187168,0.236615177,0.141273597,0.102717318,0.086054008,0.145397304,0.074938374,0.078064387,0.075388305,0.052217385,0.367414699020835,0.338708418601869,1.8696090492719
"T0841",0.086281233,0.186875461,0.052280987,0.159926872,0.235588782,0.230261084,0.308663625,0.1403223,0.267235816,0.123290872,0.160428145,0.138712253,0.194810192,0.088237797,0.149332634,0.125080068,0.04171834,0.154214347173952,1.01852464607693,2.21709742814886
"T0847",0.064515376,0.1851308,0.054813539,0.151141521,0.254793076,0.230011156,0.168729344,0.15770252,0.178273355,0.087382533,0.153759645,0.130371098,0.196070676,0.069694546,0.18154288,0.114846094,0.041410381,0.086351464634923,1.36357003207014,2.39346753667522
