"","bluF","rcdA","ydeI","pval","z","inv_cof_var"
"T0094",0.030378933,0.032856384,0.03066684,0.471362522263784,0.0718452713863957,149.929942832493
"T4023",0.154824185,0.067087811,0.155457747,0.386599146712306,0.28819393197202,346.299901504291
"T4105",0.074985627,0.071583682,0.073893866,0.494854832400885,0.0128973801362935,96.4255904725626
"T4116",0.059984238,0.061399467,0.059952576,0.00213346080219705,2.85772339780507,2678.54634872418
"T2254",0.036170626,0.047081157,0.036598277,0.484355946405806,0.0392238824902903,120.320973809966
"T2764",0.033077093,0.032702359,0.032592239,0.495142270826187,0.0121768222106035,95.7715724180697
"T2770",0.044595502,0.047965547,0.04468236,0.239654743144131,0.707413602385242,726.806760805455
"T6018",0.0816967,0.080460121,0.08263951,0.48306873062313,0.0424531471022538,123.25203220744
"T1773",0.071334415,0.074155575,0.070869658,0.442343314224397,0.145030705692949,216.357073332188
"T1808",0.044477015,0.054727107,0.043896899,0.489891760243913,0.0253403112863209,107.71948001675
"T1809",0.054818272,0.064486613,0.055167103,0.439477953361326,0.152292922645278,222.948661368529
"T1814",0.054994957,0.061230688,0.05411962,0.498494730399927,0.00377316029338298,88.1439460722007
"T1817",0.064471735,0.071016821,0.0649114,0.445943435340783,0.135917032195012,208.085001375311
"T1818",0.050103351,0.057571598,0.0503302,0.400686068047055,0.251571699018827,313.059546089005
"T1714",0.043617389,0.053086392,0.043603175,1.38559221313618e-06,4.68708902448361,4338.97933469268
"T1086",0.050881296,0.049453811,0.050729668,0.334060830275459,0.428727341714382,473.855763363638
"T6898",0.126706928,0.126915173,0.12673569,6.37659907781584e-12,6.77141148119633,6230.82518007702
"T6902",0.126706928,0.126915173,0.12673569,6.37659907781584e-12,6.77141148119633,6230.82518007702
"T0860",0.044443531,0.049106805,0.044151037,0.443291168632816,0.142630083397726,214.178136334734
"T0862",0.052831306,0.055421521,0.052871898,0.0264746868758698,1.93533358334023,1841.33455709368
"T0864",0.050514476,0.04982765,0.049758624,0.496005951409172,0.0100117623809825,93.8064448868253
"T0865",0.051376914,0.057507139,0.051884689,0.47405142753729,0.0650893560865491,143.797902057986
"T0867",0.035778759,0.042805564,0.0352242,0.497444060478475,0.00640683410340912,90.5344134586403
"T0871",0.048859626,0.054057782,0.048537693,0.443400241432602,0.142353888693638,213.927446811258
"T1725",0.029053641,0.029305063,0.029425749,0.488394691658256,0.0290942981188781,111.126805198095
"T2459",0.027483727,0.02762339,0.027415804,0.295863281822512,0.536335697288213,571.527032876353
"T2148",0.079320279,0.019213594,0.078514456,0.476375777136194,0.0592517967049689,138.499411688773
"T2151",0.063232424,0.025185093,0.064114309,0.492357451679661,0.0191581996055876,102.108255006325
"T2113",0.036756014,0.004305036,0.036618409,0.373700120004025,0.322069240832474,377.046997339854
"T2118",0.074032544,0.007377199,0.073228573,0.480317213338065,0.0493574626880413,129.518769253873
"T2130",0.063727692,0.035418123,0.062769925,0.496188311768933,0.00955463086733463,93.3915271507985
"T2121",0.062226777,0.00895715,0.063085179,0.491866505612877,0.0203890595829671,103.225451305274
"T2108",0.02913477,0.140414611,0.029337727,0.447845178669634,0.131107387362705,203.71950285829
"T2084",0.04165222,0.044809766,0.041767656,0.319305852989772,0.46964074950485,510.991025376305
"T6035",0.091971089,0.065711356,0.090695728,0.492722677878009,0.0182425531695531,101.277163876316
"T6072",0.091971089,0.065711356,0.093036621,0.483278414281679,0.0419270801161333,122.774544840319
"T7313",0.076131108,0.073731175,0.076297494,0.267510925878705,0.620358403549839,647.790668211216
"T7321",0.072944617,0.068701267,0.073971556,0.49277404968697,0.0181137618631127,101.160265794051
"T7223",0.085402102,0.084471843,0.085267527,0.185484611163955,0.894659336213082,896.761300453235
"T7446",0.08013409,0.073740682,0.078903535,0.4970693837726,0.00734603156758628,91.3868807987473
"T7251",0.074138224,0.073949798,0.072955608,0.498579986649055,0.0035594531320231,87.9499736836936
"T7255",0.077424921,0.076874442,0.077372547,0.0135793784278696,2.2092284230846,2089.93659703899
"T7296",0.074718919,0.073504117,0.074212759,0.445955226732849,0.135887201347626,208.057925255439
"T5794",0.091971089,0.065711356,0.09045294,0.499890888998103,0.000273500725838602,84.9674623223877
"T1092",0.055117751,0.053752505,0.055805572,0.487117713652747,0.0322967169869868,114.03349692005
