"","arcA","fadE","fadI","fadJ","fadR","pval","z","inv_cof_var"
"T2414",0.148696079,0.045427725,0.053976964,0.051414244,0.11069175,0.495320418191474,0.0117302410798531,11.4585016722093
"T2407",0.388152337,0.036814977,0.038636326,0.042818909,0.063246014,0.48239513705489,0.0441431794222744,12.8065455953423
"T2673",0.218433965,0.047051364,0.049179296,0.049848376,0.081056285,0.295345110868408,0.537836078416665,33.3390781708385
"T2681",0.322941088,0.055153445,0.056923173,0.056781947,0.080494942,0.133013264832193,1.11225964466148,57.2291738357316
"T2683",0.213469508,0.056256999,0.057614491,0.057567905,0.07667029,0.0643570504907126,1.51919229185641,74.1533747946311
"T2686",0.281427844,0.071601108,0.072601888,0.074858426,0.091756172,0.215204608396566,0.788491588501216,43.7637620917979
"T2649",0.315223366,0.057169045,0.060574025,0.054874761,0.084167356,0.413452124570947,0.218673685086308,20.0652144971312
"T2650",0.302260541,0.057698942,0.057718998,0.061934075,0.101489521,0.374892793364173,0.318922098172252,24.2345145043252
"T2651",0.373621396,0.060897566,0.065387446,0.057040033,0.06157636,0.464969431573892,0.0879217580496715,14.6272829274103
"T2652",0.249525865,0.047578794,0.046199848,0.045395342,0.07216159,0.227723807241427,0.746363909669708,42.0116851636105
"T2654",0.101475151,0.050968083,0.052712951,0.047984131,0.086574962,0.403405007229457,0.244543373173327,21.1411266977048
"T2430",0.043779275,0.037760726,0.04005518,0.043381667,0.074745633,0.468150932549445,0.0799187651950357,14.2944409687271
"T2434",0.260405802,0.038063437,0.037705433,0.033057973,0.073597085,0.480624904270488,0.0485852704991603,12.9912907677466
"T0066",0.329021569,0.046896402,0.04550223,0.042707109,0.055442879,0.403692017116246,0.243802176956201,21.1103005798815
"T0069",0.295350542,0.038936242,0.037579091,0.035283492,0.034995743,0.412343028636065,0.221521937415883,20.1836724167394
"T0070",0.312210259,0.056955752,0.059113621,0.067262704,0.090056456,0.497397509649762,0.00652352216560402,11.241955868257
"T0064",0.177724918,0.069242386,0.064777718,0.058041119,0.313889782,0.496329080183505,0.00920176126016573,11.3533429908307
"T0602",0.106519945,0.065441959,0.0658102,0.060572149,0.08996461,0.396633268698366,0.262071216413471,21.8701041916885
"T0603",0.109333732,0.055206321,0.054580926,0.053215258,0.059629433,0.154033312999189,1.01928722728902,53.3624802045066
"T0587",0.121431679,0.076377284,0.076631131,0.069136519,0.095811462,0.438571447425637,0.154592104512786,17.4000816923143
"T0588",0.101507651,0.079932391,0.087091422,0.077421986,0.090399007,0.449593779285125,0.126687728805661,16.2395474728177
"T0569",0.411945568,0.084533056,0.076066314,0.090882661,0.039963677,0.497059351839679,0.00737117857513146,11.2772096320379
"T0574",0.335475065,0.044251687,0.046726428,0.051329997,0.064352167,0.478571795818161,0.0537383957026061,13.205607626103
"T0578",0.319609904,0.065268327,0.05828044,0.066111842,0.10181457,0.464209507874045,0.0898341429149521,14.7068184131814
"T1941",0.450616677,0.035924528,0.037896309,0.040917754,0.019981328,0.459427555553944,0.10187598607529,15.2076348872734
