"","cusA","cusB","cusC","cusF","cusR","hprR","phoB","yedX","pval","z","inv_cof_var"
"T7312",0.091557991,0.074602729,0.100541177,0.06105398,0.06478386,0.129622477,0.101301466,0.089758029,0.432970093960653,0.168817506306447,5.04470960774102
"T7314",0.080863788,0.071998771,0.091625168,0.117715786,0.089524674,0.107324169,0.080496119,0.080502654,0.390497157969694,0.278023504316423,5.59081428872747
"T7315",0.073182204,0.102449766,0.084040823,0.105534932,0.126669227,0.125464846,0.077639764,0.081668797,0.448216882559238,0.130167679358162,4.85143403862945
"T7316",0.08533477,0.116789796,0.087896323,0.097352434,0.080773042,0.111931681,0.085880833,0.085901949,0.286943908885399,0.56233496826649,7.01256606198682
"T7317",0.092032158,0.059653657,0.098090542,0.090738671,0.095595184,0.133048026,0.09031522,0.089139018,0.342330829818747,0.406110161717291,6.23133518000792
"T7318",0.083111978,0.043110627,0.091788994,0.084548136,0.077489765,0.106421593,0.087065962,0.088787059,0.485857005426878,0.0354586591433688,4.37782416175974
"T7320",0.087382509,0.046437362,0.091643109,0.087425716,0.071730623,0.113412078,0.083850502,0.088379305,0.472278020829964,0.0695447146277565,4.54827775218147
"T7323",0.085578734,0.090801195,0.085158656,0.105935306,0.103714254,0.127842681,0.099937835,0.085016173,0.140353462394392,1.07873265329087,9.59490767491377
"T7324",0.088040747,0.098237165,0.087177525,0.09445064,0.063161369,0.113222241,0.094617296,0.088712143,0.283868289063864,0.57138812317627,7.05783802839909
"T7326",0.080684214,0.062000086,0.078598358,0.088709902,0.069588816,0.119041976,0.086354634,0.085213381,0.238803988096802,0.710155075134294,7.75176769720333
"T7328",0.083902215,0.074065458,0.084031172,0.065298047,0.067524484,0.124936413,0.084293497,0.086534253,0.202908390307972,0.83127767993905,8.3574635624717
"T7330",0.085154609,0.063455428,0.084985029,0.085867452,0.089331106,0.121528196,0.085360436,0.085107515,0.180426872194999,0.913739497756902,8.76982905093934
"T7332",0.079899727,0.133937705,0.081123184,0.111658134,0.109187608,0.125423263,0.079955386,0.079502162,0.484538410659512,0.0387661645554569,4.39436395097319
"T7336",0.08897896,0.059669465,0.087715574,0.065982362,0.066558537,0.125583612,0.091394115,0.091517371,0.403070783376398,0.245406667712707,5.42770779757455
"T7338",0.08145808,0.064380764,0.092572087,0.100878064,0.093550423,0.124678743,0.101823206,0.078575093,0.323203035167086,0.458760629012342,6.49462352652644
"T7340",0.084525037,0.05969271,0.083635263,0.079968369,0.078133498,0.125563698,0.084928294,0.087536942,0.229893728486876,0.739196876941963,7.89699656924751
"T7342",0.085415455,0.061651638,0.08890246,0.084113506,0.083507313,0.122858205,0.090713179,0.090246703,0.231832999363766,0.732823643622881,7.86512604370869
"T7344",0.086853539,0.050113141,0.087351858,0.084628903,0.085714442,0.126921008,0.086041833,0.087764294,0.405049862481657,0.240297381307057,5.40215787107353
