"","cdaR","garD","gudD","gudP","gudX","pval","z","inv_cof_var"
"T0775",0.049904264,0.051953673,0.047143492,0.045922718,0.046558915,0.334037748755537,0.428790768609899,18.9641833262033
"T0782",0.04849069,0.050147104,0.046593814,0.045669054,0.046198495,0.237814773535004,0.713349446653156,25.5078607044304
"T0783",0.046680113,0.047857971,0.045226459,0.044434778,0.044925808,0.154717724575362,1.0164073455018,32.4769439551175
"T0790",0.041744306,0.042416618,0.041444726,0.043059469,0.041637632,0.00954244377599839,2.34386872147692,63.0030872313318
"T0791",0.038421735,0.04029174,0.036278018,0.035381049,0.035729771,0.351661962697344,0.380837373322811,17.8614527747857
"T0776",0.052421231,0.058960548,0.048406068,0.049200327,0.047776979,0.464858235238704,0.0882015687737236,11.1320347600026
"T0784",0.037247901,0.042493285,0.035847519,0.035833271,0.040507066,0.435079913177719,0.16345547633346,12.8625646314092
"T0792",0.050469772,0.057314087,0.046477243,0.047307452,0.045713243,0.477343424273967,0.0568221760430138,10.4104379921007
"T0777",0.053133411,0.0613114,0.048624526,0.050292829,0.047309736,0.495625138387496,0.010966371616564,9.35594338961962
"T0785",0.051036131,0.057637914,0.046970948,0.047665763,0.045874505,0.476603458803549,0.058680090349168,10.4531623676125
"T0793",0.034804299,0.039465245,0.032646278,0.032375529,0.032533532,0.460563742083754,0.0990135845856302,11.3806665844401
"T0778",0.04181448,0.046365098,0.038501667,0.039322363,0.038192216,0.449729548373309,0.12634467157922,12.0091689970606
"T0786",0.039788153,0.041672162,0.039166239,0.039153897,0.0394938,0.104551726615971,1.25603452407941,37.9873819373614
"T0794",0.034008048,0.035098022,0.033713128,0.033856524,0.035344282,0.0573665234038834,1.57727158870447,45.3745111132833
"T0779",0.036020038,0.039971874,0.03501695,0.035368884,0.03560172,0.350854814272765,0.383013669754583,17.911498627637
"T0787",0.036072025,0.037192596,0.035195042,0.035756755,0.036322738,0.0417490400520541,1.73074037797946,48.9036610641768
"T0795",0.037068848,0.038973242,0.03571814,0.035603803,0.03471348,0.288229259922182,0.558565164535975,21.9484598372344
"T0780",0.039679403,0.04489125,0.03627829,0.03699621,0.034441912,0.493558711218035,0.0161466181647919,9.47506772061656
"T0788",0.040048908,0.042757541,0.037035641,0.034022689,0.035539525,0.471268719393466,0.0720810099331736,10.7613283140257
"T0796",0.037257263,0.039307292,0.035699136,0.035349116,0.0345739,0.327166641003869,0.447750485093557,19.4001787022883
"T0789",0.040943323,0.045971138,0.038787681,0.038985474,0.035414277,0.478785535508659,0.0532018633047902,10.327185712711
"T0797",0.03378724,0.037562848,0.03135066,0.031348084,0.030777764,0.455265648450024,0.112368416217669,11.6877726978137
"T0834",0.051749465,0.05357699,0.049915098,0.05010812,0.049849348,0.164876769253012,0.974610428917717,31.5157870527462
"T0845",0.035971195,0.046613365,0.041867422,0.038716455,0.040791636,0.479048693977638,0.052541300208294,10.3119954826286
"T0846",0.050145144,0.057718182,0.048770481,0.044880706,0.047127807,0.481096349800964,0.0474021699428539,10.1938166567605
"T0836",0.040909514,0.04178616,0.040992354,0.042545608,0.041277242,0.0115580326117937,2.27151094396046,61.3391564205439
"T0841",0.038594036,0.046882853,0.039659268,0.038768271,0.038916686,0.460075326144514,0.100243952989386,11.408959989322
"T0847",0.043651142,0.047333592,0.041410726,0.039065342,0.040309881,0.432476273505936,0.170073228906062,13.0147456792754
