"","cra","eno","envC","fbaB","fruA","fruB","fruK","glk","gpmM","pfkA","ppc","pykF","pyrG","tpiA","yibQ","pval","z","inv_cof_var"
"T6898",0.074424853,0.30000761,0.06937361,0.272547534,0.146641201,0.13465131,0.065235797,0.131455198,0.156851647,0.087756743,0.194215734,0.228106398,0.275990129,0.332512996,0.119357789,0.108009573385301,1.23718301223873,2.03168668204485
"T6900",0.082041281,0.32431663,0.102350206,0.310142428,0.240402129,0.098125636,0.148793566,0.311575765,0.270502061,0.086681711,0.248446717,0.31215156,0.088000371,0.321259076,0.071368805,0.111439756358342,1.21890694682876,2.02354766822018
"T6902",0.074424853,0.30000761,0.06937361,0.272547534,0.146641201,0.13465131,0.065235797,0.131455198,0.156851647,0.087756743,0.194215734,0.228106398,0.275990129,0.332512996,0.119357789,0.108009573385301,1.23718301223873,2.03168668204485
"T6891",0.062014163,0.355126998,0.061480947,0.340207259,0.196622567,0.179595826,0.074120377,0.151639554,0.264303223,0.079673226,0.300957114,0.330944275,0.063440317,0.354523863,0.066077671,0.331630340370925,0.435415749209473,1.67462980510849
"T6893",0.071003918,0.342784864,0.086983267,0.313790789,0.154221582,0.123423163,0.105239552,0.16778129,0.226180586,0.131312828,0.271507663,0.129819666,0.340311176,0.350205002,0.079332643,0.136347477455154,1.09687747885411,1.96920339309398
"T6895",0.062810979,0.302683228,0.085973607,0.307732129,0.202841168,0.164420408,0.068459598,0.207763726,0.196380234,0.081706301,0.282612019,0.300057581,0.07165501,0.297394077,0.063418215,0.172676413832835,0.943641597682638,1.90096173782989
"T6897",0.114190572,0.332408952,0.083421846,0.281215432,0.175947227,0.139294884,0.115291638,0.091971832,0.2101703,0.355197861,0.244234751,0.084574383,0.340185166,0.351338538,0.083375654,0.182479098908652,0.905957783561462,1.8841797293823
"T6899",0.072224269,0.083197479,0.125175939,0.327333278,0.226746844,0.187411448,0.188104386,0.285588209,0.27474497,0.106807792,0.29344568,0.320468522,0.104684562,0.318648644,0.065532129,0.0674566916243983,1.49500405735539,2.14650401298702
"T6901",0.114502898,0.327440071,0.095922563,0.16234851,0.10700401,0.136567029,0.096200836,0.188440882,0.204471314,0.315046567,0.224044287,0.290671539,0.340404581,0.347839276,0.095883787,0.0713416597795219,1.46587141926202,2.13353016227723
"T0869",0.157155014,0.137810053,0.065592551,0.179394271,0.180499892,0.081435846,0.149965058,0.124453784,0.214078951,0.164597757,0.222633528,0.214595538,0.216077538,0.201126534,0.044701528,0.00432312298555771,2.62573359217221,2.65006006344985
"T0870",0.156143152,0.17957087,0.048728876,0.367287411,0.179730404,0.07028036,0.139334297,0.113959618,0.228904367,0.229010959,0.220649645,0.226605931,0.228982761,0.191482472,0.048838974,0.10913215729312,1.23115656075129,2.02900287834478
"T0871",0.165153552,0.050677609,0.049513452,0.345182221,0.207117248,0.081734547,0.157433718,0.089913587,0.195674572,0.181275477,0.220153771,0.051453644,0.146193125,0.211693803,0.04830998,0.353253311082956,0.376551922718681,1.64841554690603
"T0872",0.104573824,0.109350923,0.061279571,0.292597911,0.176442539,0.054189437,0.120288716,0.13229109,0.270296303,0.275149156,0.284573547,0.26562739,0.192958453,0.136752465,0.032301988,0.202479577080281,0.832797129080932,1.85159856024758
"T1658",0.094285929,0.224035805,0.054405138,0.267710483,0.138220198,0.042996538,0.086349976,0.163423225,0.266386233,0.147253343,0.210821616,0.294547575,0.310641073,0.327216607,0.053648846,0.213405839270387,0.794659360084489,1.83461438875654
"T1659",0.105932717,0.237672921,0.043267195,0.278682993,0.146278183,0.041410521,0.099258554,0.171951249,0.303470135,0.116800658,0.210499157,0.271173953,0.31009615,0.332709887,0.046318973,0.260387166787387,0.642152249399371,1.76669728218115
"T1660",0.096059452,0.298064315,0.065542647,0.233828519,0.139712791,0.044384181,0.080507178,0.109664442,0.316712276,0.08576681,0.176430789,0.303345962,0.304524437,0.321598469,0.062998471,0.348630555481444,0.389020325265785,1.65396819176837
"T1724",0.141305916,0.120045438,0.051603765,0.097656291,0.176990937,0.068118584,0.11145392,0.055106896,0.10957757,0.091022962,0.200667518,0.29657889,0.196487907,0.054302715,0.040499848,0.377463138706667,0.312150331090092,1.61973511526836
"T6033",0.115207245,0.177591858,0.046311138,0.299955762,0.061481783,0.052272339,0.053673615,0.072271254,0.26135171,0.235237415,0.194216519,0.186760669,0.26722621,0.352985531,0.106686494,0.375518806015526,0.317271485193128,1.62201575626563
"T6035",0.115207245,0.269242385,0.065440626,0.284142633,0.072671958,0.054089418,0.053008206,0.051896066,0.277543517,0.235237415,0.119768225,0.281373136,0.267717529,0.291145876,0.113616819,0.34045621336431,0.41121836001684,1.66385380487309
"T6037",0.115207245,0.213614861,0.071351261,0.215304226,0.066732837,0.066411493,0.06659172,0.074549644,0.259811116,0.235237415,0.119577385,0.251526311,0.213225783,0.293053343,0.096340641,0.203312839860783,0.829846317262418,1.85028445364716
"T6039",0.115207245,0.179107914,0.069556198,0.249598944,0.073244822,0.072597077,0.072621735,0.078448355,0.279974337,0.235237415,0.082062289,0.270970806,0.209444411,0.30504087,0.08242048,0.292002913936216,0.547542867924438,1.72456419464314
"T6046",0.115207245,0.286499586,0.0468221,0.321407386,0.052229504,0.047495186,0.051446063,0.05038217,0.235353486,0.235237415,0.177323533,0.245508897,0.233787751,0.358603854,0.089381203,0.462535401958568,0.0940482810762253,1.52260613479946
"T6048",0.115207245,0.288188522,0.058658877,0.276664152,0.070636061,0.056127817,0.054571038,0.051680998,0.260590783,0.235237415,0.11302942,0.285649866,0.203549376,0.384765337,0.105865759,0.45044301674836,0.124542144660728,1.53618619000908
"T6050",0.115207245,0.237948845,0.067400286,0.240281852,0.066427478,0.06655941,0.066950645,0.071623331,0.266444212,0.235237415,0.135703254,0.260276439,0.13003364,0.321576513,0.086977989,0.302340462539194,0.517680902222471,1.71126554713733
"T6052",0.115207245,0.248929253,0.070257102,0.254692209,0.069938764,0.071272383,0.07137142,0.074978987,0.279025848,0.235237415,0.116599226,0.291108229,0.239077781,0.324922618,0.07477925,0.30414700132126,0.512510172637925,1.70896282832843
"T6059",0.115207245,0.265538593,0.0712161,0.126739978,0.069151351,0.050989335,0.050957419,0.0503202,0.170655973,0.235237415,0.147819644,0.264533054,0.264314188,0.307909385,0.118975627,0.340231025467538,0.411832701127,1.6641273938911
"T6061",0.115207245,0.335975355,0.067209511,0.175663778,0.060751378,0.061602896,0.061560051,0.067331876,0.245526684,0.235237415,0.120433595,0.325675441,0.339420819,0.330267465,0.095235535,0.452619056675154,0.119047008263042,1.53373900074236
"T6063",0.115207245,0.233923303,0.067717493,0.195423489,0.060535297,0.061185448,0.061407298,0.066994068,0.185123749,0.235237415,0.070193572,0.276996618,0.257553424,0.325111443,0.09882026,0.376055639122846,0.315856701006927,1.62138570008056
"T6070",0.115207245,0.315036869,0.047911856,0.301964479,0.237721318,0.04802851,0.048016475,0.057304639,0.114199538,0.235237415,0.101912573,0.279843373,0.317173187,0.323584014,0.085460947,0.442868115663849,0.143701443443675,1.54471854060903
"T6072",0.115207245,0.323216207,0.073374542,0.162585394,0.154977684,0.069783455,0.064391611,0.065450962,0.196005349,0.235237415,0.169796096,0.348709377,0.339816011,0.362812192,0.114916043,0.309962544610433,0.4959565181619,1.70159086835745
"T6074",0.115207245,0.255375533,0.072869415,0.137078536,0.06983909,0.065466797,0.065465712,0.066831004,0.238631793,0.235237415,0.128307101,0.288571887,0.276500746,0.389447384,0.099387151,0.402363783343543,0.247233440455945,1.5908252017572
"T6076",0.115207245,0.234161976,0.062465668,0.2234273,0.070369312,0.058741305,0.058846109,0.062808191,0.169623276,0.235237415,0.104736856,0.306209996,0.300079235,0.314880042,0.097325714,0.381920799551303,0.300439944147552,1.61452004303702
"T6135",0.115207245,0.258950502,0.112894556,0.231114462,0.059190041,0.057890665,0.057630914,0.063291681,0.431801261,0.235237415,0.128242347,0.216585588,0.36936587,0.216874179,0.11646077,0.448711754544441,0.128916767182763,1.53813437263953
"T6137",0.115207245,0.523434792,0.04249649,0.511762548,0.170393664,0.079928601,0.088808118,0.171405906,0.390368843,0.235237415,0.515849507,0.561185105,0.525071938,0.565126406,0.066684305,0.48555370537971,0.0362194080455197,1.49685277998789
"T6144",0.115207245,0.565917189,0.041351371,0.563386808,0.290656802,0.042791206,0.132179522,0.258713505,0.510153798,0.235237415,0.519171195,0.582926938,0.567228117,0.586927062,0.051041218,0.417009286786965,0.209550427559463,1.57404355012487
"T6146",0.115207245,0.566702121,0.047066457,0.567528559,0.245144127,0.048495798,0.07421108,0.176333591,0.478700566,0.235237415,0.4229036,0.575458603,0.542386847,0.56716275,0.067164135,0.494031158465038,0.0149622252006103,1.48738616334107
"T6152",0.115207245,0.293313785,0.062434504,0.312785299,0.056573273,0.055431407,0.055438196,0.125580757,0.448995489,0.235237415,0.209634853,0.299123565,0.39174511,0.244084339,0.097702541,0.437492571266408,0.157329537547737,1.5507876393909
"T6154",0.115207245,0.399801072,0.057440725,0.392317521,0.048262422,0.04797251,0.048336609,0.221454335,0.314866528,0.235237415,0.34251003,0.411493054,0.409739056,0.3925592,0.091812466,0.4174137457323,0.208514206200195,1.57358208209117
"T6156",0.115207245,0.474312288,0.045987253,0.416817544,0.274300822,0.089434905,0.06039457,0.390029354,0.321346462,0.235237415,0.476330577,0.485246027,0.466734538,0.481438846,0.059123195,0.291266516416139,0.549688519046241,1.72551973314399
"T6172",0.07962009,0.298883147,0.064648135,0.301455905,0.060355084,0.060732238,0.061538884,0.159158966,0.484058527,0.235237415,0.239325853,0.30206285,0.405127661,0.273510295,0.092709295,0.41626709438261,0.211452506270732,1.57489061674338
