"","ackA","arcA","dcuC","fnr","pta","pval","z","inv_cof_var"
"T5769",0.32991773,0.155544373,0.095457359,0.073645712,0.272562031,0.492073081788373,0.0198711449705075,1.90348847818389
"T5771",0.33371049,0.120255534,0.101747741,0.082179195,0.274222015,0.487127329764052,0.0322726004054255,1.96347571840771
"T2409",0.225040525,0.266714808,0.073557523,0.138338323,0.251038807,0.491415736684948,0.0215192178685636,1.91146039288059
"T2421",0.18253058,0.269154021,0.074049554,0.124956934,0.242136391,0.488179364961866,0.0296342748612364,1.95071383984931
"T2422",0.189329529,0.393604167,0.080168142,0.124805558,0.233513525,0.473888732615689,0.0654980420208099,2.12419093108451
"T2822",0.191300525,0.314718268,0.074381507,0.297993755,0.229965648,0.480857324214952,0.0480020003096696,2.03956060179775
"T2819",0.25626248,0.020447442,0.107028647,0.090698172,0.238502757,0.446274339858327,0.13507992816822,2.46076637107671
"T2823",0.143561466,0.345100037,0.086634492,0.245198364,0.223127296,0.467318886189602,0.0820112437225154,2.20406715227025
"T2413",0.181648355,0.159903156,0.066020504,0.268258993,0.218573007,0.48801306747285,0.0300513065134398,1.9527310690393
"T2414",0.13441192,0.148696079,0.086184801,0.178252294,0.224956449,0.475218054510587,0.0621591300429818,2.10804023684129
"T2425",0.113840154,0.198977741,0.091477702,0.114353831,0.240295378,0.49640147821749,0.00902027876856535,1.85100161316161
"T2417",0.18639688,0.527461588,0.08738734,0.110180624,0.241838825,0.467927031954958,0.0804818086265013,2.19666910201777
"T2418",0.237823733,0.517822225,0.097746284,0.166519478,0.227239443,0.45081670294921,0.123598214968703,2.40522802789635
"T2689",0.153868637,0.207712707,0.074887149,0.246886126,0.217577343,0.477415079240426,0.0566422743998537,2.08135458317095
"T2690",0.136119801,0.2288865,0.065915001,0.270336442,0.221193172,0.499428080725059,0.00143358951642164,1.8143039406134
"T2419",0.268315596,0.557684017,0.075445962,0.045932624,0.242415454,0.495118774973935,0.0122357219658693,1.8665550749722
"T2420",0.236635554,0.551553671,0.079453715,0.058139825,0.232433033,0.48069472993512,0.0484100375588971,2.04153432404496
"T0320",0.257160547,0.0537073,0.091736619,0.280246596,0.286126797,0.482603507688348,0.0436203685722273,2.0183661543407
"T5660",0.072662945,0.298910774,0.056481748,0.342453861,0.045346903,0.307908814786264,0.501786614841482,4.23456802045511
"T5662",0.093105247,0.216775668,0.087983188,0.20228643,0.142981161,0.358905942639385,0.361384698178962,3.55542809636159
"T5664",0.099056102,0.267273572,0.049476469,0.100640561,0.064694877,0.418828619379443,0.204891061762299,2.79845070685346
"T5668",0.125917915,0.078057934,0.083509639,0.159688644,0.188763752,0.442547773637663,0.144512802953878,2.50639425150881
"T5670",0.221515389,0.291815135,0.07172293,0.070239729,0.156149066,0.484556249092475,0.0387214166625004,1.99466937079816
"T2671",0.273316779,0.072225717,0.07561831,0.336079619,0.265923362,0.498230356187497,0.0044358537636376,1.82882623177174
"T2679",0.162277491,0.229308944,0.078822287,0.350158597,0.095152356,0.440281261823706,0.150256154734872,2.53417549257237
"T2680",0.163512282,0.143484395,0.10049139,0.377424486,0.077370047,0.438807309853467,0.153993805645071,2.55225493205425
"T2681",0.168607993,0.322941088,0.060666891,0.341073687,0.143262765,0.467650589189434,0.08117701521662,2.20003189479201
"T2682",0.101532567,0.296734364,0.094633358,0.32358293,0.205397638,0.471184177777962,0.0722934772000876,2.15706121833942
"T2683",0.138649214,0.213469508,0.059111937,0.347838454,0.179398269,0.479582998937964,0.0512001932263553,2.05503062205321
"T2684",0.084272586,0.271640305,0.081160921,0.347558098,0.15246874,0.432529759362262,0.169937208261516,2.62937497072688
"T2653",0.200663064,0.239277498,0.058884841,0.28290648,0.209433358,0.49648442918834,0.008812343253915,1.84999580559863
"T5731",0.279779722,0.206381691,0.119076732,0.251014952,0.225458744,0.439334506850101,0.152656693825353,2.54578717120502
"T5733",0.20019218,0.13871478,0.097313052,0.123595253,0.164547576,0.406776586673288,0.235844709569488,2.94817699636503
"T5735",0.173063105,0.089313029,0.10539701,0.180904762,0.180288173,0.347676831425934,0.391600169217985,3.70158374149581
"T5764",0.331755501,0.069082437,0.09836141,0.07899209,0.275467706,0.489801984165825,0.0255654194486842,1.93103232679226
"T5766",0.343024915,0.062177072,0.098646895,0.14139391,0.279464588,0.492701455905737,0.0182957576433758,1.8958681518009
"T5768",0.341601182,0.11310514,0.106031556,0.041994388,0.268907192,0.485762383675245,0.035695990855281,1.98003504455884
"T5770",0.341372859,0.106428112,0.098321007,0.052652959,0.276477933,0.492613776970402,0.0185155733723904,1.89693142530219
"T5772",0.342905122,0.085677732,0.103398585,0.125168527,0.282748582,0.488204805922328,0.0295704758829769,1.95040523698773
"T2435",0.196220618,0.270534801,0.062742903,0.179672918,0.185494542,0.484305564622887,0.0393502683910315,1.99771119761458
"T5527",0.349511682,0.249205843,0.115127646,0.297888587,0.290487443,0.478784266704434,0.0532050482297842,2.06472833207892
"T5533",0.344173984,0.280241309,0.102723452,0.305585243,0.301387969,0.489394599492954,0.0265869286698957,1.93597348223689
"T5529",0.297988744,0.255616991,0.131698263,0.291166667,0.287208185,0.437517835437349,0.157265421351362,2.56808010663342
"T5531",0.332633708,0.225305622,0.108830095,0.30386908,0.283859734,0.479637073562681,0.0510644709349069,2.05437411800466
"T0070",0.079522334,0.312210259,0.062056821,0.237729304,0.11062678,0.369644492564992,0.332795063072417,3.41713680321072
"T0583",0.134500271,0.257531317,0.059202402,0.282074427,0.10974523,0.432022438121565,0.171227511044178,2.63561631097853
"T0584",0.104800034,0.230806927,0.058664548,0.284658572,0.070851376,0.381424245731793,0.301742336873785,3.2669312603325
"T0585",0.117970248,0.234222212,0.062662621,0.288038376,0.073321927,0.411859022270601,0.222765468879385,2.88491123233113
"T0588",0.079525608,0.101507651,0.084726435,0.235540808,0.188900188,0.491711677106886,0.0207772393168175,1.9078713588468
"T0592",0.045501741,0.195083542,0.050173776,0.057468773,0.092450892,0.449228109037518,0.127611767605482,2.42464203518258
"T0594",0.126825154,0.192456147,0.047582159,0.042854378,0.081818041,0.471847208749695,0.0706272559052983,2.14900151779853
"T0589",0.133436325,0.215713914,0.068172498,0.174851405,0.218017153,0.495511899331604,0.011250237349993,1.86178817461121
"T0590",0.183281765,0.175970017,0.067090087,0.057708553,0.224321482,0.489046396099628,0.0274600639223951,1.94019693604152
"T0591",0.142670835,0.054623517,0.07121232,0.122198715,0.205708078,0.477652919603272,0.0560451499447116,2.07846622475833
"T0595",0.041397908,0.099650583,0.049392088,0.043804179,0.098303405,0.48032730307624,0.0493321406553781,2.04599464084003
"T0596",0.04837298,0.041326039,0.056998576,0.066067004,0.102776745,0.453465045609127,0.116911618305584,2.37288420483338
"T0576",0.08126158,0.329242321,0.05185134,0.302471686,0.037639804,0.438310959440846,0.155252933957849,2.55834547787507
"T0572",0.251552574,0.060607566,0.074504989,0.050548287,0.223023933,0.49026635348178,0.0244010548062614,1.92540016354499
"T0577",0.179798871,0.321608767,0.065449556,0.273569792,0.08607419,0.499605543011216,0.000988757202320049,1.81215223648275
"T0578",0.128378974,0.319609904,0.07642651,0.254114551,0.133559782,0.35780955245849,0.364319948913913,3.56962623559442
"T0579",0.112640324,0.32366049,0.044002304,0.25951733,0.080131895,0.459548992902117,0.101570008811437,2.29867510744355
"T0582",0.13107846,0.269601536,0.299194986,0.255112703,0.139201288,0.483928910410488,0.0402951494466333,2.00228169396985
"T1945",0.166060132,0.441961164,0.128125436,0.016682907,0.22083477,0.349076190279558,0.387815761631569,3.68327813469163
"T1941",0.216657986,0.450616677,0.099548346,0.027653081,0.247502212,0.450648401772565,0.124023329316678,2.40728435399843
"T1943",0.184794914,0.44411673,0.095985264,0.088638923,0.239233658,0.451472953851111,0.121940794049905,2.39721089576781
"T1096",0.233128632,0.098094081,0.100782382,0.213542748,0.17718539,0.437821897774535,0.156493813156586,2.56434775067072
"T1094",0.168551908,0.267787794,0.106090427,0.230642188,0.159800362,0.304475218854285,0.511572211750305,4.28190205762387
"T0112",0.174290786,0.293210187,0.060657811,0.252408433,0.137555791,0.472481174996765,0.0690342587554777,2.14129601071481
"T0110",0.170564454,0.22380391,0.065142713,0.246229531,0.129317612,0.460231282705361,0.0998510664744749,2.29036038926878
"T0111",0.074257198,0.193925185,0.071318622,0.242077676,0.131981211,0.426415239114389,0.185508163013632,2.70469343702556
"T4088",0.153824167,0.045246431,0.086037814,0.045535532,0.109501925,0.372314334289327,0.325729967942679,3.38296214032733
"T4101",0.325053185,0.128495389,0.157496164,0.101901351,0.1581584,0.466663462714151,0.0836597931763527,2.21204137212107
"T5043",0.320142709,0.118295261,0.161866203,0.205761031,0.116171479,0.495427113583791,0.0114627774083787,1.86281625487215
"T6993",0.311150577,0.017446225,0.114546672,0.24024497,0.212068159,0.47072988707702,0.0734352420956805,2.16258406405946
"T4102",0.168832497,0.111510918,0.114328069,0.250001061,0.091115308,0.392482547793072,0.272854458252886,3.12719732962714
"T4834",0.218097735,0.246731211,0.092598377,0.095189857,0.216560818,0.447938415030906,0.130871664818922,2.44041052608865
"T4836",0.326505304,0.244908305,0.142713803,0.103052283,0.139515706,0.49272905286657,0.0182265707861306,1.89553348716031
"T4844",0.327285091,0.254551699,0.135270748,0.302068904,0.231039875,0.450578693674524,0.124199412558111,2.40813608851932
"T4845",0.351644368,0.253643173,0.15226768,0.174993303,0.252006458,0.440817081242301,0.14889794538863,2.52760568060515
"T4847",0.319881508,0.238156055,0.128587846,0.125491957,0.17315428,0.478332730673523,0.0543385187493497,2.07021105696557
"T5044",0.313064042,0.150234418,0.146576722,0.236932132,0.12776847,0.490718916291537,0.0232663257677541,1.91991135106011
"T5051",0.334528899,0.155378105,0.182855996,0.284856555,0.187287202,0.425074592734128,0.188928079689234,2.72123596013838
"T4841",0.337700482,0.266373201,0.155370523,0.228510305,0.205102349,0.445585704819944,0.136822106336172,2.4691934835896
"T4846",0.223879613,0.2363288,0.13589959,0.090801848,0.238947415,0.356562350263897,0.367662774968398,3.58579586266836
"T4848",0.318059061,0.244082056,0.121612719,0.132740031,0.2399407,0.46022662325692,0.0998628043556346,2.29041716672531
"T4854",0.317530908,0.215867342,0.129561387,0.187493221,0.143037391,0.494332154192536,0.0142076605301845,1.87609356446522
"T7010",0.281194571,0.143584161,0.102745897,0.154019515,0.166758642,0.481602550324251,0.0461319249602746,2.03051483617697
"T2254",0.129641031,0.290787249,0.059176757,0.535958473,0.097378124,0.426429551231797,0.185471665346767,2.70451689368987
"T2255",0.125111214,0.517676073,0.049294419,0.636264826,0.107889073,0.453903447956549,0.115805242053713,2.36753253797885
"T2257",0.121284971,0.293694811,0.067126723,0.320891868,0.119068599,0.375353362814571,0.317707626499764,3.34415716894157
"T2258",0.098869042,0.368162694,0.051127405,0.363577779,0.120434091,0.439678411905209,0.151784606341846,2.5415687855773
"T2259",0.18587405,0.218483035,0.063017302,0.392031754,0.155756833,0.47534876696038,0.0618308522768515,2.10645232021971
"T2774",0.252723676,0.107094065,0.089812126,0.252689828,0.22954008,0.470633686084686,0.073677035451873,2.16375364582497
"T2771",0.289780202,0.055024654,0.090735573,0.291717085,0.215275689,0.486192753283264,0.0346165473047663,1.97481365422182
"T2773",0.241144255,0.097759419,0.089750513,0.240300061,0.217897611,0.46405870787987,0.090213677265607,2.24374324947928
"T0415",0.174257825,0.24399495,0.060825768,0.292866534,0.209361129,0.491676226904836,0.0208661190601233,1.90830128020084
"T5994",0.076408909,0.235933808,0.119363022,0.292767781,0.150208087,0.393731346028845,0.269606899184297,3.11148851972085
"T5996",0.293451818,0.272060035,0.108513478,0.309818968,0.230341423,0.464203014064308,0.0898504863081345,2.24198645380902
"T5998",0.167363724,0.25111602,0.113390348,0.276807087,0.234896131,0.41681731192181,0.210042344684602,2.82336804399527
"T6000",0.110203426,0.248681389,0.116095941,0.279234306,0.215373038,0.443769243825869,0.141419579317399,2.49143197951411
"T6002",0.314372792,0.264330564,0.106003597,0.295993058,0.164177969,0.499595700531501,0.00101342865262874,1.81227157507362
"T6004",0.245624812,0.24164356,0.114363745,0.274917839,0.168625657,0.429110177098473,0.17864003820613,2.67147154183132
"T6006",0.265092777,0.243295756,0.119371305,0.2889523,0.195441029,0.430677229288972,0.174650253790014,2.65217250411218
"T6008",0.271902592,0.253871764,0.114365815,0.2913348,0.162711903,0.462108247499438,0.0951237988979941,2.26749406223154
"T6010",0.151502343,0.253871453,0.113119728,0.293860998,0.197049353,0.350652811352911,0.383558609281189,3.66268580808514
"T6012",0.274080012,0.240545359,0.117258754,0.283887476,0.199305231,0.442253349302064,0.145258602257808,2.51000176695233
"T6014",0.302449034,0.2480311,0.115980875,0.316465359,0.23145527,0.459295676193617,0.102208284157539,2.3017625173622
"T6016",0.186914291,0.234559787,0.11149647,0.287855588,0.186522718,0.346121391756768,0.39581327419727,3.72196300599479
"T6018",0.287276735,0.249228042,0.112211908,0.257077589,0.173202484,0.471912991055872,0.0704619533101967,2.14820193048122
"T6020",0.10422252,0.244967167,0.12104309,0.29291861,0.205595443,0.431371202262816,0.17288425939713,2.64363018983013
"T6022",0.20394244,0.24460329,0.117378826,0.292003388,0.141314452,0.367087269402482,0.339577746778462,3.4499454101498
"T6024",0.076275846,0.250885649,0.119173751,0.289112113,0.136907834,0.359033934500148,0.361042242310873,3.55377159865993
"T6026",0.06824656,0.254183624,0.117920637,0.293264781,0.189868426,0.480013706820503,0.0501191823517659,2.04980165039267
"T5995",0.307975425,0.269443328,0.115543182,0.269148533,0.266911913,0.461835389562182,0.0958108762242882,2.27081753283876
"T6001",0.088308935,0.285505489,0.114278718,0.278814153,0.198579501,0.45783378673789,0.105892589823543,2.31958391987455
"T6003",0.141062098,0.253383993,0.118691859,0.276998231,0.233812133,0.427177545780694,0.183564529509164,2.69529186230302
"T6007",0.133329194,0.275875706,0.123558557,0.277795588,0.204981319,0.366075209353476,0.342266400614437,3.46295073233829
"T6009",0.063934677,0.26784412,0.119363486,0.256452606,0.199420393,0.494594975059707,0.0135488028547661,1.87290659549565
"T6011",0.236356931,0.241142199,0.115729781,0.279098502,0.181683111,0.406976802418078,0.235328721005207,2.94568110141781
"T6013",0.335907926,0.245033235,0.115313895,0.293439793,0.258714009,0.474725432139726,0.0633963869281562,2.11402498809723
"T6017",0.242361149,0.255868818,0.122607032,0.268904051,0.251404215,0.414039433669642,0.217166145145583,2.85782667119448
"T6019",0.095050421,0.259388166,0.119350307,0.267498983,0.081338268,0.24666055994997,0.685036133622882,5.12096663404753
"T6021",0.225671279,0.254756237,0.127034858,0.287846615,0.093556776,0.470464706062273,0.0741017634075629,2.16580810290393
