"","cheA","cheW","cpxR","motA","motB","mscM","psd","tsr","ung","pval","z","inv_cof_var"
"T1865",0.114980465,0.102653075,0.209433026,0.093718968,0.091193046,0.091403998,0.10477193,0.092167067,0.077608727,1.41668606002023e-16,8.18021527971721,8.54917451660137
"T1869",0.103811488,0.091340889,0.221548306,0.082657155,0.080333064,0.086743446,0.163751127,0.081239922,0.067218949,0.035640077117356,1.80368849445782,3.17645981519739
"T0172",0.212544398,0.181298038,0.198287557,0.167021004,0.166013584,0.082100484,0.261068568,0.08787743,0.054187288,0.286978881031826,0.562232292933557,2.13043739426167
"T0173",0.26023351,0.221457807,0.163389239,0.199974487,0.194166229,0.028951508,0.286976743,0.181022078,0.042748798,0.393923114087145,0.269108449857288,1.88345799088669
"T0485",0.181814111,0.14917176,0.313789262,0.127247499,0.122616893,0.030557179,0.099192202,0.135068965,0.04873922,0.256104876234355,0.65540077528357,2.20893901304049
"T0487",0.187019573,0.171705564,0.247805174,0.144796465,0.143865484,0.05614647,0.30632967,0.052344994,0.067787096,0.499638757855022,0.000905499898330659,1.65747635845075
"T0491",0.203925724,0.179102937,0.144188166,0.158513427,0.152966105,0.053407967,0.374739988,0.147230145,0.103426597,0.421953058105612,0.196899587853205,1.82261646578594
"T0492",0.194259543,0.171471759,0.166679283,0.152796226,0.147736675,0.052819656,0.321225124,0.14201593,0.102519655,0.31676007958128,0.476778075899912,2.05843563787997
"T0493",0.187280842,0.167147109,0.212507577,0.150203821,0.14584332,0.056780222,0.371825283,0.14125432,0.107129129,0.432444135996953,0.17015495977703,1.80008205774728
"T0497",0.190552626,0.172505894,0.123713018,0.158015244,0.154191181,0.056800933,0.183836536,0.155889858,0.101767411,0.0300053015287532,1.88071569827014,3.2413611642025
"T0498",0.218843168,0.192789158,0.352765197,0.172369804,0.166798099,0.036651642,0.289637226,0.169158105,0.056407294,0.352135599639475,0.379561156446648,1.9765228991804
"T0499",0.189585639,0.166517939,0.210988883,0.147454825,0.143220039,0.052926786,0.367535121,0.148718251,0.092970227,0.450617135090733,0.124102308741824,1.76127915397411
"T0689",0.485963556,0.452510622,0.476140722,0.490188898,0.473400769,0.051505613,0.216764936,0.396668835,0.061185184,0.465665499933329,0.0861703505294344,1.7293185590603
"T0690",0.414277214,0.426839909,0.258612392,0.36492794,0.42028561,0.036987323,0.287974944,0.263451931,0.042786145,0.456132959376769,0.110180888497042,1.74954928570374
"T0697",0.168907731,0.142407903,0.259997236,0.120940532,0.115358765,0.032903718,0.071337006,0.120473071,0.06642932,0.204440168151602,0.825865600182132,2.35256875092883
"T0698",0.179773537,0.155542615,0.275321976,0.135704605,0.129812808,0.042832835,0.204613723,0.13526185,0.054711317,0.217749473247683,0.779816408868712,2.3137687622376
"T0707",0.178506636,0.148133759,0.328895567,0.125642118,0.120023371,0.059167043,0.320235922,0.122464015,0.078524409,0.435018898037369,0.163610477413869,1.79456782754176
"T0709",0.180119906,0.159836739,0.260870713,0.144168197,0.139646278,0.071748608,0.232749546,0.141125552,0.104883522,0.0483643749233343,1.66092380877314,3.05616957703945
"T0711",0.198228618,0.174904471,0.215013358,0.157602729,0.153067153,0.087719283,0.222779262,0.155151683,0.119284482,0.00664764158631708,2.47576023044214,3.74273199093235
"T1075",0.24416509,0.208002945,0.255863265,0.180891498,0.173867002,0.070306014,0.355590568,0.176584384,0.161978204,0.181399849526263,0.910043254104027,2.42349490461509
"T1077",0.260109068,0.220008989,0.135397167,0.190008933,0.182028941,0.076873528,0.215467827,0.184983507,0.331313115,0.0763664498001624,1.4299446710973,2.86155187205664
"T1079",0.24317593,0.20714759,0.189015693,0.18015024,0.173298238,0.070880816,0.275058151,0.176256048,0.099778659,0.123988021875135,1.15527936388605,2.63012520614332
"T1702",0.109163321,0.132261538,0.405258002,0.088685234,0.098539285,0.075291476,0.049279601,0.083526543,0.101920111,0.00647982104863808,2.48487640328397,3.75041306834287
"T1705",0.171636059,0.15880889,0.383179893,0.112024629,0.113695772,0.083830307,0.076075671,0.089805685,0.121800181,0.0211243825945485,2.03106141267892,3.36803900267162
"T1706",0.150607762,0.140844745,0.367470827,0.103911991,0.110962784,0.076623921,0.038570817,0.132144929,0.109003195,0.0613715351491758,1.54336157909133,2.9571143482272
"T1707",0.149987333,0.14024703,0.369494655,0.139296678,0.151608288,0.073140012,0.046755634,0.112062707,0.107672907,0.0546761951955055,1.60111075566861,3.00577247520441
"T1916",0.197589573,0.162396878,0.323918817,0.135519442,0.130007112,0.036268234,0.2609744,0.172371608,0.042697856,0.392759571922572,0.272133796644595,1.88600707845558
"T1917",0.191766348,0.158047236,0.313809595,0.132446143,0.126960556,0.036419543,0.249350071,0.176345357,0.036858957,0.3938723855227,0.269240298564658,1.88356908357277
"T1918",0.149513515,0.136422764,0.293210556,0.125807139,0.123831682,0.072104602,0.341271293,0.204892121,0.274980164,0.344742003401695,0.399555406643282,1.9933695941905
"T1919",0.150211679,0.135422666,0.355149231,0.122292956,0.120075953,0.072969857,0.330739613,0.143703643,0.242259132,0.340197120805294,0.411925210799345,2.0037921064579
"T1998",0.202079209,0.177959497,0.197262762,0.157258214,0.152529911,0.0326733,0.064110641,0.154539779,0.091927248,0.268032423821861,0.618774614706432,2.17807865315874
