"","agaB","agaC","agaD","agaI","agaR","agaS","kbaY","pval","z","inv_cof_var"
"T6092",0.081341714,0.045690644,0.094944763,0.043739098,0.039913397,0.046021228,0.065754544,0.496128660991858,0.00970416012430263,2.77180394916745
"T6098",0.081341714,0.051012214,0.075756643,0.034549968,0.038090507,0.036387188,0.06504538,0.49339307672158,0.0165618578063548,2.79408433371046
"T6100",0.081341714,0.049978995,0.077376857,0.04034277,0.039784279,0.040785669,0.062863361,0.451944574749344,0.120749879979081,3.13258703628066
"T6101",0.081341714,0.056622846,0.101350782,0.049789829,0.050028414,0.050964444,0.072951939,0.42776204529107,0.182074716232993,3.33182896806635
"T6103",0.081341714,0.049751075,0.09567852,0.045145044,0.043614868,0.045911657,0.068262046,0.472712926843039,0.0684519688016102,2.96267322178285
"T6105",0.081341714,0.050080815,0.095952289,0.041279503,0.042315784,0.042670583,0.069157634,0.498705660822359,0.00324443287163235,2.7508165545774
"T6107",0.081341714,0.052461244,0.086572892,0.039741467,0.041236516,0.040007336,0.068836916,0.480037535285066,0.0500593782734759,2.90291643332286
"T6109",0.081341714,0.044017179,0.085121703,0.045519456,0.041623582,0.047324585,0.057005643,0.451608633451284,0.121598164900119,3.13534307994415
"T6111",0.081341714,0.049124834,0.081423646,0.047911687,0.046932822,0.049421758,0.057816346,0.373336743828318,0.323028725259676,3.78978288636356
"T6114",0.081341714,0.052283076,0.090773604,0.044850916,0.046790993,0.047721303,0.066799284,0.427981523394224,0.181515399601836,3.33001177077926
"T6116",0.081341714,0.050211537,0.087626803,0.038590917,0.044923296,0.03924299,0.065209985,0.481932199494973,0.0453047529927115,2.88746884660719
"T6118",0.081341714,0.052482739,0.09461765,0.046427644,0.047640241,0.051129111,0.067778017,0.42509177399978,0.188884237311158,3.35395282875684
"T6120",0.081341714,0.049702534,0.07649543,0.038879226,0.042945983,0.042822139,0.062371656,0.434802260145048,0.164160849770701,3.27362753488323
"T6122",0.081341714,0.049593422,0.067292559,0.041923066,0.046343911,0.042356089,0.057919404,0.375528991054982,0.317244637368572,3.77099061694322
"T6124",0.081341714,0.046014035,0.07376461,0.045700672,0.043960169,0.047581247,0.055927135,0.381979763812439,0.300285322846741,3.71589048470479
"T6082",0.096792567,0.043062615,0.071607744,0.057081787,0.043981707,0.05867958,0.050070353,0.445405145175761,0.137278972791918,3.18628939545303
"T6093",0.103974101,0.051987635,0.092794012,0.063626879,0.049622396,0.064716767,0.058550707,0.428718371985781,0.17963803346445,3.32391228354487
"T6106",0.097667246,0.050672026,0.085541318,0.061537618,0.048719912,0.062756578,0.06138706,0.384167561631734,0.294553323569049,3.69726744909891
"T6117",0.098024195,0.055986458,0.089770807,0.065579614,0.054207493,0.066436164,0.065314793,0.322338057444522,0.461170736656366,4.23860073721728
"T6078",0.096229883,0.045050707,0.076918731,0.056977099,0.044533342,0.058230602,0.052878143,0.433589565873435,0.167242644117691,3.28364016103225
"T6089",0.09834627,0.044887461,0.082886602,0.058467404,0.043672955,0.05935803,0.055133392,0.451601513810149,0.121616143641132,3.13540149215215
"T6102",0.097188136,0.054030784,0.089296357,0.062295092,0.051424116,0.062874179,0.066680183,0.353636367662276,0.375521398335884,3.96032947445381
"T6113",0.102510118,0.053061008,0.089639251,0.064551292,0.050841161,0.065793357,0.062990104,0.388932102870266,0.282103426744114,3.65681823397728
"T6084",0.096665588,0.04374229,0.075806961,0.057170678,0.043363515,0.058841543,0.051618266,0.445955038497509,0.135887677560144,3.18176913308307
"T6095",0.100451918,0.049565423,0.089919363,0.059916774,0.046749296,0.061122013,0.059144036,0.435886821221602,0.161405998571296,3.26467713389921
"T6108",0.096614303,0.05112968,0.084212151,0.06237346,0.049473915,0.063000337,0.061914437,0.363943470687051,0.34793774023986,3.8707112763389
"T6119",0.101222077,0.054568004,0.089593429,0.064045196,0.052014664,0.065166623,0.063531303,0.370380000588426,0.330847074274731,3.81518438853284
"T6086",0.097098833,0.046062896,0.074795642,0.057303169,0.045827649,0.058812883,0.053015289,0.423484379753075,0.19298749759722,3.36728415674653
"T6097",0.098580024,0.046616591,0.083657025,0.059122739,0.044818828,0.060759667,0.055882603,0.438545992392536,0.154656678158877,3.24274886275564
"T6110",0.100750804,0.051702674,0.07928253,0.066397109,0.051855998,0.068019732,0.057538511,0.362713550514304,0.351214942215947,3.8813587740324
"T6121",0.102009441,0.0533289,0.091415279,0.064696062,0.050445792,0.065738477,0.063252086,0.391713722751859,0.274855254207301,3.63326921230243
"T6080",0.095145863,0.044487698,0.076811783,0.056305147,0.044376749,0.058001636,0.051786302,0.434648765227045,0.164550836386456,3.27489458574614
"T6091",0.099092287,0.043795754,0.083432604,0.058825561,0.043209417,0.06026932,0.054757979,0.460935295015339,0.0980777062112056,3.05892605363101
"T6104",0.097897567,0.049825126,0.084570478,0.062710371,0.049141643,0.063321028,0.061470824,0.380821444381227,0.303324090669734,3.72576331940417
"T6115",0.101619341,0.053338297,0.089526833,0.064672884,0.051193669,0.065795606,0.063048408,0.380371191861452,0.304506050663956,3.72960345998876
"T6088",0.097669944,0.043031417,0.074470685,0.057202038,0.044155187,0.058799931,0.05058009,0.451684319737177,0.121407041946692,3.13472212913897
"T6099",0.098752397,0.046131248,0.08470024,0.059685882,0.044159675,0.060945439,0.057082001,0.442621782971718,0.144325344322169,3.20918277375663
"T6112",0.098780811,0.051925874,0.075573272,0.064100801,0.051522382,0.06577738,0.05774854,0.347192292445415,0.392911855552649,4.01683037200466
"T6123",0.101272289,0.053587355,0.092378138,0.064478659,0.05087586,0.065554488,0.06422702,0.386650527497179,0.288059680952223,3.67616986485187
"T6130",0.087644665,0.055618274,0.115150462,0.061082619,0.05592224,0.061211288,0.065843167,0.43629906923303,0.160359185853659,3.26127608139226
"T6140",0.091664732,0.061650784,0.104789677,0.062624306,0.06037361,0.062688267,0.072747261,0.327209987467234,0.447630378814246,4.19460865801525
"T6167",0.089522859,0.061212927,0.119298205,0.057981731,0.058650647,0.058044849,0.067286452,0.450302591372152,0.124896887182192,3.1460604962481
"T6126",0.086923159,0.057019811,0.117996501,0.059941393,0.056333695,0.060059554,0.068221564,0.446370948457718,0.134835550930099,3.17835081588797
"T6158",0.091882369,0.060445303,0.108996731,0.061576519,0.058978115,0.061620699,0.070299846,0.375483326139799,0.317365012142543,3.77138170975275
"T6165",0.091000001,0.059731243,0.114577106,0.059499827,0.05782546,0.059693911,0.069638297,0.423402818478251,0.193195788422655,3.36796088527885
"T6132",0.093319147,0.057436375,0.119930038,0.065178238,0.057411362,0.065354258,0.067333982,0.438480068440102,0.154823915273914,3.24329220943052
"T6153",0.093369753,0.060030191,0.115167454,0.062308314,0.057768943,0.062436737,0.068652794,0.417083407185564,0.209360514742075,3.42047943233755
"T6160",0.08691773,0.059335568,0.098026191,0.058040116,0.057920079,0.058112496,0.068406294,0.322606406750722,0.460422742711824,4.23617053491136
"T6134",0.087836447,0.055475833,0.115518245,0.062004897,0.055807817,0.062304044,0.066082934,0.43441788104998,0.165137494097133,3.27680061310328
"T6162",0.08673554,0.059585254,0.090615513,0.059624527,0.058673064,0.059661857,0.067044578,0.247189231532022,0.683361465975051,4.96048949939888
