"","alaE","kbl","lrp","tdh","yojI","pval","z","inv_cof_var"
"T5734",0.08470586,0.072121857,0.193072887,0.107535331,0.10456999,0.0940466216071286,1.31624077141682,5.48761737823871
"T5736",0.104635237,0.170716201,0.104082872,0.136409272,0.101486739,0.242735701678523,0.697529629530712,3.96365124938669
"T5744",0.118621133,0.164056892,0.161646353,0.22531743,0.106764969,0.40167023757555,0.249026251535259,2.85892901235511
"T5752",0.108439961,0.345151108,0.357128641,0.359014457,0.353574653,0.477305542341807,0.0569172856411417,2.38573960739477
"T5754",0.073316635,0.072117793,0.306408702,0.081000648,0.069989229,4.18412828601877e-08,5.35900278417128,15.4454667805718
"T5758",0.09933287,0.139449461,0.276556068,0.111279791,0.077424264,0.221604689334175,0.766784962188577,4.13423615414729
"T5767",0.130589887,0.141349216,0.20379987,0.181469858,0.064809044,0.4305058400878,0.175086481777792,2.67680572887586
"T2418",0.071954882,0.141700102,0.290302681,0.144083874,0.058558654,0.490487277267875,0.0238471198266598,2.30428348164414
"T4082",0.103404673,0.226393378,0.157775487,0.168402743,0.112271496,0.430278591684735,0.175664936671358,2.67823053862177
"T2682",0.240376279,0.164648767,0.199660198,0.230965095,0.081611575,0.467801622014992,0.0807971884788523,2.44455891841285
"T2686",0.239151168,0.214706825,0.113902383,0.254545821,0.071284124,0.488047816487125,0.0299641644263825,2.319350559231
"T2687",0.227543378,0.176349936,0.289104885,0.243823787,0.080528044,0.46278623691032,0.0934167629766517,2.47564257408542
"T5731",0.106277147,0.185604866,0.208601512,0.178195713,0.099413536,0.363318713837863,0.349601976133438,3.10666012190831
"T5733",0.099801141,0.101168822,0.161134749,0.132542286,0.088240637,0.0894687558968608,1.34403363134665,5.55607481223266
"T5735",0.119456297,0.172003381,0.177128901,0.140958505,0.086896057,0.288069687051961,0.559032743087536,3.62251537902327
"T5764",0.114989339,0.162587323,0.138170741,0.197157811,0.070060306,0.466181612398706,0.0848719086989432,2.45459548504237
"T5768",0.135908398,0.12185055,0.06927482,0.192255504,0.064707127,0.465901452186241,0.0855767211725809,2.45633152996592
"T5527",0.131981835,0.195783167,0.129466563,0.228355027,0.105074427,0.392787700381215,0.272060630061098,2.91566568686452
"T5529",0.134798725,0.241813876,0.146031172,0.243565057,0.089015112,0.494549045850382,0.0136639409670144,2.27920098576596
"T5531",0.116378322,0.133304529,0.143092495,0.219356666,0.130830154,0.349123007311135,0.387689246540848,3.2004740297432
"T0256",0.059517031,0.074118391,0.313612108,0.062579125,0.058843071,0.00308298195565146,2.73882257468435,8.99162164926576
"T0094",0.032229089,0.035326165,0.268549272,0.030119675,0.032748201,6.70804879330438e-08,5.27306916073871,15.2338010733057
"T4023",0.124514153,0.068070214,0.253522196,0.166035887,0.069744118,0.496548995037129,0.00865049450221878,2.26685221412776
"T4025",0.119524655,0.167600665,0.249423817,0.182657733,0.065293883,0.454990474298904,0.113062571106468,2.52403275835218
"T4026",0.137969998,0.17378827,0.095476823,0.181565719,0.075212278,0.390327985253732,0.278464294309307,2.93143874597747
"T4028",0.129222343,0.131271335,0.235589838,0.193951586,0.080528345,0.398844583429128,0.25633889443674,2.87694100428446
"T4030",0.106424619,0.107907272,0.24051398,0.181198704,0.078002672,0.429095660550829,0.178677011179012,2.68564967045323
"T4031",0.103188523,0.083829681,0.235506381,0.197758141,0.101171991,0.48226065532449,0.0444806062453267,2.35510644618025
"T4032",0.10479655,0.093116391,0.234193635,0.183252752,0.102171667,0.397887687013581,0.258818382264371,2.88304830575424
"T4033",0.132140412,0.088695577,0.217102941,0.209577678,0.087974811,0.496610868027574,0.00849539621537735,2.2664701868459
"T4034",0.130126013,0.080506521,0.179562662,0.202449402,0.091891846,0.49233124914795,0.0192238917084163,2.29289586861897
"T4087",0.129153894,0.077181031,0.24872376,0.177515529,0.108661028,0.391278572435484,0.275988179895131,2.92533975366441
"T4090",0.142918261,0.068182945,0.08390825,0.154255803,0.078850708,0.453205517554401,0.117566644918545,2.53512687880155
