"","decR","marA","mlaB","mlaC","mlaD","mlaE","mlaF","yncE","pval","z","inv_cof_var"
"T2682",0.072949048,0.294169096,0.145264509,0.206769883,0.162360566,0.268182267,0.138864077,0.174177117,0.240624200291218,0.704296090340532,2.75675930210789
"T2683",0.058977724,0.279316156,0.18786731,0.254989759,0.224263539,0.293209395,0.17102739,0.158550753,0.305376404663656,0.508999165104172,2.54051578208942
"T2684",0.070844906,0.265852239,0.164354562,0.217190475,0.201476146,0.284765385,0.156862789,0.173475937,0.234632436816724,0.72367566957408,2.77821744040099
"T2685",0.062899346,0.347357004,0.195807287,0.271099026,0.21742545,0.301846215,0.174376736,0.162058277,0.307494572307689,0.502964623491568,2.53383400500344
"T2686",0.077475502,0.309227,0.193671538,0.236829717,0.19997508,0.254413788,0.182093632,0.158435149,0.131147760746923,1.12098200679875,3.21813691574925
"T2687",0.077286828,0.262419915,0.172964207,0.233302359,0.190990845,0.25718314,0.159512435,0.167142433,0.154003508685147,1.01941283063875,3.10567392560421
"T2653",0.157882866,0.06620055,0.374327587,0.203552026,0.384750481,0.189671243,0.411653677,0.135128328,0.412730151759345,0.220527569441562,2.22110413136358
"T2654",0.172351113,0.070612182,0.385916616,0.296147619,0.362776787,0.201830701,0.381940509,0.144033566,0.265054325048603,0.627840167108847,2.67210308980003
"T2661",0.055194605,0.413370509,0.071700673,0.055461165,0.083023193,0.125620043,0.123718848,0.122935495,0.223767445233661,0.759531144964673,2.81791859903938
"T2662",0.047874419,0.439279247,0.059418641,0.099188856,0.155848548,0.116320885,0.119091142,0.109257359,0.247298959369007,0.68301412240428,2.73319473418709
"T2428",0.042760351,0.066260692,0.231542857,0.350638122,0.240550758,0.200160731,0.187794448,0.171219943,0.417097388355578,0.209324692745959,2.20869968880485
"T2436",0.052860094,0.061255867,0.276478542,0.152563469,0.324099359,0.176388964,0.225457389,0.14272232,0.445463302851966,0.137131814463483,2.12876375483573
"T5731",0.105972939,0.11405076,0.094594707,0.148159559,0.127193433,0.281593748,0.093780794,0.112476921,0.46384731198412,0.0907457416431551,2.07740253829655
"T5733",0.089213607,0.292684648,0.091035662,0.0906854,0.115342992,0.121947334,0.086918308,0.088813311,8.39459853903175e-06,4.30380167254348,6.74233028065588
"T5735",0.106422609,0.152503074,0.142911917,0.234054563,0.092149291,0.1622736,0.101594349,0.092908174,0.296640116136745,0.534088606227426,2.56829619418358
"T5764",0.078201284,0.14208366,0.148609106,0.23741737,0.090637353,0.126030445,0.091290812,0.064083351,0.488149242645619,0.0297098135568116,2.00982019453455
"T5768",0.09906459,0.148978479,0.152421815,0.240898049,0.093799796,0.062269879,0.081506675,0.124954676,0.478892190411639,0.0529341423943013,2.03553545150445
"T5770",0.083941652,0.138961323,0.14476168,0.2401945,0.141947294,0.108683239,0.089096791,0.055960988,0.476368598751794,0.059269821869277,2.0425506650298
"T5772",0.080955249,0.150483675,0.151589685,0.244306864,0.143917423,0.095634848,0.096120173,0.072467191,0.454603008805809,0.114040084818386,2.10319531900026
"T2431",0.081997353,0.094541846,0.276534188,0.406264555,0.430826029,0.198163717,0.231516852,0.170540041,0.47804085449669,0.0550712394019848,2.0379017631041
"T2429",0.073741117,0.085646873,0.247127816,0.394696659,0.407987494,0.191884878,0.225316258,0.162468389,0.48966333651697,0.0259130727098628,2.00561623379964
"T2338",0.082605716,0.401202317,0.229262791,0.369063087,0.233367108,0.247316047,0.358229039,0.414835002,0.337578153070815,0.419081861833193,2.44095438783628
