"","lolA","osmB","rarA","rcsB","pval","z","inv_cof_var"
"T5760",0.088874109,0.094081078,0.085668364,0.133578248,0.0743564378795814,1.44409279062605,21.0891427001403
"T5771",0.109492809,0.148492508,0.098547932,0.214483275,0.463740406012972,0.0910148240890321,4.52693962305565
"T4080",0.084509287,0.114644332,0.100734552,0.16543043,0.396410887776984,0.262648161229703,6.62779874191098
"T4082",0.092654088,0.118648486,0.119428392,0.164733984,0.377430258063283,0.312236866621102,7.23478387457415
"T2679",0.090774937,0.094994791,0.069189336,0.243018242,0.411860190286158,0.222762467546065,6.13958226437163
"T2685",0.072797558,0.110027087,0.066461144,0.278575539,0.496173673170571,0.00959132607326399,3.53028418801435
"T2687",0.087415296,0.122501298,0.080331234,0.402149724,0.471617225447363,0.0712051899832159,4.28446196023259
"T5731",0.134917274,0.130581686,0.12148986,0.154762315,0.104004606196313,1.25905847296265,18.824250342744
"T5733",0.108461584,0.106041268,0.093471694,0.091292881,0.222618821216543,0.763378593730939,12.7569349151849
"T5735",0.108196382,0.133273882,0.11358833,0.161005932,0.325033327048399,0.453669595005423,8.96597574021538
"T5766",0.126907957,0.151537272,0.083290377,0.209738433,0.497523370055854,0.00620803051944324,3.48887132828418
"T5529",0.141389099,0.137335403,0.116170243,0.07777827,0.30318396370559,0.51526489361082,9.71992626585077
"T5531",0.111356574,0.148443482,0.109393844,0.064615257,0.429296827684935,0.178164669564986,5.59368778879766
"T0581",0.15161414,0.083863568,0.118314772,0.51695053,0.497774834623492,0.00557769136927456,3.48115573075712
"T1094",0.13269157,0.091871463,0.110640413,0.1407417,0.433313335677524,0.167944843192294,5.46859312021011
"T4023",0.100427959,0.142334086,0.100820383,0.236140608,0.456321381725891,0.109705720562181,4.75572350006559
"T4025",0.125327358,0.141297618,0.114746919,0.2248276,0.309177418138422,0.498183322394888,9.51084115889422
"T4026",0.081627292,0.13940314,0.121105204,0.226538634,0.485356036267632,0.0367152206082511,3.86229125681587
"T4029",0.088399186,0.148182567,0.098135202,0.234834855,0.497868832980414,0.00534206891753962,3.47827161986945
"T4030",0.09041573,0.139725187,0.096666125,0.224479678,0.478995398536119,0.0526750770628353,4.05764613674083
"T4087",0.084328895,0.150480161,0.114620096,0.200269461,0.49659474422195,0.00853581406788684,3.51736430858708
"T4088",0.096103873,0.078158727,0.099486016,0.162117084,0.355114956953435,0.37154732534631,7.96076706718795
"T4091",0.114051418,0.130564297,0.094673887,0.206976915,0.406905571378885,0.235512287800559,6.29564504676376
"T4092",0.111078243,0.085677879,0.127097513,0.220985556,0.442974041055946,0.143433177364532,5.16856075161272
"T4093",0.121310821,0.148605463,0.131770187,0.204123122,0.303093648237272,0.515523436825041,9.72309093582843
"T4095",0.129746062,0.150174972,0.116553711,0.217934034,0.359968742294564,0.358542344966258,7.80158102514547
"T4097",0.158363661,0.16976438,0.12835253,0.19939288,0.381213203033582,0.302296027897516,7.11310412383668
"T4099",0.090208977,0.152222409,0.126207786,0.203878175,0.482630215407108,0.0435533586262041,3.9459927384181
"T5038",0.112501642,0.165679419,0.154033556,0.237159714,0.44344494640309,0.142240689676295,5.15396423629879
"T6966",0.104724533,0.145144006,0.086745338,0.223218154,0.48896512957418,0.0276638462813113,3.7514988978854
"T6971",0.095196805,0.14383919,0.092053473,0.236307662,0.487345541419514,0.0317253447879953,3.80121322679221
"T6984",0.119005606,0.17967719,0.130787729,0.261700615,0.466244845463681,0.0847128360909883,4.44980082721813
"T6988",0.134477364,0.166065777,0.10149483,0.242493355,0.475972508024655,0.0602644489995372,4.15054301508176
"T4102",0.091226654,0.143418617,0.121823454,0.194895876,0.463612017098039,0.0913379878392098,4.53089527364635
"T4838",0.119842163,0.14316778,0.131658657,0.202343541,0.260212895263048,0.642689199571846,11.2796495667071
"T4842",0.088712569,0.152050829,0.137107502,0.19936096,0.487243394290234,0.0319815196009119,3.80434890661236
"T4847",0.095504285,0.152385839,0.127693259,0.209470438,0.46821173897521,0.0797658594934461,4.38924790044498
"T4849",0.147669166,0.154878831,0.127590798,0.206421512,0.291316652010512,0.549542358109457,10.1394958265369
"T4851",0.095127131,0.160894589,0.136798652,0.19791428,0.482976879866747,0.0426835915014394,3.9353464489164
"T4855",0.116554888,0.144877838,0.091356607,0.213518803,0.468125879123461,0.0799817658510864,4.39189067863611
"T5037",0.111852457,0.160274527,0.141159897,0.244672421,0.427539179733181,0.182642723724447,5.64850092167942
"T5041",0.111347417,0.159452251,0.109847038,0.223671531,0.464720420269919,0.0885483713194192,4.49674927729537
"T6972",0.086817432,0.059734757,0.104723021,0.256539704,0.490707931765091,0.0232938673545749,3.69800864808669
"T4107",0.117586698,0.160992466,0.098545281,0.243245521,0.483227543669664,0.0420547062985419,3.92764864827212
"T4109",0.125653598,0.157631281,0.096930304,0.236337616,0.475215014700744,0.062166764452607,4.17382809962944
"T4111",0.128803467,0.141409711,0.086357055,0.227042268,0.476938270993243,0.0578394151236944,4.12085965276724
"T5049",0.104490309,0.150856473,0.116725018,0.222488658,0.443206777296886,0.142843787037188,5.16134638367935
"T5050",0.130902734,0.155561328,0.103949757,0.238421973,0.447081811971946,0.133037625718949,5.04131513701365
"T5053",0.105014181,0.161201261,0.132119447,0.23133619,0.457306543423466,0.107221717280676,4.72531832918121
"T4104",0.077492724,0.127273288,0.115941809,0.172712129,0.477711437902607,0.0558982363733729,4.09709886627388
"T4110",0.140278646,0.102016346,0.100173141,0.165811869,0.447063835454078,0.133083086836707,5.04187159886067
"T4112",0.133397767,0.156179033,0.133988409,0.136738171,0.271116342082835,0.609440222121468,10.8726690894121
"T4114",0.091651659,0.160137052,0.155309859,0.177295462,0.495523955543294,0.0112200150014904,3.55021997696798
"T4118",0.090924863,0.14532677,0.12367797,0.187967813,0.468498068742017,0.0790458708940124,4.38043495862498
"T4833",0.120861903,0.148932105,0.11490462,0.210841446,0.38297128174503,0.297686348696355,7.05667984900703
"T4835",0.106344084,0.143514129,0.125573285,0.219606135,0.393126122908675,0.271180453417691,6.7322373326096
"T4839",0.090446557,0.141740431,0.119131018,0.207374908,0.462815326547389,0.0933435274635131,4.5554438623887
"T4843",0.116903491,0.137791764,0.111519988,0.156830121,0.330035684011094,0.439814633672242,8.79638559914422
"T4848",0.129395056,0.146553842,0.109358924,0.20612583,0.387889990035758,0.28482270009622,6.89922376318149
"T4850",0.155027212,0.152341753,0.146665512,0.21816592,0.00442943801700822,2.61745271839156,35.4515267510036
"T4852",0.110760022,0.159541122,0.148999806,0.196435263,0.434063930060094,0.166036964895146,5.44523994427702
"T4854",0.128483803,0.167121465,0.105126668,0.213638208,0.472206878874684,0.0697234739332952,4.26632517674467
"T4856",0.137041258,0.138596998,0.089664613,0.19621388,0.468573984304056,0.0788549848128157,4.37809843839514
"T7008",0.07944394,0.080613586,0.062050565,0.109893499,0.380952899274792,0.302979087791812,7.12146504387449
"T7010",0.097334456,0.137221116,0.1002034,0.180768324,0.447904100522964,0.130958418785706,5.01586483162158
"T7012",0.079874418,0.105963121,0.072130199,0.09398997,0.453235044858551,0.117492117990462,4.85103204741865
"T0412",0.060352124,0.058765397,0.039320307,0.470105263,0.464308591380554,0.0895847759855043,4.50943527542279
"T5994",0.153203331,0.157718066,0.102175828,0.109782492,0.465784566614404,0.0858707883557994,4.4639746154533
"T6000",0.149851235,0.155033699,0.093055887,0.169124373,0.485504311804944,0.0363433008922125,3.85773881414979
"T6002",0.143123806,0.149394,0.084886071,0.10850066,0.495970401327845,0.0101008777260156,3.53652129937071
"T6004",0.145047406,0.151516408,0.10525828,0.107064745,0.43722208602205,0.158016023973935,5.34706049291371
"T6006",0.14946263,0.156466915,0.103903718,0.127463371,0.455325434376348,0.112217607286076,4.78646997518132
"T6008",0.144970345,0.151795956,0.093246565,0.103848419,0.478897247736753,0.0529214477916008,4.06066181073965
"T6010",0.146269983,0.15198795,0.103008662,0.126925331,0.448594857396819,0.12921223556321,4.99449086659073
"T6012",0.152457608,0.160491213,0.100275616,0.118250507,0.473939593766913,0.0653702787961647,4.21304036708964
"T6016",0.138043021,0.144428537,0.097353142,0.133124726,0.449773779786354,0.126232912195321,4.95802278428386
"T6018",0.144005422,0.152409968,0.09715063,0.12725938,0.467671505732107,0.0811244122975502,4.40587711767338
"T6020",0.16205736,0.165980259,0.094817471,0.131590164,0.496389636971562,0.00904996158194406,3.52365767508183
"T6022",0.15085891,0.15610354,0.098420945,0.109484705,0.473180773387081,0.0672765477383671,4.23637384388928
"T6024",0.156958268,0.15992431,0.09376254,0.118636237,0.491858210456352,0.0204098567836575,3.66270723166186
"T6026",0.156913562,0.164141465,0.105047699,0.102897086,0.467658472505138,0.0811571894750543,4.40627832313496
"T6028",0.14541693,0.153679327,0.094672393,0.120096444,0.477354027378914,0.0567955550787771,4.10808239788944
"T1770",0.164230772,0.142837147,0.089736532,0.324664973,0.498839109078788,0.00290992611358233,3.44850124149673
"T1811",0.206960836,0.186351831,0.115834082,0.23718935,0.495482140547441,0.0113248363119324,3.5515030307707
