"","amiA","cmk","hemF","ihfA","ihfB","rpsA","uspB","pval","z","inv_cof_var"
"T0110",0.186283438,0.155923542,0.030751252,0.924380917,0.213030639,0.252580412,0.057773292,0.324145463010908,0.456137749619002,1.70089477727268
"T0111",0.201347054,0.168200793,0.040285321,0.794461997,0.227875689,0.2445411,0.065417481,0.253504035241868,0.663503606443955,1.84147012396074
"T4023",0.126373178,0.290887397,0.083033334,0.192393683,0.38847498,0.273641484,0.115886427,0.300093004807707,0.524133039996192,1.74698945102602
"T4024",0.123188636,0.287135051,0.068778243,0.187466957,0.40805566,0.266707018,0.107045034,0.380416445620379,0.304387235605937,1.59802161655034
"T4025",0.120843176,0.287567525,0.106648666,0.200120357,0.403895761,0.259950464,0.1124339,0.28939867762847,0.555142265586801,1.76801090896838
"T4027",0.099265676,0.279791792,0.109288107,0.191817678,0.355424525,0.261579396,0.104509842,0.266731135878428,0.622729533238183,1.81382898011696
"T4028",0.125820672,0.290755692,0.090520811,0.195407654,0.387203211,0.272228348,0.104163743,0.305304185205805,0.509205240184458,1.73686974922962
"T4029",0.126961131,0.300979344,0.091475531,0.196144026,0.368021577,0.271450666,0.120798784,0.245601112959339,0.688397931752879,1.85834623107137
"T4030",0.127598401,0.275080238,0.097462103,0.186198385,0.404998101,0.25812569,0.108445384,0.304480268989613,0.511557783285945,1.73846456125486
"T4031",0.109314144,0.277324107,0.076932698,0.198743838,0.347630894,0.253838011,0.124473511,0.266693992529131,0.622842563376813,1.81390560435572
"T4032",0.099888683,0.263576936,0.084603384,0.193788516,0.351040788,0.251060532,0.116134211,0.283509325459197,0.57244778451177,1.77974248985514
"T4033",0.143766802,0.300660186,0.081784573,0.210828579,0.350960347,0.269640419,0.123993135,0.211048290368011,0.802789208269351,1.93589319854523
"T4034",0.108137674,0.235436362,0.08461683,0.210635893,0.33475416,0.269189113,0.113722898,0.246447691005724,0.685710979065157,1.85652471951015
"T4087",0.127452579,0.300617645,0.10792521,0.084084542,0.36872848,0.253949192,0.116625452,0.217719447993605,0.779918419185713,1.92038886647394
"T4088",0.109732909,0.325611872,0.166731141,0.05249356,0.334675128,0.18291271,0.052614275,0.317835889672822,0.473758993727999,1.71284039135604
"T4089",0.116139649,0.307116916,0.157996031,0.087080204,0.3743207,0.267747086,0.115587017,0.165185692074099,0.973366093856397,2.05152894107063
"T4090",0.11043193,0.079884823,0.11913236,0.069229263,0.368720315,0.225342269,0.144024293,0.362542995093577,0.351669695338833,1.63007485940809
"T4091",0.08343408,0.307080205,0.076722348,0.183077157,0.346950499,0.263220148,0.109189052,0.365366087933463,0.34415173723698,1.62497836192902
"T4092",0.109259194,0.312125876,0.084293699,0.140397717,0.331745949,0.255976438,0.111748461,0.274958451331002,0.597884650211348,1.79698639041393
"T4093",0.119019881,0.295501738,0.089027177,0.183492878,0.39657168,0.253042275,0.074748783,0.396505428060581,0.262402875350417,1.56956000725379
"T4094",0.109804095,0.305237637,0.136874855,0.064836343,0.356848565,0.250646376,0.113201259,0.190233736018867,0.877035286874201,1.98622534290068
"T4095",0.134200046,0.309555546,0.110106075,0.0778828,0.394984644,0.26949569,0.086165342,0.305602047267337,0.508355442951076,1.73629366335643
"T4097",0.120065983,0.323692079,0.156822121,0.102570577,0.365547503,0.280991494,0.073386325,0.251736885186728,0.669034030091497,1.84521925235385
"T4099",0.13419252,0.295256343,0.097406996,0.114014485,0.371135572,0.23900588,0.117786238,0.229609241606698,0.740134340882266,1.89341884987717
"T4101",0.153519091,0.29876199,0.049570122,0.099314605,0.38582879,0.24981969,0.109475187,0.351914190322355,0.380157667776064,1.64938713512755
"T5038",0.153909757,0.118060426,0.048562623,0.216525427,0.153229031,0.050010335,0.09712605,0.118953432101768,1.18023474346967,2.19176722611687
"T5039",0.135246771,0.17375455,0.123603437,0.220834158,0.313821547,0.273948648,0.088659116,0.161214680857475,0.989477932027861,2.06245131407559
"T5042",0.13503687,0.136060792,0.13490456,0.22258973,0.062466726,0.081002078,0.103562901,0.00137655668552392,2.99403835038534,3.42136246792883
"T5043",0.125752512,0.02232272,0.117524622,0.204415106,0.083018429,0.117081766,0.093558431,0.0625757754816085,1.53350469408245,2.43125238795712
"T6958",0.099746998,0.223794163,0.069083107,0.164439042,0.342028795,0.217913783,0.078264593,0.384324873988324,0.294141542382944,1.59107596069873
"T6959",0.050913463,0.295559495,0.09127946,0.223966589,0.319297465,0.274688009,0.110677088,0.376810132164522,0.313869357507931,1.60444963991986
"T6962",0.14419918,0.265008573,0.085956615,0.206823846,0.340312258,0.274197815,0.091077662,0.241250157143103,0.70228681482935,1.86776164103075
"T6963",0.120853441,0.289202336,0.106099881,0.201751569,0.337774128,0.267493278,0.079265446,0.268835422838742,0.616338936888519,1.80949673221872
"T6966",0.105591964,0.304894847,0.099068594,0.201576891,0.344018554,0.263694001,0.142549417,0.202501358639828,0.832719902352099,1.95618350940797
"T6967",0.078336931,0.309320699,0.074407749,0.192545012,0.350822477,0.268614448,0.1391396,0.337111554531445,0.420359144864169,1.67664011045127
"T6970",0.096211012,0.308913744,0.131615274,0.205229774,0.338455968,0.24939408,0.14560176,0.149779579384232,1.03737922009425,2.09492406672561
"T6971",0.093545,0.30477229,0.083521049,0.200802237,0.356443282,0.26968874,0.116985954,0.323889288019265,0.456850401276756,1.70137789081601
"T6981",0.080620762,0.310615346,0.06629923,0.196997911,0.425007932,0.265724703,0.143338207,0.428578457147072,0.179994464018854,1.5136945375457
"T6984",0.114507295,0.307641663,0.075836107,0.215870978,0.37134134,0.274865426,0.1468475,0.268941644389276,0.616017016846581,1.80927849946722
"T6985",0.096439013,0.311166408,0.112423704,0.231339074,0.34988696,0.273515867,0.0778371,0.335768571126204,0.424039313781339,1.67913493302873
"T6988",0.099247735,0.326849657,0.142132075,0.219824385,0.407269624,0.282233367,0.103671366,0.299591386625058,0.525576089682964,1.74796770855169
"T6989",0.139231985,0.301337352,0.109346204,0.221732688,0.349312544,0.285423404,0.097842483,0.211844349660107,0.800038140883826,1.93402822300199
"T6992",0.125894026,0.219188036,0.130362547,0.219879853,0.353196392,0.280487174,0.097546386,0.189336746094982,0.880343060422135,1.98846771500758
"T6993",0.108630947,0.292586358,0.122183866,0.208950304,0.344613074,0.138866751,0.11793317,0.266790549584917,0.622548749186772,1.81370642483669
"T6996",0.14415607,0.319769924,0.128479258,0.227412927,0.346156369,0.302169411,0.08325106,0.214117920404106,0.792214113107819,1.92872423789108
