"","aroF","tyrA","tyrB","tyrR","pval","z","inv_cof_var"
"T0578",0.133937939,0.09302478,0.119152995,0.09039457,0.435648489630238,0.162011269597112,5.56894817953468
"T0579",0.150094668,0.094995417,0.122515108,0.091510091,0.476299767559108,0.0594426602842237,4.44779331835121
"T1948",0.042800364,0.067824525,0.053898721,0.06895605,0.478997381617579,0.0526700993144279,4.37376394713506
"T1094",0.198596018,0.122721019,0.147672665,0.124410541,0.491077263493153,0.022367848657952,4.04253672414844
"T4031",0.095990706,0.144740857,0.159265821,0.089077916,0.491798173555862,0.0205603785552571,4.02277966684157
"T4091",0.075469661,0.113700686,0.105682458,0.088768561,0.460755702933997,0.0985300572136706,4.87504903890772
"T4099",0.114002718,0.139164787,0.152806956,0.111844369,0.389182979365762,0.281449105617692,6.87449683970239
"T4101",0.090093318,0.122525995,0.090270335,0.102715321,0.441503894384069,0.147157394376327,5.40658374344884
"T6966",0.091594344,0.154354439,0.138008432,0.14050604,0.495148820761897,0.0121604027409437,3.9309613826596
"T6970",0.103800766,0.166768674,0.166061966,0.13892798,0.491685896745087,0.0208418750939907,4.02585664346163
"T6981",0.107201093,0.162041209,0.183851538,0.113825884,0.499044970582876,0.00239390602655924,3.82420595971473
"T4102",0.120706404,0.143512824,0.182129552,0.130875583,0.463776897144399,0.0909229751316444,4.79189770135114
"T4838",0.089092841,0.129475026,0.100348525,0.087118016,0.452554463516626,0.119210072275614,5.10109772545389
"T4847",0.07545241,0.109673764,0.11182636,0.113737726,0.461651798955383,0.0962731969649556,4.85037979696509
"T4849",0.08882254,0.147202623,0.113602906,0.07619761,0.493452302281633,0.0164133811631174,3.97744975239056
"T4851",0.090997665,0.137852637,0.088963688,0.095282413,0.498821082153757,0.00295511310787058,3.83034039062451
"T4853",0.09329194,0.140725525,0.11021267,0.091532432,0.464457140222086,0.0892109283471452,4.77318369530315
"T5055",0.088096376,0.086916771,0.104371363,0.109231668,0.299465101450227,0.525939557887817,9.54696808516318
"T5056",0.096934431,0.122302153,0.090832348,0.12016,0.413280204102744,0.219115074668328,6.1931372864803
"T4839",0.083856759,0.122425576,0.12046351,0.108395452,0.455722674054799,0.111215641937088,5.01371236948119
"T4843",0.089785467,0.12539283,0.090309102,0.087871061,0.456598841255646,0.109006061618747,4.98955993403648
"T4846",0.089296507,0.142525794,0.14065144,0.115880345,0.488599307251361,0.0285811895719963,4.11045338419323
"T4850",0.091162824,0.147310277,0.146405074,0.071037073,0.493017218304202,0.0175041318551909,3.98937250779253
"T4856",0.091837686,0.132611947,0.141116736,0.090705299,0.469812078010877,0.0757422573597422,4.62596062137862
"T7008",0.089028963,0.080643785,0.093574229,0.063228656,0.19041893073495,0.87635355060531,13.3772662045758
"T7010",0.12036703,0.097263884,0.11726538,0.099765374,0.320259157158823,0.466974231612354,8.90243110023305
"T6002",0.080848471,0.119546798,0.082072339,0.098507137,0.482406031480539,0.0441158445436988,4.28025927368523
"T6010",0.090639177,0.127225146,0.079449077,0.083561588,0.493865259752842,0.0153781194593,3.96613353488886
"T6016",0.093377759,0.130879374,0.081139644,0.094595393,0.495261865912428,0.0118770201028733,3.9278637895034
"T1772",0.221596805,0.153656773,0.186574961,0.107095606,0.437696943006909,0.156810895129518,5.51210403244742
"T1778",0.235933639,0.362985938,0.241315117,0.091359793,0.496349377549999,0.00915088116527438,3.89806496564662
"T1780",0.224222491,0.345279479,0.239704068,0.099096645,0.489185883430296,0.0271102908581555,4.09437531455401
"T1782",0.148203031,0.195377727,0.149011134,0.096417678,0.417315408889095,0.208766123952784,6.08001518722784
"T1788",0.291239001,0.269045235,0.211242866,0.089302405,0.412061806361593,0.222244424827104,6.22734352332373
"T1792",0.267374713,0.284797613,0.232389958,0.077933371,0.291517974086417,0.548955559459305,9.79855092536882
"T1793",0.272563497,0.314288899,0.235824333,0.078026308,0.385308821740104,0.291567086692739,6.98509426072276
"T1797",0.220432579,0.215282239,0.150866591,0.110819757,0.454617167739819,0.114004362170911,5.04419525569342
"T1816",0.211746273,0.253808626,0.175012314,0.112156067,0.44118278439774,0.147971109118807,5.41547827994748
"T1817",0.230430346,0.202493996,0.176198444,0.115853235,0.367885213172808,0.337459647741713,7.48673573033905
"T1818",0.206135302,0.171850463,0.146198928,0.11871141,0.426967346920979,0.184100398529327,5.81039957921305
"T1820",0.203120782,0.187346011,0.143223811,0.121890794,0.42985290895271,0.176748659338065,5.73003933851511
"T1824",0.081947221,0.08519751,0.083121944,0.105510334,8.94739017616425e-06,4.28965882516842,50.6873538319288
"T1825",0.080292154,0.085393229,0.085928038,0.097670311,0.0170486157222195,2.11891996416169,26.9594857962671
"T1826",0.075271992,0.080748481,0.080720141,0.111795077,0.0260857910850223,1.94171524456819,25.0225000642012
"T1827",0.091658743,0.065782222,0.101772793,0.097778446,0.468755178687982,0.0783993917256121,4.65500517147118
"T1828",0.111598195,0.09655899,0.116857675,0.110151531,0.276468806470507,0.593363944785086,10.2839691972831
"T1829",0.102516599,0.074360575,0.115798516,0.102456399,0.470367865519218,0.0743451762245305,4.61068943542121
"T4795",0.08645658,0.072119817,0.103463507,0.068159146,0.435727827217093,0.161809775911713,5.56674569647093
"T4797",0.104898891,0.06167434,0.091017508,0.067257817,0.496614535286126,0.00848620343003633,3.89079951982479
"T4796",0.092062649,0.093025534,0.110966117,0.094111528,0.30836085187037,0.500501921152831,9.26891488473955
"T4798",0.096372198,0.094694374,0.108313919,0.094855366,0.188922673944006,0.881873261741703,13.4376009504045
"T4802",0.082468818,0.081987034,0.120188902,0.08353636,0.480632180772818,0.048567009480657,4.32891397652688
"T4804",0.089355077,0.136271624,0.122970151,0.082335483,0.463280336962893,0.092172893843343,4.80556028729329
"T4806",0.108165706,0.123439055,0.110839783,0.092948869,0.175448854842135,0.932849441353234,13.9948103340443
"T4808",0.088055679,0.14051594,0.099954617,0.059317131,0.493303450943715,0.0167865475487261,3.9815287519018
"T4809",0.085383467,0.109422347,0.120746144,0.068966661,0.426454739370975,0.185407433081241,5.82468648581567
"T4811",0.106507845,0.087606308,0.121830969,0.085076356,0.415062073967466,0.214542346468381,6.14315380240476
"T4812",0.112738459,0.096567699,0.121275461,0.097049494,0.324237985833429,0.455880417891346,8.7811670676436
"T4801",0.093308334,0.089552187,0.11681685,0.084598098,0.393202106652603,0.270982862150682,6.76009263923622
"T4803",0.103393993,0.144449312,0.098427551,0.093615736,0.471865722881197,0.0705807320452283,4.56954112582091
"T5743",0.121836675,0.169079526,0.121084511,0.12570283,0.456409171067341,0.109484339790436,4.99478788731359
"T5747",0.108068946,0.110125087,0.105819288,0.105840178,1.11507661622625e-05,4.24050715733904,50.1500877844378
"T5759",0.090789273,0.112962882,0.148006705,0.102901624,0.490280465842372,0.024365669846705,4.06437446722159
"T6896",0.111230049,0.12536063,0.11968794,0.105440948,0.118914297336603,1.1804316133383,16.7010764862611
"T6898",0.128313072,0.126621472,0.176621115,0.075263476,0.453800920090255,0.116063974261633,5.06670842149662
"T6900",0.077928336,0.114184953,0.072191547,0.082104049,0.497404351269406,0.00650637240440698,3.86915842325952
"T6902",0.128313072,0.126621472,0.176621115,0.075263476,0.453800920090255,0.116063974261633,5.06670842149662
"T6897",0.09241078,0.136480707,0.09781611,0.083712414,0.473274822831722,0.0670402685016032,4.53084109918148
"T6901",0.101416406,0.130784569,0.146946859,0.105273603,0.439023209955497,0.153446192403319,5.47532520856371
"T0863",0.065155609,0.067978785,0.091795736,0.054133151,0.451743476848268,0.121257661541351,5.12347947240714
"T0866",0.120035251,0.076416234,0.087241331,0.073320402,0.486665310010781,0.0334313373629597,4.16346928067194
"T0867",0.135217129,0.095823569,0.089211276,0.079819463,0.481986657224351,0.0451681079691515,4.29176133325877
"T0871",0.177599319,0.111783407,0.139309779,0.088945703,0.480843668365682,0.0480362699348889,4.32311257953275
"T0872",0.076796323,0.078139627,0.117844011,0.063382318,0.496316979938315,0.00923209336524466,3.89895267830446
"T8308",0.145817334,0.243208964,0.221331339,0.064312855,0.493300739984647,0.0167933438732598,3.98160304102729
"T8319",0.084949361,0.060037189,0.099732124,0.034973712,0.490217589077177,0.0245233256195898,4.06609776772598
"T2220",0.064404986,0.044328522,0.055597311,0.062192272,0.440181670567641,0.150508631780991,5.44321538087074
"T2214",0.112604663,0.073392476,0.074947882,0.013366813,0.495642800119708,0.0109220975678092,3.91742574174773
"T2143",0.084158718,0.125964836,0.119679352,0.055164549,0.46069332120476,0.0986871871049403,4.87676659111608
"T2144",0.093686147,0.088736775,0.089238151,0.124421446,0.00353665614112554,2.69337283257438,33.2387034853457
"T2145",0.085938132,0.113059294,0.140430475,0.061516394,0.487062080592805,0.0324362414511624,4.15259210658984
