"","fabA","fabB","fabR","fadR","pval","z","inv_cof_var"
"T6045",0.343548644,0.343410272,0.778496967,0.125157216,5.38279787908788e-57,15.8667604542137,3510.48845069933
"T6058",0.399488437,0.386564502,0.639466473,0.119993966,0.462023604962084,0.0953369305143646,43.0072855936304
"T6069",0.409992193,0.400801748,0.701594201,0.125009041,0.427218440159925,0.18346028183381,62.3819514535005
"T6030",0.337646549,0.344969575,0.755014044,0.126996266,0.420927703657062,0.199520757899982,65.9129832705333
"T6041",0.344632837,0.336550539,0.849565007,0.133184122,0.432195669990995,0.170786887330176,59.5955982322284
"T6065",0.421300588,0.396841622,0.697881593,0.125321719,0.497086283302141,0.00730366959259041,23.6524268714364
"T6047",0.327662295,0.326436819,0.778421999,0.130205145,0.0530073209386071,1.61636860545483,377.418993988876
"T6071",0.416138343,0.409012554,0.685943819,0.123716443,0.392752831511257,0.272151329740151,81.8814302206897
"T6038",0.331621199,0.334855791,0.691721,0.126585405,0.286918732540982,0.562408887604076,145.697014997191
"T6049",0.324497027,0.325007153,0.788592647,0.133894039,3.23947410596344e-05,3.9946514998581,900.304650394233
"T6062",0.40828646,0.384031598,0.664384468,0.117451107,0.498091197694649,0.00478467608524332,23.0986047938906
"T6073",0.419175015,0.411586172,0.709854361,0.124869925,0.400596169308506,0.251804293350112,77.4079617768195
"T6032",0.322136769,0.330004736,0.77809643,0.129323867,0.433960643639234,0.166299464712924,58.6090003273653
"T6043",0.357315167,0.340820837,0.805652155,0.129092905,0.485700450768035,0.0358513329999192,29.9288726864855
"T6056",0.39948248,0.383064853,0.69724135,0.119697497,0.478856637660943,0.05302338507755,33.7042939131062
"T6067",0.399589948,0.402054916,0.709069237,0.124022719,0.172156611208706,0.945677263937852,229.961816720446
"T6040",0.340190451,0.339659254,0.629089167,0.12825807,2.96036250956482e-05,4.01594824037243,904.986919341015
"T6051",0.336488713,0.334545417,0.80490826,0.130962824,0.156176443745459,1.01029727255261,244.169073435349
"T6075",0.407326701,0.402487507,0.71144134,0.123937884,0.33071619916004,0.437936385887608,118.330680269899
"T6029",0.142158328,0.140051368,0.528085232,0.133691553,0.370509089579872,0.330505312498826,94.7110480304301
"T6033",0.294725429,0.310855222,0.455232185,0.133691553,0.491833091429011,0.0204728340039297,26.5477793098438
"T6035",0.287704585,0.277045792,0.301060685,0.133691553,0.47204447580704,0.0701315545666789,37.4656700110753
"T6057",0.361900084,0.366898899,0.475348105,0.133691553,0.356203308958085,0.368625859440495,103.092173445339
"T6072",0.363155887,0.362076491,0.392696723,0.133691553,0.0196686590603708,2.06064083333166,475.096009638576
"T6083",0.361657547,0.365570594,0.588663432,0.133691553,0.309438380882471,0.497442896798996,131.413691164657
"T6092",0.340861343,0.348639946,0.556836897,0.133691553,0.42668941607668,0.184809020816688,62.6784831529216
"T6094",0.318150997,0.334209294,0.503458061,0.133691553,0.487882168280569,0.0303795719459135,28.7258596314995
"T6096",0.384873206,0.384184752,0.494728784,0.133691553,0.000239292524828052,3.49246458759012,789.894600405074
"T6105",0.375063143,0.374220141,0.581930686,0.133691553,0.00290459275826565,2.75836184336602,628.495888676584
"T6082",0.461124541,0.458687858,0.639778925,0.120587409,0.132684936336031,1.11378863746481,266.922527367067
"T6106",0.410381514,0.396869848,0.600494855,0.116871075,0.463399074111367,0.091874001065061,42.2459311969581
"T6078",0.444650007,0.439259357,0.636383582,0.118986907,0.334658748844915,0.427084890545218,115.944887024513
"T6089",0.432009257,0.447679284,0.638849352,0.122968448,0.468009317583323,0.0802748817780594,39.695766489311
"T6084",0.475173139,0.46850974,0.613837613,0.119233551,0.361217523694181,0.355206297296442,100.141768942629
"T6108",0.373860058,0.380138102,0.628147111,0.114816269,0.387442686720215,0.285990531697912,84.9240960939715
"T6086",0.427136436,0.440722174,0.643540031,0.119425199,0.458118835975136,0.105174087366738,45.1700679228564
"T6080",0.483113619,0.460446905,0.633051543,0.119394189,0.486595797214977,0.0336056780101085,29.4351463992678
"T6091",0.47092672,0.454606503,0.642193646,0.121866428,0.467277112107886,0.0821163090011146,40.1006198751365
"T6104",0.367205184,0.381457217,0.620333147,0.117573793,0.472625898371797,0.0686706301507132,37.1444733931294
"T6088",0.465153412,0.453307887,0.622168905,0.120962454,0.440739018357344,0.149095804118078,54.8266297002714
"T6187",0.339301753,0.35527304,0.388880083,0.133691553,0.484209104292654,0.0395922470083086,30.7513443451077
"T6189",0.224783604,0.215286644,0.258211953,0.130026219,0.480557146440537,0.0487553154735728,32.7659226277931
"T6202",0.250190315,0.240334548,0.274503493,0.123335808,0.476159719788342,0.0597943324185827,35.1929440872438
"T6198",0.253818076,0.245105038,0.26853914,0.122629404,0.466572786208561,0.0838878844456236,40.4901157552749
"T6209",0.239335865,0.245376332,0.411549092,0.127811497,0.437305643202948,0.15780394949777,56.7411892859493
"T6204",0.244461063,0.239163419,0.255871127,0.124830493,0.423349861723153,0.1933310336387,64.5521199178409
"T6215",0.263101765,0.265626601,0.433756133,0.127877099,0.283244808168937,0.573229051617121,148.075919784207
"T6200",0.253612716,0.241392572,0.278990457,0.122185224,0.488032450319036,0.0300026990153134,28.6430009227387
"T6211",0.237955735,0.25323207,0.428703535,0.126326846,0.49874921616013,0.0031352552749647,22.7359656456628
"T6208",0.257243746,0.246448087,0.363925911,0.12277486,0.4801485036441,0.0497808750446652,32.9914005937556
"T7152",0.48937114,0.519841452,0.072684021,0.078334086,0.497507642989956,0.00624745319199564,23.4202087416122
