"","fnr","ompX","rimM","rplS","rpsP","trmD","ychO","ysgA","pval","z","inv_cof_var"
"T1702",0.093457532,0.786863049,0.827141014,0.587363447,0.746317362,1.063186915,0.062709377,0.101684842,0.470927782450893,0.072937861680902,1.57590633134802
"T1706",0.070942158,0.720149671,0.754383019,0.541517799,0.682998907,0.961046954,0.063568706,0.101684842,0.448516530971467,0.129410219176512,1.60571795438189
"T1918",0.074569221,0.247525815,0.291524795,0.246060678,0.105565878,0.205196829,0.043031158,0.125543191,0.19376106289413,0.864119722346378,1.99356935140577
"T1919",0.074256072,0.31426497,0.238649493,0.301152773,0.066419289,0.147943747,0.060143996,0.119259537,0.398520167590977,0.257179335917632,1.67316696682933
"T2000",0.247313452,0.321694743,0.204018079,0.245102699,0.20878207,0.290766317,0.239324461,0.101684842,0.000568970397468684,3.25399550713461,3.25517908674267
"T2323",0.378161554,0.460724561,0.154768636,0.360717987,0.458072508,0.366714311,0.079429436,0.101684842,0.377498596131751,0.312057016584488,1.702136763763
"T2324",0.398548385,0.456560596,0.230839939,0.393814919,0.455803207,0.404282681,0.05926778,0.101684842,0.321947485180474,0.462259874933625,1.78142849497969
"T2325",0.394232837,0.472353407,0.254858281,0.401996405,0.470077314,0.428007158,0.050503863,0.101684842,0.337797277358655,0.418482259387004,1.75831839598835
"T2327",0.184319477,0.343732209,0.052698176,0.262566502,0.348456298,0.173307129,0.075967212,0.101684842,0.489089260481632,0.0273525784915156,1.551841968913
"T2329",0.164044446,0.36015175,0.13350063,0.385576892,0.453174327,0.25299581,0.061190782,0.101684842,0.439581412667708,0.152030568971131,1.61765918316846
"T2335",0.226109649,0.163454947,0.061507627,0.243745296,0.336354386,0.158828673,0.105341139,0.101684842,0.332674580164591,0.432539761088582,1.76573931765889
"T2336",0.219300743,0.18097021,0.05637824,0.236242263,0.355295692,0.157984413,0.10953117,0.101684842,0.372892991968399,0.324200842946936,1.7085474607794
"T2524",0.296475226,0.364804958,0.488344904,0.451431361,0.486244367,0.433414148,0.051001317,0.037376482,0.413162961170135,0.219416109315789,1.65323184943876
"T2526",0.308287675,0.324298345,0.40369135,0.33119421,0.349294333,0.33182515,0.074425657,0.040820873,0.286806780159858,0.562737624092477,1.83447045947441
"T4072",0.348342495,0.139456107,0.313596933,0.157670528,0.350912721,0.090592567,0.113583418,0.112001447,0.35193179935696,0.380110221333908,1.73806188848254
"T4074",0.348342495,0.139456107,0.313596933,0.157670528,0.350912721,0.090592567,0.113583418,0.112001447,0.35193179935696,0.380110221333908,1.73806188848254
"T5142",0.122516241,0.208532372,0.279635732,0.216630685,0.167324475,0.145151402,0.052377565,0.15136086,0.0414885637263523,1.73366732412329,2.45260145956942
"T5144",0.123070233,0.18743782,0.251057616,0.243478263,0.215517831,0.143361415,0.054556866,0.144863463,0.0259108820731771,1.94461141712025,2.56395834390237
"T5146",0.131115667,0.207553697,0.292729671,0.239808298,0.181037887,0.143182855,0.052981776,0.142950091,0.0673003291483302,1.4962034020439,2.32724482062043
"T5148",0.127847139,0.20055085,0.279741435,0.250810862,0.187011938,0.143030724,0.051087222,0.14293076,0.0607672975803731,1.54836436739369,2.35478047000803
"T5150",0.123898188,0.200016845,0.277045652,0.223048672,0.195958137,0.145873207,0.051985115,0.144514559,0.0379390253759101,1.77512014879242,2.47448430699298
"T5152",0.122516241,0.208532372,0.279635732,0.216630685,0.167324475,0.145151402,0.052377565,0.15136086,0.0414885637263523,1.73366732412329,2.45260145956942
"T5530",0.286122908,0.154006722,0.295070538,0.264719104,0.078428921,0.16709869,0.138550099,0.057158171,0.265525136323049,0.626403563753939,1.86807955740223
"T5714",0.143181386,0.107170577,0.109169059,0.35522137,0.178137754,0.145171371,0.084418236,0.371572898,0.450130972706977,0.125330451523733,1.6035642547539
