"","csgD","dgcC","iraP","nlpA","wrbA","yccJ","yccT","pval","z","inv_cof_var"
"T7364",0.077718213,0.072883659,0.082353521,0.079103748,0.079362724,0.094449099,0.082034265,3.62668542781969e-05,3.96781794513741,11.4848963263976
"T7366",0.071128224,0.064882555,0.085944309,0.08326711,0.066437277,0.0837381,0.084885752,0.00686393257447332,2.46430653418847,8.0077681177065
"T7368",0.085153365,0.060069404,0.087723909,0.083722449,0.076016774,0.10203507,0.088074564,0.0598197415119401,1.55628859162117,5.90782076838395
"T7370",0.077938638,0.064944018,0.084123142,0.093236432,0.061603213,0.117862038,0.0877753,0.214452110241202,0.791068155846739,4.13811716406023
"T7372",0.070577545,0.056994096,0.083347058,0.08928913,0.061194244,0.11154456,0.086475585,0.223240772685905,0.761293896417076,4.0692590785134
"T7374",0.070085534,0.068790861,0.079877963,0.086290634,0.052450531,0.123046214,0.079855605,0.306480606369204,0.505851057231521,3.47850366729929
"T7376",0.073329427,0.062432787,0.080556667,0.086197907,0.058183773,0.115771033,0.082659986,0.239374585298275,0.708315794915488,3.94673812534164
"T7378",0.079095627,0.063608472,0.083374562,0.084862844,0.064531951,0.119637805,0.083568702,0.219394712756835,0.774239073811187,4.0991970232179
"T7380",0.070819298,0.068771133,0.079400394,0.082819616,0.05818711,0.121123175,0.081283221,0.254452043800454,0.660545098373754,3.83626018996684
"T7382",0.075631603,0.060621411,0.083035725,0.085026418,0.069260896,0.101023833,0.085523622,0.0697716537494151,1.47749384302397,5.72559438749396
"T7384",0.072391919,0.067470516,0.080120511,0.087457343,0.061371012,0.118358847,0.084296641,0.210380299224718,0.805102387042278,4.17057373261165
"T7404",0.073928361,0.10131138,0.097707659,0.083023418,0.0645606,0.107187526,0.087884711,0.061778055077518,1.54001740815235,5.87019086373794
"T7406",0.068616064,0.089731493,0.082809248,0.08154164,0.064302262,0.090834965,0.082652042,0.00318007372211723,2.72861207150487,8.61902003958988
"T7408",0.090844038,0.071428812,0.087732167,0.082669031,0.08348196,0.091240724,0.081820002,6.96228404597302e-06,4.34504726032731,12.3573038674646
"T7410",0.071703456,0.088941613,0.080761304,0.079208012,0.067959443,0.081315784,0.079500471,1.99204397184703e-05,4.10840049201883,11.8100175964135
"T7386",0.080561102,0.064867558,0.087961134,0.09236801,0.065557078,0.122251109,0.089481908,0.216094419240066,0.785451597820766,4.12512790956862
"T7388",0.07929683,0.06978679,0.090649161,0.092888253,0.064596133,0.112691062,0.092113885,0.124325127853983,1.15363399322249,4.9766128957629
"T7390",0.080689225,0.071412748,0.083023853,0.089669714,0.062397502,0.117194028,0.088339565,0.167510653439589,0.964049106000597,4.53816530268164
"T7392",0.087935133,0.063513361,0.09150554,0.090247652,0.067533571,0.11815382,0.091068632,0.182084056070616,0.907451450474026,4.40727350954719
"T7394",0.077402551,0.063970755,0.091696106,0.092685022,0.066577741,0.111970036,0.090930136,0.143740758838099,1.06366272167756,4.76853888715713
"T7396",0.074230303,0.05902575,0.080702328,0.084027614,0.063026863,0.119118159,0.081761994,0.257273100998321,0.651775200717383,3.81597829632358
"T7398",0.077639177,0.0682314,0.084622483,0.08345344,0.070177113,0.104606087,0.084606727,0.0413406357041054,1.73533621128073,6.32189912155344
"T7400",0.084446745,0.067915449,0.088638762,0.082250608,0.07847551,0.099117243,0.085189645,0.00673450925801327,2.47112113676792,8.02352805586692
"T7402",0.088242202,0.061306404,0.089665173,0.079913253,0.080290451,0.109257556,0.085533932,0.0903263097291064,1.33874832197555,5.40472155503402
"T7412",0.067192959,0.086326025,0.090539895,0.080535622,0.065434398,0.093687282,0.080166302,0.00515533836020979,2.56523223991548,8.24117613563698
"T7414",0.090237025,0.06967444,0.088382948,0.083291787,0.079825038,0.108324299,0.088270166,0.0277925502815613,1.91427442434108,6.73572445318309
"T7416",0.088989264,0.078721127,0.083348125,0.078168214,0.085001527,0.084785317,0.083862849,1.15412735872278e-26,10.6238557483903,26.8781262249307
"T7418",0.079192281,0.064694171,0.081162862,0.078647385,0.077684774,0.085018318,0.080766555,6.54401465691819e-05,3.82479622800578,11.1541340565057
"T7420",0.074402988,0.065345796,0.083061448,0.082968051,0.071133279,0.108537146,0.082945948,0.0807897556078355,1.39977899008563,5.54586545067422
"T7422",0.071266297,0.09181449,0.08654647,0.086647428,0.062465539,0.09544217,0.084642431,0.0150991892660038,2.16747861555494,7.32130260670896
"T7424",0.080320355,0.086641614,0.086945358,0.086320251,0.075082069,0.090074184,0.086524287,4.76221912322099e-10,6.11718231103968,16.4556703511304
"T7426",0.086518766,0.073826357,0.085047681,0.082921328,0.080661099,0.095118812,0.085450107,1.29218174465485e-05,4.20730315368631,12.03874697771
"T7428",0.073013592,0.077819198,0.080153686,0.080092582,0.076577263,0.088125992,0.080128044,1.08673850249469e-14,7.63992536093561,19.9772750259095
"T7430",0.072795415,0.087890812,0.087921209,0.083657708,0.069759094,0.090850225,0.084948002,5.76438632625824e-05,3.85593583725599,11.2261497478687
"T7432",0.07192278,0.092356709,0.085321509,0.081534861,0.062480054,0.093043552,0.083629149,0.0127465424842907,2.23384786404496,7.47479288582073
"T7434",0.091935578,0.073958264,0.087247328,0.081214287,0.083456304,0.103702971,0.087551413,0.0028852958934887,2.76053984781536,8.69285850256496
"T7223",0.085383311,0.051561309,0.086292147,0.078584772,0.081150012,0.122031955,0.079833344,0.276280611219737,0.593926576845958,3.68219342416864
"T7224",0.081077536,0.0568915,0.082974588,0.081572849,0.072072746,0.119895972,0.082392368,0.235990370529381,0.71925999305607,3.9720484620634
"T7225",0.080315543,0.078803718,0.082100221,0.087138525,0.076845134,0.089682736,0.08923888,1.07048415849591e-08,5.60020632092413,15.2600746374189
"T7226",0.085688451,0.07545618,0.09064801,0.084547227,0.078157682,0.089949355,0.088089782,1.0534351005497e-06,4.74289352440917,13.2773916416493
"T7227",0.07944116,0.054900677,0.090343261,0.078078094,0.078270442,0.108003814,0.080377127,0.150873112062662,1.0326959186502,4.69692283984593
"T7228",0.082371983,0.068392806,0.084839579,0.085591756,0.068882401,0.112435145,0.08698595,0.100977953990695,1.27599889988949,5.25960274580809
"T7229",0.084389893,0.073240518,0.082078173,0.076670822,0.080694889,0.103573498,0.081454975,0.00890160842192851,2.36968560412259,7.78894097567837
"T7230",0.083797116,0.07935961,0.083803741,0.084785437,0.067866473,0.1132455,0.087483742,0.0687844989037138,1.48490497565474,5.7427339037897
"T7231",0.068895458,0.071515762,0.067445665,0.080356572,0.071276953,0.109861926,0.07814542,0.109810613505246,1.22753592725438,5.14752380314133
"T7232",0.083146871,0.091273765,0.083120485,0.08215247,0.072954878,0.106407611,0.084591318,0.00997609529836252,2.32724572601934,7.69079147295321
"T7233",0.077019925,0.094685094,0.073251902,0.080509001,0.067378777,0.116618839,0.080169434,0.140740492745944,1.07699838881132,4.79937990641033
"T7234",0.075879456,0.104915106,0.07609037,0.086427477,0.062096297,0.115430398,0.084898702,0.163540775922372,0.980009251733662,4.57507587917553
