"","borD","envY","mgrB","mgtA","ompT","pagP","phoP","rstA","ybjG","pval","z","inv_cof_var"
"T4025",0.203699906,0.125811242,0.06500774,0.105432843,0.209456814,0.108695237,0.202834588,0.077281976,0.10913159,0.18861450684806,0.883013433084802,2.3431707854971
"T4026",0.202950016,0.112433878,0.07513615,0.105426545,0.177837056,0.095086178,0.203856815,0.075533332,0.116999665,0.123062502381881,1.15981286566837,2.58619242512661
"T4027",0.107423692,0.088561594,0.081181866,0.103634792,0.201822431,0.093733327,0.189088775,0.081701025,0.097413957,0.0970979831219886,1.29826593960105,2.70775009135741
"T4028",0.209893463,0.123787243,0.0859236,0.101247629,0.210137315,0.117026092,0.154780305,0.072177104,0.074656648,0.228268310655459,0.744561877539031,2.22161445236469
"T4029",0.216147267,0.16719623,0.066488079,0.115569823,0.204860932,0.16260262,0.065606198,0.065332853,0.104919211,0.185424025379716,0.894885963749974,2.35359451303827
"T4030",0.182505921,0.129229129,0.093102551,0.102988215,0.240243028,0.077775605,0.131525781,0.083781355,0.086605988,0.254096764995195,0.661653159949407,2.14882307306109
"T4031",0.121267761,0.131028335,0.145598485,0.122211997,0.209012759,0.1366987,0.150745066,0.077071063,0.074316987,0.0504555727442373,1.64045236318004,3.00817955734637
"T4032",0.140511243,0.116860722,0.085770208,0.119364902,0.229864202,0.110204103,0.182169174,0.083547776,0.123538179,0.090085072834638,1.34023133982671,2.74459446013143
"T4033",0.181852535,0.124236586,0.24051015,0.117293346,0.198938796,0.113010445,0.216963435,0.056556772,0.053909003,0.295886229388999,0.53626927978606,2.03873976885775
"T4034",0.179108242,0.116414159,0.111298285,0.115518353,0.247543497,0.128533608,0.212470769,0.072762666,0.073825281,0.215553433037314,0.787298980984553,2.2591363535312
"T4087",0.202093722,0.077125292,0.298471195,0.109270458,0.127798436,0.136023657,0.082508305,0.085591575,0.141691391,0.296461737760884,0.534604349249152,2.03727800954281
"T4089",0.233826041,0.154747904,0.141376207,0.09908372,0.06721887,0.14274731,0.184864571,0.044832664,0.122656412,0.250041021907313,0.674360665407697,2.15997988354748
"T4090",0.231800461,0.091736642,0.083270487,0.124510936,0.228390422,0.06165026,0.138394157,0.077900084,0.144894125,0.331292848807487,0.436346019471126,1.95101012890796
"T4091",0.22035457,0.122217334,0.099714689,0.081629646,0.248330418,0.092992375,0.082184086,0.079558571,0.107447112,0.306115134950479,0.506892469297027,2.01294780611601
"T4092",0.233043168,0.130310244,0.123420867,0.113436295,0.252405673,0.079303878,0.125145276,0.060548537,0.155431645,0.27009264567533,0.61253281869351,2.10569687963016
"T4093",0.203309572,0.074875815,0.07961178,0.122538309,0.07437924,0.088714753,0.079470804,0.079611117,0.142147109,0.18281279691127,0.904697636036515,2.36220886843751
"T4094",0.203759992,0.088450537,0.123753573,0.096847997,0.122711638,0.116839871,0.061963473,0.053792561,0.165191105,0.114517309077037,1.20284936401695,2.62397718608139
"T4095",0.064306527,0.109434317,0.129108105,0.090833985,0.084913697,0.107436287,0.101623437,0.071321278,0.138398193,0.00605990218651996,2.50863675655969,3.77041954032098
"T4097",0.210998098,0.08804089,0.107330758,0.11516365,0.087802546,0.029734068,0.097872133,0.051779254,0.151737205,0.37258688783681,0.325009640128009,1.85326011112131
"T4099",0.159970357,0.139029205,0.096986271,0.122349747,0.113656359,0.07207964,0.115612071,0.111555438,0.139147592,0.00076154385144823,3.1702482125156,4.35129465022763
"T4101",0.095625661,0.080225471,0.118996237,0.107545788,0.090664351,0.046334239,0.059232891,0.108737213,0.13771934,0.0109483644596998,2.29215450902435,3.58035458875777
"T5038",0.140419669,0.047580357,0.151362799,0.099696245,0.176955846,0.044292411,0.199852953,0.13296083,0.138574787,0.170753438679862,0.951192081598491,2.40302960382946
"T5039",0.173960757,0.084647692,0.174812205,0.087445559,0.082011387,0.114322554,0.064875915,0.035632976,0.132454639,0.203821642856593,0.828048054773144,2.29491282399957
"T5042",0.137271941,0.084805254,0.132880608,0.109507532,0.208012692,0.054086471,0.219032939,0.054648153,0.132198339,0.219171628056491,0.774993913519885,2.24833287159085
"T5043",0.094578954,0.116597107,0.151098596,0.105254528,0.226234007,0.113275578,0.17044305,0.115220713,0.150451553,0.0341356302346857,1.82321218373798,3.16863722460325
"T6958",0.088206865,0.127315928,0.147753446,0.122658002,0.099073127,0.079726027,0.223109371,0.072557186,0.130885768,0.00305444508996009,2.74187867064944,3.97519897886013
"T6959",0.05055012,0.164738203,0.075938641,0.114813379,0.189723039,0.09747281,0.229294317,0.052131696,0.153461491,0.259868046973892,0.643752262519924,2.13310661944141
"T6962",0.051447826,0.088384013,0.130630926,0.130811911,0.12593612,0.093389027,0.223721303,0.051497239,0.154423622,0.100539101119608,1.27848576092806,2.69038368490055
"T6963",0.045974077,0.134203476,0.160180332,0.112972411,0.173514737,0.119222134,0.21755344,0.046072833,0.14252417,0.161401763170383,0.988713110733095,2.43597194744545
"T6966",0.070139176,0.101323159,0.140458852,0.12256717,0.111576002,0.113393682,0.152701271,0.06918666,0.157611377,0.0108593982952259,2.29525008127819,3.58307240879699
"T6967",0.229568769,0.067599964,0.07106282,0.121411842,0.151829944,0.114449037,0.131391739,0.073988372,0.159634838,0.229521007531643,0.740425229035954,2.21798259845369
"T6970",0.231942984,0.092721269,0.080349804,0.131983389,0.087052305,0.130803707,0.076540805,0.080313206,0.167260329,0.184269453754031,0.899213581516509,2.35739403226234
"T6971",0.207707757,0.094149602,0.06946565,0.126088354,0.138200365,0.089839966,0.077162781,0.069443005,0.168442349,0.161174886407798,0.989640692528116,2.43678633657411
"T6981",0.066022749,0.077849548,0.07378852,0.140079124,0.180294846,0.120739762,0.18976807,0.070037064,0.147436606,0.139399520543264,1.08302113721783,2.51877157970129
"T6984",0.047633235,0.104115546,0.048573152,0.145557184,0.19300377,0.130649265,0.205135472,0.05951078,0.123605819,0.291413337256493,0.549260523523914,2.0501456930843
"T6985",0.101456602,0.125125044,0.044458583,0.101876223,0.20805833,0.12848568,0.220741284,0.052076981,0.135509954,0.244323205195626,0.69246332427851,2.17587347769027
"T6988",0.138012931,0.072689097,0.080248244,0.102819758,0.047727334,0.142793133,0.208664066,0.044304725,0.127011558,0.168303047542048,0.960892752827717,2.41154650361365
"T6989",0.108105622,0.060736044,0.14107707,0.105858021,0.051975964,0.140184639,0.212537561,0.051930127,0.059955832,0.18997116762854,0.878002549310283,2.33877137911281
"T6992",0.098573581,0.088206588,0.116945152,0.103601465,0.183346915,0.111573288,0.219441856,0.059125195,0.088087451,0.0568627714787344,1.58166729333281,2.95656802069448
"T6993",0.049584949,0.162247952,0.093513341,0.113618049,0.247858466,0.057780811,0.064276195,0.048742646,0.100971889,0.480552214916745,0.048767691675156,1.61072792591823
"T6996",0.05601709,0.092316163,0.065353205,0.093650617,0.191324163,0.086847706,0.226487099,0.053308508,0.058333905,0.341992308113449,0.407031822057182,1.92527313857721
"T4096",0.212350615,0.137521202,0.067546931,0.118911289,0.133335784,0.086898007,0.091149165,0.07849147,0.154054066,0.116327047777908,1.19354986442167,2.61581250301724
"T4098",0.258491334,0.135058122,0.152487026,0.137191699,0.098558255,0.091978464,0.134750627,0.062979716,0.162573667,0.197051100388726,0.852201614388421,2.31611892838283
"T4100",0.206577591,0.140154314,0.116311281,0.12957707,0.095210172,0.004408428,0.074154991,0.067501094,0.153569465,0.35769747901766,0.364620167889283,1.88803697216213
"T4102",0.203493008,0.10213637,0.08352315,0.127589219,0.102833236,0.119093584,0.135367154,0.106740708,0.158073759,0.0269674742733512,1.92735865412079,3.26007471693415
"T4834",0.2353134,0.116227174,0.130389619,0.106334834,0.070613558,0.130710558,0.180266971,0.072486981,0.128838397,0.166598013076847,0.967696380825629,2.4175198859145
"T4836",0.231023476,0.097520521,0.106786586,0.108525211,0.109041063,0.141786664,0.181261777,0.077018693,0.153368932,0.105422210334371,1.25124687608812,2.66646875706383
"T4838",0.224937559,0.107806817,0.091603824,0.114449378,0.114669188,0.100128991,0.193559991,0.077772145,0.132948318,0.106674704112193,1.24440808656704,2.66046450399516
"T4840",0.224758426,0.080114061,0.068905024,0.115683131,0.076436208,0.098864837,0.165392235,0.08063396,0.140837454,0.259101892588868,0.646116693345234,2.1351825191302
"T4842",0.210406881,0.081317656,0.080567813,0.110239628,0.147089656,0.143141865,0.192698513,0.079721035,0.147995649,0.0945961750436731,1.31297209876863,2.72066166014279
