"","bdcA","dkgB","grxD","mepH","mhpT","nsrR","pgpC","rfe","rffC","rffG","rffH","rffM","tadA","tehA","tehB","tsgA","wecB","wecC","wecE","wzxE","wzyE","wzzE","ydbD","yeaE","pval","z","inv_cof_var"
"T5747",0.106092693,0.107700606,0.311467828,0.111276796,0.109176432,0.186034826,0.115505228,0.314862633,0.110018214,0.123594621,0.112361739,0.162180043,0.107135135,0.161726379,0.113761268,0.205875101,0.106829737,0.115277098,0.145187446,0.131457485,0.143458738,0.106223977,0.105975653,0.183773638,0.200909076349383,0.838378513972544,2.39878061968771
"T5755",0.116427209,0.110202593,0.164631806,0.112505248,0.15285425,0.183489308,0.134144138,0.065545315,0.110585421,0.148152373,0.285925515,0.176847235,0.117769688,0.174767769,0.113949156,0.151174154,0.121157031,0.261764884,0.066039099,0.115852461,0.155346296,0.116775792,0.112457367,0.177633916,0.115701607829943,1.19675204270236,2.7450303693846
"T5757",0.107120277,0.084696547,0.139813668,0.091896434,0.131579309,0.171890993,0.136635799,0.124442853,0.144116346,0.28663489,0.262005486,0.142853317,0.107816755,0.177119988,0.110616072,0.091936577,0.187059033,0.145200773,0.19923834,0.110513569,0.124711823,0.104711146,0.093358015,0.214237043,0.13112165321209,1.12110468094052,2.6719421584107
"T5759",0.10120049,0.090054963,0.119959788,0.090694562,0.108490787,0.195910573,0.119113375,0.074531101,0.0893286,0.166509431,0.187622931,0.170056321,0.104534343,0.176581809,0.095697983,0.125379301,0.090079764,0.098082515,0.298929379,0.175080493,0.162945644,0.10191116,0.09595911,0.217610398,0.17816342130705,0.922386819038332,2.47994692319396
"T6894",0.112458396,0.114374339,0.154737441,0.102785888,0.104365832,0.072654871,0.128657925,0.160725044,0.119681607,0.109705602,0.136893328,0.102644693,0.089240837,0.112165131,0.124116165,0.089937907,0.134723521,0.125834461,0.303314805,0.236788224,0.100016794,0.126601047,0.110313788,0.268467079,0.183655964414191,0.901519954936635,2.45978598525365
"T6896",0.102482955,0.115027343,0.315371287,0.122370489,0.138032891,0.180292579,0.106512126,0.140727446,0.104574119,0.107201336,0.104224803,0.113755446,0.069299637,0.104999374,0.105867357,0.116600331,0.124230237,0.119840377,0.298819084,0.132451169,0.103898284,0.106747005,0.115824042,0.132627673,0.243670235893915,0.694545029730744,2.25981302324367
"T6898",0.097793852,0.126603971,0.30642926,0.123763578,0.127613932,0.10859716,0.123817997,0.151028935,0.126641058,0.127466046,0.131063559,0.120587039,0.084463789,0.1282222,0.126648857,0.070562702,0.127237506,0.126641453,0.292233994,0.224876422,0.092157798,0.113547108,0.126606222,0.252069763,0.223876426719841,0.759166683094131,2.32224852561287
"T6900",0.085003049,0.102853549,0.078552038,0.067579883,0.153984648,0.084106492,0.084004363,0.170235732,0.074124553,0.067881328,0.070595944,0.088247964,0.085842589,0.071589385,0.086864753,0.092019131,0.142648631,0.079175177,0.3277944,0.298425812,0.084890181,0.122032678,0.070256434,0.153746932,0.469202436994233,0.0772748800104187,1.66342512709089
"T6902",0.097793852,0.126603971,0.30642926,0.123763578,0.127613932,0.10859716,0.123817997,0.151028935,0.126641058,0.127466046,0.131063559,0.120587039,0.084463789,0.1282222,0.126648857,0.070562702,0.127237506,0.126641453,0.292233994,0.224876422,0.092157798,0.113547108,0.126606222,0.252069763,0.223876426719841,0.759166683094131,2.32224852561287
"T6895",0.095783289,0.12422645,0.0715598,0.096808774,0.126182158,0.306465191,0.097338276,0.153262054,0.099595659,0.058911743,0.09789378,0.282200678,0.060026386,0.08632204,0.077923617,0.123472991,0.136903747,0.06529465,0.309193424,0.251409988,0.064340847,0.075515221,0.110997714,0.257294817,0.451041019134714,0.123031646219215,1.70763394157249
