"","ihfA","pspA","pspB","pspC","pspD","pspE","pspF","pspG","pval","z","inv_cof_var"
"T6153",0.17194378,0.074774172,0.071636804,0.070026757,0.078694738,0.061600566,0.061250594,0.066564006,0.203815692107668,0.828069071026475,11.7058280122311
"T6160",0.18277586,0.067579354,0.064348262,0.063397641,0.072298263,0.058892116,0.060643839,0.060239002,0.160111205994474,0.994000935538218,13.0962526633694
"T6162",0.182166818,0.067025621,0.065164983,0.064214636,0.069351388,0.060154871,0.060250401,0.061451805,0.0462967554112252,1.68187278594833,18.8602689989217
"T6169",0.170411925,0.070044743,0.066433793,0.065354115,0.077132763,0.059709198,0.062572903,0.062268202,0.234642677624014,0.723642316159424,10.8307849056357
"T6138",0.177088707,0.071042993,0.069519716,0.068067825,0.068095842,0.063427613,0.059932861,0.065280283,0.010000972619318,2.32631138248877,24.2603367521011
"T6155",0.172670075,0.074346495,0.071361926,0.070230454,0.081667297,0.063113922,0.063249779,0.067230596,0.220055243449276,0.77200665333933,11.2360534587781
"T6164",0.171911177,0.07070047,0.069221851,0.068109211,0.070776042,0.063026367,0.060831166,0.064716472,0.0257985977752097,1.94647927120228,21.0775367975495
"T6171",0.168523752,0.070197588,0.066994118,0.065823023,0.078341454,0.060187464,0.063114037,0.062754667,0.244881771176459,0.690684960935298,10.5546190271
"T6174",0.284885595,0.091928658,0.085956901,0.066488939,0.074272677,0.061927418,0.061933996,0.056548627,0.477079077907323,0.0574858772647724,5.24873267667345
"T6184",0.284885595,0.091851795,0.087914166,0.073572659,0.064511672,0.059001192,0.050080729,0.061107528,0.479695327526059,0.0509182599435571,5.19369938304097
"T6190",0.284885595,0.071565373,0.086506067,0.074161382,0.074229567,0.082546983,0.057301145,0.057323946,0.379101194334662,0.307842226554601,7.34659158186844
"T6192",0.284885595,0.07035705,0.083609405,0.070973329,0.079377408,0.081857829,0.059173511,0.0586468,0.354525384826018,0.373131238842325,7.89368030651119
"T6194",0.284885595,0.066658544,0.080736676,0.069878554,0.078591699,0.074294668,0.05897062,0.058280602,0.323404712491977,0.458199074165025,8.60650551099917
"T6196",0.284885595,0.071660034,0.080625793,0.068999201,0.077153013,0.085004548,0.057729406,0.057706587,0.368227157695048,0.336552438056997,7.5871685556148
"T6197",0.284885595,0.056422597,0.084334726,0.062795179,0.078979345,0.059813127,0.062838545,0.052342798,0.484049959455486,0.0399914799056446,5.10213852240106
"T6199",0.284885595,0.05685125,0.083350183,0.066167019,0.080060352,0.064154888,0.063603466,0.054257078,0.457596789337513,0.106490013188663,5.65936241796396
"T6205",0.284885595,0.068006552,0.070711062,0.06009849,0.076968615,0.055002178,0.074834347,0.055560233,0.384063272315047,0.294826339053301,7.2375250629602
"T6207",0.284885595,0.07694503,0.081456515,0.069216343,0.071336113,0.071128825,0.064128811,0.060076572,0.271726228033137,0.607600519689299,9.85841365645333
"T6210",0.284885595,0.053576995,0.070678722,0.06065682,0.073126565,0.058430325,0.065958124,0.054115316,0.375774203941393,0.316598323714447,7.41996322374468
"T6218",0.284885595,0.067912295,0.07408855,0.065251107,0.07548761,0.057111124,0.074330229,0.05832441,0.32310528012193,0.459032872396234,8.61349231620479
"T6220",0.284885595,0.083175802,0.102592669,0.086192592,0.066624535,0.079937119,0.058192446,0.066863934,0.440970663912486,0.148508690695377,6.01145756970278
"T6189",0.166366904,0.076964956,0.079694337,0.07704315,0.088887852,0.069173508,0.06559456,0.071965127,0.218466708726265,0.777382019558777,11.2810962944168
"T6202",0.187976146,0.065423578,0.0714765,0.068753408,0.074869022,0.069063286,0.061298623,0.065751623,0.040425029794905,1.74577498353472,19.3957369215384
"T6213",0.175396586,0.070520906,0.07154764,0.067957279,0.080616092,0.068153575,0.059100215,0.065235154,0.156618110078603,1.00845470889975,13.2173679346464
"T6173",0.163799951,0.076479537,0.076909979,0.074219998,0.075022363,0.075842514,0.058630485,0.069195719,0.00491844262812956,2.58151101370138,26.3987798970842
"T6186",0.168763132,0.07051149,0.071769673,0.069499766,0.071800553,0.068326658,0.056771135,0.065812527,0.0011442918652133,3.0499776806808,30.3242923592111
"T6198",0.187717699,0.065922378,0.071775606,0.069308166,0.074219667,0.068820888,0.06159623,0.065697354,0.0270832447785959,1.92550277159275,20.9017643970072
"T6209",0.17612303,0.071358258,0.075024297,0.072346846,0.068093822,0.073607506,0.05756831,0.068073214,0.00795582187259722,2.41093592107933,24.9694473553824
"T6179",0.175440081,0.072321359,0.071197493,0.069223714,0.074549051,0.06953173,0.05844888,0.064460089,0.0303624444894141,1.87549331011507,20.4827105387665
"T6191",0.167357681,0.078692571,0.079727847,0.076958627,0.085917541,0.068719966,0.065551045,0.073058255,0.160202771359833,0.993624847350523,13.0931012355908
"T6204",0.182310754,0.067908575,0.073056099,0.070946177,0.071050379,0.070667316,0.058843953,0.067321418,0.000450886661609028,3.319504558895,32.5827905489114
"T6215",0.176157516,0.071752502,0.074633427,0.072546315,0.071037231,0.073727953,0.059408204,0.068451743,0.000374068507552502,3.37130234680155,33.0168296732931
"T6181",0.170601524,0.072472727,0.072126191,0.070079557,0.074072539,0.070676527,0.057730716,0.065414308,0.0121019608956216,2.2538767646952,23.6533714867356
"T6193",0.178809946,0.074143288,0.074828424,0.071784187,0.080049881,0.068209293,0.065978707,0.06724327,0.102168598019787,1.2692912778718,15.4030457517687
"T6206",0.181016332,0.065971271,0.071811186,0.069653729,0.069469202,0.069639731,0.060924655,0.06605948,0.0013548629883507,2.99888158785003,29.8961330827647
"T6217",0.169655866,0.075404893,0.077911803,0.075728193,0.068932555,0.076669741,0.059066945,0.071313905,0.0227863766122022,1.99932914042039,21.5203918283569
"T6175",0.178449701,0.070540949,0.068387313,0.066878046,0.0723446,0.067180591,0.057565294,0.062285412,0.0383087360099047,1.77065871329993,19.6042499240267
"T6188",0.175044639,0.071723557,0.072813322,0.07016098,0.070523902,0.069370561,0.056852492,0.06658499,0.000425205308624138,3.33584337089541,32.7197014854729
"T6200",0.186381017,0.065027341,0.070918529,0.068875762,0.067733396,0.068978536,0.058962866,0.065191838,0.00170792716413049,2.92760342336776,29.2988583081115
"T6211",0.177487821,0.071587119,0.074568755,0.071963517,0.068255226,0.072565664,0.058333104,0.067606491,0.0044371550550069,2.61685857487651,26.6949744861112
