"","ibaG","mlrA","murA","obgE","rplU","rpmA","yhbE","pval","z","inv_cof_var"
"T0806",0.203128452,0.034000281,0.204934336,0.248081269,0.452664715,0.201416745,0.204012506,0.408371687737734,0.231735604687222,2.53016688157498
"T0817",0.24113851,0.052679484,0.240169858,0.132080865,0.456637452,0.170545608,0.240292759,0.459147724175723,0.102581094152473,2.19658204003936
"T0829",0.230899502,0.056868322,0.133570299,0.066985129,0.369425127,0.182040327,0.23639948,0.49448362195432,0.0138279498489947,1.96734727730687
"T0807",0.304565602,0.0558336,0.314400873,0.268246261,0.657765292,0.497194888,0.130741702,0.498145765759897,0.00464789270864214,1.94363670077513
"T0815",0.140249894,0.04446203,0.332783006,0.212337823,0.512453439,0.555575228,0.233750733,0.496171085709056,0.00959781217599178,1.9564215279894
"T0827",0.147156936,0.058795559,0.28984841,0.188789623,0.34424991,0.325227757,0.162213758,0.369582309610725,0.332959812078993,2.79161234749441
"T0798",0.160871015,0.047623641,0.214004734,0.220048812,0.41168252,0.152220782,0.200408679,0.429867122530487,0.176712470415381,2.38805118270493
"T0321",0.214611956,0.054562321,0.205308491,0.159954066,0.226430941,0.232940246,0.154283856,0.0629134156279411,1.53076763471843,5.88535279102159
"T2491",0.478985436,0.051334583,0.281537816,0.494442193,0.625736213,0.149533909,0.273918174,0.46392941966033,0.0905390809946694,2.16547950220012
"T2492",0.471886597,0.062562717,0.407701878,0.391376787,0.638040868,0.196751062,0.196122269,0.448394125367702,0.129719630712798,2.26667641289945
"T2493",0.484859326,0.061745867,0.379320832,0.451883423,0.522756014,0.180098362,0.261909128,0.364517964544108,0.346408245740812,2.82634743799497
"T0033",0.328533143,0.039502362,0.249007954,0.125632479,0.405004787,0.364863369,0.141061825,0.443680702087449,0.141643754587798,2.2974744621261
"T0034",0.273413155,0.050842423,0.245694311,0.169160571,0.372757964,0.364896384,0.144549169,0.377312871007272,0.312545825861245,2.73888638129034
"T0035",0.167148775,0.018438327,0.239690876,0.270954401,0.411704346,0.343663449,0.136363661,0.411863083672191,0.222755032708611,2.50697154238024
"T0041",0.31778883,0.026030159,0.250942037,0.457759784,0.456961168,0.409295243,0.222627603,0.284178631094235,0.570472509721582,3.40506855028405
"T0043",0.399245479,0.037968058,0.487106857,0.030768475,0.478319969,0.489788018,0.442801269,0.462427485303644,0.0943199904666288,2.17524496901844
"T0045",0.344886045,0.034391657,0.480273276,0.48274139,0.482467609,0.457686024,0.035099612,0.4670565456852,0.082671066895391,2.14515771687771
"T0036",0.367897522,0.032548111,0.202802345,0.19121419,0.377892728,0.349565109,0.17141434,0.363502539305995,0.349112198982333,2.83333130413993
"T0037",0.299453079,0.02141569,0.337731649,0.105275322,0.378154149,0.35577174,0.114047937,0.465912801546567,0.0855481682190289,2.15258879601814
"T0038",0.160730487,0.03280035,0.276083592,0.429878405,0.424160066,0.384553486,0.142489715,0.437891577688029,0.156317002053002,2.33537304507319
"T0015",0.22072928,0.033604853,0.127681726,0.272648329,0.388816702,0.318891732,0.151296873,0.418018371108446,0.206965576718635,2.46618997654455
"T0016",0.363569434,0.04511481,0.245482762,0.193634923,0.386511602,0.370553045,0.246821953,0.250154120040915,0.674004834511595,3.67247550352088
"T0057",0.165947446,0.132873354,0.20258317,0.226446802,0.354419254,0.227719548,0.288336456,0.25443666367026,0.660593049903959,3.63783507149474
"T0058",0.19870194,0.132873354,0.336181149,0.3126525,0.34925049,0.24127175,0.334962261,0.130796849980356,1.12263227995458,4.83120634983047
"T0059",0.198774419,0.132873354,0.312985613,0.304283152,0.301542914,0.234423858,0.284272347,0.0600402452163966,1.55443583729781,5.94648386243507
"T0056",0.177282225,0.132873354,0.241478129,0.242399998,0.261242812,0.223271573,0.254578533,0.0130723581601826,2.22405541178423,7.67600100217218
"T0021",0.17153572,0.054527244,0.469736492,0.082438047,0.447014537,0.457663674,0.333677643,0.491956429555728,0.0201636073444828,1.98371123775165
"T0023",0.41330783,0.031237672,0.445182036,0.059143241,0.436337291,0.358034659,0.356599971,0.431334159018191,0.17297851188,2.37840698242754
"T0017",0.283528764,0.041334814,0.234517747,0.351922175,0.370694899,0.331969459,0.16796786,0.242189847259428,0.699275789022075,3.73774621935519
"T0018",0.355395933,0.039033833,0.187830956,0.131746552,0.359514527,0.360312661,0.133346667,0.45756734504409,0.106564239053144,2.20686984768156
"T0054",0.170112713,0.132873354,0.234417528,0.201601996,0.231049865,0.182659179,0.274564329,0.0777436111878034,1.42041388658829,5.60032722412161
"T0055",0.173070091,0.132873354,0.233630528,0.192209021,0.244203332,0.174536098,0.233617711,0.0397916193398666,1.75310935138044,6.45962484712217
"T1864",0.246498444,0.132873354,0.257688664,0.23910148,0.104849913,0.296629624,0.22042661,0.273416798244223,0.602511671420585,3.48782043122143
"T1868",0.182165457,0.132873354,0.290499264,0.198952768,0.08527985,0.323837881,0.19116733,0.414334720713546,0.216408371419164,2.49057916094691
"T1866",0.223012018,0.132873354,0.179535258,0.185989736,0.103988602,0.2009803,0.18047793,0.164990144893844,0.974153578858467,4.44771030488796
"T1870",0.205048751,0.132873354,0.172443848,0.189617183,0.112759901,0.169958801,0.184245685,0.0887443599901722,1.34852769103395,5.41465701366355
"T0692",0.259096914,0.132873354,0.41178845,0.133560386,0.266572466,0.493122781,0.184514976,0.468641831852192,0.0786843878016703,2.1348607809966
"T0024",0.262129797,0.036841624,0.327248882,0.306986454,0.333153708,0.321334776,0.220767738,0.0345121739418518,1.81826036314145,6.62789918647121
"T0025",0.297112399,0.043735252,0.248366833,0.361275912,0.360533065,0.360581673,0.167710796,0.236538014215685,0.717483152099601,3.78477284120409
"T0031",0.503991145,0.039260067,0.431301282,0.075652334,0.49889741,0.517228043,0.205953495,0.489785667203273,0.0256063333980774,1.99776890326092
"T0026",0.280595633,0.033854516,0.335414996,0.209559352,0.382760906,0.369215373,0.13586783,0.347968138430488,0.390811901838976,2.94103477273674
"T0027",0.27868272,0.029388905,0.374195263,0.137283142,0.38494969,0.369992909,0.108798836,0.456574673060238,0.109067003494022,2.21333407627067
"T0060",0.370408158,0.132873354,0.334622413,0.065577746,0.3128359,0.307924625,0.207425923,0.432483468884101,0.170054930054034,2.37085585180041
"T0003",0.136178391,0.0362576,0.21331118,0.305831677,0.331286245,0.32298049,0.229797495,0.292769990992391,0.545310502566986,3.34007922753697
"T0004",0.166581296,0.03202188,0.229480773,0.316666575,0.372936854,0.356733216,0.180642164,0.339383775277462,0.414145502425155,3.00130162227818
"T0005",0.161990205,0.046603221,0.240139368,0.327081298,0.352236635,0.350912005,0.165354755,0.342777775993268,0.404893832587342,2.97740608193655
"T0047",0.190972947,0.132873354,0.16702205,0.251876519,0.316929808,0.25027251,0.304613495,0.196137489982428,0.855498959927453,4.14124495505472
"T0048",0.216302704,0.132873354,0.255959904,0.27105239,0.350259888,0.243311527,0.332817805,0.0959066163698286,1.30523384524867,5.30283613628224
"T0049",0.214520459,0.132873354,0.270619155,0.263356514,0.287245445,0.240505202,0.268316428,0.000948260872572355,3.10597589589209,9.95385644616761
"T2404",0.229984946,0.03908662,0.275539899,0.192042639,0.407775443,0.303213336,0.111995888,0.411926877419061,0.222591111585267,2.5065481611005
"T2415",0.373456633,0.051109807,0.26430518,0.186704832,0.354180976,0.327284156,0.049005114,0.474071120984815,0.0650398873342646,2.09961928221033
"T0010",0.134703569,0.032240323,0.407362169,0.304811747,0.391502371,0.329833771,0.222145757,0.358695434548018,0.361948027228492,2.86648413568832
"T2674",0.304840414,0.044883513,0.334547201,0.141708283,0.323231652,0.257117616,0.301566753,0.225422133032636,0.754008253082055,3.8791111649131
"T2675",0.281726968,0.054918044,0.324162213,0.161576389,0.307511122,0.281224066,0.29545863,0.138174108546429,1.08855942663756,4.7432017781948
"T1863",0.186897866,0.132873354,0.234745089,0.284513194,0.084859671,0.378133043,0.272397943,0.424059659814392,0.191518587137178,2.42629294507118
"T1867",0.308735975,0.132873354,0.224681166,0.224285034,0.087510564,0.340728528,0.215659322,0.390957854154911,0.276823405395178,2.64662124923183
"T0011",0.352226971,0.030116744,0.37106059,0.15967003,0.434811783,0.432881215,0.263731353,0.319173623536619,0.470010876204998,3.14559268716255
"T0012",0.496332603,0.032075141,0.19063064,0.220563957,0.499517229,0.448862522,0.323444381,0.393391314653022,0.270490883800919,2.63026538830374
"T0006",0.223396642,0.041433331,0.297661319,0.234716685,0.362971051,0.315945943,0.173803285,0.228124780720268,0.745036654497085,3.85593900251708
"T0007",0.342748592,0.048322049,0.271053859,0.236376802,0.348003763,0.323696921,0.192814111,0.156732482100341,1.00797812433012,4.53507353823117
"T0046",0.197734934,0.132873354,0.256936419,0.250900893,0.290005035,0.227956946,0.252417089,0.00980753969287828,2.33363047578278,7.95901535613374
"T0050",0.309910624,0.132873354,0.370194083,0.138398135,0.360355786,0.318483859,0.087864942,0.459386946324571,0.10197830846073,2.19502514381771
"T0051",0.294248351,0.132873354,0.303817506,0.112319404,0.361355628,0.330110268,0.06716787,0.49140956455871,0.0215346926798807,1.9872525254887
"T0052",0.26738159,0.132873354,0.184401976,0.102833001,0.345145212,0.275914314,0.193786818,0.386232176126835,0.289152927526328,2.67846637542448
"T1865",0.313729543,0.132873354,0.312111131,0.147762484,0.082117215,0.23099409,0.142828617,0.469148747791972,0.0774098620002941,2.13156889064198
"T1869",0.243932639,0.132873354,0.33422603,0.136459887,0.072553452,0.260259111,0.131501902,0.490130032720944,0.0247428634546942,1.9955387025266
"T2817",0.37918253,0.054395969,0.321631044,0.298471207,0.263958647,0.289618624,0.310082126,0.00969548625729653,2.33792821128562,7.9701156995189
"T2821",0.330564986,0.044394679,0.422855743,0.42218724,0.435449395,0.432278083,0.435400432,0.000775068828243585,3.16512983053208,10.1066413224479
"T2825",0.355601912,0.041367936,0.325019089,0.13286463,0.49730955,0.32257816,0.328886608,0.366325983866852,0.341599959435788,2.8139284259258
"T0485",0.284002651,0.132873354,0.325572946,0.223656957,0.303043064,0.256889448,0.07202287,0.387826026984206,0.284989672724916,2.66771337355524
"T0486",0.23194903,0.132873354,0.403292606,0.19873308,0.286576896,0.222598783,0.075171266,0.459406338599897,0.101929445940872,2.19489893997182
"T0487",0.239025935,0.132873354,0.413537613,0.216555479,0.244279002,0.231588015,0.095399554,0.433883753969463,0.166494885297303,2.36166084218659
"T0690",0.353701319,0.132873354,0.307993338,0.135244239,0.065695974,0.256670434,0.171880447,0.495265172473364,0.0118687311995381,1.96228693802792
"T0698",0.349204778,0.132873354,0.248755732,0.153607619,0.136984914,0.299340618,0.144748456,0.418918978875075,0.20465976510204,2.4602344446816
"T0707",0.339734185,0.132873354,0.238917393,0.336884275,0.247352421,0.235355841,0.302191524,0.0675379685435182,1.49438148874811,5.79137336523655
"T0709",0.312731872,0.132873354,0.172286611,0.258289647,0.159907904,0.266828232,0.230411192,0.213592582294411,0.794017635745562,3.98244881468223
"T0711",0.201410526,0.132873354,0.24235637,0.227423363,0.264568139,0.19050144,0.210993859,0.00849333369501506,2.38699618842395,8.09685020774777
"T0904",0.483672788,0.132873354,0.518812536,0.283237757,0.277546512,0.543059578,0.09886964,0.475496714735135,0.0614592968929967,2.09037120647523
"T0905",0.125394005,0.132873354,0.43182201,0.268035203,0.356092528,0.485932439,0.256356661,0.421201182895599,0.19882151454273,2.44515520447846
"T1075",0.133815558,0.132873354,0.259091222,0.247487643,0.069699901,0.273614876,0.292894066,0.432065779041597,0.17111726818407,2.37359969632661
"T1079",0.144591845,0.132873354,0.217279606,0.117257483,0.071827494,0.249783027,0.087858034,0.478272423905547,0.0544899093601657,2.07237042565764
"T1703",0.267179957,0.132873354,0.228263077,0.101223995,0.154645195,0.422376254,0.215298257,0.474271158227596,0.0645374148446227,2.09832147847789
"T1998",0.299149779,0.066033632,0.174344648,0.141540959,0.130364104,0.185187247,0.058598562,0.477859435609261,0.0555266849571935,2.07504824636874
"T2000",0.169140303,0.132873354,0.347096919,0.162088903,0.291109897,0.161610697,0.29259238,0.357364123466336,0.365513345159842,2.8756927650442
"T2323",0.23435949,0.132873354,0.240212862,0.112937637,0.077405909,0.361668468,0.217164888,0.482938590937457,0.0427796552800418,2.04212476690762
"T2324",0.280199307,0.132873354,0.15175436,0.102957254,0.154419936,0.400538706,0.222836822,0.486937288579423,0.0327492148310991,2.01621779026515
"T2325",0.281299297,0.132873354,0.177351789,0.100129393,0.172240633,0.422416834,0.226728106,0.480934238454212,0.0478089835489693,2.05511469398546
"T2326",0.325397053,0.132873354,0.29982399,0.165173026,0.26782661,0.29224482,0.060004614,0.443278142505074,0.142663068952215,2.30010718334753
"T2327",0.322375761,0.132873354,0.305416907,0.156036357,0.278245778,0.296011044,0.054793073,0.45746691936988,0.106817405684887,2.20752373541945
"T2328",0.302040427,0.132873354,0.295042362,0.130552173,0.273214193,0.287306269,0.057769095,0.464788544901454,0.088376938717198,2.15989504459177
"T2332",0.347895969,0.132873354,0.382475751,0.279832078,0.072415423,0.383984984,0.268424337,0.417751884734888,0.207648067979415,2.46795273913127
"T2333",0.274583518,0.132873354,0.348140111,0.278924747,0.078930936,0.356486552,0.267762925,0.387422841407446,0.28604235340321,2.67043227447324
"T2334",0.272809097,0.132873354,0.350823328,0.280107331,0.0772669,0.354022331,0.269133126,0.390116933036019,0.279014279812516,2.65227991722806
"T2335",0.334542066,0.132873354,0.264810435,0.178603565,0.095470759,0.305250243,0.173705425,0.417212368967791,0.209030104191138,2.47152231117932
"T2336",0.34114866,0.132873354,0.256174155,0.174441972,0.09263603,0.307281221,0.168988265,0.432563062855467,0.16985251526114,2.37033304770837
"T2337",0.369493395,0.132873354,0.259107845,0.157795302,0.076722473,0.317672763,0.152474417,0.490989862677967,0.022586985363656,1.98997042428072
"T2524",0.470842476,0.03353654,0.445653021,0.4463857,0.429448568,0.423671963,0.488344999,1.31805903749247e-10,6.31879434420107,18.2520376596958
"T2648",0.053223052,0.052156139,0.212179098,0.161522781,0.307783943,0.15554274,0.1749598,0.467625384728187,0.0812404021012516,2.14146254520567
"T2665",0.359286282,0.046873721,0.339868825,0.278366492,0.455463515,0.278370552,0.060755914,0.453251717750612,0.117450035892196,2.23498606908574
"T4083",0.44074623,0.166285394,0.132621732,0.139042466,0.417800476,0.198730527,0.252091923,0.498582659398777,0.0035527534996375,1.9408081364611
"T5142",0.144729039,0.252535203,0.138621154,0.167562688,0.141178557,0.223549828,0.132212663,0.150448937125419,1.03450985028642,4.60360061918369
"T5144",0.139857518,0.226842141,0.241173501,0.156822184,0.196761125,0.269402507,0.143800458,0.268374565080154,0.617736374783054,3.52714333398005
"T5146",0.134523182,0.260770167,0.234840242,0.144384947,0.153573283,0.245999767,0.128065921,0.298378762785351,0.529069086066622,3.29813032209685
"T5148",0.135497637,0.250211351,0.143625875,0.144035552,0.162319201,0.266661349,0.131559182,0.313279493927595,0.486575784170344,3.18837711780917
"T5150",0.139024502,0.247478757,0.146426069,0.241743986,0.173032093,0.232077147,0.13430019,0.244731568691103,0.691162960960042,3.71679211986402
"T5152",0.144729039,0.252535203,0.138621154,0.167562688,0.141178557,0.223549828,0.132212663,0.150448937125419,1.03450985028642,4.60360061918369
"T5714",0.084392174,0.125034926,0.083337666,0.086308602,0.100983476,0.131145636,0.081976926,0.121882073185064,1.16562981872756,4.94226191497194
"T5716",0.223164216,0.13142919,0.180459379,0.104952887,0.221980689,0.179502549,0.119971367,0.279485108356416,0.584371768027818,3.44096804663421
"T5719",0.170896628,0.219208255,0.121284341,0.107817086,0.110226255,0.151399441,0.199336244,0.224194229401799,0.758104445175079,3.88969095484527
"T5720",0.181834572,0.24175363,0.108445783,0.113962235,0.116267498,0.105006564,0.133201598,0.171014925667797,0.950162182035436,4.38574447594174
"T5721",0.112155817,0.195377795,0.124725322,0.115459569,0.170399413,0.247275212,0.118256237,0.370526889071321,0.330458191557608,2.78515107346106
"T5722",0.1425464,0.104203297,0.095409308,0.093771049,0.185231548,0.225516775,0.086172988,0.425937769667559,0.186725911026361,2.41391425156416
"T5726",0.073055137,0.326638651,0.092607924,0.090693288,0.065955102,0.1473024,0.072806549,0.335315406269267,0.425282413102022,3.03006642939144
"T5728",0.086224371,0.414873471,0.064007286,0.082611544,0.179466064,0.149681236,0.070789144,0.454957639400046,0.113145404122713,2.22386791377899
"T5730",0.203220408,0.085575207,0.073164119,0.085335952,0.097451542,0.077192181,0.074252153,0.487201833243934,0.0320857511598259,2.01450417281013
"T5732",0.243628615,0.236245387,0.10234159,0.102594167,0.14015688,0.118992416,0.235790102,0.42739304598452,0.183015200259443,2.40433009644606
"T5734",0.129920955,0.294284793,0.091958144,0.087709193,0.131873168,0.184499391,0.072330397,0.363167208896434,0.350005702825136,2.83563907749279
"T5736",0.187616699,0.150013573,0.103195699,0.103989152,0.099918426,0.104378242,0.101417493,0.290236080765193,0.552695169625962,3.35915260701449
"T5744",0.161852082,0.113526791,0.112222542,0.109248753,0.160937366,0.160488087,0.124322315,0.0899116853618489,1.34129907281971,5.39598668266594
"T5748",0.263823808,0.168265318,0.184494077,0.121652828,0.190818355,0.135524447,0.099071521,0.372379297464352,0.325558262382506,2.77249536294313
"T5756",0.287360839,0.313448345,0.118564813,0.11738581,0.114943802,0.128128001,0.119563908,0.4658699904423,0.0856558736383015,2.15286698138752
"T5758",0.256001027,0.258985801,0.200446796,0.070625332,0.244415925,0.227314211,0.073149461,0.472943082087825,0.0678737133712558,2.10693858840858
"T5760",0.214703298,0.128394991,0.103633678,0.086761625,0.253254115,0.185948319,0.086218353,0.467487587309535,0.081586955618473,2.14235763589703
