"","cho","dinB","dinD","dinG","dnaG","ftsK","hokE","insK","lexA","phr","polB","ptrA","recA","recB","recD","recN","recQ","recX","rpoD","rpsU","ruvA","ruvB","symE","umuC","umuD","uvrB","uvrD","uvrY","yafN","yafO","yafP","ybfE","ybgA","ybiB","ydjM","yebG","pval","z","inv_cof_var"
"T1636",0.068817588,0.082122102,0.048154048,0.053105704,0.235694328,0.119060915,0.079573395,0.013278007,0.113411824,0.137823134,0.057034957,0.272745741,0.143795558,0.051212729,0.067349675,0.048629495,0.051580789,0.060156989,0.091171039,0.163246945,0.047528804,0.197937622,0.051350863,0.079488036,0.078685397,0.199115128,0.192309371,0.287349304,0.071700315,0.068451576,0.064781871,0.055666612,0.050240319,0.341830915,0.065537661,0.089869284,0.430554443087698,0.174962771718136,1.37898284211303
"T1637",0.051286681,0.053263499,0.065506923,0.050117097,0.352788351,0.170669382,0.079573395,0.14635153,0.183902438,0.065013518,0.052928468,0.263349919,0.120099346,0.054542561,0.050710961,0.073260841,0.078921338,0.052396373,0.23800707,0.086435266,0.057550013,0.094510482,0.053335014,0.053273744,0.052599793,0.209894687,0.055460181,0.23072185,0.178618436,0.336697891,0.050936731,0.070659477,0.054596907,0.270760605,0.050604928,0.078561081,0.476182420818652,0.0597373276557889,1.3147861868703
"T2300",0.050165533,0.051757904,0.115227532,0.053321666,0.335772292,0.254582425,0.057045037,0.05221709,0.206044063,0.050283674,0.051760618,0.080887938,0.199056313,0.056265935,0.126382322,0.102365667,0.112434224,0.057878117,0.202899698,0.104591166,0.061560061,0.332642618,0.053834838,0.057981297,0.05456904,0.114907939,0.142617864,0.30517254,0.054512771,0.052651061,0.050725363,0.154855701,0.061337998,0.098378791,0.053753004,0.137222418,0.442314567993108,0.145103524003374,1.36234707345142
"T0880",0.076036123,0.07390104,0.231537662,0.073450929,0.088089618,0.087870624,0.080823038,0.078097185,0.081693137,0.075808834,0.073774869,0.074701145,0.110573832,0.073451903,0.077326915,0.078432086,0.178238817,0.073542901,0.233570825,0.244850135,0.08307755,0.037522257,0.073477395,0.078824128,0.077918351,0.103220988,0.091347672,0.222697248,0.07426694,0.074791389,0.074697618,0.073461864,0.073525209,0.077158806,0.074726157,0.232723657,0.174212552044967,0.937648449492791,1.80390521852992
"T0150",0.066785849,0.065127391,0.08283149,0.065034984,0.306985639,0.286226815,0.078093421,0.086254964,0.230617489,0.068556898,0.064677863,0.078915575,0.089136814,0.064670819,0.071304727,0.080799419,0.081091623,0.065502913,0.087378648,0.17020229,0.092026071,0.081090214,0.064445839,0.08275116,0.078055202,0.125564819,0.162284575,0.09002819,0.068633374,0.06929967,0.068467571,0.10303518,0.065907076,0.086561755,0.071353572,0.073948095,0.243362505381823,0.695527137033321,1.66900985275926
"T0151",0.06468256,0.051178528,0.0710195,0.063177048,0.259538039,0.263715269,0.08226046,0.13729771,0.188854578,0.061760895,0.048139507,0.052441882,0.063449735,0.048109183,0.065610362,0.061527329,0.063562319,0.048108713,0.048723366,0.243286844,0.052865379,0.067738676,0.052300212,0.091761064,0.081061633,0.102254901,0.113153041,0.266564112,0.063245366,0.065676253,0.060306289,0.08705113,0.048987859,0.054206216,0.082278198,0.231341318,0.411905428555929,0.222646224810634,1.40554918103124
"T0344",0.090775553,0.080957837,0.050410113,0.070592369,0.243057501,0.351217017,0.132599031,0.108515108,0.086506605,0.096195372,0.07033134,0.051031689,0.064142185,0.061831117,0.097244459,0.050664026,0.080941983,0.065543978,0.361450359,0.317844243,0.05110752,0.050422426,0.069016066,0.146461187,0.133704994,0.05224246,0.055478322,0.278267894,0.092911469,0.108019402,0.099770868,0.053283023,0.058509782,0.050492857,0.108692447,0.108008677,0.484608163339392,0.0385911896798428,1.30300483648885
"T0345",0.096338303,0.083558397,0.044851099,0.070416484,0.30521073,0.30903267,0.145301156,0.117181858,0.094980581,0.10273027,0.069212188,0.045747286,0.062169354,0.059902258,0.104036524,0.045242166,0.093545874,0.064393033,0.313630064,0.308030562,0.045615347,0.060708135,0.067871064,0.159889098,0.146335993,0.045680433,0.050990344,0.284935629,0.08747777,0.115600578,0.106117521,0.048260573,0.055824451,0.044914176,0.117367931,0.107915021,0.448387931373628,0.129735287950218,1.3537848209071
"T0875",0.049321371,0.049706938,0.107520168,0.055575029,0.128211229,0.120157934,0.051650992,0.049265135,0.12493454,0.049406249,0.052871492,0.088515716,0.11577001,0.054202644,0.051130068,0.094406351,0.072054415,0.054893099,0.054270409,0.053900335,0.114318614,0.337539888,0.056090516,0.054698312,0.051970605,0.104415133,0.124773541,0.23300224,0.049344811,0.04937571,0.04915893,0.126486103,0.049409612,0.095167729,0.049101879,0.082303558,0.361007974785218,0.355765818195982,1.4797153750707
"T0876",0.06683304,0.060596756,0.07903979,0.063000125,0.112952968,0.080612605,0.081572094,0.064095857,0.096572119,0.063574139,0.060741126,0.06820719,0.16495429,0.061857112,0.066646847,0.078762071,0.065203186,0.061965248,0.061589036,0.178419565,0.082219304,0.131999552,0.063204366,0.07121625,0.067743024,0.098271323,0.094769528,0.169405951,0.064958744,0.06182878,0.061141283,0.093512831,0.061703506,0.076173772,0.061046706,0.081949456,0.00804625787995017,2.40681054381712,2.62243356730318
