"","clpC","ctsR","clpE","clpP","clpX","disA","lonA","mcsA","mcsB","radA","ysxC","pval","z","inv_cof_var"
"GSM672671",13.20139963,13.48916357,9.624618587,12.96003271,13.25773792,13.68413234,11.85680372,13.02507807,13.02025465,13.38884164,11.92018364,0.271837869409597,0.607263979611745,10.839336531642
"GSM672672",13.15779442,13.93621227,10.00627323,13.02854461,13.43859219,13.77660149,11.72986729,13.41578699,13.08807955,13.51702342,11.90309033,0.241873107255214,0.700290001662523,11.007506799902
"GSM672673",13.25572045,13.90805539,9.927572862,13.12605204,13.35631375,13.33142937,11.85551673,13.31143866,13.21581859,13.17966803,11.94935167,0.181246462084086,0.910625131478779,11.3877457311809
"GSM672674",13.9789632,14.42564907,10.4894658,12.12968401,11.72477063,13.31340074,11.47313457,13.85909405,13.8509658,13.51256134,11.62863903,0.495458204215022,0.0113848396676355,9.76212015061413
"GSM672675",13.33925093,13.55989331,9.831281413,11.62372862,12.38852714,13.21045353,11.64474981,13.11002677,13.21581859,13.36020558,11.68286245,0.274603420503091,0.598949080037882,10.824305050546
"GSM672676",13.26519851,13.32734535,9.801787361,11.92018364,12.39153123,13.1376223,11.62187658,13.04114164,13.08473941,13.21581859,11.51739071,0.196805879043571,0.853085741120989,11.2837273662259
"GSM672677",13.35250967,13.03222825,9.713857993,12.61037472,12.86480892,13.05679517,11.92279405,12.84362528,13.14322714,13.1633513,11.80505465,0.115116340120094,1.19975969865468,11.9104364434493
"GSM672678",13.46152045,13.49333755,9.476631227,12.90509033,13.1376223,13.0185829,12.04601524,12.97545799,13.14143123,13.06929071,11.72728216,0.278499967037106,0.587303435720723,10.8032523269564
"GSM672679",13.4511197,13.63843383,9.15257658,13.15227509,13.38265911,12.95655428,11.9756052,12.99432751,13.1136368,13.10225725,11.69090818,0.492765415056939,0.0181354092261843,9.7743236724733
"GSM672689",14.37361413,15.29518476,14.89745725,14.83115242,14.60915242,12.13241078,12.15447286,14.67824238,14.39110335,11.81985335,12.87794796,0.30846660612369,0.500201485833517,10.6457914578836
"GSM672690",14.39110335,15.11720743,14.99943048,14.89277844,14.71898885,12.35933978,12.48356283,14.60915242,14.41536729,12.01236766,12.99514572,0.138600901536608,1.08662673883533,11.7059173230736
"GSM672691",14.58543234,14.97813903,15.45057695,14.82635502,14.69494015,12.41094461,12.52685316,14.75811599,14.57414535,12.30054126,12.89381004,0.137469656739686,1.09175838842891,11.715194199261
"GSM672695",14.50030743,14.86847249,12.10844647,14.8074855,13.84343978,13.10320037,12.20520706,14.37716803,14.45389294,12.41256617,12.9331223,0.0532049108327086,1.61454242804581,12.6602709664525
"GSM672696",14.37361413,14.70664796,12.25148216,14.75811599,13.64061375,13.19629331,11.92614628,14.25115204,14.30661041,12.77709554,12.35485911,0.0414544656433638,1.73405158204097,12.8763168216212
"GSM672697",13.96681933,14.24770112,11.08451636,14.75366506,13.94112825,13.18522751,11.83996506,13.82567398,13.87172416,12.68201636,12.46461859,0.125144615281625,1.14964714859849,11.8198441467955
"GSM672704",12.59782974,13.01151115,9.374982156,13.27671636,14.03156208,11.90059108,12.41256617,12.49265874,12.5479145,11.58120632,12.33911152,0.34578035244811,0.396737959522589,10.4587525133897
"GSM672705",12.70310595,13.19629331,9.376255762,13.31340074,14.04280037,12.04601524,12.41256617,12.62380409,12.53577732,11.6064513,12.39750149,0.360737729954575,0.356487569042485,10.3859887982981
"GSM672707",15.56470372,16.10869665,15.33721524,15.5469539,14.47804424,13.95421375,12.47040149,16.28856134,15.86955019,13.20315836,12.99247212,0.275107558496734,0.597437809003512,10.8215730100947
"GSM672708",15.58944684,15.91022379,15.33721524,15.88525911,14.62074498,14.17950558,12.91816022,16.0140948,15.90234647,13.6081974,13.07616431,0.0729550075466798,1.45413091091651,12.3702827752676
"GSM672709",15.59743048,16.24893309,15.02109257,15.78401747,14.4894368,14.30992379,12.73977435,16.28856134,15.92557398,12.97032825,13.09337732,0.245170136949083,0.689767716066702,10.9884848579513
"GSM672710",13.42601599,14.04813494,10.50016952,12.08414498,13.87415316,12.94628513,11.78955725,13.50188959,13.55558736,12.58745911,11.92807175,0.134180645675237,1.10684420736993,11.7424659901245
"GSM672711",13.32523234,14.24448885,10.89479591,12.6482026,14.11871338,13.08133792,11.42984089,13.80343717,13.53224944,12.31870483,12.02317361,0.138112888473957,1.08883698897399,11.7099129616116
"GSM672712",13.23309777,13.95159331,10.83366729,12.66787807,13.85909405,13.19072825,11.51739071,13.88486654,13.59734461,12.18154349,11.98850669,0.094111991719874,1.31585122141819,12.1203039847615
"GSM672722",14.23481264,14.54790446,11.3534526,15.05480706,14.74947249,13.10414349,12.77412974,14.21958662,14.2410829,12.48819219,12.86331896,0.127356204742939,1.13897781016419,11.8005563661606
"GSM672724",13.32734535,13.81818216,10.41393086,14.36337323,14.60165465,12.60816022,12.60447639,13.38884164,13.38685874,12.24615948,12.91142379,0.173724692434707,0.939548146369997,11.4400320814506
"GSM672737",13.54539665,13.94393941,10.84732714,14.56330743,14.19849442,12.43023309,12.5479145,13.33340483,13.57092379,11.94935167,12.74756208,0.103084245210333,1.26417146492353,12.0268785289404
"GSM672740",15.24909405,16.18697584,15.08293978,15.63961115,14.8536461,12.80153755,14.03459963,16.29536729,16.05140074,12.76934647,13.54539665,0.188910181562504,0.88191945935365,11.3358522880835
"GSM672741",16.05834275,16.31574647,15.96520669,16.05140074,15.11127918,13.4450803,13.98155204,16.41206468,16.25856059,13.29238922,13.93848699,0.0946120528673119,1.31287786788921,12.1149288257514
