"","copA","csoR","copZ","sprB","yosX","yotB","yotC","yotD","yotE","yotG","yotH","yotI","yotJ","yotK","yotM","pval","z","inv_cof_var"
"GSM672598",10.92615725,10.96004981,11.752071,7.754774349,8.80799777,7.884095539,8.893053903,8.852436803,8.276495167,8.398508922,8.42054461,8.640388476,8.296347212,8.346910409,7.881148327,0.421141226141462,0.19897480619199,7.67174122057863
"GSM672599",10.97028662,10.66850595,11.64111115,7.759936803,8.596839033,8.065643494,8.173079926,8.217745725,8.216581041,8.09550855,7.996627138,8.029444981,8.245984201,8.092948327,8.1188829,0.476522187841616,0.0588841586988055,7.32031877071265
"GSM672606",7.811251301,9.995141264,10.19194089,7.732870632,10.12320297,9.07303197,9.376955204,9.703587361,9.668441264,9.771886989,9.971773978,9.038258922,10.02884981,8.448307063,9.293330483,0.0421202658728447,1.72659440348196,11.5038301640539
"GSM672607",8.205537918,9.767536431,10.35158587,7.46751487,9.559210037,8.534192193,9.12855223,9.163631227,9.354954647,9.196441636,9.1231,8.594514498,9.310286617,8.264835316,8.802977323,0.0124974226280259,2.24148238550089,12.7954452667426
"GSM672608",8.70936803,10.99487082,11.19026506,8.536673606,10.90965465,9.582884758,10.07365818,10.22252528,10.23788662,10.06807993,10.52265576,9.866851301,10.32988178,9.440052788,9.832570632,0.00571570413608796,2.52922694965995,13.5172629004095
"GSM672609",9.336265056,11.2476974,11.19267138,8.481003346,10.76773309,9.627257249,10.05336431,10.08403457,10.02762937,9.991480297,10.10699257,9.884420446,10.32377435,9.643798885,9.860341264,0.000289442902228725,3.44131891430072,15.805278542087
"GSM672610",9.205351301,10.68896989,10.90396134,7.089604089,7.68067342,7.344720818,7.522989591,7.8193171,7.844221561,7.796198141,7.661118587,7.348572862,7.304376952,7.277204089,7.17327026,0.415770378451694,0.212725908870061,7.70623635839089
"GSM672611",9.309149814,10.81902937,11.02368327,7.310779182,7.825569888,7.46360223,7.607456506,7.967410409,7.908544238,7.719550558,7.685833086,7.401328996,7.378700743,7.285741264,7.257305576,0.413492405657543,0.218570273360082,7.72089715783572
"GSM672612",8.689369888,11.55800706,11.18580558,7.913758364,7.301544238,7.236266543,7.429003346,7.715651301,7.682123792,7.606418959,7.577777323,7.331414498,7.252905576,7.135171747,7.083947212,0.468928964529178,0.0779624418827602,7.36817733326279
"GSM672614",8.002232714,11.70866914,11.65469554,7.859383271,8.084459108,7.581318587,8.218820074,8.507581413,8.199758736,8.371718216,8.331921375,7.89222119,8.066166171,7.436165428,7.460065056,0.368713265298146,0.335263227117257,8.0136256477475
