"","frlB","codY","frlR","frlD","frlM","frlN","frlO","yurJ","pval","z","inv_cof_var"
"GSM672668",15.26837881,12.38563941,10.89157584,12.43696729,12.06496617,12.54404182,13.69896357,12.23710446,0.197098970466962,0.85202910020387,10.5748773179989
"GSM672669",15.35256022,12.55260149,10.9214461,12.1503,11.99510037,12.42432045,13.6940316,12.1466684,0.325412995992813,0.452615005141045,9.77031272659906
"GSM672670",14.9261052,12.21777212,10.99780372,11.40524758,11.44420669,11.72477063,13.01695428,11.61993123,0.499107821528385,0.00223636164708906,8.86308708344561
"GSM672675",9.059653903,11.73350112,8.879577695,8.432450558,7.622386245,7.673636059,7.975606691,9.739531599,0.285167434393684,0.567558388788112,10.0018503153854
"GSM672676",9.576361338,11.78955725,9.075482156,8.507581413,7.927261338,7.835530855,8.584775836,9.82355539,0.204266750295168,0.826477104567884,10.5234063479394
"GSM672677",11.284429,12.03818364,9.42066803,9.338898513,8.874475465,8.814584758,10.39695242,10.12925874,0.267929717381946,0.619086411242379,10.1056464078218
"GSM672678",12.39001859,12.10715093,9.456306691,10.27611859,9.702426022,9.812004461,11.43100372,10.59873699,0.232234324464784,0.731508443721954,10.3321050825264
"GSM672679",13.25773792,12.29611413,9.556754275,11.02258996,10.50383271,10.5378948,12.37705167,11.27025613,0.215694722000915,0.786816242262381,10.4435150124311
"GSM672680",13.82056989,12.37427993,9.75594052,11.65469554,11.18912454,11.37209145,12.99596394,11.80120297,0.0806982388591403,1.40039028469309,11.6794752723317
"GSM672681",14.53294684,12.82326543,9.569909294,12.59922416,12.21777212,12.45543494,13.88738959,12.48666022,0.00718908998355836,2.44767370528104,13.7890832400541
"GSM672682",15.61343941,12.90290911,10.37459182,13.36649851,12.85502825,13.06050818,14.78927807,13.31737249,0.0352152123921946,1.8091324760567,12.5028300268268
"GSM672683",9.340096654,13.61633086,9.856439033,7.475986245,7.372210409,7.397816729,7.986987732,8.99717881,0.408332068834129,0.231837618417865,9.32558713945793
"GSM672684",9.434879926,13.60378104,9.864209294,7.489437175,7.359462268,7.426362454,8.111246468,8.97135948,0.433496650320275,0.167478833604724,9.19594524637944
"GSM672685",9.424471375,13.7522145,9.632801859,7.327780297,7.375808178,7.379622677,8.116738662,8.9057171,0.472945253359213,0.0678682582510357,8.99529348458837
"GSM672686",9.088011896,13.80104535,9.725816729,7.334923048,7.293344238,7.361776952,7.901559108,8.937742751,0.346216969985673,0.39555418655132,9.6553715796514
"GSM672687",9.437442007,13.62670483,9.866851301,7.452518773,7.460065056,7.530228253,7.97460632,9.143151301,0.450743911484418,0.123782077224446,9.10792415904885
"GSM672689",9.324801487,13.27297993,10.20419591,7.317484015,7.435354647,7.433971004,8.105662082,9.166081041,0.482423952246294,0.0440708801563568,8.94735694949909
"GSM672690",9.437442007,13.39599981,10.29977138,7.661118587,7.507008178,7.514108178,8.161189963,9.092923048,0.33015221490421,0.43949289402565,9.74388004408143
"GSM672691",9.467154089,13.53679182,10.38428922,7.413121933,7.530228253,7.674563941,8.105662082,9.166081041,0.407664686819622,0.233556407357411,9.3290494026528
"GSM672695",15.45057695,13.86665948,9.636655762,12.79137658,12.5494855,12.988971,14.3805052,12.91816022,0.0737849953267537,1.44816828976309,11.7757174720994
"GSM672697",15.33721524,13.3702461,10.37568922,12.13522082,12.39590892,12.73977435,14.40846283,12.15306543,0.325094875159911,0.453498601261397,9.77209260908273
"GSM672701",16.31574647,12.85840781,9.733342007,14.47455279,14.38725613,14.60165465,15.35256022,14.41536729,9.43486497807315e-08,5.21014087325458,19.3536922404112
"GSM672702",16.35571933,13.0393197,10.8927461,14.51143346,14.37000297,14.69494015,15.6989948,14.49691561,9.04780469361908e-07,4.77360615815048,18.474353281093
"GSM672703",16.34839145,13.0393197,10.25863271,14.28199294,14.03726022,14.47455279,15.43592342,14.34949888,5.3992811316638e-05,3.87191046232366,16.6580116996429
"GSM672710",14.11600446,12.72426729,12.37427993,11.62494535,11.55567323,12.10151896,13.15322658,11.65592045,0.0698859045962568,1.47664132081523,11.8330724650191
