"","ctaA","resD","yclJ","yclK","pval","z","inv_cof_var"
"GSM672768",11.87109368,11.66081524,10.18716803,10.68322677,0.475457066621959,0.0615588681538397,12.6124282755935
"GSM672769",11.57750409,11.85939182,10.59128327,10.64919294,0.209242984539649,0.809050726057771,19.766209919117
"GSM672774",12.01517881,11.63192007,10.43819554,10.61782416,0.468935267789814,0.0779465938710642,12.7692650493661
"GSM672775",11.92807175,11.59011673,10.47046803,10.67870929,0.418752619567026,0.20508560987834,13.9860338332281
"GSM672778",11.36849442,11.61633606,10.20419591,10.52528401,0.273320119664047,0.60280226571474,17.7923336367126
"GSM672779",11.42984089,11.41637175,10.15011822,10.53229405,0.327706689410727,0.446254555622677,16.2941124548356
"GSM672780",11.50065985,11.60768401,10.16996877,10.50016952,0.359129098919211,0.360787647206605,15.4761616048156
"GSM672781",12.01111041,11.58623978,10.25257509,10.7016487,0.499859581069594,0.000351978068517174,12.026655036568
"GSM672782",11.87881301,11.58383606,10.33848885,10.66433346,0.438596425169055,0.154528742268969,13.5021853636646
"GSM672783",11.96003271,11.47787249,10.41393086,10.77360446,0.432230741212811,0.170697686004558,13.6569283105847
"GSM672784",11.9466974,11.61378959,10.40392714,10.61667584,0.453417834386823,0.117030771652015,13.1433155097225
"GSM672785",11.56050372,11.45741599,10.28889442,10.64676803,0.319273107730572,0.469732401566373,16.5188043783202
"GSM672786",11.84372045,11.66334796,10.53672193,10.53120149,0.397593616787281,0.259580689262505,14.5075724887179
"GSM672787",11.71235911,11.61507807,10.33973569,10.49409517,0.400784310693805,0.251317532118589,14.4284909291415
"GSM672788",11.86726952,11.87752714,10.25501375,10.45615651,0.485936547079123,0.0352591531110511,12.3607299905706
"GSM672794",12.06224721,11.96963309,10.4894658,10.59470558,0.477376948015325,0.0567380089178084,12.5662908174472
"GSM672795",10.89479591,11.31089517,10.10964312,10.47263569,0.0625481233837428,1.53372936364756,26.7016603594477
"GSM672796",11.60519591,12.01111041,10.41393086,10.541771,0.316409279618651,0.477763476653988,16.5956648242663
"GSM672806",10.66789145,11.77697584,10.0693658,10.46929405,0.0104702344137829,2.30905609213392,34.1218323109283
"GSM672816",10.86634126,11.8179803,10.21397621,10.35275874,0.0268388049288635,1.92942913350308,30.488657796285
"GSM672817",11.58120632,11.72986729,10.19320037,10.48220409,0.390577326997944,0.277814637814986,14.6820783178643
