"","ahpC","perR","ahpF","btr","fur","efeB","efeO","efeU","fbpB","fecC","fecD","fecE","fecF","fhuB","fhuC","fhuD","fhuG","fpbN","fpbO","fpbP","fpbQ","hemA","hemB","hemC","hemD","hemL","hemX","hmoA","katA","mrgA","spx","ycgT","yfhA","yfhC","yfiY","yfiZ","yfkM","yfmB","yhfQ","yjbC","yoaJ","yusU","yusV","ywiE","ywjA","ywjB","yxeB","pval","z","inv_cof_var"
"GSM672633",15.39060186,11.75931078,14.81200037,10.39560743,12.23010929,12.61808885,12.233029,10.61326914,13.12992751,13.79092788,10.4475026,11.04170632,11.6362881,8.968894424,11.02368327,12.69635725,10.21397621,11.77082305,12.34492491,12.95128178,13.73822305,13.33719963,12.89065985,12.20380818,12.30338885,12.59852695,11.96150149,13.18522751,9.933688848,11.38992602,14.29703011,11.15677881,10.19194089,13.4593829,12.88760223,10.20057955,8.617136803,10.37205093,12.51800186,13.38058216,9.040090706,11.61319387,12.89984572,7.653642379,10.67870929,11.09626803,11.93357212,0.497714015981909,0.00573014353272288,7.29521537786343
"GSM672634",15.31526691,12.05874219,15.03851413,9.853855762,12.41094461,12.14044424,11.88872416,10.79227621,11.34699628,13.1136368,10.79915911,11.23174721,11.45388848,9.835013011,10.45493383,12.24009331,10.36173011,12.05132193,12.25278848,12.57254721,13.14508736,13.08980112,12.49718067,12.05292342,12.11672937,12.57486468,11.98850669,12.54170929,10.39144312,11.17430409,13.56877881,11.19761078,10.38173197,13.15227509,12.84075093,10.47985502,8.449340892,10.08906357,12.02735651,12.77243197,9.367478067,11.61025167,13.02354647,8.751308178,10.79103494,10.7016487,11.08792416,0.246456189243113,0.685684031637514,8.25153629854556
"GSM672635",15.45858439,12.17600892,14.97281599,9.924289591,12.47473234,12.28434275,11.9607671,10.84732714,11.9588368,13.17966803,10.91817807,11.06445836,11.4562539,9.931396283,10.71228216,12.23010929,10.46929405,12.25706059,12.49575204,12.58745911,13.42184944,13.38884164,12.59489368,11.97618699,12.24164052,12.61541041,12.08812974,12.64979145,10.48396914,11.11236022,13.91563829,11.22723903,10.67258401,12.76600149,12.99596394,10.72937955,8.966280669,10.21655725,12.2829855,12.90509033,9.429528625,11.82570149,13.20315836,9.895276022,11.01078959,10.9382052,11.32697918,0.148321824486559,1.04365799822424,8.7550086652683
"GSM672636",15.41281338,12.02192007,14.8074855,10.01882751,12.4776539,12.12079071,12.158871,11.09151115,10.97578959,13.11975465,10.42367732,10.97260186,11.28217807,9.819645353,10.69834424,12.63887881,10.39436654,12.16173569,12.43176617,12.82942007,13.5255539,12.53577732,11.98850669,11.5350052,11.70866914,12.02055242,11.36612639,12.22038662,10.99780372,13.36020558,13.69645948,11.26048625,10.65360335,13.29238922,13.29824572,10.77706283,8.974035688,10.4224948,12.59489368,12.75695279,9.516484387,11.66456952,13.40705576,8.941266543,10.99896283,11.12277175,11.70220223,0.185222820736011,0.895638921017284,8.54682728316367
"GSM672637",15.50683643,12.12819442,15.11720743,9.995141264,12.42890074,12.51368253,12.52103866,11.37447026,10.62200112,12.9736632,11.04938625,11.23406803,11.61259814,10.27073271,10.9651961,12.67092974,10.78305911,12.39445725,12.6482026,13.00807138,13.46152045,13.00295056,12.2190777,11.92944684,11.97502342,12.233029,11.88511933,12.31870483,10.72286952,12.33457361,13.70401115,11.69730632,10.93698327,13.02196208,13.47812268,11.15801487,10.2294197,10.25501375,12.55941877,13.6106,9.512559851,12.24009331,13.62914721,11.96554164,11.70990037,11.1695632,12.04992751,0.0426303252169931,1.72094585029857,9.70757994045854
"GSM672638",15.32970632,12.16173569,15.11127918,10.14338662,12.40194684,12.48356283,12.49575204,11.44300781,10.66314126,13.18522751,10.95595595,11.21065762,11.62737993,10.21397621,10.9214461,12.96858699,10.697229,12.27950613,12.46749591,12.84514201,13.42601599,12.47610223,12.05132193,11.57153606,11.64603123,12.1883777,11.4285632,12.74524442,10.96463569,13.27297993,13.62670483,11.69090818,10.95418476,13.21045353,13.7109197,11.06557435,9.144256877,10.4428803,12.71507175,12.85683234,9.630962082,11.82700706,13.55989331,9.07303197,11.2363461,11.00480892,12.14299442,0.130540463205317,1.12383995863665,8.86778055692911
"GSM672639",15.53070669,12.80470855,15.1469052,9.587906691,12.5312223,12.94970781,12.50924944,11.73466357,11.73350112,13.30973011,11.12047993,11.4657,11.73722937,10.50714535,11.07504796,12.88760223,10.92505576,12.61945911,12.68944535,12.69711524,13.28071041,13.50188959,12.18706394,11.77697584,11.94133643,12.53577732,11.84372045,12.52395651,10.8178684,11.70866914,14.23797286,11.72211413,11.48383494,13.63642639,13.95716766,11.68223941,10.66670855,10.81497212,12.71191784,13.27297993,9.883156134,10.84973011,13.39879777,10.0748145,11.03188587,10.9612197,12.19392119,0.0610516213269907,1.5460054870581,9.46153512453007
"GSM672640",15.49114684,12.45543494,15.33721524,9.619292193,12.56626989,11.8217948,11.79619814,10.70406654,9.543722677,12.43612565,10.30092751,10.62261115,10.97260186,9.921168401,10.57741152,12.20380818,10.31773494,12.34492491,12.47610223,12.55092639,13.16680669,12.44963011,11.7445632,11.30724907,11.40708606,12.18422007,11.23174721,12.01517881,10.99430186,12.91816022,13.59271896,11.28929814,10.66433346,13.32734535,12.86480892,10.66314126,8.215446097,10.19194089,11.84180874,12.70469665,9.258460595,11.48800911,13.28452677,7.977637546,10.67379851,10.5929948,11.11935985,0.411298327408189,0.224206462896588,7.60249132485984
"GSM672641",15.46632379,11.83996506,15.10096468,10.15888587,12.45691115,12.05809554,12.0407881,11.27025613,10.80522639,12.89065985,10.53330372,11.12466952,11.1695632,9.849930112,10.60519108,12.51953383,10.37092045,12.1883777,12.44963011,12.59049108,13.31923978,12.68944535,11.77697584,11.18580558,11.56299777,11.94543792,11.26785613,12.47327881,11.12277175,12.8811052,13.46152045,11.38151115,10.48458067,12.95315316,13.23603439,10.64919294,8.123189219,10.45853197,12.25553011,12.83584424,9.411591822,11.91238699,13.3702461,8.196510409,10.87773792,10.77818476,11.52526506,0.282937592216957,0.574136871101659,8.09465083156124
"GSM672642",15.22980632,11.96963309,15.08894944,10.03614498,11.5350052,12.65748922,12.21173457,10.76186208,12.15306543,13.04444907,10.2729855,10.96004981,11.3224881,9.323555762,10.67147621,12.26996654,10.23546394,11.64349257,12.09369554,12.44648699,13.45520892,13.34118773,12.58011896,11.97239591,12.25278848,12.87633978,12.04472491,12.60967212,10.59240297,11.4645171,14.32986134,11.20930781,10.22599703,13.36020558,12.3842197,10.19028625,10.20419591,9.924944238,11.47189517,13.98711561,9.541005576,11.42728327,12.59922416,11.45741599,11.04339219,11.05398736,11.66456952,0.162866691984716,0.982744132970875,8.66933637966115
