"","liaF","liaR","liaG","liaH","liaI","liaS","ydhE","yhcY","yhcZ","yhdA","pval","z","inv_cof_var"
"GSM672709",9.733342007,9.978907063,9.881884387,9.343478439,8.691702974,10.20527881,9.394066171,9.630962082,10.57679554,10.03007658,0.194021016964802,0.863173586387346,18.6223539432125
"GSM672716",10.34454164,10.82305316,10.41393086,9.499448699,9.2522,10.8927461,9.211330855,10.43317955,10.97474461,10.42954089,0.428029316924208,0.181393610402391,15.3391775124464
"GSM672720",9.974054275,10.24892193,9.924944238,9.026469888,8.551803346,10.31406059,8.91650632,9.801787361,10.08529814,9.70606803,0.384797211282527,0.292905450530407,15.8761734028445
"GSM672721",10.04106729,10.44165911,10.08960446,9.055988104,8.742515613,10.53229405,8.9752171,9.904033643,10.27073271,9.784247584,0.429847297037622,0.176762947793113,15.3168781154662
"GSM672722",10.67985911,11.12047993,10.58764238,10.31773494,9.808316357,11.35625651,10.47734089,9.923634944,10.72760855,10.25749294,0.0650260447429358,1.51389650980921,21.7559721784084
"GSM672724",10.84047993,11.34699628,10.98036283,10.22252528,10.13296468,11.53634684,10.67507658,9.980197026,10.83472677,10.25371375,0.113954436702452,1.20576303187097,20.2721260580595
"GSM672726",10.39021747,10.94389777,10.62021264,10.37321041,10.25008439,11.07978216,10.82065651,9.889610409,10.92375167,10.45615651,0.00178434340814718,2.91396607857915,28.4981405780855
"GSM672737",10.64919294,10.90965465,10.71228216,10.46812714,10.25749294,11.06154665,10.63316877,9.975315242,10.86401599,10.24754089,0.000269097110684946,3.46098929081901,31.1323829741213
"GSM672738",10.63444684,10.82198364,10.46197286,10.07193197,9.947730112,11.08555204,10.2294197,9.954214126,10.74380595,10.18469814,0.00694117692804876,2.46029323342569,26.3134357686862
"GSM672739",10.66206617,11.13479888,10.76898067,9.993965056,9.629740892,11.3281881,10.6438632,10.38045316,10.97578959,10.29119926,0.112069163617929,1.21559739435321,20.3194843675591
"GSM672740",9.930198141,10.16879219,10.05844498,10.2208684,10.09491599,10.25863271,10.67258401,10.31892639,10.79103494,10.246271,2.87395514621028e-07,4.99950023278967,38.5412289964124
"GSM672741",10.12797993,10.33111822,10.09834833,9.94911487,9.636028996,10.40392714,10.11953383,10.1033316,10.74634201,10.04345948,1.42960634587646e-05,4.18439920950832,34.6160323602623
"GSM672742",10.16249219,10.3697052,10.2214171,9.737092193,9.460184387,10.4894658,10.09135651,10.09368364,10.69258996,10.0742026,0.00152457579669946,2.96273883209283,28.7330104194421
"GSM672743",10.28280446,10.46688848,10.37205093,9.912310037,9.658863569,10.64806134,9.374982156,10.14216097,10.41578717,9.620627138,0.0272923416031088,1.92216751288674,23.7220400916423
"GSM672744",10.61900669,10.92844275,10.71119851,9.808316357,9.376255762,10.98158476,9.389882528,10.31281784,10.76186208,9.940048699,0.317970957605155,0.473380253526298,16.7452670113614
"GSM672745",10.54625725,10.7016487,10.77135019,9.937569888,9.737092193,10.85080967,9.703587361,10.71840037,11.10190223,10.53229405,0.0774380814756278,1.42251719647487,21.3159263889065
"GSM672746",10.49476208,10.76373123,10.83237323,10.94953011,10.48220409,10.91574907,9.847455762,10.08403457,10.61667584,9.84866803,0.0147522212832188,2.17668012035164,24.9476698015123
"GSM672747",10.51903086,10.57679554,10.68654312,10.96685353,10.69994572,10.70406654,9.766249071,10.06807993,10.48577063,9.787371747,0.0117203575088306,2.26617427541594,25.3786374317569
"GSM672748",10.51419851,10.59358662,10.70406654,11.12871487,10.47046803,11.01078959,9.92234461,9.968082528,10.51776357,9.803089219,0.0315211210216007,1.85889345473756,23.4173378362054
"GSM672749",11.09626803,11.61633606,11.35768476,10.94041004,10.21518253,11.7445632,9.830095911,10.14157732,10.77595948,9.918536803,0.431700611813162,0.172046180288187,15.2941640721575
"GSM672750",10.97028662,11.3281881,11.16098439,11.04339219,10.87436729,11.35176059,9.938826022,10.2203197,10.57917807,9.821001487,0.168275483430512,0.961002388551681,19.0934578606487
"GSM672751",11.16841784,11.14697993,11.08324498,11.13242119,10.32859814,11.28562714,9.956937546,10.23788662,10.54747175,9.966738662,0.123472833312847,1.15779999207614,20.0411554702614
"GSM672752",11.06212491,11.33044126,11.09029926,10.63088401,10.1489197,11.42599665,9.733342007,10.35867472,10.79103494,10.09368364,0.190314723391588,0.876737107126312,18.6876703695919
"GSM672753",11.0609684,11.36244796,11.14584424,10.53004981,10.38775948,11.44763792,9.56301487,10.36912677,10.80522639,9.952976208,0.276620094706172,0.592911786790006,17.3208824981286
"GSM672754",11.00605204,11.46338662,11.14807026,10.7016487,10.20783569,11.56554647,9.579008178,10.45673234,10.82198364,9.982824907,0.325211623097928,0.453174287081377,16.6479632548276
"GSM672755",11.03188587,11.42728327,11.13001301,11.43817398,10.98965576,11.66019684,10.37092045,9.986601859,10.67507658,9.958141264,0.228815422010803,0.742753646384143,18.0424602491485
"GSM672756",10.85690223,11.32477955,11.06557435,11.37684758,10.96915539,11.50065985,10.20901524,9.940048699,10.72286952,9.766249071,0.255024494242741,0.658761414698208,17.6379876551268
"GSM672757",11.04454907,11.37209145,11.05971004,11.26915056,11.02599331,11.42192286,10.25924572,10.06210632,10.56931822,9.824746468,0.181907513555623,0.908119617078048,18.838795836225
"GSM672772",10.33722862,10.91926171,10.56992156,9.302730483,8.999601115,10.94389777,9.490528996,10.08164275,10.53229405,10.07542639,0.449614976582661,0.126634167134071,15.075478196196
"GSM672773",10.28401264,10.94725613,10.41267844,9.333706691,9.068281041,10.90037918,9.361120818,9.902143123,10.49909703,9.842369888,0.438424151855408,0.154965768905322,15.2119117238115
"GSM672787",10.27073271,10.77706283,10.35518699,9.394066171,8.9057171,10.9382052,9.49563197,10.47442249,11.00904238,10.25985874,0.499418209030872,0.00145833421005653,14.4726820466554
"GSM672790",10.09135651,10.68536877,10.40780558,9.27505948,8.702976208,10.98158476,9.679448327,9.989074349,10.60271673,10.0633171,0.488905035610578,0.0278145374742316,14.5996028545545
"GSM672794",9.954214126,10.52881636,10.28526989,9.457593309,8.668460967,10.71350892,9.322251301,10.03985799,10.56048587,9.921168401,0.412506848219368,0.221101122268547,15.5303928189608
"GSM672795",10.18579145,11.08451636,10.42423903,9.897079554,9.42066803,10.90279405,9.211330855,10.2305684,11.37684758,10.76665242,0.483797824783033,0.0406240014397787,14.6612880486989
"GSM672797",10.25985874,10.94041004,10.46142714,9.364909294,8.934030483,11.09506729,10.05336431,10.02391561,10.60167435,10.14274461,0.422796377397153,0.194744778512714,15.4034713345107
"GSM672798",10.35404907,10.90736766,10.541771,9.22933197,8.986883643,11.12637026,10.03721264,9.942540149,10.66082342,10.1083052,0.466457699831031,0.0841773835588348,14.8710235098304
"GSM672799",10.29861822,11.07624796,10.56460651,9.436835688,9.089297398,11.18912454,10.09716097,9.955614126,10.59812825,9.966738662,0.424871064451374,0.189447461628927,15.3779616003564
"GSM672801",10.47503271,10.94269926,10.40512788,9.555390335,9.245291078,10.85080967,9.887065428,10.06085762,10.74269703,9.83625948,0.246029747788214,0.687036868432075,17.7741507965187
"GSM672802",10.48817732,11.0569171,10.64447546,9.455064684,8.986883643,11.14034721,9.895909665,10.1390197,10.48458067,10.05462639,0.444215871776122,0.140288888050857,15.1412338057208
"GSM672803",10.53330372,11.15801487,10.68432825,9.552804833,9.2402171,11.1493119,9.90340855,10.11830706,10.57109665,10.05217361,0.364637614437549,0.346089799824348,16.1322877039946
"GSM672804",10.42782379,10.93322082,10.61326914,9.524164684,9.326156134,11.21785428,10.01624201,9.956937546,10.57679554,10.06872286,0.288627682452337,0.557398244114636,17.1498636498318
