"","appA/1","tnrA","codY","scoC","appA/2","appB","appC","appD","appF","oppA","oppB","oppC","oppD","oppF","pval","z","inv_cof_var"
"GSM672655",15.45057695,10.72760855,12.97704498,13.40928959,14.90230818,13.0917539,13.20315836,12.99514572,13.32734535,14.05355316,11.48741822,11.72854535,12.33017993,11.93222788,0.296326292118496,0.534996056426031,10.3277255022057
"GSM672656",15.20407138,10.57109665,12.90673086,12.9836684,14.47455279,12.71816097,12.6866171,13.07284758,13.22356468,14.16922491,11.81170372,11.92544981,12.50329219,12.20653755,0.107571205952271,1.23954857393029,11.9574193194309
"GSM672657",13.46987881,10.10964312,13.55989331,12.45414126,12.86008625,11.38512714,11.52222045,10.57679554,11.13356654,14.01974312,11.80847361,11.73466357,12.35779405,12.32441041,0.122829556958591,1.1609576707773,11.7756314387882
"GSM672658",13.95421375,9.61657658,13.25572045,13.31340074,13.63642639,12.25706059,12.22466394,12.32441041,12.56473271,14.41869665,12.39295911,12.56328699,13.07957993,12.87464238,0.000231240723340274,3.50159535189927,17.1897384961313
"GSM672659",13.50399368,9.801787361,13.3702461,13.11192862,13.04265836,11.52222045,11.41637175,11.92944684,12.01236766,14.37000297,12.12529108,12.12215242,12.73586952,12.52685316,0.0150422263101369,2.16897670360157,14.1072708050886
"GSM672660",12.29611413,9.477910781,13.78840558,12.05132193,11.96150149,10.30703643,10.11026914,9.367478067,10.06996784,13.25369033,10.88007955,10.88695465,11.51739071,11.29404387,0.378802186635241,0.30862819162535,9.80411611820846
"GSM672661",12.70310595,10.0633171,13.64935428,12.30746208,12.34049442,10.75493755,10.7016487,10.1353223,10.68536877,13.3702461,11.14142193,11.2520632,11.80914981,11.50648104,0.130110015515827,1.12587122427279,11.6944733086046
"GSM672662",12.79665613,9.656692193,13.71904721,12.36369665,12.31027584,10.75109331,10.61900669,10.04221636,10.56632751,13.4345881,10.88235985,11.00017212,11.70220223,11.37077807,0.220544285914302,0.770356293977705,10.8721350592354
"GSM672663",13.16499442,9.636028996,13.85627844,12.06224721,12.70008885,10.61201561,10.50442825,10.53229405,10.90156766,13.15597175,10.40392714,10.55808699,10.85929926,10.8370197,0.33094934667593,0.43729324534141,10.1017300466588
"GSM672664",13.34507323,9.89214461,13.91054387,12.38281004,13.0649197,11.17175985,10.9483658,10.38775948,11.14034721,13.30389257,10.75950632,10.94499814,11.48265204,11.26177993,0.234090592984684,0.72544155767186,10.7682432041339
