"","divIB","spoIIID","gerM","ispG","mraY","murB","murD","murE","murG","pdaB","sbp","spoIID","spoIIIAA","spoIIIAB","spoIIIAC","spoIIIAD","spoIIIAE","spoIIIAF","spoIIIAG","spoIIIAH","spoIVA","spoIVFA","spoIVFB","spoVB","spoVD","spoVE","spoVV","yaaH","yhaX","ylmC","ylxW","ylxX","ypjB","yqfC","yqfD","yqfZ","yqhV","yrzE","yugU","yuzH","pval","z","inv_cof_var"
"GSM672617",11.90374572,7.568715242,8.238844238,13.26519851,10.4224948,12.34349182,11.01789926,10.23424796,10.05959888,7.465363941,9.42066803,9.369944238,7.960021933,7.710728625,7.715651301,7.657518959,7.72549145,8.089684015,8.192473234,9.425710781,9.796913383,8.017719703,8.209816357,7.658371375,7.833525279,11.00848364,7.148817472,10.67507658,10.69258996,10.13176691,11.77446952,11.39341227,9.841120818,7.43247658,8.171969145,8.190704833,7.401328996,8.59803829,12.7521803,12.39001859,0.494611254908253,0.0135079915916739,5.33493939811035
"GSM672618",10.75656245,14.24448885,13.52354052,11.81923755,11.08210335,12.58323271,11.57153606,10.89751896,11.57879851,12.32584796,8.954337175,12.54170929,12.16173569,11.61319387,11.56687732,11.48741822,11.04454907,12.60212045,12.20653755,13.56426171,14.95582342,12.37568327,11.82952268,10.83525892,12.03546171,12.07040112,9.724398885,13.33719963,13.43237621,11.41145911,10.55341784,9.982824907,12.2190777,11.44532602,11.75678996,9.543722677,11.01195019,13.35631375,10.72404349,10.3261487,0.00186187801159208,2.90066174630314,9.56330289318313
"GSM672619",10.83366729,14.50030743,13.19254647,11.59519071,11.13418271,12.52835316,11.40038773,10.85317881,11.75077844,12.18563792,8.805447212,12.37289182,11.85276729,11.3353487,10.95418476,11.20453309,10.68322677,12.20774981,12.02449777,13.48236691,14.76762156,12.05938885,11.38041859,10.34922342,11.48922082,11.89274275,9.144256877,13.26519851,13.50188959,11.35058922,10.51658141,9.794347955,12.25706059,11.02948476,11.26785613,9.317263941,10.74508104,13.02507807,10.66314126,10.25613717,0.00389861696907918,2.66072617576913,9.21190671071107
"GSM672620",12.25148216,15.15962193,12.63305613,12.96701115,11.1649145,13.11619164,11.79090335,10.55808699,11.54112342,11.05971004,8.360233086,12.28742007,11.7154526,11.35399554,11.24473197,11.23750149,10.94041004,12.46005688,12.60065019,13.24606989,15.12307993,11.66334796,11.18580558,9.477910781,11.33291115,11.73466357,8.813281784,12.96858699,13.48460855,11.61880967,11.66081524,10.66610781,11.53860669,10.74634201,11.49942454,9.317263941,10.70469517,12.33017993,10.28889442,9.965484758,0.00989777635482598,2.33020057312289,8.72783744694719
"GSM672621",11.8141171,15.57326431,12.62544387,13.2005329,11.18683271,12.82326543,11.57153606,11.00122007,11.32477955,10.96685353,8.158015613,12.14374758,11.74086617,11.32697918,11.06917918,10.92505576,10.50263755,12.5655013,12.41861375,13.14873532,15.25573643,11.52100074,11.00246134,9.556754275,11.22259814,11.58882602,8.864891078,13.1468632,13.55558736,11.66456952,11.19509517,10.65251152,11.49827212,10.76186208,11.35058922,9.163631227,10.68960316,12.40504387,10.31164684,9.940048699,0.0146972088004885,2.17815609395117,8.50516162848484
"GSM672622",13.00110632,14.6741539,12.51518699,12.92828178,10.61326914,14.58946431,10.96575651,10.35867472,10.01882751,10.85255409,8.595686989,11.84758067,11.70866914,11.09734126,10.95765093,10.97314981,10.18349442,11.802529,12.08955204,12.83418104,14.74027026,11.24592528,10.49409517,9.198830669,10.98734907,11.06557435,8.875758736,11.98850669,12.99682175,10.69834424,12.14178848,11.49590892,11.40274498,10.95476413,10.9960132,8.97785948,10.24510112,12.27727844,10.24135167,9.74697658,0.0259673163834179,1.94367518603555,8.16175403901927
"GSM672623",12.64499628,15.08894944,11.93222788,13.17780409,10.0343381,14.0958948,10.64919294,10.30923346,9.786729368,10.34221784,9.142003346,11.39810297,10.6097052,10.19817918,9.759736431,9.691046468,9.188394796,11.58320019,11.54819108,12.13645688,14.54790446,10.37568922,9.795699628,8.691702974,10.04283792,10.54625725,8.414241264,12.06224721,12.81874535,10.64325093,11.86197993,11.20118141,10.93255613,10.72997732,10.68432825,9.168436059,9.585373606,11.73466357,11.22958513,10.65138476,0.0412415781218542,1.73645646199768,7.85827311536306
"GSM672630",12.45247361,14.64045799,14.52939071,12.94794461,10.56460651,13.35250967,11.14034721,11.15301375,11.42471599,13.5850487,9.87559145,13.36020558,13.53679182,13.11539071,12.91651264,12.80153755,12.30746208,14.07336952,13.87415316,15.07704164,15.55620743,13.23499331,12.37136022,11.23750149,12.73666097,12.11406171,10.94781097,13.42601599,13.70143383,12.73823494,11.83742714,10.83013309,13.02507807,12.37705167,12.3463026,11.89547138,13.02196208,14.06484089,11.05639108,10.17872528,0.00176526260810776,2.9173207390912,9.5877007198852
"GSM672631",12.96858699,12.54013457,13.01521004,12.37705167,9.669020446,13.82567398,9.970596283,10.66433346,10.27491227,11.9588368,9.284888476,11.89547138,12.08684164,11.51009108,11.40038773,11.36612639,10.81242528,12.51800186,12.58894312,13.54736245,13.62914721,11.61880967,10.83366729,9.432344238,10.96915539,10.71537621,9.283654275,11.92156208,12.03948625,11.70737026,11.5304,10.55470335,11.59652825,10.4644316,10.73581636,10.61090149,11.34637639,12.64338773,12.84514201,12.35069814,0.00150103339473852,2.96752621737295,9.66122884815783
"GSM672632",12.75695279,12.5494855,13.10802045,12.71656803,9.541005576,13.95421375,9.961820446,11.00605204,10.2305684,12.20774981,9.378251487,12.00437026,12.28581264,11.76571784,11.45741599,11.40904461,10.83366729,12.84668736,12.64979145,13.59734461,13.65857993,11.76959033,10.80032714,9.650143866,11.05850781,10.71009108,9.358621933,11.80120297,11.9427,11.65836766,11.60519591,10.45193922,11.70866914,10.52022342,10.98158476,10.77595948,11.7195487,12.67568848,12.99596394,12.22607175,0.00156564260577735,2.9545469337496,9.64222011716261
"GSM672646",11.60009591,13.91831896,12.94134015,12.34786914,11.89925465,12.60065019,12.158871,12.05551227,11.43214164,10.72286952,11.30483197,11.26785613,11.2785487,10.93087398,11.13356654,10.95765093,10.27553494,11.86726952,11.89799851,13.16499442,14.53294684,10.88970818,10.85690223,9.176684015,10.38541896,12.03148699,8.918543866,12.48356283,13.22730074,11.76691301,11.55933717,11.20569219,11.89082807,11.16780799,11.07273717,9.11569145,10.05097732,12.72717732,9.074196283,8.864891078,0.00587122389762423,2.51979116706213,9.00550119973959
"GSM672647",11.43214164,14.66569628,12.88436691,12.25424572,11.58120632,12.2344052,12.23151078,12.10581004,11.43328625,10.65138476,11.1649145,11.21415576,10.88583123,10.89689591,10.61201561,10.59704647,10.02264535,11.7195487,11.69607844,13.20505651,14.6741539,10.73825836,10.6261316,9.150171375,10.24267955,12.08145093,8.713237546,12.5479145,13.4345881,11.96900855,11.1592223,10.91817807,11.59898848,11.12047993,11.09626803,8.986883643,9.751458736,12.2881223,8.576081413,8.487209294,0.0203731296819465,2.04610278188653,8.31176375238406
"GSM672648",11.58755948,14.89277844,13.77175465,12.75695279,11.68098401,12.30338885,12.24164052,12.0407881,11.28675688,12.21031896,11.26294796,12.48971413,12.06628662,11.64349257,11.40767807,11.49942454,10.83472677,12.57175874,12.7530368,14.16637026,15.15316729,11.65711152,11.4562539,9.960652788,11.44062416,12.30054126,9.82232974,12.80310595,13.71644461,12.3046145,11.43945204,11.07273717,12.39912119,11.78330967,11.70109888,10.74750632,10.81242528,13.05331524,8.579221747,8.320828996,0.00633081083635633,2.49314755366586,8.96648045757171
