"","adhA","adhR","yraA","pval","z","inv_cof_var"
"GSM672677",8.636723792,8.928771375,11.13711487,0.457514986114264,0.106696231676788,5.59201139814215
"GSM672683",9.051007063,9.860341264,11.32135353,0.287694862176105,0.560131531678701,6.34503787570494
"GSM672684",8.990778439,10.03135093,11.20569219,0.26699091088116,0.621939239674774,6.44768281895995
"GSM672685",8.672866357,10.0693658,11.06212491,0.398823024304321,0.256394740534759,5.84061784942912
"GSM672686",9.035304089,9.822942565,11.48142862,0.37801086600998,0.310709161330056,5.93081858362907
"GSM672687",9.208952416,9.781072305,11.10905242,0.098103714551807,1.29243243821878,7.56118044811955
"GSM672688",9.124426394,9.678159108,11.09029926,0.131840479494712,1.11773319953139,7.27105492780583
"GSM672698",7.860385502,8.121063569,8.80170855,9.50726836866146e-06,4.27615908957489,12.5162979042846
"GSM672699",7.945713755,8.165575836,8.786026394,9.07247181974512e-08,5.21740274929231,14.0794346905082
"GSM672700",7.935463197,8.103662082,8.70822974,1.71125699327412e-09,5.90993083754776,15.2295259756598
"GSM672704",8.562611152,8.753835688,10.89382342,0.38472747287233,0.293087925554418,5.90155474575324
"GSM672705",8.523357993,8.650404461,10.90396134,0.415214105495246,0.214152404138208,5.77046539817404
"GSM672706",8.859812268,9.197054275,11.34337435,0.419520221167314,0.203121020336614,5.7521454215716
"GSM672710",8.298687732,8.705665428,9.462750186,0.000605768000143584,3.23615023740759,10.7891403526375
"GSM672711",8.076719703,8.659134201,9.879227881,0.163301274111513,0.980980113818466,7.04394712559057
"GSM672712",7.966381413,8.614675465,10.08788327,0.358321649274578,0.362948576552891,6.01757332644469
"GSM672724",9.257236803,9.475285502,11.79238513,0.391734145342288,0.274802092114809,5.87118720104671
"GSM672737",9.263217472,9.601017844,11.85151487,0.415695838863665,0.212917031524338,5.76841379723363
"GSM672738",9.146624535,9.316182528,11.68098401,0.40570664887112,0.238603181700065,5.81107115361699
"GSM672739",9.208952416,9.437442007,11.25331078,0.158364749675995,1.00120129760284,7.07752873425059
"GSM672758",8.53189368,8.638519145,10.96463569,0.439673920237967,0.151795995736593,5.66690922032036
"GSM672759",8.566478067,8.743839777,10.91574907,0.393408554901524,0.270446058989622,5.86395307463354
"GSM672761",8.639073606,8.714569888,10.87672565,0.325286134534257,0.452967326626864,6.1670687501193
"GSM672762",8.541937546,8.620707063,10.86867993,0.385322843750474,0.29153041272658,5.89896816195948
