"","acdA","fadR","fadF","fadG","fadH","nagP","nagR","rpoE","yflG","yflH","yflI","ykzU","ccpA","pval","z","inv_cof_var"
"GSM672672",8.768963569,10.81609888,8.502789963,11.25875483,9.87559145,10.63444684,10.30466134,13.10592714,11.88011524,10.78880818,10.14157732,10.71119851,12.23151078,0.480553708023886,0.0487639445577074,7.71658839299115
"GSM672673",9.03881487,11.26915056,8.931406691,11.22958513,9.959482156,10.58518067,10.22716952,12.80753569,11.60144089,10.40272268,9.75594052,10.70775019,12.31870483,0.281524870467617,0.578317560179361,8.88590353495254
"GSM672675",10.86867993,13.6049855,11.2363461,13.49333755,13.45315651,11.3643277,9.987783271,12.69559926,10.98158476,10.09135651,9.014144981,13.17873606,12.11942565,0.490473429377898,0.0238818412249652,7.6616458539686
"GSM672676",10.50936506,13.69168178,10.98844647,12.3463026,11.95349405,11.22378216,10.41887398,12.52103866,11.1695632,10.05704498,9.249828996,11.91770855,12.08955204,0.0780228542607542,1.41849701855494,10.741116177567
"GSM672677",9.943906691,13.28852007,10.3433171,11.28929814,10.78186134,11.6834855,10.48220409,12.81725688,11.36244796,10.1266829,9.576361338,10.68777323,12.10021896,0.0460501586602647,1.68442109235161,11.3283070434767
"GSM672678",9.331000743,12.92828178,9.897079554,10.8426684,9.580311896,11.87618959,10.65360335,12.8679223,11.42414219,10.16372974,9.486692565,9.99890223,12.10981524,0.267463027754971,0.620503948109092,8.97905591978327
"GSM672679",9.571783086,12.64979145,9.603594796,10.66314126,9.223396654,12.50329219,10.92844275,12.94628513,11.60009591,10.71009108,9.45124052,9.658863569,11.92684275,0.452416816630484,0.119557569402242,7.87290883919917
"GSM672694",8.799050186,11.14142193,8.398508922,10.98396803,10.1266829,10.31526468,9.441220446,13.37430892,11.12871487,10.64447546,9.871837546,10.75825539,12.42567472,0.494973649366735,0.0125995259659872,7.63673320739321
"GSM672695",10.16502825,11.4657,9.975315242,12.57725279,11.26177993,11.8281881,10.99318253,12.82640149,11.41876506,11.25023494,8.852436803,12.67714424,12.88276766,0.312784205810307,0.487973782322288,8.68641410779368
"GSM672696",9.919852788,11.11124164,9.581556877,11.69475316,10.2214171,11.46694833,10.62853197,13.4593829,10.96359368,10.37802602,9.524164684,11.49942454,12.79665613,0.267014470137532,0.621867586371504,8.98206698952458
"GSM672697",9.496931227,11.03646654,9.000723048,12.05679591,10.38045316,11.39046952,10.51542156,13.61981078,10.99196914,10.26606654,9.730959851,11.91645465,12.67413941,0.469608705283583,0.0762535114837142,7.77728851079661
"GSM672723",9.83625948,12.32160558,9.620627138,11.03815706,9.888286245,12.39750149,11.44062416,13.05512156,12.77884796,11.55055688,10.1353223,10.67743309,13.04444907,0.322412634299196,0.460962836067902,8.626770839346
"GSM672728",10.18716803,12.19392119,10.07193197,11.47656617,10.34922342,10.45615651,9.759736431,12.36067658,12.19816729,11.61880967,9.995141264,11.35564517,12.9836684,0.017917461830939,2.09879559116319,12.2432934803727
"GSM672729",10.45493383,12.31454387,10.33233123,12.20097844,11.28091301,10.87208662,10.1464539,12.81316264,12.09898662,11.15801487,10.7748487,11.88390743,12.81725688,0.00255407416865846,2.80013345531893,13.7919279528717
"GSM672730",9.908577323,12.39153123,9.830095911,11.6998658,10.2294197,11.00720223,10.01882751,12.22177807,12.64667732,11.28091301,10.19320037,11.23174721,12.77412974,0.049025045087713,1.65438116883623,11.2619754457052
"GSM672732",9.568403717,12.26289851,9.409023792,11.39931487,9.837497398,12.54327509,11.7195487,13.11699257,12.57097026,11.54474833,9.956937546,11.16154387,13.12800297,0.402507092198518,0.246863087277349,8.15401402914646
"GSM672734",10.45007435,12.26005576,10.4357777,13.33340483,10.56992156,11.07735651,10.02762937,12.16308104,12.49129033,11.56802119,9.571112639,13.04265836,12.75841524,0.243313717957071,0.695682901384412,9.1450596743199
"GSM672735",10.61090149,12.50924944,10.33658401,13.46569219,11.40274498,11.07137844,10.02391561,12.73666097,12.50189554,11.27969628,10.00627323,12.96507435,12.88029071,0.172511803986241,0.944285824191867,9.69400345149223
"GSM672736",10.78880818,12.49420967,10.70406654,13.90030558,11.08267416,10.85929926,9.961820446,12.45617305,12.6938881,11.74700781,9.63347026,13.39100595,12.74293383,0.314351182226346,0.483554088739805,8.67665491726722
"GSM672758",9.000723048,11.12754535,8.705665428,10.97369777,10.59128327,10.57802751,9.993965056,13.87415316,11.56050372,11.01436617,10.48689405,10.66912045,12.55874387,0.49837101787816,0.00408326399218456,7.61792832383635
"GSM672759",9.195828996,11.07137844,8.965646283,10.98274721,10.78641524,10.39915502,10.07193197,13.6106,11.56802119,11.29289665,10.18469814,10.38901375,12.53577732,0.391742412776505,0.274780571358475,8.21565903712777
"GSM672766",9.144256877,10.96301171,8.684418216,10.56761375,10.4978948,10.48753569,10.41760929,13.49777063,11.6834855,11.52343123,10.09954424,9.966738662,13.32734535,0.474553623336024,0.0638279199545232,7.74985137904206
"GSM672770",8.913276952,11.01195019,8.56395316,10.89814201,10.2401855,10.48577063,10.03135093,13.54539665,11.72085651,11.12404238,10.81609888,10.47381227,13.25872286,0.488402339125007,0.0290751206528995,7.67311321079968
