"","birA","spx","bshA","bshB1","bshB2","bshC","cca","coaX","dapB","mgsA","msrA","msrB","tpx","trxB","yacC","yacD","yjbH","yjbI","ylaA","ylaB","ylaD","ylbQ","yojF","yoyC","ypjD","ytpP","ytpQ","ytpR","ytvA","ytxK","yugJ","yugT","pval","z","inv_cof_var"
"GSM672635",11.51009108,13.91563829,11.5727223,12.0286052,11.99907435,11.19761078,11.58383606,11.37801599,11.62494535,11.77082305,12.14592454,11.78397379,13.97636729,11.87618959,11.24241227,11.01674572,11.71601041,12.31169033,8.090775465,8.502789963,8.177153717,11.62863903,12.40194684,12.60212045,11.44184461,12.44432993,12.52326803,12.91651264,9.87559145,11.3876119,12.31454387,8.043572119,0.421558198018161,0.197908829292995,7.98495229948903
"GSM672636",11.79491301,13.69645948,11.51608104,11.90566059,11.87881301,11.27969628,11.60144089,11.47064201,11.7543855,11.64867435,11.94935167,11.61378959,14.13993457,11.89681338,11.29289665,11.35883048,11.68734461,12.05551227,7.882130855,8.476170632,8.208771747,11.85680372,12.33317249,12.54013457,11.79090335,12.5494855,12.53873903,12.93638178,10.19937509,10.98734907,11.87752714,7.957765056,0.449255516588416,0.127542505699909,7.93133182695511
"GSM672637",11.79360967,13.70401115,11.47898253,12.02526264,11.77574349,11.31913494,11.86197993,11.49590892,11.68098401,11.71836989,12.10581004,11.62494535,13.86138401,11.82445613,11.41876506,11.31787472,11.65711152,12.14178848,8.047924535,8.438575465,8.164482156,11.71356952,12.29240948,12.52544535,11.48265204,12.420771,12.58472156,12.96154498,10.08529814,11.33658364,11.8217948,7.901092937,0.395153363528269,0.26591233239689,8.03677225801749
"GSM672638",11.82113197,13.62670483,11.59830892,12.03426766,11.72477063,11.3258513,11.94935167,11.4682684,11.76959033,11.74586245,12.14044424,11.68967509,14.00300297,11.75807658,11.30483197,11.41400037,11.72728216,12.45247361,8.050930112,8.462952416,8.259020818,11.91770855,12.29315279,12.65605019,11.75320818,12.50924944,12.72122491,12.96003271,10.25257509,11.36612639,11.89014201,8.029918216,0.389793343245258,0.279857693383152,8.04739888745551
"GSM672639",11.88390743,14.23797286,11.95485762,12.25148216,11.99250855,11.52934052,12.28742007,11.57506468,11.86268123,11.96415093,11.75807658,11.51009108,14.30661041,12.10452751,11.5727223,11.58508885,12.24736022,12.56626989,7.840681041,8.391205576,8.301184758,11.94543792,12.23579331,12.28581264,11.63750186,12.48819219,12.83257361,13.31143866,10.94725613,11.66456952,12.27143792,8.120082156,0.47874688493801,0.0532988833757464,7.87475677928496
"GSM672640",11.27143494,13.59271896,11.50417435,11.72728216,11.61507807,11.17657509,11.58689963,11.13356654,11.36244796,11.42134944,11.60519591,11.23868885,14.04280037,11.58383606,11.1649145,11.2039158,11.92944684,12.29465353,7.922072862,8.327184015,8.182026394,11.72854535,11.96296022,12.01371413,11.20569219,12.22177807,12.58472156,12.91488662,10.4978948,11.18360929,12.07855874,7.97259145,0.370791334014375,0.329758207655391,8.08542402531032
"GSM672641",11.35451468,13.46152045,11.41994833,11.85939182,11.78835316,11.11701859,11.64984052,11.36244796,11.65836766,11.6026777,12.05132193,11.60389777,13.96823197,11.56802119,11.30014833,11.34829926,11.67574201,12.26155651,8.106679554,8.528111524,8.179828996,11.802529,12.34492491,12.5327658,11.55055688,12.46005688,12.66205019,12.90509033,10.21271413,11.33878662,12.09219442,8.057889591,0.339819661884271,0.412955354727576,8.14882182857318
"GSM672645",12.08812974,14.06186803,11.90698848,12.25148216,11.87618959,11.4285632,12.2058723,11.56165688,11.91377249,12.0724119,12.12968401,11.64603123,14.37361413,12.09219442,11.45859368,11.50759814,11.98454572,12.36369665,8.012508922,8.434796283,8.400856506,11.90566059,12.33457361,12.69099182,12.07438996,12.62693755,12.77884796,13.04265836,10.63088401,11.43328625,12.30886543,8.20664052,0.41662975018089,0.210523002694911,7.99456453875205
"GSM672647",10.96685353,13.79092788,11.01789926,11.47898253,10.95881636,11.08210335,11.3258513,10.29357361,10.88970818,11.13711487,11.41994833,10.73581636,13.96283048,11.37209145,10.34696877,10.71943829,11.17064349,11.18252342,7.224612639,7.575073978,7.588915242,11.34395781,11.39465613,11.68098401,11.03072193,11.79491301,11.93752491,12.4776539,9.669020446,10.25008439,11.63374164,10.74508104,0.398162424054856,0.258106327820882,8.03082393454974
"GSM672649",10.71840037,13.74743383,10.86057249,11.25086022,10.65138476,10.96915539,11.05971004,10.2065,10.5828145,10.93322082,11.35768476,10.98274721,13.62342119,11.40274498,10.09014535,10.12797993,11.32028439,11.53693327,7.246704089,7.511424907,7.615062082,11.28217807,11.08210335,11.26426877,10.43819554,11.43817398,11.72854535,12.2058723,9.216207063,10.09834833,11.37927323,10.48335762,0.346266473020843,0.3954200071742,8.13545956131454
"GSM672650",10.8312829,13.63389182,10.72635353,11.18580558,10.67379851,10.91574907,11.05398736,10.41887398,10.5828145,10.67258401,11.91238699,11.22608885,13.54124015,11.39223755,10.15888587,10.30341896,11.35399554,11.59268067,7.205772862,7.462750558,7.539566543,11.5136026,11.10315688,11.45859368,10.60737249,11.50759814,11.65773959,12.1767184,9.464062082,9.885793309,11.30483197,10.09716097,0.399993557848965,0.253363777884461,8.02721002159221
